id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,ppg_estimate,prior,value,valuePoints_metric,games_played
1,0,5,475,,,6,69140,0,0,0,0,106.0,0,2,,,0,Shkodran,0.0,40,2,107.8,False,718.6,2611,,,55,0,0,0,69140.jpg,2.6,0,0,Mustafi,0.6,False,,a,1,3,252.0,80,0,0,0,0,0.0,0.0,Mustafi,9,2.6,"[  9.48227267e-04   9.54398889e-04   9.60586664e-04 ...,   3.78161774e-08
   3.69401666e-08   3.60835465e-08]",0.4727272727272727,1.1086437250491743,29.011111111111113
2,5,5,304,0.0,,4,98745,0,0,0,0,197.8,0,2,,,0,Héctor,0.0,21,0,73.7,False,261.6,1532,Knee injury - Unknown return date,2019-06-25T11:30:06.897107Z,55,1,0,0,98745.jpg,3.2,0,0,Bellerín,0.2,False,,i,1,3,280.0,60,0,0,0,0,0.0,0.0,Bellerín,3,3.2,"[  5.86589636e-04   5.91293783e-04   5.96020754e-04 ...,   1.40888425e-07
   1.37831341e-07   1.34837219e-07]",0.5818181818181819,1.3644845846759068,17.022222222222222
3,7,10,382,,,5,111457,0,0,0,0,445.9,0,2,,,0,Sead,0.0,29,0,101.0,False,323.2,1886,,,55,1,0,0,111457.jpg,3.4,0,0,Kolasinac,2.1,False,,a,1,3,242.0,81,0,0,0,0,0.0,0.0,Kolasinac,5,3.4,"[  4.92063126e-04   4.96257286e-04   5.00474683e-04 ...,   2.15024031e-07
   2.10463511e-07   2.05994567e-07]",0.6181818181818182,1.4497648712181508,20.955555555555556
4,1,3,152,,,2,154043,0,0,0,0,98.9,0,2,,,0,Ainsley,0.0,20,1,44.8,False,224.2,983,,,50,0,0,0,154043.jpg,2.1,1,0,Maitland-Niles,1.0,False,,a,1,3,126.0,34,0,0,0,0,0.0,0.0,Maitland-Niles,1,2.1,"[  1.34636385e-03   1.35343393e-03   1.36050712e-03 ...,   1.20258148e-08
   1.17325622e-08   1.14461745e-08]",0.42000000000000004,0.9391485505499118,10.922222222222222
5,2,4,402,,,5,39476,0,0,0,0,67.9,0,2,,,0,Sokratis,0.0,33,1,70.4,False,513.8,2198,,,50,0,0,0,39476.jpg,2.6,0,0,Papastathopoulos,1.4,False,,a,1,3,120.0,64,0,0,0,0,0.0,0.0,Sokratis,12,2.6,"[  9.48227267e-04   9.54398889e-04   9.60586664e-04 ...,   3.78161774e-08
   3.69401666e-08   3.60835465e-08]",0.52,1.1627553482998907,24.42222222222222
6,4,7,392,,,5,38411,0,0,0,0,196.6,0,2,,,0,Nacho,0.0,24,1,83.4,False,413.2,1860,,,50,0,0,0,38411.jpg,3.5,0,0,Monreal,1.1,False,,a,1,3,224.0,77,0,0,0,0,0.0,0.0,Monreal,5,3.5,"[  4.49292980e-04   4.53235878e-04   4.57201948e-04 ...,   2.64824666e-07
   2.59272717e-07   2.53830817e-07]",0.7,1.5652475842498528,20.666666666666668
7,0,8,319,0.0,,3,51507,0,0,0,0,29.5,0,2,,,0,Laurent,0.0,23,3,59.1,False,456.4,1329,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,3.6,0,0,Koscielny,0.4,False,,u,1,3,105.0,62,0,0,0,0,0.0,0.0,Koscielny,1,3.6,"[  4.09384967e-04   4.13080898e-04   4.16799776e-04 ...,   3.25479256e-07
   3.18735381e-07   3.12123434e-07]",0.72,1.6099689437998486,14.766666666666667
8,0,0,28,,,0,233963,0,0,0,0,14.1,0,2,,,0,Konstantinos,0.0,1,0,5.2,False,27.0,147,,,45,0,0,0,233963.jpg,0.8,0,0,Mavropanos,0.1,False,,a,1,3,10.0,3,0,0,0,0,0.0,0.0,Mavropanos,1,2.0,"[  2.80547401e-03   2.81105544e-03   2.81657755e-03 ...,   5.12205468e-10
   4.98093769e-10   4.84358749e-10]",0.4444444444444444,0.9428090415820634,1.6333333333333333
9,0,0,16,0.0,,0,80254,0,0,0,0,16.9,0,2,,,0,Carl,0.0,3,0,5.2,False,26.8,165,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,1.3,0,0,Jenkinson,0.1,False,,u,1,3,8.0,4,0,0,0,0,0.0,0.0,Jenkinson,0,2.0,"[  2.17354902e-03   2.18059728e-03   2.18761372e-03 ...,   1.77182375e-09
   1.72516359e-09   1.67969022e-09]",0.4444444444444444,0.9428090415820634,1.8333333333333333
10,0,5,148,0.0,,1,156074,0,0,0,0,28.7,0,2,,,0,Rob,0.0,10,0,23.2,False,187.8,806,Anterior cruciate ligament - Unknown return date,2019-06-25T11:30:06.913215Z,45,0,0,0,156074.jpg,2.4,0,0,Holding,0.1,False,,i,1,3,14.0,24,0,0,0,0,0.0,0.0,Holding,1,2.4,"[  1.09658275e-03   1.10316824e-03   1.10976553e-03 ...,   2.40370601e-08
   2.34685051e-08   2.29128253e-08]",0.5333333333333333,1.131370849898476,8.955555555555556
11,7,32,756,,,7,54694,0,0,0,0,484.6,0,4,,,0,Pierre-Emerick,0.0,42,22,289.6,False,984.4,2722,,,110,0,1,0,54694.jpg,5.7,0,0,Aubameyang,25.9,False,,a,1,3,1429.0,205,0,0,0,0,0.0,0.0,Aubameyang,0,5.7,"[  3.44669647e-05   3.49611981e-05   3.54616319e-05 ...,   1.46895862e-05
   1.44609414e-05   1.42354997e-05]",0.5181818181818182,1.7186146640932527,30.244444444444444
12,12,20,560,75.0,,6,59966,0,0,0,0,482.4,0,4,,,0,Alexandre,0.0,31,13,260.6,False,808.0,2497,Ankle injury - 75% chance of playing,2019-08-04T23:30:15.744462Z,95,0,0,0,59966.jpg,4.7,0,0,Lacazette,4.4,False,,d,1,3,1319.0,166,0,0,0,0,0.0,0.0,Lacazette,2,4.7,"[  1.27294823e-04   1.28797749e-04   1.30315161e-04 ...,   2.72139151e-06
   2.67234359e-06   2.62411405e-06]",0.4947368421052632,1.5248813586291678,27.744444444444444
13,0,1,36,0.0,,0,205533,0,0,0,0,14.7,0,4,,,0,Edward,0.0,3,1,11.4,False,40.8,63,Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T15:30:15.638344Z,45,0,0,0,205533.jpg,2.0,0,0,Nketiah,3.0,False,,n,1,3,59.0,10,0,0,0,0,0.0,0.0,Nketiah,0,2.0,"[  1.43696803e-03   1.44415281e-03   1.45133723e-03 ...,   9.51560819e-09
   9.28124705e-09   9.05243170e-09]",0.4444444444444444,0.9428090415820634,0.7
14,0,5,568,,,6,80201,0,0,0,0,0.0,0,1,,,0,Bernd,0.0,42,0,80.5,False,807.2,2835,,,50,0,0,0,80201.jpg,3.3,0,105,Leno,4.9,False,,a,1,3,0.0,106,0,0,0,0,0.0,0.0,Leno,0,3.3,"[  5.37796608e-04   5.42245004e-04   5.46716527e-04 ...,   1.74229469e-07
   1.70491547e-07   1.66829647e-07]",0.6599999999999999,1.475804865149861,31.5
15,3,9,363,,,5,37605,0,0,0,0,714.2,0,3,,,0,Mesut,0.0,24,5,140.0,False,429.6,1732,,,75,0,0,0,37605.jpg,3.7,0,0,Özil,2.0,False,,a,1,3,254.0,89,0,0,0,0,0.0,0.0,Özil,2,3.7,"[  3.72233497e-04   3.75687935e-04   3.79164951e-04 ...,   3.99180668e-07
   3.91007451e-07   3.82992006e-07]",0.49333333333333335,1.3510489751794097,19.244444444444444
16,4,12,354,,,3,57249,0,0,0,0,454.9,0,3,,,0,Henrikh,0.0,26,6,150.2,False,446.4,1637,,,70,0,0,0,57249.jpg,3.9,0,0,Mkhitaryan,2.5,False,,a,1,3,600.0,98,0,0,0,0,0.0,0.0,Mkhitaryan,1,3.9,"[  3.05759763e-04   3.08751642e-04   3.11765002e-04 ...,   5.96567554e-07
   5.84645094e-07   5.72946581e-07]",0.5571428571428572,1.4740614447359863,18.18888888888889
18,3,8,452,,,7,84450,0,0,0,0,674.0,0,3,,,0,Granit,0.0,37,4,152.6,False,634.6,2498,,,55,0,0,0,84450.jpg,3.1,0,0,Xhaka,1.5,False,,a,1,3,215.0,90,0,0,0,0,0.0,0.0,Xhaka,10,3.1,"[  6.38532870e-04   6.43492682e-04   6.48474807e-04 ...,   1.13700288e-07
   1.11205343e-07   1.08762427e-07]",0.5636363636363636,1.3218444414047847,27.755555555555556
19,4,6,409,,,5,198849,0,0,0,0,301.0,0,3,,,0,Lucas,0.0,38,2,94.5,False,440.8,2377,,,50,0,0,0,198849.jpg,2.3,1,0,Torreira,2.1,False,,a,1,3,203.0,78,0,0,0,0,0.0,0.0,Torreira,7,2.3,"[  1.17618482e-03   1.18295258e-03   1.18972954e-03 ...,   1.91140575e-08
   1.86572826e-08   1.82109682e-08]",0.45999999999999996,1.028591269649903,26.41111111111111
20,0,0,59,,,0,153256,0,0,0,0,76.7,0,3,,,0,Mohamed,0.0,5,0,22.7,False,86.6,377,,,45,0,0,0,153256.jpg,1.3,0,0,Elneny,0.5,False,,a,1,3,63.0,10,0,0,0,0,0.0,0.0,Elneny,0,2.0,"[  2.17354902e-03   2.18059728e-03   2.18761372e-03 ...,   1.77182375e-09
   1.72516359e-09   1.67969022e-09]",0.4444444444444444,0.9428090415820634,4.188888888888889
21,0,0,321,,,3,242166,0,0,0,0,312.4,0,3,,,0,Matteo,0.0,32,0,76.6,False,323.2,2140,,,45,0,0,0,242166.jpg,1.4,0,0,Guendouzi,4.6,False,,a,1,3,130.0,47,0,0,0,0,0.0,0.0,Guendouzi,9,1.4,"[  2.05750630e-03   2.06469438e-03   2.07185578e-03 ...,   2.26232439e-09
   2.20329788e-09   2.14575780e-09]",0.3111111111111111,0.6599663291074443,23.77777777777778
106,2,19,794,,,16,41270,0,0,0,0,358.7,0,2,,,0,David,0.0,36,3,158.0,False,859.0,3238,,,60,0,0,0,41270.jpg,4.6,0,0,Luiz Moreira Marinho,8.7,False,,a,1,3,363.0,164,0,0,0,0,0.0,0.0,David Luiz,3,4.6,"[  1.43176092e-04   1.44830310e-04   1.46499979e-04 ...,   2.26928042e-06
   2.22782391e-06   2.18707008e-06]",0.7666666666666666,1.8779421361337696,35.977777777777774
427,0,0,0,,,0,98980,0,0,0,0,0.0,0,1,,,0,Emiliano,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,98980.jpg,0.0,0,0,Martínez,0.3,False,,a,1,3,0.0,0,0,0,0,0,0.0,0.0,Martínez,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.4444444444444444,0.9428090415820634,0.0
467,0,0,431,,,5,101184,0,0,0,0,231.9,0,2,,,0,Calum,0.0,52,2,124.5,False,609.0,2586,,,45,0,0,0,101184.jpg,1.9,0,0,Chambers,0.7,False,,a,1,3,401.0,60,0,0,0,0,0.0,0.0,Chambers,9,1.9,"[  1.53125424e-03   1.53852577e-03   1.54579318e-03 ...,   7.51751193e-09
   7.33052930e-09   7.14801877e-09]",0.4222222222222222,0.8956685895029601,28.733333333333334
469,0,0,0,,,0,182539,0,0,0,0,0.0,0,3,,,0,Daniel,0.0,0,0,0.0,False,0.0,0,,,55,0,0,0,182539.jpg,0.0,0,0,Ceballos Fernández,3.7,False,,a,1,3,0.0,0,0,0,0,0,0.0,0.0,Ceballos,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.36363636363636365,0.8528028654224418,0.0
488,0,0,0,,,0,195735,0,0,0,0,0.0,0,3,,,0,Nicolas,0.0,0,0,0.0,False,0.0,0,,,95,0,0,0,195735.jpg,0.0,0,0,Pépé,6.8,False,,a,1,3,0.0,0,0,0,0,0,0.0,0.0,Pépé,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.21052631578947367,0.6488856845230502,0.0
489,0,0,0,,,0,200641,0,0,0,0,0.0,0,3,,,0,Reiss,0.0,0,0,0.0,False,0.0,0,,,55,0,0,0,200641.jpg,0.0,0,0,Nelson,0.1,False,,a,1,3,0.0,0,0,0,0,0,0.0,0.0,Nelson,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.36363636363636365,0.8528028654224418,0.0
490,0,0,4,,,1,200089,0,0,0,0,2.5,0,3,,,0,Joseph,0.0,1,0,2.7,False,1.0,63,,,50,0,0,0,200089.jpg,2.0,0,0,Willock,0.1,False,,a,1,3,23.0,4,0,0,0,0,0.0,0.0,Willock,0,2.0,"[  1.43696803e-03   1.44415281e-03   1.45133723e-03 ...,   9.51560819e-09
   9.28124705e-09   9.05243170e-09]",0.4,0.8944271909999159,0.7
504,0,0,0,,,0,444145,0,0,0,0,0.0,0,4,,,0,Gabriel Teodoro,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,444145.jpg,0.0,0,0,Martinelli Silva,0.6,False,,a,1,3,0.0,0,0,0,0,0,0.0,0.0,Martinelli,0,2.0,"[  3.98148091e-03   3.98143114e-03   3.98128184e-03 ...,   6.63409381e-11
   6.43842910e-11   6.24837907e-11]",0.4444444444444444,0.9428090415820634,0.0
