id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,ppg_estimate,value,valuePoints_metric,games_played
1,0,0,0,,,0,69140,0,0,0,0,0.0,0,2,3.1,3.1,0,Shkodran,0.0,0,0,0.0,False,0.0,0,,,55,0,0,0,69140.jpg,0.0,0,0,Mustafi,0.6,False,,a,1,3,0.0,0,2506,2506,6841,6841,0.0,0.0,Mustafi,0,2.6,0.4727272727272727,1.1086437250491743,0.0
2,0,0,0,0.0,0.0,0,98745,0,0,0,0,0.0,0,2,0.0,0.0,0,Héctor,0.0,0,0,0.0,False,0.0,0,Knee injury - Unknown return date,2019-06-25T11:30:06.897107Z,55,0,0,0,98745.jpg,0.0,0,0,Bellerín,0.1,False,,i,1,3,0.0,0,309,309,1770,1770,0.0,0.0,Bellerín,0,3.2,0.5818181818181819,1.3644845846759068,0.0
3,0,0,0,75.0,25.0,0,111457,0,0,0,0,0.0,0,2,0.8,0.8,0,Sead,0.0,0,0,0.0,False,0.0,0,Personal Reasons - 75% chance of playing,2019-08-09T17:00:13.224645Z,55,0,0,0,111457.jpg,0.0,0,0,Kolasinac,1.1,False,,d,1,3,0.0,0,308,308,27095,27095,0.0,0.0,Kolasinac,0,3.4,0.6181818181818182,1.4497648712181508,0.0
4,1,3,38,,,1,154043,0,0,0,0,12.3,1,2,2.6,2.6,12,Ainsley,12.0,0,0,5.1,True,38.4,90,,,50,0,0,0,154043.jpg,12.0,0,0,Maitland-Niles,3.9,False,,a,1,3,0.0,12,115830,115830,12491,12491,2.4,2.4,Maitland-Niles,0,6.04,1.208,2.7011701168197457,1.0
5,0,2,28,,,1,39476,0,0,0,0,0.4,0,2,2.6,2.6,8,Sokratis,8.0,0,0,2.1,False,20.2,90,,,50,0,0,0,39476.jpg,8.0,0,0,Papastathopoulos,1.9,False,,a,1,3,0.0,8,15219,15219,7527,7527,1.6,1.6,Sokratis,0,5.0,1.0,2.23606797749979,1.0
6,0,1,27,,,1,38411,0,0,0,0,15.6,0,2,2.6,2.6,7,Nacho,7.0,0,0,3.4,False,14.2,90,,,50,0,0,0,38411.jpg,7.0,0,0,Monreal,1.2,False,,a,1,3,4.0,7,9105,9105,4356,4356,1.4,1.4,Monreal,0,5.05,1.01,2.258428657274788,1.0
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.2,False,,u,1,3,0.0,0,72,72,6188,6188,0.0,0.0,Koscielny,0,3.6,0.72,1.6099689437998486,0.0
8,0,0,0,0.0,0.0,0,233963,0,0,0,0,0.0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,Groin Injury - Expected back 06 Oct,2019-08-09T09:30:11.868345Z,45,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.1,False,,i,1,3,0.0,0,32,32,1508,1508,0.0,0.0,Mavropanos,0,0.8,0.17777777777777778,0.37712361663282534,0.0
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,33,33,905,905,0.0,0.0,Jenkinson,0,1.3,0.2888888888888889,0.6128258770283412,0.0
10,0,0,0,0.0,0.0,0,156074,0,0,0,0,0.0,0,2,0.0,0.0,0,Rob,0.0,0,0,0.0,False,0.0,0,Anterior cruciate ligament - Unknown return date,2019-06-25T11:30:06.913215Z,45,0,0,0,156074.jpg,0.0,0,0,Holding,0.1,False,,i,1,3,0.0,0,160,160,860,860,0.0,0.0,Holding,0,2.4,0.5333333333333333,1.131370849898476,0.0
11,0,0,25,,,1,54694,0,0,0,0,6.5,0,4,4.1,4.1,6,Pierre-Emerick,6.0,0,1,12.2,False,37.4,90,,,110,0,0,0,54694.jpg,6.0,0,0,Aubameyang,28.1,False,,a,1,3,78.0,6,106302,106302,56647,56647,0.5,0.5,Aubameyang,0,5.82,0.5290909090909092,1.7547960254425845,1.0
12,0,0,0,100.0,75.0,0,59966,0,0,0,0,0.0,0,4,3.6,2.7,0,Alexandre,0.0,0,0,0.0,False,0.0,0,,2019-08-04T23:30:15.744462Z,95,0,0,0,59966.jpg,0.0,0,0,Lacazette,3.2,False,,a,1,3,0.0,0,10649,10649,31622,31622,0.0,0.0,Lacazette,0,4.7,0.4947368421052632,1.5248813586291678,0.0
13,0,0,0,0.0,0.0,0,205533,0,0,0,0,0.0,0,4,0.0,0.0,0,Edward,0.0,0,0,0.0,False,0.0,0,Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T15:30:15.638344Z,45,0,0,0,205533.jpg,0.0,0,0,Nketiah,1.4,False,,n,1,3,0.0,0,946,946,21131,21131,0.0,0.0,Nketiah,0,2.0,0.4444444444444444,0.9428090415820634,0.0
14,0,1,27,,,1,80201,0,0,0,0,0.0,0,1,3.0,3.0,7,Bernd,7.0,0,0,1.8,False,18.0,90,,,50,0,0,0,80201.jpg,7.0,0,2,Leno,6.6,False,,a,1,3,0.0,7,75949,75949,18262,18262,1.4,1.4,Leno,0,4.95,0.99,2.213707297724792,1.0
15,0,0,0,75.0,25.0,0,37605,-1,1,-1,1,0.0,0,3,0.8,0.8,0,Mesut,0.0,0,0,0.0,False,0.0,0,Personal Reasons - 75% chance of playing,2019-08-09T17:00:13.419733Z,74,0,0,0,37605.jpg,0.0,0,0,Özil,1.2,False,,d,1,3,0.0,0,1180,1180,33848,33848,0.0,0.0,Özil,0,3.7,0.5,1.3601470508735443,0.0
16,0,0,0,,,1,57249,0,0,0,0,19.4,0,3,2.9,2.9,2,Henrikh,2.0,0,0,4.2,False,0.2,83,,,70,0,0,0,57249.jpg,2.0,0,0,Mkhitaryan,2.4,False,,a,1,3,22.0,2,13907,13907,13521,13521,0.3,0.3,Mkhitaryan,1,2.7800000000000002,0.3971428571428572,1.0507412349656517,0.9222222222222223
18,0,0,11,75.0,,1,84450,0,0,0,0,24.2,0,3,2.3,2.3,2,Granit,2.0,0,0,4.5,False,15.8,90,Back injury - 75% chance of playing,2019-08-15T10:30:08.210157Z,55,0,0,0,84450.jpg,2.0,0,0,Xhaka,1.7,False,,d,1,3,5.0,2,12067,12067,14106,14106,0.4,0.4,Xhaka,1,2.41,0.43818181818181823,1.0276274528340423,1.0
19,0,0,0,,,0,198849,0,0,0,0,0.0,0,3,1.9,1.9,0,Lucas,0.0,0,0,0.0,False,0.0,0,,,50,0,0,0,198849.jpg,0.0,0,0,Torreira,2.1,False,,a,1,3,0.0,0,9182,9182,19485,19485,0.0,0.0,Torreira,0,2.3000000000000003,0.4600000000000001,1.0285912696499033,0.0
20,0,0,0,75.0,75.0,0,153256,0,0,0,0,0.0,0,3,1.1,1.1,0,Mohamed,0.0,0,0,0.0,False,0.0,0,Lack of match fitness - 75% chance of playing,2019-08-09T09:30:11.915358Z,45,0,0,0,153256.jpg,0.0,0,0,Elneny,0.3,False,,d,1,3,0.0,0,629,629,4132,4132,0.0,0.0,Elneny,0,1.3,0.2888888888888889,0.6128258770283412,0.0
21,0,0,15,,,1,242166,0,0,0,0,14.4,0,3,1.5,1.5,3,Matteo,3.0,0,0,3.6,False,21.2,90,,,45,0,0,0,242166.jpg,3.0,0,0,Guendouzi,6.6,False,,a,1,3,0.0,3,91428,91428,24722,24722,0.7,0.7,Guendouzi,0,2.4,0.5333333333333333,1.131370849898476,1.0
106,0,0,0,,,0,41270,0,0,0,0,0.0,0,2,3.6,3.6,0,David,0.0,0,0,0.0,False,0.0,0,,,60,0,0,0,41270.jpg,0.0,0,0,Luiz Moreira Marinho,8.8,False,,a,1,3,0.0,0,14342,14342,58415,58415,0.0,0.0,David Luiz,0,4.6000000000000005,0.7666666666666667,1.87794213613377,0.0
427,0,0,0,,,0,98980,0,0,0,0,0.0,0,1,2.2,2.2,0,Emiliano,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,98980.jpg,0.0,0,0,Martínez,0.3,False,,a,1,3,0.0,0,764,764,1743,1743,0.0,0.0,Martínez,0,0.0,0.0,0.0,0.0
467,0,0,26,,,1,101184,0,0,0,0,0.2,0,2,2.1,2.1,6,Calum,6.0,0,0,1.3,False,13.0,90,,,45,0,0,0,101184.jpg,6.0,0,0,Chambers,1.1,False,,a,1,3,0.0,6,17034,17034,5119,5119,1.3,1.3,Chambers,0,3.96,0.88,1.8667619023324855,1.0
469,0,0,3,,,0,182539,0,0,0,0,2.9,0,3,2.3,2.3,1,Daniel,1.0,0,0,0.6,False,3.0,26,,,55,0,0,0,182539.jpg,1.0,0,0,Ceballos Fernández,3.7,False,,a,1,3,0.0,1,17588,17588,25457,25457,0.2,0.2,Ceballos,0,0.8300000000000001,0.1509090909090909,0.35391318915031333,0.28888888888888886
488,0,0,2,100.0,75.0,0,195735,0,0,0,0,1.6,0,3,3.6,2.7,1,Nicolas,1.0,0,0,0.2,False,0.2,19,,2019-08-09T09:30:12.533555Z,95,0,0,0,195735.jpg,1.0,0,0,Pépé,4.6,False,,a,1,3,0.0,1,15767,15767,45918,45918,0.1,0.1,Pépé,0,0.8300000000000001,0.08736842105263158,0.2692875590770658,0.2111111111111111
489,0,0,10,,,1,200641,0,0,0,0,28.8,0,3,2.3,2.3,2,Reiss,2.0,0,0,4.4,False,11.2,70,,,55,0,0,0,200641.jpg,2.0,0,0,Nelson,0.2,False,,a,1,3,4.0,2,2540,2540,1375,1375,0.4,0.4,Nelson,1,1.46,0.26545454545454544,0.6225460917583825,0.7777777777777778
490,0,0,6,,,1,200089,0,0,0,0,1.7,0,3,1.9,1.9,3,Joseph,3.0,0,0,1.0,False,2.0,63,,,50,0,0,0,200089.jpg,3.0,0,0,Willock,0.3,False,,a,1,3,6.0,3,5437,5437,1735,1735,0.6,0.6,Willock,0,2.61,0.522,1.1672274842548902,0.7
504,0,0,2,,,0,444145,0,0,0,0,0.0,0,4,1.5,1.5,1,Gabriel Teodoro,1.0,0,0,0.0,False,0.0,6,,,45,0,0,0,444145.jpg,1.0,0,0,Martinelli Silva,1.5,False,,a,1,3,0.0,1,33860,33860,11153,11153,0.2,0.2,Martinelli,0,0.8300000000000001,0.18444444444444447,0.39126575225655635,0.06666666666666667
515,0,0,0,0.0,0.0,0,192895,0,0,0,0,0.0,0,2,0.0,0.0,0,Kieran,0.0,0,0,0.0,False,0.0,0,Groin Injury - Expected back 06 Oct,2019-08-09T12:00:11.271398Z,55,0,0,0,192895.jpg,0.0,0,0,Tierney,0.7,False,,i,1,3,0.0,0,1730,1730,14574,14574,0.0,0.0,Tierney,0,0.0,0.0,0.0,0.0
22,0,0,10,,,0,37339,0,0,0,0,1.0,0,2,1.1,0.6,1,Ahmed,1.0,3,0,1.4,False,13.4,90,,,45,0,0,0,37339.jpg,1.0,0,0,El Mohamady,2.0,False,,a,2,7,0.0,1,5699,5699,10374,10374,0.2,0.2,El Mohamady,0,0.8300000000000001,0.18444444444444447,0.39126575225655635,1.0
23,0,0,0,0.0,0.0,0,43252,0,0,0,0,0.0,0,2,0.0,0.0,0,James,0.0,0,0,0.0,False,0.0,0,Hamstring injury - Expected back 16 Sep,2019-08-08T17:00:13.859858Z,45,0,0,0,43252.jpg,0.0,0,0,Chester,0.1,False,,i,2,7,0.0,0,36,36,1807,1807,0.0,0.0,Chester,0,0.0,0.0,0.0,0.0
24,0,0,13,,,0,47390,0,0,0,0,1.0,0,2,1.1,0.6,1,Neil,1.0,3,0,2.5,False,24.2,90,,,45,0,0,0,47390.jpg,1.0,0,0,Taylor,0.2,False,,a,2,7,0.0,1,1094,1094,1288,1288,0.2,0.2,Taylor,0,0.8300000000000001,0.18444444444444447,0.39126575225655635,1.0
25,0,0,0,0.0,,0,123354,0,0,0,0,0.0,0,2,1.1,0.6,0,Kortney,0.0,0,0,0.0,False,0.0,0,Ankle injury - Unknown return date,2019-08-15T13:00:13.496241Z,45,0,0,0,123354.jpg,0.0,0,0,Hause,0.1,False,,i,2,7,0.0,0,60,60,599,599,0.0,0.0,Hause,0,0.0,0.0,0.0,0.0
26,0,0,4,0.0,,0,54764,0,0,0,0,0.0,0,4,1.1,0.6,1,Jonathan,1.0,2,0,0.2,False,0.0,16,Ankle injury - Expected back 31 Aug,2019-08-15T13:00:13.507539Z,55,0,0,0,54764.jpg,1.0,0,0,Kodjia,0.4,False,,i,2,7,2.0,1,1640,1640,5156,5156,0.2,0.2,Kodjia,0,0.8300000000000001,0.1509090909090909,0.35391318915031333,0.17777777777777778
27,0,0,0,100.0,100.0,0,98770,0,0,0,0,0.0,0,1,1.2,0.7,0,Ørjan,0.0,0,0,0.0,False,0.0,0,,2019-07-30T15:00:08.973693Z,45,0,0,0,98770.jpg,0.0,0,0,Nyland,0.2,False,,a,2,7,0.0,0,332,332,1344,1344,0.0,0.0,Nyland,0,0.0,0.0,0.0,0.0
28,0,0,12,,,0,85242,0,0,0,0,10.8,0,3,1.6,1.1,2,Conor,2.0,1,0,2.7,False,16.4,81,,,60,0,0,0,85242.jpg,2.0,0,0,Hourihane,0.3,False,,a,2,7,0.0,2,918,918,1709,1709,0.3,0.3,Hourihane,0,1.46,0.24333333333333332,0.5960425040772399,0.9
