id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,ppg_estimate,form 5,ppg next 1,ppg next 5,ppg next 10,value,adjusted value,valuePoints metric,valueAdjustedPoints metric
1,0,0,0,,,0,69140,0,0,-3,3,0.0,0,2,1.0,0.5,0,Shkodran,0.0,0,0,0.0,False,0.0,0,,,52,0,0,0,69140.jpg,0.0,0,0,Mustafi,0.4,False,,a,Arsenal,3,0.0,0,6853,112,29609,266,0.0,0.0,Mustafi,0,,,,2.6,2.6,2.6,2.6,2.6000000000000005,0.5,,1.140175425099138,
2,0,0,7,100.0,100.0,0,98745,0,0,-1,1,14.9,0,2,1.0,0.5,0,Héctor,0.0,2,0,2.9,False,8.6,90,,2019-06-25T11:30:06.897107Z,54,0,0,0,98745.jpg,0.0,0,0,Bellerín,0.4,False,,a,Arsenal,3,5.0,0,27143,1559,18492,841,0.0,0.0,Bellerín,1,,,,0.0,0.0,3.2,2.56,2.24,0.0,,0.0,
3,1,1,133,100.0,100.0,1,111457,0,0,-1,1,111.5,0,2,2.0,1.5,1,Sead,1.0,10,0,27.8,False,122.8,667,,2019-10-30T23:30:12.346391Z,54,0,0,0,111457.jpg,1.9,0,0,Kolasinac,0.8,False,,a,Arsenal,3,45.0,19,42769,379,93975,1038,0.2,3.5,Kolasinac,2,10.0,27.665002291928296,2.7665002291928302,1.97,2.16,2.43,2.1160000000000005,1.959,0.36481481481481476,0.5123148572579315,0.8477530213365123,1.1905121461047592
4,2,3,92,100.0,100.0,1,154043,-1,1,-3,3,108.2,1,2,1.0,0.5,0,Ainsley,0.0,10,0,27.1,False,136.4,490,,2019-09-22T18:00:10.824841Z,47,0,0,0,154043.jpg,2.8,1,0,Maitland-Niles,3.3,False,,a,Arsenal,3,31.0,17,543205,223,513509,6793,0.0,3.6,Maitland-Niles,0,6.071428571428572,18.78953856353956,3.0947475281123977,3.19,3.19,2.01,2.6660000000000004,2.9939999999999998,0.6787234042553191,0.6584569208749782,1.4714372768060717,1.427500587826968
5,0,2,177,,,2,39476,0,0,0,0,25.5,0,2,3.5,3.0,0,Sokratis,2.5,15,1,32.0,False,259.6,990,,,50,0,0,0,39476.jpg,2.8,0,0,Papastathopoulos,1.9,False,,a,Arsenal,3,35.0,31,99575,1075,103630,3386,0.5,6.2,Sokratis,2,11.071428571428573,28.24754991358534,2.5513916050980296,2.81,3.66,2.2,2.662,2.8930000000000002,0.562,0.5102783210196059,1.256670203354882,1.1410170132442987
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.3,False,,u,Arsenal,3,12.0,10,27974,7,86449,152,0.0,2.0,Monreal,0,3.0303030303030303,10.25006253744271,3.3825206373560945,3.37,3.37,2.59,3.264,3.6010000000000004,0.674,0.6765041274712189,1.5071098168348582,1.5127092160848283
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,Arsenal,3,0.0,0,404,9,12194,31,0.0,0.0,Koscielny,0,,,,3.6,3.6,3.6,3.6,3.6000000000000005,0.72,,1.6099689437998486,
8,0,0,0,100.0,100.0,0,233963,0,0,-1,1,0.0,0,2,1.0,0.5,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,a,Arsenal,3,0.0,0,534,14,3752,34,0.0,0.0,Mavropanos,0,,,,2.0,2.0,2.0,2.0,2.0,0.45454545454545453,,0.9534625892455924,
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,Arsenal,3,0.0,0,249,6,2327,10,0.0,0.0,Jenkinson,0,,,,2.0,2.0,2.0,2.0,2.0,0.4444444444444444,,0.9428090415820634,
10,0,0,9,100.0,100.0,0,156074,0,0,0,0,0.4,0,2,1.2,0.7,1,Rob,0.2,2,0,1.1,False,8.4,76,,2019-06-25T11:30:06.913215Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,,a,Arsenal,3,2.0,1,9269,244,8552,220,0.0,0.2,Holding,0,1.0,1.9075206373560945,1.9075206373560945,1.35,1.35,2.4,2.1900000000000004,2.085,0.30000000000000004,0.423893474968021,0.6363961030678928,0.8992138519518531
