id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 4,value,valuePoints metric
1,1,0,24,100.0,100.0,0,69140,0,0,-3,3,0.8,0,2,1.5,1.5,0,Shkodran,1.0,2,0,7.5,False,19.8,90,,2019-11-28T23:00:21.541666Z,52,0,0,0,69140.jpg,4.0,0,0,Mustafi,0.3,False,,a,1,3,54.0,4,7582,134,31326,303,0.2,0.8,Mustafi,0,1.0,4.239020071374839,4.239020071374839,,0.8151961675720845,1.858933273801379
2,0,0,26,100.0,75.0,0,98745,0,0,-1,1,22.7,0,2,0.5,0.5,0,HÃ©ctor,0.2,6,0,6.9,False,30.8,262,,2019-11-27T11:30:17.257265Z,54,0,0,0,98745.jpg,0.3,0,0,BellerÃ­n,0.3,False,,a,1,3,15.0,1,33823,587,29047,1690,0.0,0.2,BellerÃ­n,2,3.333333333333333,3.9740669045827937,1.192220071374838,,0.22078149469904407,0.5130498312721073
3,1,1,165,100.0,100.0,1,111457,-1,1,-3,3,133.2,0,2,1.5,1.5,2,Sead,1.0,13,0,32.8,False,145.0,828,,2019-11-21T14:30:19.207005Z,52,0,0,0,111457.jpg,1.8,0,0,Kolasinac,0.6,False,,a,1,3,51.0,22,45060,487,105349,1389,0.2,4.2,Kolasinac,2,12.222222222222221,31.441711983470245,2.5725037077384747,2.248220156298078,0.4947122514881682,1.1281175032845476
4,2,3,92,100.0,100.0,1,154043,-1,1,-4,4,108.2,1,2,0.5,0.5,0,Ainsley,0.0,10,0,27.1,False,136.4,490,,2019-09-22T18:00:10.824841Z,46,0,0,0,154043.jpg,2.8,1,0,Maitland-Niles,2.7,False,,a,1,3,31.0,17,544609,167,555940,7011,0.0,3.7,Maitland-Niles,0,6.071428571428572,18.24422186191866,3.004930659610132,,0.6532457955674201,1.401056144257593
5,0,2,205,,,2,39476,-1,1,-1,1,30.1,0,2,0.5,0.5,0,Sokratis,0.0,19,1,40.9,False,307.4,1170,,,49,0,0,0,39476.jpg,2.4,0,0,Papastathopoulos,1.6,False,,a,1,3,71.0,31,106177,371,131180,5727,0.0,6.3,Sokratis,4,12.916666666666668,29.762009255258327,2.3041555552458064,0.5907128247625089,0.47023582760118493,1.0409113768438116
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.3,False,,u,1,3,12.0,10,28009,4,87384,152,0.0,2.0,Monreal,0,3.0303030303030303,9.930969913257083,3.2772200713748383,,0.6554440142749677,1.4656173713641703
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,457,15,12365,39,0.0,0.0,Koscielny,0,,,,,,
8,0,0,0,100.0,100.0,0,233963,0,0,-1,1,0.0,0,2,0.5,0.5,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,a,1,3,0.0,0,676,16,4013,50,0.0,0.0,Mavropanos,0,,,,,,
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,285,8,2397,10,0.0,0.0,Jenkinson,0,,,,,,
10,0,0,9,100.0,100.0,0,156074,0,0,0,0,0.4,0,2,0.7,0.7,0,Rob,0.2,2,0,1.1,False,8.4,76,,2019-11-22T10:00:21.031396Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,,a,1,3,2.0,1,10179,113,10716,408,0.0,0.2,Holding,0,1.0,1.8022200713748384,1.8022200713748384,,0.40049334919440854,0.8495746891064346
11,2,15,342,,,2,54694,0,0,-1,1,232.3,2,4,6.0,6.0,2,Pierre-Emerick,5.5,23,10,124.0,False,433.4,1350,,,109,0,0,0,54694.jpg,5.9,0,0,Aubameyang,22.3,False,,a,1,3,575.0,89,1428389,19759,1717745,125887,0.5,8.2,Aubameyang,2,15.084745762711865,76.6736,5.082856629213484,5.831956137581764,0.4663171219461911,1.5395528813912012
12,2,6,160,100.0,100.0,0,59966,0,0,-2,2,156.2,1,4,6.3,6.3,7,Alexandre,5.8,12,5,80.6,False,237.8,661,,2019-09-01T18:30:14.246208Z,93,0,0,0,59966.jpg,4.7,0,0,Lacazette,2.4,False,,a,1,3,411.0,47,183835,4959,274488,16587,0.6,5.1,Lacazette,2,10.0,37.9736,3.79736,4.68419425792215,0.4083182795698924,1.2452033978862758
13,0,0,0,0.0,0.0,0,205533,0,0,-2,2,0.0,0,4,0.0,0.0,0,Edward,0.0,0,0,0.0,False,0.0,0,Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T15:30:15.638344Z,43,0,0,0,205533.jpg,0.0,0,0,Nketiah,0.7,False,,n,1,3,0.0,0,45017,683,106863,1919,0.0,0.0,Nketiah,0,,,,,,
14,0,3,301,,,2,80201,0,0,0,0,0.0,0,1,4.7,4.7,3,Bernd,4.2,23,0,47.3,False,474.2,1350,,,50,0,0,1,80201.jpg,3.4,0,66,Leno,5.8,False,,a,1,3,0.0,51,342651,3314,346556,13093,0.8,10.2,Leno,2,15.0,55.03330107062257,3.668886738041504,4.565009905393615,0.7337773476083008,1.6407760296016534
15,2,1,100,100.0,100.0,0,37605,0,0,-3,3,259.5,0,3,4.3,4.3,5,Mesut,3.8,10,0,43.2,False,84.6,518,,2019-08-09T17:00:13.419733Z,72,0,0,0,37605.jpg,3.2,0,0,Ãzil,0.9,False,,a,1,3,88.0,19,46339,3934,103053,3177,0.5,2.6,Ãzil,0,5.9375,20.66439541844702,3.4803192283700253,4.288635570583065,0.4833776706069479,1.2970383963391652
16,0,0,3,0.0,0.0,1,57249,0,0,-2,2,33.9,0,3,0.0,0.0,0,Henrikh,0.0,0,0,8.6,False,5.4,110,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,68,0,0,0,57249.jpg,1.3,0,0,Mkhitaryan,0.8,False,,n,1,3,46.0,4,22690,15,113766,262,0.0,0.6,Mkhitaryan,1,3.0769230769230766,5.717092362596028,1.8580550178437096,,0.2732433849770161,0.7125315730191507
18,1,0,135,100.0,100.0,2,84450,0,0,-3,3,131.2,0,3,1.5,1.5,2,Granit,1.0,17,0,35.9,False,181.2,919,,2019-09-08T21:00:18.761460Z,52,0,0,0,84450.jpg,2.1,0,0,Xhaka,0.7,False,,a,1,3,46.0,23,31461,252,95143,790,0.2,4.4,Xhaka,4,10.952380952380953,22.83335495733587,2.0847845830611007,2.342511327253317,0.40092011212713474,0.9142385185506998
19,0,0,90,100.0,100.0,1,198849,0,0,-3,3,87.5,0,3,2.0,2.0,2,Lucas,1.5,10,1,34.5,False,111.4,543,,2019-09-08T21:00:18.773636Z,47,0,0,0,198849.jpg,1.8,0,0,Torreira,1.2,False,,a,1,3,145.0,22,59770,734,127363,2199,0.3,4.7,Torreira,1,12.222222222222221,25.351227995867557,2.074191381480073,1.9020885441714082,0.4413173152085262,0.956753140419957
20,0,0,0,0.0,0.0,0,153256,0,0,-2,2,0.0,0,3,0.0,0.0,0,Mohamed,0.0,0,0,0.0,False,0.0,0,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,43,0,0,0,153256.jpg,0.0,0,0,Elneny,0.9,False,,n,1,3,0.0,0,114277,3095,86477,3439,0.0,0.0,Elneny,0,,,,,,
21,2,2,207,,,2,242166,0,0,1,-1,213.6,0,3,1.7,1.7,0,Matteo,1.2,20,0,60.8,False,267.4,1218,,,46,0,0,0,242166.jpg,2.4,0,0,Guendouzi,8.3,False,,a,1,3,126.0,34,804089,3615,638207,37336,0.3,7.4,Guendouzi,4,14.166666666666668,37.314796086119216,2.6339856060790034,2.2418118379175933,0.5726055665389138,1.2281021212522238
106,0,3,217,100.0,100.0,1,41270,0,0,-2,2,55.5,1,2,1.3,1.3,0,David,0.8,23,2,53.2,False,352.6,1260,,2019-11-28T23:00:21.861570Z,58,0,0,0,41270.jpg,2.5,0,0,Luiz Moreira Marinho,5.3,False,,a,1,3,123.0,35,147946,1695,427866,11353,0.1,6.0,David Luiz,3,14.0,37.431080999247726,2.6736486428034096,1.3801181756498668,0.46097390393162235,1.1101721725095488
427,0,0,0,,,0,98980,0,0,-1,1,0.0,0,1,0.5,0.5,0,Emiliano,0.0,0,0,0.0,False,0.0,0,,,44,0,0,0,98980.jpg,0.0,0,0,MartÃ­nez,0.3,False,,a,1,3,0.0,0,4276,77,11233,213,0.0,0.0,MartÃ­nez,0,,,,,,
467,0,2,127,,,2,101184,0,0,-1,1,92.2,0,2,1.0,1.0,0,Calum,0.5,11,1,45.9,False,175.4,810,,,44,0,0,0,101184.jpg,2.7,0,0,Chambers,1.4,False,,a,1,3,193.0,27,133543,799,106187,9212,0.1,6.1,Chambers,4,10.0,27.622200713748388,2.7622200713748386,1.7448897061716109,0.6277772889488269,1.316836750659599
469,2,3,130,0.0,0.0,1,182539,0,0,-2,2,183.0,1,3,0.0,0.0,0,Daniel,0.0,10,0,42.9,False,150.0,659,Hamstring injury - Expected back 21 Dec,2019-11-06T17:30:16.584319Z,53,0,0,0,182539.jpg,2.5,0,0,Ceballos FernÃ¡ndez,3.7,False,,i,1,3,96.0,27,995021,25,1087231,11284,0.0,5.1,Ceballos,0,10.8,27.53959419271207,2.549962425251117,,0.48112498589643715,1.1076328976178833
