id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,value,valuePoints metric,team_name
1,1,0,24,100.0,100.0,0,69140,0,0,-3,3,0.8,0,2,1.3,0.3,0,Shkodran,0.8,2,0,7.5,False,19.8,90,,2019-11-28T23:00:21.541666Z,52,0,0,0,69140.jpg,4.0,0,0,Mustafi,0.3,False,,a,1,3,54.0,4,7831,116,32097,285,0.2,0.8,Mustafi,0,1.0,4.2818810936368505,4.2818810936368505,,0.8234386718532405,1.8777290754466762,Arsenal
2,0,0,26,0.0,75.0,0,98745,0,0,-1,1,22.7,0,2,0.0,-0.2,0,HÃÂ©ctor,0.2,6,0,6.9,False,30.8,262,Hamstring injury - Expected back 21 Dec,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,0.3,0,0,BellerÃÂ­n,0.3,False,,i,1,3,15.0,1,34609,34,33648,1577,0.0,0.2,BellerÃÂ­n,2,3.333333333333333,4.088660249229753,1.2265980747689262,,0.22714779162387522,0.5278437684522368,Arsenal
3,2,1,196,75.0,100.0,1,111457,0,0,-3,3,149.6,0,2,1.6,1.1,0,Sead,1.6,17,0,37.8,False,174.4,928,Ankle injury - 75% chance of playing,2019-12-15T19:30:19.136195Z,52,0,0,0,111457.jpg,1.9,0,0,Kolasinac,0.6,False,,d,1,3,55.0,27,46926,335,109248,1839,0.3,5.2,Kolasinac,2,14.210526315789476,37.07906499497849,2.609267536683672,2.5065102121951024,0.5017822185930139,1.1442395087829562,Arsenal
4,2,3,124,100.0,100.0,1,154043,0,0,-4,4,127.9,1,2,1.1,0.1,1,Ainsley,0.6,14,0,32.9,False,173.0,670,,2019-09-22T18:00:10.824841Z,46,0,0,0,154043.jpg,2.5,1,0,Maitland-Niles,2.6,False,,a,1,3,33.0,20,546474,920,567069,2824,0.1,4.3,Maitland-Niles,0,8.0,23.38335063588725,2.9229188294859068,2.502208146682197,0.6354171368447624,1.362817931295879,Arsenal
5,0,2,224,0.0,,2,39476,0,0,-1,1,30.7,0,2,0.0,-0.1,0,Sokratis,0.4,23,1,44.3,False,340.2,1350,Suspended until 26 Dec,2019-12-15T19:30:19.149412Z,49,0,0,0,39476.jpg,2.2,0,0,Papastathopoulos,1.4,False,,s,1,3,71.0,33,107358,290,144034,6092,0.1,6.7,Sokratis,5,14.999999999999998,33.94897112153389,2.2632647414355933,1.5157787581731432,0.4618907635582843,1.0224387901269343,Arsenal
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.3,False,,u,1,3,12.0,10,28034,7,87853,131,0.0,2.0,Monreal,0,3.0303030303030303,10.035145681117957,3.311598074768926,,0.6623196149537852,1.4809916818681501,Arsenal
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,480,8,12437,25,0.0,0.0,Koscielny,0,,,,,,,Arsenal
8,0,0,0,100.0,100.0,0,233963,0,0,-1,1,0.0,0,2,0.5,-0.5,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,a,1,3,0.0,0,771,34,4163,60,0.0,0.0,Mavropanos,0,,,,,,,Arsenal
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,329,6,2448,13,0.0,0.0,Jenkinson,0,,,,,,,Arsenal
10,0,0,9,0.0,0.0,0,156074,0,0,0,0,0.4,0,2,0.0,0.0,0,Rob,0.0,2,0,1.1,False,8.4,76,Knee injury - Expected back 29 Dec,2019-12-09T10:00:19.335279Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,,i,1,3,2.0,1,10326,10,12099,442,0.0,0.2,Holding,0,1.0,1.836598074768926,1.836598074768926,,0.4081329055042058,0.8657806353221769,Arsenal
