id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,value,valuePoints metric,team_name,form 10
1,1,0,35,100.0,100.0,0,69140,0,0,-3,3,1.2,0,2,0.8,0.3,0,Shkodran,0.3,4,0,8.8,False,32.2,170,,2019-11-28T23:00:21.541666Z,52,0,0,0,69140.jpg,2.0,0,0,Mustafi,0.3,False,,a,1,3,54.0,6,8456,168,33202,250,0.1,1.2,Mustafi,0,3.0,8.398920007022426,2.799640002340809,3.8634661856254873,0.5383923081424633,1.2277233576128783,Arsenal,
2,0,0,26,75.0,75.0,0,98745,0,0,-1,1,22.7,0,2,0.4,0.0,0,H�?�?�?©ctor,0.0,6,0,6.9,False,30.8,262,Hamstring injury - 75% chance of playing,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,0.3,0,0,Beller�?�?�?­n,0.2,False,,d,1,3,15.0,1,35004,72,36987,458,0.0,0.2,Beller�?�?�?­n,2,3.333333333333333,4.49534715255701,1.3486041457671032,,0.24974150847538945,0.5803468219091411,Arsenal,
3,2,1,211,100.0,0.0,2,111457,0,0,-3,3,152.7,0,2,2.2,0.0,5,Sead,1.7,17,0,38.9,False,176.2,996,,2019-12-15T19:30:19.136195Z,52,0,0,0,111457.jpg,2.1,0,0,Kolasinac,0.5,False,,a,1,3,61.0,32,49542,2554,116962,621,0.3,6.2,Kolasinac,3,15.238095238095234,41.25351640827429,2.707262014293,1.9035343082869685,0.5206273104409616,1.1872129300004883,Arsenal,2.4155779070373016
4,2,3,198,100.0,100.0,3,154043,0,0,-4,4,150.3,1,2,2.8,2.3,6,Ainsley,2.3,17,0,41.4,False,232.0,1030,,2019-09-22T18:00:10.824841Z,46,0,0,0,154043.jpg,2.8,1,0,Maitland-Niles,2.6,False,,a,1,3,37.0,33,565680,10054,581983,2739,0.5,7.2,Maitland-Niles,2,11.785714285714285,33.444049714554524,2.8376769454773534,2.692699612346848,0.6168862924950769,1.3230736979451594,Arsenal,2.748028234375293
5,0,5,277,100.0,0.0,3,39476,0,0,-1,1,31.6,1,2,3.2,0.0,15,Sokratis,2.7,24,2,55.2,False,415.4,1516,,2019-12-26T17:00:15.332949Z,49,0,0,0,39476.jpg,2.9,0,0,Papastathopoulos,1.4,False,,a,1,3,104.0,50,120936,12777,158984,1992,0.6,10.2,Sokratis,5,17.24137931034483,48.52765768563972,2.814604145767103,5.638496540368974,0.5744090093402251,1.2715085446252306,Arsenal,3.867671109985583
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.3,False,,u,1,3,12.0,10,28081,10,88322,92,0.0,2.0,Monreal,0,3.0303030303030303,10.4048610477791,3.4336041457671027,,0.6867208291534206,1.5355544555520677,Arsenal,
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,538,21,12566,43,0.0,0.0,Koscielny,0,,,,,,,Arsenal,
8,0,0,0,100.0,100.0,0,233963,0,0,-1,1,0.0,0,2,0.5,0.0,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,a,1,3,0.0,0,1003,65,4386,57,0.0,0.0,Mavropanos,0,,,,,,,Arsenal,
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,371,9,2506,14,0.0,0.0,Jenkinson,0,,,,,,,Arsenal,
10,0,0,9,100.0,75.0,0,156074,0,0,0,0,0.4,0,2,0.5,0.0,0,Rob,0.0,2,0,1.1,False,8.4,76,,2019-12-09T10:00:19.335279Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,,a,1,3,2.0,1,10574,178,13127,147,0.0,0.2,Holding,0,1.0,1.958604145767103,1.958604145767103,,0.4352453657260229,0.9232948487546692,Arsenal,
