id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,form 10,value,valuePoints metric,team_name
1,2,1,144,75.0,75.0,2,69140,0,0,-4,4,15.4,0,2,3.6,0.0,0,Shkodran,4.3,9,0,29.8,False,174.2,620,Muscle injury - 75% chance of playing,2020-02-27T23:00:18.104137Z,51,0,0,0,69140.jpg,3.2,0,0,Mustafi,0.4,False,,d,1,3,107.0,26,14670,104,37211,476,0.8,5.1,Mustafi,0,8.125,25.27851060313526,3.1112013050012632,3.1558101546426194,3.3257025627766734,0.6100394715688752,1.3776630938104444,Arsenal
2,0,3,113,100.0,100.0,2,98745,0,0,-1,1,37.7,0,2,5.5,0.0,0,Héctor,5.0,10,1,19.4,False,116.6,622,,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,3.4,0,0,Bellerín,1.0,False,,a,1,3,38.0,24,114588,3703,62221,1983,0.9,4.4,Bellerín,2,7.0588235294117645,18.18477143407145,2.5761759531601216,3.1791725311716417,3.303991214563924,0.47706962095557803,1.1086096181654632,Arsenal
3,2,1,222,0.0,0.0,2,111457,0,0,-3,3,157.3,0,2,0.0,0.0,0,Sead,0.3,19,0,41.2,False,190.0,1103,Shoulder injury - Expected back 04 Apr,2020-02-23T18:30:13.672943Z,52,0,0,0,111457.jpg,2.1,0,0,Kolasinac,0.5,False,,i,1,3,67.0,35,55454,7,127211,233,0.1,6.7,Kolasinac,3,16.666666666666664,45.36754825860019,2.722052895516012,1.1004466039220229,1.9704711936072092,0.5234717106761562,1.1936991604951186,Arsenal
4,2,3,216,100.0,100.0,3,154043,0,0,-5,5,155.4,1,2,0.5,0.0,0,Ainsley,0.0,19,0,44.9,False,261.8,1210,,2019-09-22T18:00:10.824841Z,45,0,0,0,154043.jpg,2.6,1,0,Maitland-Niles,2.3,False,,a,1,3,37.0,36,590176,159,626039,1097,0.0,8.0,Maitland-Niles,3,13.846153846153845,38.1964964249007,2.7586358529094954,,2.7770697105725013,0.6130301895354434,1.3004334122777597,Arsenal
5,0,5,286,100.0,100.0,3,39476,0,0,-2,2,31.8,1,2,0.5,0.0,0,Sokratis,0.0,25,2,57.1,False,431.6,1606,,2020-02-21T01:30:19.929771Z,48,0,0,0,39476.jpg,2.9,0,0,Papastathopoulos,1.3,False,,a,1,3,106.0,52,144583,402,191787,536,0.0,10.8,Sokratis,5,17.931034482758626,50.98085617160678,2.8431631326473017,,5.442479739842165,0.5923256526348546,1.2977204853483166,Arsenal
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.2,False,,u,1,3,12.0,10,28164,10,88948,28,0.0,2.0,Monreal,0,3.0303030303030303,10.369725110586225,3.422009286493456,,,0.6844018572986912,1.5303690768469842,Arsenal
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,634,8,12717,6,0.0,0.0,Koscielny,0,,,,,,,,Arsenal
8,0,0,0,0.0,0.0,0,233963,0,0,-1,1,0.0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Jul,2020-01-13T14:30:21.309535Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,n,1,3,0.0,0,1102,3,4880,6,0.0,0.0,Mavropanos,0,,,,,,,,Arsenal
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,436,3,2609,6,0.0,0.0,Jenkinson,0,,,,,,,,Arsenal
10,0,0,13,100.0,100.0,0,156074,0,0,0,0,0.4,0,2,0.5,0.0,0,Rob,0.0,3,0,1.6,False,13.4,85,,2019-12-09T10:00:19.335279Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,,a,1,3,2.0,2,12040,26,14818,68,0.0,0.4,Holding,0,2.0,3.8940185729869103,1.9470092864934552,1.9063506169289788,1.9063506169289788,0.4326687303318789,0.9178289796751358,Arsenal
11,3,29,589,100.0,100.0,6,54694,1,-1,0,0,347.3,3,4,8.2,0.0,0,Pierre-Emerick,7.7,33,17,205.3,True,734.4,2213,,2020-01-08T14:00:18.333339Z,110,0,0,0,54694.jpg,6.0,1,0,Aubameyang,21.6,False,,a,1,3,973.0,150,2592366,207954,2907677,4189,0.7,13.6,Aubameyang,3,25.0,124.7960902255639,4.991843609022556,5.699731035577751,4.9130204003971105,0.45380396445659604,1.505097478478307,Arsenal
12,4,7,245,100.0,100.0,3,59966,0,0,-2,2,275.2,1,4,4.2,0.0,0,Alexandre,3.7,18,6,127.0,False,346.0,1280,,2019-09-01T18:30:14.246208Z,93,0,0,0,59966.jpg,3.7,0,0,Lacazette,2.0,False,,a,1,3,647.0,71,321059,4240,443705,3040,0.4,7.6,Lacazette,5,19.18918918918919,64.06812030075189,3.3387611987715773,3.72083753851768,3.4667633560073514,0.3590065805130728,1.094822926833701,Arsenal
13,0,1,29,100.0,100.0,1,205533,0,0,-2,2,17.0,0,4,3.8,0.0,0,Edward,3.3,3,1,12.8,False,32.6,191,,2019-08-08T15:30:15.638344Z,43,0,0,0,205533.jpg,2.8,0,0,Nketiah,0.9,False,,a,1,3,78.0,11,87704,6880,132124,1488,0.8,2.6,Nketiah,0,3.928571428571429,11.7,2.978181818181818,3.9555555555555566,,0.692600422832981,1.436206804936609,Arsenal
