id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,form 10,value,valuePoints metric,team_name
1,2,1,194,100.0,100.0,3,69140,0,0,-4,4,43.2,336,114,0,2,2.0,3.0,1,Shkodran,2.0,14,0,38.7,320,114,False,217.8,269,106,935,,2020-07-01T22:00:25.971699Z,51,0,0,0,69140.jpg,2.8,0,0,Mustafi,0.4,False,,a,1,3,124.0,238,61,34,21224,260,42887,764,0.4,6.7,Mustafi,1,12.142857142857144,33.07520438826295,2.72384036138636,2.17137060979804,2.5195608685187656,0.5340863453698745,1.2061367849393365,Arsenal
2,0,4,180,100.0,100.0,4,98745,0,0,-1,1,49.3,324,107,0,2,3.8,4.8,7,Héctor,3.8,15,1,28.2,346,124,False,164.4,309,121,969,,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,3.3,0,0,Bellerín,1.2,False,,a,1,3,66.0,306,101,40,193771,1569,132950,5438,0.7,7.4,Bellerín,2,12.12121212121212,31.544409377209448,2.60241377361978,3.2762035074954987,3.1154151677076425,0.48192847659625554,1.1199005783522453,Arsenal
3,2,1,268,100.0,100.0,3,111457,0,0,-3,3,163.2,202,52,0,2,2.0,3.0,6,Sead,2.0,21,0,44.3,295,101,False,215.2,271,108,1303,,2020-02-23T18:30:13.672943Z,52,0,0,0,111457.jpg,2.1,0,0,Kolasinac,0.5,False,,a,1,3,67.0,304,99,43,61140,249,131857,369,0.4,8.3,Kolasinac,3,20.47619047619048,52.943235835094434,2.5855998896208914,2.8076321265387207,2.4513691670205,0.49723074800401756,1.133860558955686,Arsenal
4,2,3,222,100.0,100.0,3,154043,0,0,-5,5,158.3,212,54,1,2,0.5,1.5,0,Ainsley,0.5,20,0,45.9,289,98,False,269.4,239,95,1243,,2019-09-22T18:00:10.824841Z,45,0,0,0,154043.jpg,2.4,1,0,Maitland-Niles,2.2,False,,a,1,3,37.0,347,124,38,607272,523,646437,1621,0.1,8.4,Maitland-Niles,3,15.833333333333336,42.05961831471689,2.656396946192646,1.7975687261366553,1.8258448148803648,0.5903104324872547,1.2522375294507042,Arsenal
5,0,5,305,100.0,100.0,4,39476,0,0,-2,2,36.8,345,117,1,2,0.0,1.0,0,Sokratis,0.0,25,2,58.5,235,70,False,436.2,129,49,1696,,2020-06-18T18:00:15.974146Z,48,0,0,0,39476.jpg,3.0,0,0,Papastathopoulos,1.4,False,,a,1,3,110.0,252,70,57,180476,262,224001,1965,0.0,11.9,Sokratis,6,19.0,54.139111698775814,2.8494269315145164,3.519601265381432,3.5196012653814317,0.5936306107321909,1.3005795052943572,Arsenal
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,338,115,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,405,146,False,47.2,405,151,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.2,False,,u,1,3,12.0,400,147,10,28222,5,89186,17,0.0,2.0,Monreal,0,3.0303030303030303,10.361102344302363,3.4191637736197795,,,0.6838327547239559,1.5290965248037058,Arsenal
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,625,216,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,631,216,False,0.0,628,216,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,620,215,0,717,7,12839,11,0.0,0.0,Koscielny,0,,,,,,,,Arsenal
8,0,0,0,0.0,0.0,0,233963,0,0,-2,2,0.0,564,212,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,577,212,False,0.0,573,212,0,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Aug,2020-01-13T14:30:21.309535Z,43,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,n,1,3,0.0,541,205,0,1150,6,5006,5,0.0,0.0,Mavropanos,0,,,,,,,,Arsenal
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,579,213,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,591,213,False,0.0,587,213,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,559,207,0,482,4,2671,5,0.0,0.0,Jenkinson,0,,,,,,,,Arsenal
10,0,2,60,100.0,100.0,1,156074,0,0,-1,1,2.4,439,161,0,2,2.5,3.5,1,Rob,2.5,5,0,7.7,419,152,False,68.2,386,148,310,,2019-12-09T10:00:19.335279Z,44,0,0,0,156074.jpg,2.4,0,0,Holding,0.2,False,,a,1,3,6.0,416,153,12,21322,1161,17377,883,0.6,2.7,Holding,0,5.0,12.7208188680989,2.5441637736197795,2.982613497373796,2.892831976304973,0.5782190394590407,1.212882489530176,Arsenal
11,4,32,681,100.0,100.0,9,54694,0,0,0,0,413.6,64,5,4,4,5.5,6.5,16,Pierre-Emerick,5.5,38,19,243.2,10,3,True,853.6,8,1,2654,,2020-01-08T14:00:18.333339Z,110,0,0,0,54694.jpg,5.8,1,0,Aubameyang,24.2,False,,a,1,3,1168.0,9,7,174,3616305,47245,3725354,84165,0.5,15.8,Aubameyang,3,30.0,149.6407171314741,4.9880239043824695,6.211832041377479,5.695548686504322,0.4534567185802245,1.5039457941963847,Arsenal
12,5,9,288,100.0,100.0,4,59966,-1,1,-3,3,298.1,113,16,1,4,2.0,3.0,2,Alexandre,2.0,20,7,145.0,54,19,False,395.8,151,19,1497,,2019-09-01T18:30:14.246208Z,92,0,0,0,59966.jpg,3.6,0,0,Lacazette,2.0,False,,a,1,3,754.0,33,19,86,401961,908,524135,7276,0.2,9.3,Lacazette,6,23.88888888888889,79.82589641434264,3.3415491522282963,3.2203094344128016,3.354358265837435,0.3632118643726409,1.1016761309357923,Arsenal
13,0,1,63,100.0,100.0,2,205533,0,0,-1,1,53.2,318,48,0,4,2.5,3.5,1,Edward,2.5,6,2,28.1,347,52,False,77.0,383,49,419,,2019-08-08T15:30:15.638344Z,44,0,0,0,205533.jpg,2.4,0,0,Nketiah,2.5,False,,a,1,3,150.0,217,53,22,298219,20607,227008,15449,0.6,5.0,Nketiah,0,9.166666666666668,26.4,2.8799999999999994,3.621428571428572,,0.6545454545454543,1.3729861285136526,Arsenal
