id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,ppg_estimate,ppg next 5,ppg next 10,value,valuePoints_metric,games_played
1,0,0,0,,,0,69140,-1,1,-2,2,0.0,0,2,0.5,0.0,0,Shkodran,0.0,0,0,0.0,False,0.0,0,,,53,0,0,0,69140.jpg,0.0,0,0,Mustafi,0.4,False,,a,1,3,0.0,0,4255,507,22089,2307,0.0,0.0,Mustafi,0,2.6,2.6,2.6000000000000005,0.4905660377358491,1.1293678311839803,0.0
2,0,0,0,0.0,0.0,0,98745,-1,1,-1,1,0.0,0,2,0.0,0.0,0,Héctor,0.0,0,0,0.0,False,0.0,0,Knee injury - Expected back 30 Sep,2019-06-25T11:30:06.897107Z,54,0,0,0,98745.jpg,0.0,0,0,Bellerín,0.1,False,,i,1,3,0.0,0,910,259,4671,583,0.0,0.0,Bellerín,0,3.2,3.2,3.1999999999999997,0.5925925925925926,1.3770607453181927,0.0
3,0,0,17,100.0,100.0,0,111457,0,0,-1,1,34.4,0,2,1.0,0.5,1,Sead,0.5,2,0,6.7,False,19.2,109,,2019-08-09T17:00:13.224645Z,54,0,0,0,111457.jpg,1.0,0,0,Kolasinac,0.8,False,,a,1,3,13.0,2,10909,7743,55598,4603,0.1,0.4,Kolasinac,0,1.35,2.056,2.392,0.25,0.5809475019311126,1.211111111111111
4,1,3,81,,,1,154043,0,0,1,-1,83.4,1,2,4.5,4.0,1,Ainsley,4.0,6,0,20.9,False,106.6,360,,,51,0,0,0,154043.jpg,4.0,0,0,Maitland-Niles,6.5,False,,a,1,3,19.0,16,404934,69253,166047,35618,0.8,3.1,Maitland-Niles,0,3.65,2.678,3.557000000000001,0.7156862745098039,1.6162471661106739,4.0
5,0,2,73,,,1,39476,0,0,0,0,12.3,0,2,3.3,2.8,0,Sokratis,2.8,6,0,10.0,False,85.6,360,,,50,0,0,0,39476.jpg,2.8,0,0,Papastathopoulos,2.0,False,,a,1,3,2.0,11,52672,13753,49920,11523,0.6,2.2,Sokratis,1,2.73,2.3259999999999996,3.105,0.546,1.2208931157148852,4.0
6,0,1,54,0.0,,1,38411,0,0,0,0,40.8,0,2,0.0,2.5,0,Nacho,2.5,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.7,False,,u,1,3,12.0,10,27789,82,61400,32662,0.5,2.0,Monreal,0,3.37,3.2640000000000002,3.6650000000000005,0.674,1.5071098168348582,3.0
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,208,56,10898,712,0.0,0.0,Koscielny,0,3.6,3.6,3.6000000000000005,0.72,1.6099689437998486,0.0
8,0,0,0,0.0,0.0,0,233963,0,0,-1,1,0.0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,Groin Injury - Expected back 30 Sep,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,i,1,3,0.0,0,162,35,2989,243,0.0,0.0,Mavropanos,0,2.0,2.0,2.0,0.45454545454545453,0.9534625892455924,0.0
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,118,32,1888,198,0.0,0.0,Jenkinson,0,2.0,2.0,2.0,0.4444444444444444,0.9428090415820634,0.0
10,0,0,0,100.0,0.0,0,156074,0,0,0,0,0.0,0,2,0.0,0.0,0,Rob,0.0,0,0,0.0,False,0.0,0,,2019-06-25T11:30:06.913215Z,45,0,0,0,156074.jpg,0.0,0,0,Holding,0.1,False,,a,1,3,0.0,0,865,429,2902,445,0.0,0.0,Holding,0,2.4,2.4,2.3999999999999995,0.5333333333333333,1.131370849898476,0.0
