,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Rk,Player,Nation,Pos,Squad,Age,Born,Apps,Starts,Min,Mn/Ap,Gls,Ast,PK,PKatt,SoT,Fls,CrdY,CrdR,xG,npxG,xA,Gls,G+A,G-PK,G+A-PK,SoT,xG,xG+xA,npxG,npxG+xA
1,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,12,12,1080,90,0,1,0,0,1,12,3,0,0.4,0.4,0.8,0.00,0.08,0.00,0.08,0.08,0.03,0.09,0.03,0.09
2,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,12,12,1080,90,0,2,0,0,0,13,1,0,0.2,0.2,1.2,0.00,0.17,0.00,0.17,0.00,0.02,0.11,0.02,0.11
3,Declan Rice\Declan-Rice,eng ENG,DF,West Ham,20,1999,12,12,1080,90,0,0,0,0,2,12,2,0,0.2,0.2,0.1,0.00,0.00,0.00,0.00,0.17,0.01,0.02,0.01,0.02
4,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,12,12,1080,90,1,1,0,0,1,12,2,0,0.6,0.6,0.0,0.08,0.17,0.08,0.17,0.08,0.05,0.05,0.05,0.05
5,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,12,12,1080,90,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,12,12,1080,90,1,2,0,0,2,9,5,0,0.3,0.3,0.6,0.08,0.25,0.08,0.25,0.17,0.03,0.07,0.03,0.07
7,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,12,12,1080,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Conor Coady\Conor-Coady,eng ENG,DFMF,Wolves,26,1993,12,12,1080,90,0,0,0,0,0,5,2,0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
9,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,12,12,1080,90,1,4,0,0,4,8,0,0,0.9,0.9,2.4,0.08,0.42,0.08,0.42,0.33,0.08,0.28,0.08,0.28
10,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,25,1994,12,12,1080,90,0,1,0,0,1,6,2,0,0.4,0.4,0.9,0.00,0.08,0.00,0.08,0.08,0.03,0.10,0.03,0.10
11,James Ward-Prowse\James-Ward-Prowse,eng ENG,MF,Southampton,24,1994,12,12,1080,90,2,0,1,1,8,12,1,0,2.6,1.8,1.2,0.17,0.17,0.08,0.08,0.67,0.22,0.31,0.15,0.25
12,George Baldock\George-Baldock,eng ENG,MFDF,Sheffield Utd,26,1993,12,12,1080,90,1,1,0,0,3,14,3,0,0.5,0.5,0.6,0.08,0.17,0.08,0.17,0.25,0.04,0.09,0.04,0.09
13,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,12,12,1080,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Steve Cook\Steve-Cook,eng ENG,MFDF,Bournemouth,28,1991,12,12,1080,90,0,0,0,0,0,8,2,0,0.5,0.5,0.1,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.04,0.05
15,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,12,12,1080,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,12,12,1080,90,11,2,1,1,16,10,1,0,5.2,4.4,0.9,0.92,1.08,0.83,1.00,1.33,0.43,0.51,0.37,0.44
17,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,12,12,1080,90,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.08,0.00,0.08,0.00,0.00,0.00,0.00,0.00
18,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,12,12,1080,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,12,12,1080,90,0,2,0,0,0,21,4,0,0.7,0.7,1.5,0.00,0.17,0.00,0.17,0.00,0.05,0.18,0.05,0.18
20,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,12,12,1080,90,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04
21,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,12,12,1080,90,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02
22,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,12,12,1080,90,2,0,1,1,3,1,0,0,1.3,0.5,0.4,0.17,0.17,0.08,0.08,0.25,0.11,0.14,0.05,0.08
23,Ricardo Pereira\Ricardo-Pereira,pt POR,DFMFFW,Leicester City,25,1993,12,12,1080,90,2,0,0,0,2,15,0,0,0.5,0.5,0.8,0.17,0.17,0.17,0.17,0.17,0.04,0.11,0.04,0.11
24,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,12,12,1080,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,12,12,1080,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
