,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-121,1990,10,9,829,0,1,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.7,0.7,0.7,0.08,0.07,0.15,0.08,0.15,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-087,1997,14,8,782,6,1,0,0,0,0,0.69,0.12,0.81,0.69,0.81,5.1,5.1,0.9,0.58,0.10,0.68,0.58,0.68,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-168,1996,15,15,1289,4,4,0,0,1,0,0.28,0.28,0.56,0.28,0.56,3.3,3.3,3.9,0.23,0.27,0.50,0.23,0.50,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-095,1997,11,11,990,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.04,0.01,0.06,0.04,0.06,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,33-360,1987,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-209,1988,4,2,138,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.6,0.44,0.37,0.80,0.44,0.80,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-081,1996,12,12,1080,1,0,0,0,0,0,0.08,0.00,0.08,0.08,0.08,0.3,0.3,0.3,0.03,0.03,0.05,0.03,0.05,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,MFDF,Wolves,19-205,2001,6,4,350,1,0,0,0,0,0,0.26,0.00,0.26,0.26,0.26,0.2,0.2,0.4,0.06,0.09,0.15,0.06,0.15,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-049,1993,14,14,1260,1,0,0,0,2,0,0.07,0.00,0.07,0.07,0.07,0.3,0.3,0.0,0.02,0.00,0.02,0.02,0.02,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25-314,1995,6,5,470,1,0,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.1,0.1,0.0,0.01,0.00,0.02,0.01,0.02,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,31-040,1989,10,6,613,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.1,0.07,0.17,0.24,0.07,0.24,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-261,1991,2,1,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.03,0.14,0.17,0.03,0.17,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31-301,1989,10,10,890,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.02,0.02,0.04,0.02,0.04,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-082,1998,13,12,1050,0,2,0,0,1,0,0.00,0.17,0.17,0.00,0.17,1.0,1.0,1.9,0.08,0.16,0.25,0.08,0.25,Matches
15,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,28-320,1992,13,10,820,1,0,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.8,0.8,1.3,0.09,0.15,0.23,0.09,0.23,Matches
