,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-139,1990,10,9,829,9.2,0,1,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.7,0.7,0.7,0.08,0.07,0.15,0.08,0.15,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-105,1997,14,8,782,8.7,6,1,0,0,0,0,0.69,0.12,0.81,0.69,0.81,5.1,5.1,0.9,0.58,0.10,0.68,0.58,0.68,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-186,1996,16,16,1346,15.0,4,4,0,0,1,0,0.27,0.27,0.53,0.27,0.53,3.5,3.5,3.9,0.24,0.26,0.50,0.24,0.50,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-113,1997,12,12,1080,12.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.04,0.01,0.06,0.04,0.06,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-012,1987,2,2,180,2.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-227,1988,5,2,143,1.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,0.40,0.35,0.76,0.40,0.76,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-099,1996,13,13,1170,13.0,1,0,0,0,0,0,0.08,0.00,0.08,0.08,0.08,0.3,0.3,0.3,0.03,0.03,0.05,0.03,0.05,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-223,2001,9,7,620,6.9,1,1,0,0,0,0,0.15,0.15,0.29,0.15,0.29,0.3,0.3,0.7,0.05,0.10,0.14,0.05,0.14,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-067,1993,16,16,1440,16.0,1,0,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.3,0.3,0.0,0.02,0.00,0.02,0.02,0.02,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25-332,1995,6,5,470,5.2,1,0,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.1,0.1,0.0,0.01,0.00,0.02,0.01,0.02,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,DFFW,Leicester City,31-058,1989,11,7,703,7.8,0,1,0,0,1,0,0.00,0.13,0.13,0.00,0.13,0.5,0.5,1.2,0.06,0.15,0.21,0.06,0.21,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-279,1991,4,2,243,2.7,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.06,0.10,0.17,0.06,0.17,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31-319,1989,11,11,980,10.9,1,0,0,0,0,0,0.09,0.00,0.09,0.09,0.09,0.3,0.3,0.2,0.03,0.02,0.05,0.03,0.05,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-100,1998,15,14,1216,13.5,0,2,0,0,1,0,0.00,0.15,0.15,0.00,0.15,1.0,1.0,2.1,0.08,0.15,0.23,0.08,0.23,Matches
15,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,28-338,1992,15,12,973,10.8,2,0,0,0,2,0,0.18,0.00,0.18,0.18,0.18,0.9,0.9,1.4,0.09,0.13,0.22,0.09,0.22,Matches
16,Alisson\Alisson,br BRA,GK,Liverpool,28-105,1992,14,14,1260,14.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
17,Allan\Allan,br BRA,MF,Everton,30-007,1991,12,12,1028,11.4,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.03,0.04,0.01,0.04,Matches
18,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,24-279,1996,4,1,77,0.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.22,0.00,0.22,0.22,0.22,Matches
19,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,26-340,1994,15,9,844,9.4,1,1,0,0,1,0,0.11,0.11,0.21,0.11,0.21,1.0,1.0,0.9,0.10,0.10,0.20,0.10,0.20,Matches
20,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-018,1990,3,3,225,2.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.03,0.02,0.05,0.03,0.05,Matches
21,Steven Alzate\Steven-Alzate,co COL,MF,Brighton,22-129,1998,8,5,522,5.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.04,0.06,0.10,0.04,0.10,Matches
22,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-025,1994,4,3,265,2.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02,Matches
23,Ethan Ampadu\Ethan-Ampadu,wal WAL,MFDF,Sheffield Utd,20-123,2000,12,11,971,10.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.01,0.07,0.08,0.01,0.08,Matches
24,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-229,1996,10,10,871,9.7,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.01,Matches
25,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-275,1993,2,0,3,0.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
26,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-293,1990,9,7,572,6.4,3,0,0,0,1,0,0.47,0.00,0.47,0.47,0.47,2.8,2.8,0.4,0.44,0.07,0.51,0.44,0.51,Matches
27,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27-323,1993,15,15,1350,15.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-291,1992,14,13,1124,12.5,2,2,0,0,0,0,0.16,0.16,0.32,0.16,0.32,1.0,1.0,1.0,0.08,0.08,0.16,0.08,0.16,Matches
29,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-104,1994,3,3,270,3.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-211,1989,16,16,1436,16.0,3,1,1,1,2,0,0.19,0.06,0.25,0.13,0.19,4.6,3.8,1.5,0.29,0.09,0.38,0.24,0.33,Matches
31,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-022,1992,9,9,783,8.7,1,1,0,0,0,0,0.11,0.11,0.23,0.11,0.23,0.7,0.7,0.9,0.08,0.10,0.18,0.08,0.18,Matches
32,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-194,1989,5,0,138,1.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.13,0.00,0.13,0.13,0.13,Matches
33,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-126,1991,14,8,767,8.5,1,0,0,0,0,0,0.12,0.00,0.12,0.12,0.12,1.3,1.3,0.1,0.15,0.01,0.16,0.15,0.16,Matches
34,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-143,1991,17,17,1509,16.8,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.5,0.04,0.09,0.13,0.04,0.13,Matches
35,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-140,1989,8,6,591,6.6,0,1,0,0,2,0,0.00,0.15,0.15,0.00,0.15,0.2,0.2,0.2,0.04,0.03,0.07,0.04,0.07,Matches
36,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-278,1994,6,5,458,5.1,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
37,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-145,1991,12,12,1080,12.0,1,0,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.6,0.6,0.0,0.05,0.00,0.05,0.05,0.05,Matches
38,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-312,1993,16,16,1440,16.0,0,1,0,0,2,0,0.00,0.06,0.06,0.00,0.06,1.0,1.0,1.2,0.06,0.08,0.14,0.06,0.14,Matches
