,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-167,1990,13,12,1054,11.7,0,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,0.7,0.7,0.8,1.5,0.06,0.07,0.13,0.06,0.13,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-133,1997,18,10,957,10.6,6,1,6,0,0,0,0,0.56,0.09,0.66,0.56,0.66,5.5,5.5,0.9,6.3,0.51,0.08,0.60,0.51,0.60,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-214,1996,21,20,1713,19.0,4,4,4,0,0,1,0,0.21,0.21,0.42,0.21,0.42,4.9,4.9,4.3,9.2,0.26,0.23,0.48,0.26,0.48,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-141,1997,18,18,1620,18.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.04,0.01,0.05,0.04,0.05,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-040,1987,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-255,1988,5,2,143,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,1.2,0.40,0.35,0.76,0.40,0.76,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-127,1996,18,18,1594,17.7,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.4,0.4,0.3,0.8,0.03,0.02,0.04,0.03,0.04,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-251,2001,11,8,692,7.7,1,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.3,0.3,0.7,1.1,0.04,0.10,0.14,0.04,0.14,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-095,1993,22,22,1980,22.0,2,0,2,0,0,3,0,0.09,0.00,0.09,0.09,0.09,0.5,0.5,0.1,0.6,0.02,0.00,0.03,0.02,0.03,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25-360,1995,6,5,470,5.2,1,0,1,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.1,0.1,0.0,0.1,0.01,0.00,0.02,0.01,0.02,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-086,1989,17,11,1041,11.6,0,2,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.9,0.9,2.6,3.5,0.08,0.23,0.30,0.08,0.30,Matches
