Rk,Squad,Apps,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,Attendance,Top Team Scorer,Goalkeeper,Notes,xGA per game,probability no goals allowed
1,Liverpool,11,10,1,0,25,9,16,31,21.5,10.5,11.0,52846,Sadio Mané - 6,Adrián,,0.9545454545454546,0.3849870989234836
2,Manchester City,11,8,1,2,34,10,24,25,32.1,12.1,20.1,54338,Sergio Agüero - 9,Ederson,,1.0999999999999999,0.3328710836980796
3,Leicester City,11,7,2,2,27,8,19,23,14.0,11.6,2.3,32006,Jamie Vardy - 10,Kasper Schmeichel,,1.0545454545454545,0.3483507325670795
4,Chelsea,11,7,2,2,25,17,8,23,20.8,12.9,7.9,40605,Tammy Abraham - 9,Kepa Arrizabalaga,,1.1727272727272728,0.30952163917973446
5,Arsenal,11,4,5,2,16,15,1,17,15.5,16.1,-0.6,60322,Pierre-Emerick Aubameyang - 8,Bernd Leno,,1.4636363636363638,0.23139331277227493
6,Sheffield Utd,11,4,4,3,12,8,4,16,13.4,13.7,-0.3,30824,John Lundstram Lys Mousset - 3,Dean Henderson,,1.2454545454545454,0.2878100556412569
7,Bournemouth,11,4,4,3,14,13,1,16,14.5,15.6,-1.1,10614,Callum Wilson - 5,Aaron Ramsdale,,1.4181818181818182,0.24215389669730683
8,Brighton,11,4,3,4,14,14,0,15,13.6,16.2,-2.7,30259,Neal Maupay - 4,Mathew Ryan,,1.4727272727272727,0.2292992699996196
9,Crystal Palace,11,4,3,4,10,14,-4,15,11.7,14.1,-2.4,25326,Jordan Ayew - 4,Vicente Guaita,,1.2818181818181817,0.2775322373761215
10,Manchester Utd,11,3,4,4,13,11,2,13,17.3,10.5,6.8,73540,Marcus Rashford - 5,David de Gea,,0.9545454545454546,0.3849870989234836
11,Tottenham,11,3,4,4,17,16,1,13,13.3,16.6,-3.3,59573,Harry Kane - 6,Hugo Lloris,,1.5090909090909093,0.2211108965248518
12,Wolves,11,2,7,2,14,14,0,13,13.4,12.7,0.7,30999,Raúl Jiménez - 4,Rui Patrício,,1.1545454545454545,0.31520077742693126
13,West Ham,11,3,4,4,14,17,-3,13,15.8,21.6,-5.8,59909,Sébastien Haller - 4,?ukasz Fabia?ski,,1.9636363636363638,0.14034713864885964
14,Burnley,11,3,3,5,14,18,-4,12,12.5,12.3,0.2,20577,Chris Wood Ashley Barnes - 4,Nick Pope,,1.1181818181818182,0.32687357024570923
15,Newcastle Utd,11,3,3,5,9,17,-8,12,7.4,16.3,-8.9,46465,Jonjo Shelvey - 2,Martin Dúbravka,,1.481818181818182,0.22722417771036915
16,Aston Villa,11,3,2,6,16,18,-2,11,15.8,20.6,-4.8,41696,Wesley Moraes - 4,Tom Heaton,,1.8727272727272728,0.15370389722208347
17,Everton,11,3,2,6,11,17,-6,11,13.8,13.0,0.9,39256,Dominic Calvert-Lewin - 3,Jordan Pickford,,1.1818181818181819,0.30672055757655675
18,Southampton,11,2,2,7,10,27,-17,8,13.5,19.1,-5.6,30523,Danny Ings - 4,Angus Gunn,,1.7363636363636366,0.17615981849260356
19,Norwich City,11,2,1,8,11,26,-15,7,13.2,22.4,-9.2,27056,Teemu Pukki - 6,Tim Krul,,2.036363636363636,0.130502403291305
20,Watford,11,0,5,6,6,23,-17,5,14.9,20.0,-5.1,20714,Abdoulaye Doucouré Andre Gray... - 1,Ben Foster,,1.8181818181818181,0.16232061118184818
