Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,Attendance,Top Team Scorer,Goalkeeper,Notes,xGA per game,probability no goals allowed
1,Liverpool,13,12,1,0,30,11,19,37,23.9,12.9,11.0,52988,Sadio Mané - 8,Adrián,,0.9923076923076923,0.3707201949952045
2,Leicester City,13,9,2,2,31,8,23,29,19.2,13.4,5.8,32040,Jamie Vardy - 12,Kasper Schmeichel,,1.0307692307692309,0.3567324454265314
3,Manchester City,13,9,1,3,37,14,23,28,34.4,13.9,20.4,54359,Sergio Agüero - 9,Ederson,,1.0692307692307692,0.3432724716322492
4,Chelsea,13,8,2,3,28,19,9,26,24.6,14.2,10.4,40591,Tammy Abraham - 10,Kepa Arrizabalaga,,1.0923076923076922,0.3354415040532483
5,Wolves,13,4,7,2,18,16,2,19,16.5,13.7,2.8,31101,Raúl Jiménez - 6,Rui Patrício,,1.0538461538461539,0.3485944196733167
6,Sheffield Utd,13,4,6,3,16,12,4,18,15.5,16.3,-0.8,30995,Lys Mousset - 4,Dean Henderson,,1.2538461538461538,0.2854049717379167
7,Burnley,13,5,3,5,20,18,2,18,16.7,13.9,2.9,20523,Chris Wood Ashley Barnes - 6,Nick Pope,,1.0692307692307692,0.3432724716322492
8,Arsenal,13,4,6,3,18,19,-1,18,18.1,20.5,-2.3,60318,Pierre-Emerick Aubameyang - 8,Bernd Leno,,1.5769230769230769,0.2066098437686728
9,Manchester Utd,13,4,5,4,19,15,4,17,21.1,12.6,8.6,73543,Marcus Rashford - 7,David de Gea,,0.9692307692307692,0.3793747526239096
10,Tottenham,13,4,5,4,21,19,2,17,16.2,18.2,-2.0,59607,Harry Kane - 7,Paulo Gazzaniga,,1.4,0.2465969639416065
11,Bournemouth,13,4,4,5,16,17,-1,16,17.3,20.0,-2.7,10603,Callum Wilson - 5,Aaron Ramsdale,,1.5384615384615385,0.21471117234169726
12,Brighton,13,4,3,6,15,19,-4,15,15.3,22.2,-6.9,30313,Neal Maupay - 4,Mathew Ryan,,1.7076923076923076,0.18128365718144684
13,Crystal Palace,13,4,3,6,11,18,-7,15,13.1,18.3,-5.2,25349,Jordan Ayew - 4,Vicente Guaita,,1.4076923076923078,0.24470734131596472
14,Newcastle Utd,13,4,3,6,11,20,-9,15,11.3,20.5,-9.2,46125,Ciaran Clark Jonjo Shelvey - 2,Martin Dúbravka,,1.5769230769230769,0.2066098437686728
15,Aston Villa,13,4,2,7,19,20,-1,14,18.3,23.2,-5.0,41714,Wesley Moraes - 4,Tom Heaton,,1.7846153846153845,0.16786161074395636
16,Everton,13,4,2,7,13,20,-7,14,16.7,15.7,1.1,39217,Richarlison Dominic Calvert-Lewin - 3,Jordan Pickford,,1.2076923076923076,0.29888622162536144
17,West Ham,13,3,4,6,16,23,-7,13,17.0,25.2,-8.2,59912,Sébastien Haller - 4,Roberto,,1.9384615384615385,0.1439252029284526
18,Norwich City,13,3,1,9,13,28,-15,10,16.1,24.1,-8.0,27059,Teemu Pukki - 6,Tim Krul,,1.853846153846154,0.15663356948885543
19,Southampton,13,2,3,8,13,31,-18,9,17.1,23.0,-5.8,30395,Danny Ings - 6,Angus Gunn,,1.7692307692307692,0.1704640646087285
20,Watford,13,1,5,7,8,26,-18,8,16.7,23.6,-6.9,20571,Andre Gray Gerard Deulofeu - 2,Ben Foster,,1.8153846153846156,0.16277529046811148
