Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Attendance,Top Team Scorer,Goalkeeper,Notes,xGA per game,probability no goals allowed
1,Liverpool,14,13,1,0,32,12,20,40,25.6,13.9,11.7,0.84,53035,Sadio Mané - 8,Adrián,,0.9928571428571429,0.370516558529579
2,Leicester City,14,10,2,2,33,9,24,32,19.2,13.4,5.8,0.44,32055,Jamie Vardy - 13,Kasper Schmeichel,,0.9571428571428572,0.38398842996690413
3,Manchester City,14,9,2,3,39,16,23,29,37.6,14.2,23.4,1.67,54359,Sergio Agüero - 9,Ederson,,1.0142857142857142,0.3626613811825573
4,Chelsea,14,8,2,4,28,20,8,26,26.8,15.1,11.7,0.84,40592,Tammy Abraham - 10,Kepa Arrizabalaga,,1.0785714285714285,0.34008100880126413
5,Tottenham,14,5,5,4,24,21,3,20,18.6,19.5,-0.9,-0.06,59610,Harry Kane - 7,Paulo Gazzaniga,,1.3928571428571428,0.24836467657051403
6,Wolves,14,4,8,2,19,17,2,20,17.6,14.7,2.9,0.21,31178,Raúl Jiménez - 6,Rui Patrício,,1.05,0.3499377491111553
7,Sheffield Utd,14,4,7,3,17,13,4,19,16.5,17.4,-0.9,-0.06,30995,Lys Mousset - 5,Dean Henderson,,1.2428571428571427,0.28855858592375816
8,Arsenal,14,4,7,3,20,21,-1,19,20.4,21.9,-1.5,-0.11,60318,Pierre-Emerick Aubameyang - 10,Bernd Leno,,1.5642857142857143,0.20923741510560184
9,Manchester Utd,14,4,6,4,21,17,4,18,21.1,12.6,8.6,0.66,73520,Marcus Rashford - 7,David de Gea,,0.9,0.4065696597405991
10,Burnley,14,5,3,6,20,20,0,18,18.7,14.5,4.2,0.3,20422,Chris Wood Ashley Barnes - 6,Nick Pope,,1.0357142857142858,0.354972738393122
11,Crystal Palace,14,5,3,6,13,18,-5,18,13.8,20.3,-6.5,-0.47,25349,Jordan Ayew - 4,Vicente Guaita,,1.45,0.23457028809379765
12,Bournemouth,14,4,4,6,18,20,-2,16,18.7,22.4,-3.8,-0.27,10603,Harry Wilson - 6,Aaron Ramsdale,,1.5999999999999999,0.20189651799465544
13,West Ham,14,4,4,6,17,23,-6,16,17.8,27.4,-9.6,-0.68,59912,Sébastien Haller - 4,Roberto,,1.957142857142857,0.14126144903252422
14,Newcastle Utd,14,4,4,6,13,22,-9,16,11.4,23.8,-12.4,-0.88,46669,Jonjo Shelvey - 3,Martin Dúbravka,,1.7,0.18268352405273466
15,Aston Villa,14,4,3,7,21,22,-1,15,18.3,23.1,-4.8,-0.37,41714,Wesley Moraes - 4,Tom Heaton,,1.6500000000000001,0.19204990862075408
16,Brighton,14,4,3,7,16,21,-5,15,16.4,24.0,-7.6,-0.54,30313,Neal Maupay - 4,Mathew Ryan,,1.7142857142857142,0.1800923121479524
17,Everton,14,4,2,8,14,22,-8,14,16.7,15.7,1.1,0.08,39217,Richarlison - 4,Jordan Pickford,,1.1214285714285714,0.32581401341080124
18,Southampton,14,3,3,8,15,32,-17,12,18.4,23.6,-5.3,-0.38,29900,Danny Ings - 7,Angus Gunn,,1.6857142857142857,0.18531201894342234
19,Norwich City,14,3,2,9,15,30,-15,11,17.6,26.4,-8.8,-0.63,27060,Teemu Pukki - 7,Tim Krul,,1.8857142857142857,0.15172064882394942
20,Watford,14,1,5,8,9,28,-19,8,17.4,24.8,-7.5,-0.53,20571,Andre Gray Gerard Deulofeu - 2,Ben Foster,,1.7714285714285716,0.1700898297106658
