Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,24,17,5,2,49,15,34,56,46.6,17.7,28.9,1.21,W W W W W,,İlkay Gündoğan - 11,Ederson,,1.9416666666666667,0.7374999999999999,0.47830819253408413
Manchester Utd,2,24,13,7,4,50,31,19,46,39.2,29.7,9.5,0.4,L D W D D,,Bruno Fernandes - 14,David de Gea,,1.6333333333333335,1.2375,0.29010858356365526
Leicester City,3,24,14,4,6,42,26,16,46,35.9,28.4,7.5,0.31,D L W D W,,Jamie Vardy - 12,Kasper Schmeichel,,1.4958333333333333,1.1833333333333333,0.30625618134802807
Chelsea,4,24,12,6,6,40,24,16,42,38.2,22.5,15.7,0.66,D W W W W,167.0,Tammy Abraham - 6,Edouard Mendy,,1.5916666666666668,0.9375,0.391605626676799
West Ham,5,24,12,6,6,37,28,9,42,32.8,27.6,5.3,0.22,W L W D W,167.0,Tomáš Souček - 8,Łukasz Fabiański,,1.3666666666666665,1.1500000000000001,0.31663676937905316
Liverpool,6,24,11,7,6,45,32,13,40,45.0,30.3,14.6,0.61,W W L L L,500.0,Mohamed Salah - 17,Alisson,,1.875,1.2625,0.2829457771141329
Everton,7,23,11,4,8,35,33,2,37,27.5,30.8,-3.3,-0.14,L W D L L,167.0,Dominic Calvert-Lewin - 13,Jordan Pickford,,1.1956521739130435,1.3391304347826087,0.2620734594912209
Aston Villa,8,22,11,3,8,36,24,12,36,34.4,28.7,5.7,0.26,L W L W D,,Ollie Watkins - 10,Emiliano Martínez,,1.5636363636363635,1.3045454545454545,0.27129582330673907
Tottenham,9,23,10,6,7,36,25,11,36,29.4,28.9,0.4,0.02,L L L W L,167.0,Harry Kane Son Heung-min - 13,Hugo Lloris,,1.2782608695652173,1.2565217391304346,0.2846423670573464
Arsenal,10,24,10,4,10,31,25,6,34,32.8,27.8,4.9,0.21,W D L L W,167.0,Alexandre Lacazette Pierre-Emerick Aubameyang - 8,Bernd Leno,,1.3666666666666665,1.1583333333333334,0.3140090934902047
Leeds United,11,23,10,2,11,40,42,-2,32,36.7,40.6,-4.0,-0.17,W W L W L,,Patrick Bamford - 12,Illan Meslier,,1.5956521739130436,1.7652173913043478,0.17114957601090314
Wolves,12,24,8,6,10,25,32,-7,30,25.2,26.9,-1.7,-0.07,D L W D W,,Pedro Neto - 5,Rui Patrício,,1.05,1.1208333333333333,0.32600800805431895
Southampton,13,23,8,5,10,30,39,-9,29,22.9,30.1,-7.1,-0.31,L L L L L,167.0,Danny Ings - 8,Alex McCarthy,,0.9956521739130434,1.308695652173913,0.270172225214061
Crystal Palace,14,24,8,5,11,27,42,-15,29,20.6,34.8,-14.2,-0.59,L W W L L,167.0,Wilfried Zaha - 9,Vicente Guaita,,0.8583333333333334,1.45,0.23457028809379765
Burnley,15,24,7,6,11,18,30,-12,27,21.6,34.4,-12.8,-0.53,L L D W D,,Chris Wood - 4,Nick Pope,,0.9,1.4333333333333333,0.23851255385430242
Brighton,16,24,5,11,8,25,30,-5,26,32.4,25.5,6.9,0.29,D W W D D,167.0,Neal Maupay - 7,Robert Sánchez,,1.3499999999999999,1.0625,0.3455907525769745
Newcastle Utd,17,24,7,4,13,25,40,-15,25,22.9,34.2,-11.4,-0.47,L W L W L,,Callum Wilson - 10,Karl Darlow,,0.9541666666666666,1.425,0.24050846320834213
Fulham,18,24,3,10,11,20,32,-12,19,27.2,33.1,-5.9,-0.25,D L D W D,167.0,Bobby Reid - 5,Alphonse Areola,,1.1333333333333333,1.3791666666666667,0.2517882892319072
West Brom,19,24,2,7,15,19,55,-36,13,16.6,42.4,-25.8,-1.07,L D L L D,,Matheus Pereira - 5,Sam Johnstone,,0.6916666666666668,1.7666666666666666,0.17090171280152483
Sheffield Utd,20,24,3,2,19,15,40,-25,11,21.7,35.1,-13.4,-0.56,W L W L L,,David McGoldrick - 5,Aaron Ramsdale,,0.9041666666666667,1.4625000000000001,0.23165640917688876
