Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xGA per game,probability no goals allowed
1,Liverpool,34,30,2,2,75,26,49,92,64.6,36.5,28.0,0.82,D W L W W,53143,Mohamed Salah - 19,Alisson,,1.0735294117647058,0.3418000329959861
2,Manchester City,34,22,3,9,86,34,52,69,81.1,31.9,49.2,1.45,W L W L W,54219,Sergio Agüero - 16,Ederson,,0.9382352941176471,0.3913177871993719
3,Chelsea,34,18,6,10,63,46,17,60,60.9,34.4,26.6,0.78,W W L W W,40563,Tammy Abraham - 14,Kepa Arrizabalaga,,1.011764705882353,0.36357680698533285
4,Leicester City,34,17,8,9,64,32,32,59,54.3,40.9,13.4,0.39,D D L W D,32061,Jamie Vardy - 22,Kasper Schmeichel,,1.2029411764705882,0.3003096480499191
5,Manchester Utd,34,16,10,8,59,33,26,58,53.8,32.1,21.7,0.64,D W W W W,72726,Marcus Rashford Anthony Martial - 15,David de Gea,,0.9441176470588236,0.38902267481142505
6,Wolves,34,13,13,8,45,37,8,52,42.5,30.7,11.8,0.35,W W W L L,31360,Raúl Jiménez - 15,Rui Patrício,,0.9029411764705882,0.4053756234202329
7,Sheffield Utd,34,13,12,9,35,33,2,51,38.3,42.2,-3.8,-0.11,L L W D W,30869,Lys Mousset - 6,Dean Henderson,,1.2411764705882353,0.28904396610532807
8,Arsenal,34,12,14,8,50,42,8,50,45.2,48.7,-3.5,-0.1,L W W W D,60279,Pierre-Emerick Aubameyang - 20,Bernd Leno,,1.4323529411764706,0.23874650435429332
9,Tottenham,34,13,10,11,52,44,8,49,42.8,48.5,-5.7,-0.17,D W L W D,59384,Harry Kane - 13,Paulo Gazzaniga,,1.4264705882352942,0.24015503422980286
10,Burnley,34,14,7,13,38,46,-8,49,37.7,43.7,-6.0,-0.18,L W W D W,20260,Chris Wood - 11,Nick Pope,,1.285294117647059,0.27656922777794074
11,Everton,34,12,9,13,41,49,-8,45,46.4,42.9,3.6,0.1,D W W L D,39150,Dominic Calvert-Lewin - 13,Jordan Pickford,,1.261764705882353,0.28315390198677826
12,Southampton,34,13,5,16,43,56,-13,44,46.6,48.8,-2.2,-0.06,W L W W D,29675,Danny Ings - 19,Alex McCarthy,,1.4352941176470588,0.23804534038219227
13,Newcastle Utd,34,11,10,13,35,50,-15,43,30.2,53.0,-22.8,-0.67,W D W D L,48248,Jonjo Shelvey - 6,Martin Dúbravka,,1.5588235294117647,0.21038343558799175
14,Crystal Palace,34,11,9,14,30,43,-13,42,32.1,46.2,-14.2,-0.42,W L L L L,25060,Jordan Ayew - 9,Vicente Guaita,,1.3588235294117648,0.25696290849838554
15,Brighton,34,8,12,14,36,47,-11,36,39.3,46.3,-7.0,-0.21,W D L W L,30358,Neal Maupay - 9,Mathew Ryan,,1.3617647058823528,0.25620824558052363
16,West Ham,34,8,7,19,40,59,-19,31,40.3,59.4,-19.1,-0.56,L L W D L,59925,Sébastien Haller - 7,Łukasz Fabiański,,1.7470588235294118,0.17428579563894733
17,Watford,34,7,10,17,31,53,-22,31,37.6,51.0,-13.4,-0.39,D L L L W,20837,Troy Deeney - 6,Ben Foster,,1.5,0.22313016014842982
18,Bournemouth,34,7,7,20,32,59,-27,28,37.1,51.3,-14.2,-0.42,L L L L D,10510,Callum Wilson - 8,Aaron Ramsdale,,1.5088235294117647,0.22117002498994273
19,Aston Villa,34,7,6,21,36,65,-29,27,36.2,63.5,-27.2,-0.8,L D L L L,41661,Jack Grealish - 7,Tom Heaton,,1.8676470588235294,0.1544867326999954
20,Norwich City,34,5,6,23,26,63,-37,21,37.2,52.4,-15.2,-0.45,L L L L L,27025,Teemu Pukki - 11,Tim Krul,,1.5411764705882351,0.21412903666893596
