id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xGA_week12,cleansheet_week12,xA,xA_points,xG_week12,goals_week12,xPoints week 12,xA_week12,assists_week12,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,xPoints week 5,xG_week5,goals_week5,xGA_week5,cleansheet_week5,xA_week5,assists_week5,xPoints week 6,xG_week6,goals_week6,xGA_week6,cleansheet_week6,xA_week6,assists_week6,xPoints week 7,xG_week7,goals_week7,xGA_week7,cleansheet_week7,xA_week7,assists_week7,xPoints week 8,xG_week8,goals_week8,xGA_week8,cleansheet_week8,xA_week8,assists_week8,xPoints week 9,xG_week9,goals_week9,xGA_week9,cleansheet_week9,xA_week9,assists_week9,xPoints week 10,xG_week10,goals_week10,xGA_week10,cleansheet_week10,xA_week10,assists_week10,xPoints week 11,xG_week11,goals_week11,xGA_week11,cleansheet_week11,xA_week11,assists_week11,form 10,form 5,next1_xP,next5_xP,next10_xP,value,valuePoints metric,xG+xA,xG+xA per game
1,0,0,0,0.0,0.0,0,37605,,,0,0,-2,2,0.0,607,242,,,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,607,242,False,0.0,607,242,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.6,False,,n,1,3,0.0,607,242,0,3371,3,52081,153,0.0,0.0,Özil,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0.0,0.0,0,39476,,,0,0,-1,1,0.0,562,212,,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,573,212,False,0.0,571,212,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,49,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,n,1,3,0.0,550,206,0,10236,4,18669,26,0.0,0.0,Sokratis,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,52,75.0,75.0,0,41270,,,0,0,0,0,23.1,276,84,4.0,,0,2,0.4,0.8,0,David,0.0,7,0,11.7,307,104,False,72.0,249,94,364,Head injury - 75% chance of playing,2020-11-26T23:30:22.462494Z,55,0,0,,0,,41270.jpg,1.2,0,0,Luiz Moreira Marinho,0.8,False,,d,1,3,22.0,274,84,7,36976,31,83562,1092,0.0,1.3,David Luiz,0,Arsenal,5.833333333333334,14.12005592516617,0.1,0.6000000000000001,6.5200559251661705,0.9000000000000004,0.0,0.0,0.0,,,,,,2.420581015742772,,,,,,,,1.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.5863878557664246,0.1,0.0,1.4000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,,,,2.5,0.0,,,0.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,,,,0.5,0.0,,,2.212091828309961,0.0,2.7900345500663293,2.4522582404216062,2.5489299896854942,0.4401056392259585,1.0321392131063003,0.1,0.017142857142857144
4,1,1,122,100.0,100.0,3,54694,,,0,0,-5,5,189.3,44,33,,,0,3,2.3,2.8,0,Pierre-Emerick,1.8,15,2,68.3,31,18,False,148.8,143,55,1076,,2020-10-08T09:00:12.305506Z,115,1,0,1.0,0,,54694.jpg,3.1,0,0,Aubameyang,8.8,False,,a,1,3,345.0,24,13,37,478876,2040,3011854,30609,0.2,3.2,Aubameyang,2,Arsenal,11.93548387096774,43.03362063544756,2.8,13.52,3.3351438142555065,0.9000000000000004,0.0,1.4,4.199999999999998,0.19999999999999973,0.0,1.7065696597405973,0.09999999999999988,0.0,3.6055195667537134,3.8187307530779817,0.4,1.0,0.2,1.0,0.0,0.0,5.617989671854215,0.09999999999999998,0.0,1.9,0.0,0.5,1.0,2.049787068367864,0.0,0.0,3.0,0.0,0.0,0.0,2.8187307530779817,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.7465969639416064,0.0,0.0,1.4000000000000004,0.0,0.5,0.0,4.101194211912203,0.30000000000000004,0.0,1.2000000000000002,0.0,0.10000000000000007,0.0,7.540818220681719,0.8999999999999999,1.0,0.2999999999999989,1.0,0.09999999999999988,0.0,2.7652988882215865,0.0,0.0,1.8000000000000007,0.0,0.2,0.0,3.2820849986239,0.30000000000000004,0.0,2.5,1.0,-0.09999999999999988,0.0,4.246596963941606,0.3999999999999999,0.0,1.4000000000000004,0.0,0.0,0.0,3.606530659712634,0.20000000000000007,0.0,0.5,0.0,0.0,0.0,3.586420838822169,3.1214162340480645,3.726012640088805,3.5553577772116407,3.5959176806059236,0.31352344058727943,1.0632097157538494,4.199999999999999,0.3518918918918919
5,0,0,0,100.0,100.0,0,58822,,,0,0,-4,4,0.0,535,206,,,0,2,0.5,1.0,0,Cédric,0.0,0,0,0.0,549,206,False,0.0,547,206,0,,2020-09-23T09:00:14.881983Z,46,0,0,,0,,58822.jpg,0.0,0,0,Soares,0.2,False,,a,1,3,0.0,512,197,0,3452,59,33320,164,0.0,0.0,Cédric,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,3,97,,,2,59966,,,0,0,-2,2,111.3,108,15,,,0,4,1.3,1.8,1,Alexandre,0.8,7,3,52.1,58,18,False,146.8,148,16,643,,,83,0,0,3.0,0,,59966.jpg,3.0,0,0,Lacazette,2.7,False,,a,1,3,266.0,40,20,30,281171,1212,430259,5075,0.1,3.6,Lacazette,2,Arsenal,10.0,31.5,3.0,12.0,0.0,0.9000000000000004,0.0,0.5,1.5,0.2999999999999998,0.0,2.2,0.0,0.0,3.15,5.6,0.5,1.0,0.2,1.0,0.2,0.0,3.4,0.09999999999999998,1.0,1.9,0.0,0.0,0.0,7.800000000000002,1.2000000000000002,1.0,3.0,0.0,0.0,0.0,,,,0.20000000000000007,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,2.5,0.30000000000000004,0.0,1.2000000000000002,0.0,0.09999999999999998,0.0,2.3000000000000003,0.0,0.0,0.2999999999999989,1.0,0.10000000000000003,0.0,2.799999999999999,0.19999999999999973,0.0,1.8000000000000007,0.0,0.0,0.0,,,,2.5,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.3,0.5,0.0,0.5,0.0,0.09999999999999998,0.0,2.8625000000000003,2.325,3.176029328071891,3.0962556498750238,3.1114236757766207,0.37951807228915657,1.0933809618384815,3.5,0.35
7,0,0,13,100.0,100.0,0,69140,,,0,0,0,0,1.0,388,149,,,0,2,0.5,1.0,0,Shkodran,0.0,1,0,1.3,409,153,False,11.6,384,150,44,,2020-08-15T10:00:11.331812Z,50,0,0,,0,,69140.jpg,1.0,0,0,Mustafi,0.0,False,,a,1,3,0.0,568,213,2,11778,81,11599,114,0.0,0.4,Mustafi,0,Arsenal,2.0,4.235447745771259,0.0,0.0,2.2354477457712583,0.9000000000000004,0.0,0.0,0.0,,,,,,2.1177238728856294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.2999999999999989,0.0,0.0,0.0,,,,1.8000000000000007,0.0,,,,,,2.5,0.0,,,,,,1.4000000000000004,0.0,,,,,,0.5,0.0,,,1.0,,2.485194220308471,2.1534959051930334,2.2490119953406085,0.42354477457712586,0.9470749074692781,0.0,0.0
8,0,5,216,,,3,80201,,,0,0,0,0,0.0,578,60,,,2,1,4.3,4.8,2,Bernd,3.8,15,0,25.5,186,13,False,254.6,42,13,1080,,,50,0,0,,0,,80201.jpg,3.6,0,31,Leno,8.2,False,,a,1,3,0.0,570,60,43,418774,1633,451700,20195,0.8,8.6,Leno,0,Arsenal,11.944444444444445,44.35059070391168,0.0,0.0,13.35059070391168,0.9000000000000004,0.0,0.0,0.0,0.0,0.0,3.626278638962397,0.0,0.0,3.7130727100949312,6.274923012311929,0.0,0.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,3.1991482734714562,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.2047768476488083,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,5.963272882726876,0.0,0.0,0.2999999999999989,1.0,0.0,0.0,2.661195552886346,0.0,0.0,1.8000000000000007,0.0,0.0,0.0,6.328339994495595,0.0,0.0,2.5,1.0,0.0,0.0,2.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.4261226388505337,0.0,0.0,0.5,0.0,0.0,0.0,4.065683355288678,3.8056649361922585,4.080543057517773,3.7488447424023352,3.8443608325499103,0.7426145420189862,1.660536597034327,0.0,0.0
9,0,0,79,0.0,,2,84450,,,0,0,-3,3,48.9,201,124,1.0,,0,3,0.0,2.0,-2,Granit,1.0,11,0,17.8,246,115,False,97.6,218,90,724,Suspended until 26 Dec,2020-12-13T22:30:16.182130Z,52,0,0,,0,,84450.jpg,1.4,1,0,Xhaka,0.4,False,,s,1,3,32.0,237,124,14,23044,139,58270,1194,0.2,2.7,Xhaka,2,Arsenal,10.0,16.594309682214075,0.3,1.5,2.7943096822140734,0.9000000000000004,0.0,0.1,0.30000000000000004,0.0,0.0,-2.0,0.0,0.0,1.6594309682214077,4.1187307530779815,0.2,0.0,0.2,1.0,0.1,0.0,2.149568619222635,0.0,0.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,1.801194211912202,0.09999999999999998,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,2.0820849986238987,0.0,0.0,2.5,1.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,1.6065306597126334,0.0,0.0,0.5,0.0,0.0,0.0,1.2478754747664933,0.9838031555695346,1.7547691321533705,1.6612080629482615,1.687109488938702,0.31912134004257836,0.7277086190825067,0.4,0.04
10,0,0,0,100.0,100.0,0,92371,,,0,0,-1,1,0.0,486,196,,,0,2,0.5,1.0,0,Pablo,0.0,0,0,0.0,506,196,False,0.0,503,196,0,,2020-08-15T10:00:11.357231Z,44,0,0,,0,,92371.jpg,0.0,0,0,Marí,0.0,False,,a,1,3,0.0,456,184,0,728,44,884,37,0.0,0.0,Marí,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
