id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,xG_week13,goals_week13,xPoints week 13,clean_sheet_points,xGA_week13,cleansheet_week13,xA,xA_points,xA_week13,assists_week13,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,xPoints week 5,xG_week5,goals_week5,xGA_week5,cleansheet_week5,xA_week5,assists_week5,xPoints week 6,xG_week6,goals_week6,xGA_week6,cleansheet_week6,xA_week6,assists_week6,xPoints week 7,xG_week7,goals_week7,xGA_week7,cleansheet_week7,xA_week7,assists_week7,xPoints week 8,xG_week8,goals_week8,xGA_week8,cleansheet_week8,xA_week8,assists_week8,xPoints week 9,xG_week9,goals_week9,xGA_week9,cleansheet_week9,xA_week9,assists_week9,xPoints week 10,xG_week10,goals_week10,xGA_week10,cleansheet_week10,xA_week10,assists_week10,xPoints week 11,xG_week11,goals_week11,xGA_week11,cleansheet_week11,xA_week11,assists_week11,xPoints week 12,xG_week12,goals_week12,xGA_week12,cleansheet_week12,xA_week12,assists_week12,form 5,form 10,next1_xP,next5_xP,next10_xP,value,valuePoints metric,xG+xA,xG+xA per game,value form 5
1,0,0,0,0.0,0.0,0,37605,,,0,0,-2,2,0.0,607,242,,,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,607,242,False,0.0,607,242,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.6,False,,n,1,3,0.0,607,242,0,3380,4,52315,141,0.0,0.0,Özil,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0.0,0.0,0,39476,,,0,0,-2,2,0.0,550,210,,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,563,210,False,0.0,561,210,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,48,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,n,1,3,0.0,534,203,0,10240,1,18723,36,0.0,0.0,Sokratis,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,56,100.0,75.0,0,41270,,,-1,1,-1,1,23.1,283,86,4.0,,0,2,0.7,0.5,1,David,0.2,7,0,12.2,315,109,False,77.2,256,100,389,,2020-11-26T23:30:22.462494Z,54,0,0,,0,,41270.jpg,1.1,0,0,Luiz Moreira Marinho,0.8,False,,a,1,3,22.0,283,88,8,37524,539,84985,712,0.0,1.5,David Luiz,0,Arsenal,7.272727272727272,16.83906825317612,0.1,0.6000000000000001,0.0,0.0,1.0,8.23906825317612,1.099999999999998,0.0,0.0,0.0,0.0,0.0,2.3153718848117166,,,,,,,,1.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.5863878557664246,0.1,0.0,1.4000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,,,,2.5,0.0,,,0.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,,,,0.5,0.0,,,,,,0.9000000000000004,0.0,,,0.5,2.1722621736156698,2.024093569392564,2.3796925454742017,2.377688584211966,0.428772571261429,0.9963774166836284,0.1,0.013750000000000004,0.09259259259259259
4,1,4,146,100.0,100.0,3,54694,,,-1,1,-6,6,201.2,46,34,,,1,3,3.9,3.9,10,Pierre-Emerick,3.4,16,3,76.0,30,18,False,186.6,108,39,1166,,2020-10-08T09:00:12.305506Z,114,1,0,1.0,0,,54694.jpg,3.6,0,0,Aubameyang,8.4,False,,a,1,3,372.0,20,11,47,484330,3325,3051148,13721,0.3,4.1,Aubameyang,2,Arsenal,13.055555555555555,50.223989975720215,3.1,15.02,0.3000000000000003,1.0,7.132871083698082,3.697567957371575,1.099999999999998,0.0,1.5,4.5,0.10000000000000007,0.0,3.846943913033889,3.8187307530779817,0.4,1.0,0.2,1.0,0.0,0.0,5.617989671854215,0.09999999999999998,0.0,1.9,0.0,0.5,1.0,2.049787068367864,0.0,0.0,3.0,0.0,0.0,0.0,2.8187307530779817,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.7465969639416064,0.0,0.0,1.4000000000000004,0.0,0.5,0.0,4.101194211912203,0.30000000000000004,0.0,1.2000000000000002,0.0,0.10000000000000007,0.0,7.540818220681719,0.8999999999999999,1.0,0.2999999999999989,1.0,0.09999999999999988,0.0,2.7652988882215865,0.0,0.0,1.8000000000000007,0.0,0.2,0.0,3.2820849986239,0.30000000000000004,0.0,2.5,1.0,-0.09999999999999988,0.0,4.246596963941606,0.3999999999999999,0.0,1.4000000000000004,0.0,0.0,0.0,3.606530659712634,0.20000000000000007,0.0,0.5,0.0,0.0,0.0,1.7065696597405973,0.19999999999999973,0.0,0.9000000000000004,0.0,0.09999999999999988,0.0,3.994930673143364,4.094729240355191,3.6196782421703695,3.7802324324011467,3.7740829416671127,0.3374512204415692,1.1393664548438978,4.6,0.35234042553191486,0.3504325151880144
5,0,0,3,100.0,100.0,0,58822,,,0,0,-4,4,0.0,535,206,,,0,2,0.7,0.7,1,Cédric,0.2,0,0,0.0,550,206,False,0.0,548,206,5,,2020-09-23T09:00:14.881983Z,46,0,0,,0,,58822.jpg,1.0,0,0,Soares,0.2,False,,a,1,3,0.0,513,197,1,3618,73,33641,178,0.0,0.2,Cédric,0,Arsenal,1.0,2.1328718848117165,0.0,0.0,0.0,0.0,1.0,1.1328718848117163,1.099999999999998,0.0,0.0,0.0,0.0,0.0,2.1328718848117165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.8502348686473016,2.201824759716926,2.2001368335308893,0.46366780104602534,0.9944566439737531,0.0,0.0,0.2173913043478261
6,0,3,97,,,2,59966,,,-1,1,-3,3,111.3,119,18,,,0,4,1.1,1.1,0,Alexandre,0.6,7,3,52.1,64,20,False,146.8,159,18,643,,,82,0,0,3.0,0,,59966.jpg,3.0,0,0,Lacazette,2.5,False,,a,1,3,266.0,43,22,30,282937,603,441509,6669,0.1,3.7,Lacazette,2,Arsenal,10.0,31.1,2.9,11.6,,,,0.0,1.099999999999998,0.0,0.5,1.5,,,3.1100000000000003,5.6,0.5,1.0,0.2,1.0,0.2,0.0,3.4,0.09999999999999998,1.0,1.9,0.0,0.0,0.0,7.800000000000002,1.2000000000000002,1.0,3.0,0.0,0.0,0.0,,,,0.20000000000000007,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,2.5,0.30000000000000004,0.0,1.2000000000000002,0.0,0.09999999999999998,0.0,2.3000000000000003,0.0,0.0,0.2999999999999989,1.0,0.10000000000000003,0.0,2.799999999999999,0.19999999999999973,0.0,1.8000000000000007,0.0,0.0,0.0,,,,2.5,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.3,0.5,0.0,0.5,0.0,0.09999999999999998,0.0,2.2,0.2999999999999998,0.0,0.9000000000000004,0.0,0.0,0.0,2.1666666666666665,2.157142857142857,2.972786642136895,3.036446052630688,3.0314277986934735,0.3792682926829269,1.0860591099216943,3.4,0.33999999999999997,0.26422764227642276
7,0,0,13,100.0,100.0,0,69140,,,0,0,0,0,1.0,393,152,,,0,2,0.5,0.5,0,Shkodran,0.0,1,0,1.3,412,155,False,11.6,393,152,44,,2020-08-15T10:00:11.331812Z,50,0,0,,0,,69140.jpg,1.0,0,0,Mustafi,0.0,False,,a,1,3,0.0,568,213,2,11956,117,11827,155,0.0,0.4,Mustafi,0,Arsenal,2.0,4.265743769623433,0.0,0.0,,,,2.265743769623433,1.099999999999998,0.0,0.0,0.0,,,2.1328718848117165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.2999999999999989,0.0,0.0,0.0,,,,1.8000000000000007,0.0,,,,,,2.5,0.0,,,,,,1.4000000000000004,0.0,,,,,,0.5,0.0,,,,,,0.9000000000000004,0.0,,,,1.0,1.8502348686473011,2.201824759716926,2.2001368335308884,0.4265743769623433,0.9538493043474199,0.0,0.0,
8,0,5,230,,,3,80201,,,0,0,0,0,0.0,578,60,,,2,1,3.9,3.9,2,Bernd,3.4,16,0,27.0,198,13,False,269.2,44,13,1170,,,50,0,0,,0,,80201.jpg,3.5,0,33,Leno,7.7,False,,a,1,3,0.0,570,60,45,421345,1469,493373,25556,0.7,9.0,Leno,0,Arsenal,12.857142857142858,47.56549566186493,0.0,0.0,0.0,0.0,3.3314843347923215,14.565495661864928,1.099999999999998,0.0,0.0,0.0,0.0,0.0,3.699538551478384,6.274923012311929,0.0,0.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,3.1991482734714562,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.2047768476488083,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,5.963272882726876,0.0,0.0,0.2999999999999989,1.0,0.0,0.0,2.661195552886346,0.0,0.0,1.8000000000000007,0.0,0.0,0.0,6.328339994495595,0.0,0.0,2.5,1.0,0.0,0.0,2.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.4261226388505337,0.0,0.0,0.5,0.0,0.0,0.0,3.626278638962397,0.0,0.0,0.9000000000000004,0.0,0.0,0.0,3.9397226925734543,4.078916961420765,3.4169015353139685,3.768491426383593,3.766803500197556,0.7399077102956768,1.6544839372973543,0.0,0.0,0.7879445385146908
9,0,0,79,0.0,0.0,2,84450,,,0,0,-3,3,48.9,221,130,1.0,,0,3,0.0,0.0,0,Granit,0.8,11,0,17.8,264,126,False,97.6,230,95,724,Suspended until 26 Dec,2020-12-13T22:30:16.182130Z,52,0,0,,0,,84450.jpg,1.4,1,0,Xhaka,0.4,False,,s,1,3,32.0,248,128,14,23076,21,60667,1240,0.2,2.7,Xhaka,2,Arsenal,10.0,16.63217971202929,0.3,1.5,,,,2.8321797120292915,1.099999999999998,0.0,0.1,0.30000000000000004,,,1.6632179712029291,4.1187307530779815,0.2,0.0,0.2,1.0,0.1,0.0,2.149568619222635,0.0,0.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,1.801194211912202,0.09999999999999998,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,2.0820849986238987,0.0,0.0,2.5,1.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,1.6065306597126334,0.0,0.0,0.5,0.0,0.0,0.0,-2.0,0.0,0.0,0.9000000000000004,0.0,0.0,0.0,0.9838031555695346,1.2832862568759924,1.5737049733333073,1.6703495406723796,1.6692380280505277,0.3198496098467171,0.7293693297495483,0.4,0.04,0.18919291453260279
10,0,0,0,100.0,100.0,0,92371,,,0,0,-1,1,0.0,488,196,,,0,2,0.5,0.5,0,Pablo,0.0,0,0,0.0,510,197,False,0.0,507,197,0,,2020-08-15T10:00:11.357231Z,44,0,0,,0,,92371.jpg,0.0,0,0,Marí,0.0,False,,a,1,3,0.0,459,185,0,811,58,987,67,0.0,0.0,Marí,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
