id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,xG_week14,goals_week14,xPoints week 14,clean_sheet_points,xGA_week14,cleansheet_week14,xA,xA_points,xA_week14,assists_week14,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,xPoints week 5,xG_week5,goals_week5,xGA_week5,cleansheet_week5,xA_week5,assists_week5,xPoints week 6,xG_week6,goals_week6,xGA_week6,cleansheet_week6,xA_week6,assists_week6,xPoints week 7,xG_week7,goals_week7,xGA_week7,cleansheet_week7,xA_week7,assists_week7,xPoints week 8,xG_week8,goals_week8,xGA_week8,cleansheet_week8,xA_week8,assists_week8,xPoints week 9,xG_week9,goals_week9,xGA_week9,cleansheet_week9,xA_week9,assists_week9,xPoints week 10,xG_week10,goals_week10,xGA_week10,cleansheet_week10,xA_week10,assists_week10,xPoints week 11,xG_week11,goals_week11,xGA_week11,cleansheet_week11,xA_week11,assists_week11,xPoints week 12,xG_week12,goals_week12,xGA_week12,cleansheet_week12,xA_week12,assists_week12,xPoints week 13,xG_week13,goals_week13,xGA_week13,cleansheet_week13,xA_week13,assists_week13,form 5,form 10,next1_xP,next5_xP,next10_xP,value,value form 5,valuePoints metric,xG+xA,xG+xA per game
1,0,0,0,0.0,0.0,0,37605,,,0,0,-2,2,0.0,611,245,,,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,611,245,False,0.0,611,245,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.6,False,,n,1,3,0.0,611,245,0,3385,4,52554,178,0.0,0.0,Özil,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0.0,0.0,0,39476,,,0,0,-2,2,0.0,558,210,,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,570,210,False,0.0,567,210,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,48,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,n,1,3,0.0,543,205,0,10248,6,18769,37,0.0,0.0,Sokratis,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,70,100.0,100.0,0,41270,,,0,0,-1,1,25.8,283,87,4.0,,0,2,0.4,0.9,1,David,0.4,9,0,16.5,281,90,False,99.4,242,92,479,,2020-11-26T23:30:22.462494Z,54,0,0,,0,,41270.jpg,1.1,0,0,Luiz Moreira Marinho,0.8,False,,a,1,3,40.0,236,69,9,38352,512,86014,802,0.1,1.7,David Luiz,0,Arsenal,8.181818181818182,19.779614298739475,0.2,1.2000000000000002,0.1,0.0,3.397315856468885,9.579614298739473,0.8000000000000007,0.0,0.0,0.0,0.0,0.0,2.4175084142903804,,,,,,,,1.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.5863878557664246,0.1,0.0,1.4000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,,,,2.5,0.0,,,0.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,,,,0.5,0.0,,,,,,0.9000000000000004,0.0,,,1.0,0.0,0.0,1.099999999999998,0.0,0.0,0.0,1.4657719521562949,1.7967407424470618,2.132990876399326,2.6336875959513133,2.4344899139242093,0.44768674338710746,0.2714392503993138,1.0403299808736604,0.2,0.024444444444444446
4,1,4,146,75.0,100.0,3,54694,,,0,0,-6,6,201.2,55,40,,,1,3,2.1,3.3,0,Pierre-Emerick,2.8,16,3,76.0,34,21,False,186.6,121,42,1166,Calf injury - 75% chance of playing,2020-12-19T20:30:20.434896Z,114,1,0,1.0,0,,54694.jpg,3.6,0,0,Aubameyang,7.8,False,,d,1,3,372.0,27,14,47,486655,433,3093245,34518,0.2,4.1,Aubameyang,2,Arsenal,13.055555555555555,50.34430635948034,3.1,15.02,,,,3.821497370716287,0.8000000000000007,0.0,1.5,4.5,,,3.8561596360453017,3.8187307530779817,0.4,1.0,0.2,1.0,0.0,0.0,5.617989671854215,0.09999999999999998,0.0,1.9,0.0,0.5,1.0,2.049787068367864,0.0,0.0,3.0,0.0,0.0,0.0,2.8187307530779817,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.7465969639416064,0.0,0.0,1.4000000000000004,0.0,0.5,0.0,4.101194211912203,0.30000000000000004,0.0,1.2000000000000002,0.0,0.10000000000000007,0.0,7.540818220681719,0.8999999999999999,1.0,0.2999999999999989,1.0,0.09999999999999988,0.0,2.7652988882215865,0.0,0.0,1.8000000000000007,0.0,0.2,0.0,3.2820849986239,0.30000000000000004,0.0,2.5,1.0,-0.09999999999999988,0.0,4.246596963941606,0.3999999999999999,0.0,1.4000000000000004,0.0,0.0,0.0,3.606530659712634,0.20000000000000007,0.0,0.5,0.0,0.0,0.0,1.7065696597405973,0.19999999999999973,0.0,0.9000000000000004,0.0,0.09999999999999988,0.0,7.132871083698082,0.3000000000000003,1.0,1.099999999999998,0.0,0.10000000000000007,0.0,4.1731420917732285,4.23650685005266,3.4573228230634374,3.897262546948215,3.8804422514723313,0.3382596171969563,0.36606509576958146,1.1420959164356723,4.6,0.35234042553191486
5,0,0,3,100.0,100.0,0,58822,,,0,0,-4,4,0.0,543,206,,,0,2,0.2,0.7,0,Cédric,0.2,0,0,0.0,557,206,False,0.0,554,206,5,,2020-09-23T09:00:14.881983Z,46,0,0,,0,,58822.jpg,1.0,0,0,Soares,0.2,False,,a,1,3,0.0,522,199,1,3701,55,33993,237,0.0,0.2,Cédric,0,Arsenal,1.0,2.1708417476237134,0.0,0.0,,,,1.1708417476237134,0.8000000000000007,0.0,0.0,0.0,,,2.1708417476237134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.099999999999998,0.0,0.0,0.0,1.0,1.0,1.9192788483911698,2.3883223801843223,2.1858082791379383,0.4719221190486334,0.2173913043478261,1.0121601837939593,0.0,0.0
6,0,3,103,,,2,59966,,,0,0,-3,3,121.6,121,17,,,0,4,0.8,1.3,1,Alexandre,0.8,7,3,54.7,70,20,False,150.0,167,19,657,,,82,0,0,3.0,0,,59966.jpg,2.8,0,0,Lacazette,2.4,False,,a,1,3,278.0,42,22,31,284003,691,449774,5015,0.1,3.8,Lacazette,2,Arsenal,11.071428571428573,32.1,2.9,11.6,0.0,0.0,1.0,0.0,0.8000000000000007,0.0,0.5,1.5,0.0,0.0,2.899354838709677,5.6,0.5,1.0,0.2,1.0,0.2,0.0,3.4,0.09999999999999998,1.0,1.9,0.0,0.0,0.0,7.800000000000002,1.2000000000000002,1.0,3.0,0.0,0.0,0.0,,,,0.20000000000000007,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,2.5,0.30000000000000004,0.0,1.2000000000000002,0.0,0.09999999999999998,0.0,2.3000000000000003,0.0,0.0,0.2999999999999989,1.0,0.10000000000000003,0.0,2.799999999999999,0.19999999999999973,0.0,1.8000000000000007,0.0,0.0,0.0,,,,2.5,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.3,0.5,0.0,0.5,0.0,0.09999999999999998,0.0,2.2,0.2999999999999998,0.0,0.9000000000000004,0.0,0.0,0.0,,,,1.099999999999998,0.0,,,1.875,2.0125,2.633494982552597,2.8888554503665427,2.9156104906071274,0.35357985837922895,0.22865853658536586,1.0124986287704787,3.4,0.30709677419354836
7,0,0,13,100.0,100.0,0,69140,,,0,0,0,0,1.0,401,156,,,0,2,0.0,0.5,0,Shkodran,0.0,1,0,1.3,417,158,False,11.6,399,156,44,,2020-08-15T10:00:11.331812Z,50,0,0,,0,,69140.jpg,1.0,0,0,Mustafi,0.0,False,,a,1,3,0.0,575,214,2,12088,92,12034,165,0.0,0.4,Mustafi,0,Arsenal,2.0,4.341683495247427,0.0,0.0,,,,2.341683495247427,0.8000000000000007,0.0,0.0,0.0,,,2.1708417476237134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.2999999999999989,0.0,0.0,0.0,,,,1.8000000000000007,0.0,,,,,,2.5,0.0,,,,,,1.4000000000000004,0.0,,,,,,0.5,0.0,,,,,,0.9000000000000004,0.0,,,,,,1.099999999999998,0.0,,,,1.0,1.9192788483911698,2.3883223801843223,2.1858082791379383,0.4341683495247427,,0.9708299432162132,0.0,0.0
8,0,5,240,,,3,80201,,,-1,1,-1,1,0.0,577,60,,,2,1,1.6,2.1,1,Bernd,1.6,18,0,27.8,207,14,False,277.6,51,13,1260,,,49,0,0,,0,,80201.jpg,3.3,0,34,Leno,7.2,False,,a,1,3,0.0,565,59,46,423770,1662,533871,28543,0.3,9.4,Leno,0,Arsenal,13.93939393939394,50.3208243608154,0.0,0.0,0.0,0.0,2.7973158564688854,16.3208243608154,0.8000000000000007,0.0,0.0,0.0,0.0,0.0,3.6099721824063216,6.274923012311929,0.0,0.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,3.1991482734714562,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.2047768476488083,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,5.963272882726876,0.0,0.0,0.2999999999999989,1.0,0.0,0.0,2.661195552886346,0.0,0.0,1.8000000000000007,0.0,0.0,0.0,6.328339994495595,0.0,0.0,2.5,1.0,0.0,0.0,2.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.4261226388505337,0.0,0.0,0.5,0.0,0.0,0.0,3.626278638962397,0.0,0.0,0.9000000000000004,0.0,0.0,0.0,3.3314843347923215,0.0,0.0,1.099999999999998,0.0,0.0,0.0,3.2335178649681127,3.831156245836461,3.3584092831737777,3.82745281496693,3.624938713920546,0.7367290168176166,0.6599016050955332,1.6308191980361142,0.0,0.0
9,0,0,79,100.0,0.0,2,84450,,,0,0,-3,3,48.9,230,137,1.0,,0,3,0.2,0.0,0,Granit,0.2,11,0,17.8,271,130,False,97.6,243,102,724,,2020-12-13T22:30:16.182130Z,52,0,0,,0,,84450.jpg,1.4,1,0,Xhaka,0.4,False,,a,1,3,32.0,255,132,14,23186,106,61741,614,0.0,2.7,Xhaka,2,Arsenal,10.0,16.727104369059287,0.3,1.5,,,,2.9271043690592835,0.8000000000000007,0.0,0.1,0.30000000000000004,,,1.6727104369059282,4.1187307530779815,0.2,0.0,0.2,1.0,0.1,0.0,2.149568619222635,0.0,0.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,1.801194211912202,0.09999999999999998,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,2.0820849986238987,0.0,0.0,2.5,1.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,1.6065306597126334,0.0,0.0,0.5,0.0,0.0,0.0,-2.0,0.0,0.0,0.9000000000000004,0.0,0.0,0.0,,,,1.099999999999998,0.0,,,0.6177092078847466,1.330500633021991,1.569375382835074,1.7254833598510235,1.6789249852039985,0.3216750840203708,0.11879023228552818,0.7335320513334544,0.4,0.04
10,0,0,0,100.0,100.0,0,92371,,,0,0,-1,1,0.0,496,198,,,0,2,0.0,0.5,0,Pablo,0.0,0,0,0.0,517,199,False,0.0,513,199,0,,2020-08-15T10:00:11.357231Z,44,0,0,,0,,92371.jpg,0.0,0,0,Marí,0.0,False,,a,1,3,0.0,469,188,0,889,49,1088,68,0.0,0.0,Marí,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
