id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xGA_week17,cleansheet_week17,xA,xA_points,xG_week17,goals_week17,xPoints week 17,xA_week17,assists_week17,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,xPoints week 5,xG_week5,goals_week5,xGA_week5,cleansheet_week5,xA_week5,assists_week5,xPoints week 6,xG_week6,goals_week6,xGA_week6,cleansheet_week6,xA_week6,assists_week6,xPoints week 7,xG_week7,goals_week7,xGA_week7,cleansheet_week7,xA_week7,assists_week7,xPoints week 8,xG_week8,goals_week8,xGA_week8,cleansheet_week8,xA_week8,assists_week8,xPoints week 9,xG_week9,goals_week9,xGA_week9,cleansheet_week9,xA_week9,assists_week9,xPoints week 10,xG_week10,goals_week10,xGA_week10,cleansheet_week10,xA_week10,assists_week10,xPoints week 11,xG_week11,goals_week11,xGA_week11,cleansheet_week11,xA_week11,assists_week11,xPoints week 12,xG_week12,goals_week12,xGA_week12,cleansheet_week12,xA_week12,assists_week12,xPoints week 13,xG_week13,goals_week13,xGA_week13,cleansheet_week13,xA_week13,assists_week13,xPoints week 14,xG_week14,goals_week14,xGA_week14,cleansheet_week14,xA_week14,assists_week14,xPoints week 15,xG_week15,goals_week15,xGA_week15,cleansheet_week15,xA_week15,assists_week15,xPoints week 16,xG_week16,goals_week16,xGA_week16,cleansheet_week16,xA_week16,assists_week16,form 5,form 10,next1_xP,next5_xP,next10_xP,value,value form 5,value form 10,valuePoints metric,xG+xA,xG+xA per game
1,0,0,0,0.0,0.0,0,37605,,,0,0,-2,2,0.0,625,248,,,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,625,248,False,0.0,625,248,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.5,False,,n,1,3,0.0,625,248,0,3425,10,53241,227,0.0,0.0,Özil,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0.0,0.0,0,39476,,,0,0,-2,2,0.0,574,215,,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,586,215,False,0.0,584,215,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,48,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,n,1,3,0.0,566,212,0,10261,3,18892,40,0.0,0.0,Sokratis,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,70,100.0,75.0,0,41270,,,0,0,-1,1,25.8,299,94,4.0,,0,2,0.8,1.0,0,David,0.3,9,0,16.5,302,99,False,99.4,263,100,479,,2020-12-26T18:00:15.638627Z,54,0,0,,0,,41270.jpg,1.1,0,0,Luiz Moreira Marinho,0.7,False,,a,1,3,40.0,268,83,9,40015,901,90942,1071,0.1,1.7,David Luiz,0,Arsenal,8.181818181818182,19.94197678859311,0.2,1.2000000000000002,9.741976788593114,0.4000000000000021,0.0,0.0,0.0,,,,,,2.4373527186058244,,,,,,,,1.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.5863878557664246,0.1,0.0,1.4000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,,,,2.5,0.0,,,0.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,,,,0.5,0.0,,,,,,0.9000000000000004,0.0,,,1.0,0.0,0.0,1.099999999999998,0.0,0.0,0.0,3.397315856468885,0.1,0.0,0.8000000000000007,0.0,0.0,0.0,,,,2.2,0.0,,,,,,0.8000000000000007,0.0,,,2.1986579282344425,1.4657719521562949,3.0471784609303216,2.727168006587097,2.45107026877681,0.4513616145566341,0.4071588755989708,0.2714392503993138,1.0488696097770809,0.2,0.024444444444444446
4,1,4,154,100.0,100.0,5,54694,,,-1,1,-7,7,214.3,62,42,,,1,3,3.2,3.7,3,Pierre-Emerick,2.7,16,3,84.6,39,25,False,198.8,148,56,1346,,2020-12-19T20:30:20.434896Z,113,1,0,1.0,0,,54694.jpg,3.5,0,0,Aubameyang,7.2,False,,a,1,3,433.0,25,14,53,513491,5006,3166629,17006,0.2,4.7,Aubameyang,2,Arsenal,15.142857142857142,61.99531564322876,4.5,22.02,4.507597196626813,0.4000000000000021,1.0,1.5,4.5,0.7999999999999998,0.0,6.670320046035638,0.0,0.0,4.094030278326428,3.8187307530779817,0.4,1.0,0.2,1.0,0.0,0.0,5.617989671854215,0.09999999999999998,0.0,1.9,0.0,0.5,1.0,2.049787068367864,0.0,0.0,3.0,0.0,0.0,0.0,2.8187307530779817,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.7465969639416064,0.0,0.0,1.4000000000000004,0.0,0.5,0.0,4.101194211912203,0.30000000000000004,0.0,1.2000000000000002,0.0,0.10000000000000007,0.0,7.540818220681719,0.8999999999999999,1.0,0.2999999999999989,1.0,0.09999999999999988,0.0,2.7652988882215865,0.0,0.0,1.8000000000000007,0.0,0.2,0.0,3.2820849986239,0.30000000000000004,0.0,2.5,1.0,-0.09999999999999988,0.0,4.246596963941606,0.3999999999999999,0.0,1.4000000000000004,0.0,0.0,0.0,3.606530659712634,0.20000000000000007,0.0,0.5,0.0,0.0,0.0,1.7065696597405973,0.19999999999999973,0.0,0.9000000000000004,0.0,0.09999999999999988,0.0,7.132871083698082,0.3000000000000003,1.0,1.099999999999998,0.0,0.10000000000000007,0.0,,,,0.8000000000000007,0.0,,,,,,2.2,0.0,,,5.449328964117222,0.6000000000000001,0.0,0.8000000000000007,1.0,0.0,0.0,6.417506697950313,4.357450158011408,4.4844795400231465,4.158539397585157,4.066369655713983,0.3623035644536661,0.5679209467212666,0.3856150582310981,1.217900555389848,6.0,0.3962264150943397
5,0,0,3,100.0,100.0,0,58822,,,0,0,-4,4,0.0,559,212,,,0,2,0.7,1.2,0,Cédric,0.2,0,0,0.0,574,212,False,0.0,571,211,5,,2020-09-23T09:00:14.881983Z,46,0,0,,0,,58822.jpg,1.0,0,0,Soares,0.2,False,,a,1,3,0.0,547,207,1,4096,153,34934,276,0.0,0.2,Cédric,0,Arsenal,1.0,2.190686051939158,0.0,0.0,1.1906860519391582,0.4000000000000021,0.0,0.0,0.0,,,,,,2.190686051939158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.099999999999998,0.0,0.0,0.0,,,,0.8000000000000007,0.0,,,,,,2.2,0.0,,,,,,0.8000000000000007,0.0,,,1.0,1.0,2.7801545602651387,2.4811809073481434,2.207062953747231,0.4762360982476431,0.2173913043478261,0.2173913043478261,1.0214126383891275,0.0,0.0
6,0,9,214,,,3,59966,,,1,-1,-2,2,159.2,101,11,,,1,4,5.3,5.8,12,Alexandre,4.8,8,7,89.6,34,12,False,309.0,53,9,861,,,83,0,0,3.0,0,,59966.jpg,4.1,0,0,Lacazette,6.7,False,,a,1,3,430.0,27,13,58,483369,119384,480834,15268,0.6,7.0,Lacazette,2,Arsenal,14.146341463414636,51.32,5.0,19.52,0.0,0.4000000000000021,1.0,0.6,1.7999999999999998,1.0,2.0,8.3,0.09999999999999998,0.0,3.6277931034482753,5.6,0.5,1.0,0.2,1.0,0.2,0.0,3.4,0.09999999999999998,1.0,1.9,0.0,0.0,0.0,7.800000000000002,1.2000000000000002,1.0,3.0,0.0,0.0,0.0,,,,0.20000000000000007,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,2.5,0.30000000000000004,0.0,1.2000000000000002,0.0,0.09999999999999998,0.0,2.3000000000000003,0.0,0.0,0.2999999999999989,1.0,0.10000000000000003,0.0,2.799999999999999,0.19999999999999973,0.0,1.8000000000000007,0.0,0.0,0.0,,,,2.5,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.3,0.5,0.0,0.5,0.0,0.09999999999999998,0.0,2.2,0.2999999999999998,0.0,0.9000000000000004,0.0,0.0,0.0,,,,1.099999999999998,0.0,,,1.0,0.0,0.0,0.8000000000000007,0.0,0.0,0.0,8.0,1.0,1.0,2.2,0.0,0.0,0.0,3.4000000000000004,0.10000000000000007,1.0,0.8000000000000007,0.0,0.0,0.0,5.175000000000002,3.75,3.836978041333662,3.620810068809811,3.6004663896589655,0.4370835064395512,0.6234939759036146,0.4518072289156626,1.2592253691426305,5.6,0.3958620689655172
7,0,0,16,100.0,100.0,0,69140,,,0,0,0,0,1.0,409,161,,,0,2,0.7,1.2,0,Shkodran,0.2,1,0,1.3,434,165,False,11.6,415,163,45,,2020-08-15T10:00:11.331812Z,50,0,0,,0,,69140.jpg,1.0,0,0,Mustafi,0.1,False,,a,1,3,0.0,593,220,3,12898,253,12730,280,0.0,0.6,Mustafi,0,Arsenal,3.0,6.572058155817474,0.0,0.0,3.5720581558174747,0.4000000000000021,0.0,0.0,0.0,,,,,,2.190686051939158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.2999999999999989,0.0,0.0,0.0,,,,1.8000000000000007,0.0,,,,,,2.5,0.0,,,,,,1.4000000000000004,0.0,,,,,,0.5,0.0,,,,,,0.9000000000000004,0.0,,,,,,1.099999999999998,0.0,,,,,,0.8000000000000007,0.0,,,1.0,0.0,0.0,2.2,0.0,0.0,0.0,,,,0.8000000000000007,0.0,,,1.0,1.0,2.7801545602651387,2.4811809073481434,2.207062953747231,0.4381372103878317,0.2,0.2,0.9797045858993184,0.0,0.0
8,0,6,320,,,5,80201,,,0,0,-1,1,0.0,592,62,,,2,1,4.8,5.3,7,Bernd,4.3,19,0,35.3,195,13,False,352.8,35,13,1530,,,49,0,0,,1,,80201.jpg,3.9,0,41,Leno,9.4,False,,a,1,3,0.0,586,61,67,587810,62790,598440,18810,0.9,13.7,Leno,0,Arsenal,17.179487179487182,67.45537576408296,0.0,0.0,20.455375764082973,0.4000000000000021,1.0,0.0,0.0,0.0,0.0,5.68128018414255,0.0,0.0,3.9265069474615455,6.274923012311929,0.0,0.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,3.1991482734714562,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.2047768476488083,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,5.963272882726876,0.0,0.0,0.2999999999999989,1.0,0.0,0.0,2.661195552886346,0.0,0.0,1.8000000000000007,0.0,0.0,0.0,6.328339994495595,0.0,0.0,2.5,1.0,0.0,0.0,2.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.4261226388505337,0.0,0.0,0.5,0.0,0.0,0.0,3.626278638962397,0.0,0.0,0.9000000000000004,0.0,0.0,0.0,3.3314843347923215,0.0,0.0,1.099999999999998,0.0,0.0,0.0,2.7973158564688854,0.0,0.0,0.8000000000000007,0.0,0.0,0.0,8.443212633449336,0.0,0.0,2.2,0.0,0.0,0.0,3.797315856468885,0.0,0.0,0.8000000000000007,1.0,0.0,0.0,4.8101217730643935,4.3078933546283285,4.515975455787526,4.217001802870531,3.9428838492696183,0.8013279484615399,0.9816575047070191,0.8791619091078221,1.77381502892194,0.0,0.0
9,0,1,136,100.0,100.0,4,84450,,,0,0,-3,3,61.4,217,131,1.0,,0,3,2.5,3.0,3,Granit,2.0,12,1,28.5,234,111,False,157.2,191,77,994,,2020-12-13T22:30:16.182130Z,52,0,0,,0,,84450.jpg,2.2,1,0,Xhaka,0.4,False,,a,1,3,67.0,207,111,28,29773,1469,65198,1373,0.4,5.4,Xhaka,2,Arsenal,12.727272727272727,26.088546528897318,0.6,3.0,3.7885465288973212,0.4000000000000021,1.0,0.1,0.30000000000000004,0.0,0.0,2.6703200460356378,0.0,0.0,2.049814370127647,4.1187307530779815,0.2,0.0,0.2,1.0,0.1,0.0,2.149568619222635,0.0,0.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,1.801194211912202,0.09999999999999998,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,2.0820849986238987,0.0,0.0,2.5,1.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,1.6065306597126334,0.0,0.0,0.5,0.0,0.0,0.0,-2.0,0.0,0.0,0.9000000000000004,0.0,0.0,0.0,,,,1.099999999999998,0.0,,,,,,0.8000000000000007,0.0,,,3.6108031583623337,0.10000000000000003,1.0,2.2,0.0,0.0,0.0,3.449328964117221,0.2,0.0,0.8000000000000007,1.0,0.0,0.0,3.243484056171732,1.9522378272561904,2.2331701787422342,2.1212367058487582,2.0492072417926717,0.3941950711783936,0.6237469338791791,0.3754303513954213,0.8989030657056197,0.7,0.055
10,0,1,63,100.0,100.0,2,92371,,,0,0,-1,1,11.7,351,128,,,0,2,2.8,3.3,6,Pablo,2.3,1,0,7.4,366,133,False,59.0,321,123,270,,2020-08-15T10:00:11.357231Z,44,0,0,,0,,92371.jpg,4.7,0,0,Marí,0.3,False,,a,1,3,4.0,380,147,14,20548,9068,4402,2257,0.5,3.2,Marí,1,Arsenal,2.9787234042553186,9.546724410031537,0.0,0.0,3.546724410031535,0.4000000000000021,1.0,0.0,0.0,0.0,0.0,4.681280184142551,0.0,0.0,3.2049717662248725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4432126334493358,0.0,0.0,2.2,0.0,0.0,0.0,4.797315856468885,0.0,0.0,0.8000000000000007,1.0,0.0,0.0,3.6406028913535913,3.6406028913535913,3.794440274550853,3.4954666216338577,3.2213486680329453,0.7284026741420164,0.8274097480349071,0.8274097480349071,1.5279103393418931,0.0,0.0
