id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week19,assists_week2,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week19,cleansheet_week2,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 5,games played,gameweek,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week19,goals_week2,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,next10_xP,next1_xP,next5_xP,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week19,xA_week2,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week19,xGA_week2,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week19,xG_week2,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 19,xPoints week 2,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,yellow_cards
1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,37605,,,0,0,-3,3,0.0,641,257,,,0,3,0.0,0.0,0,Mesut,0.0,,,,19,0,0,,,,,,,,,,,,,,,,,,,,0.0,641,257,False,0.0,641,257,0,Not included in Arsenal's 25-man Premier League squad,2020-10-20T22:30:18.118477Z,,,,67,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.5,False,,u,1,3,Arsenal,0.0,641,257,0,3441,3,53623,192,,,,,0.0,0.0,Özil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,,,0,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,39476,,,0,0,-2,2,0.0,589,219,,,0,2,0.0,0.0,0,Sokratis,0.0,,,,19,0,0,,,,,,,,,,,,,,,,,,,,0.0,602,219,False,0.0,599,219,0,Left the club by mutual consent on 20/1,2020-10-21T10:30:18.546407Z,,,,48,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,u,1,3,Arsenal,0.0,582,215,0,10266,1,18947,22,,,,,0.0,0.0,Sokratis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,28.23218440597548,2.8232184405975485,0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,108,100.0,100.0,12.632184405975478,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41270,,,0,0,-1,1,28.8,312,100,4.0,,0,2,2.7,2.7,6,David,2.2,2.8464213007763073,4.917395323706325,10.0,19,9,0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20.0,298,98,False,115.4,259,99,659,,2020-12-26T18:00:15.638627Z,2.7094176246239594,3.137676354661151,2.74055943996881,54,0,0,,0,,41270.jpg,2.0,0,0,Luiz Moreira Marinho,0.8,False,,a,1,3,Arsenal,56.0,251,77,20,43007,1128,92700,751,0.5228182297402867,0.5271150556993163,0.9106287636493196,1.2149197781266643,0.4,3.7,David Luiz,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6,0.6,0.06,,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,3.6,,0.0,,,0.0,0.1,,,,0.0,0.4,0.0,0.0,0.0,0.1,0.0,,,,7.36327288272688,,0.0,,,1.0,3.397315856468885,,,,2.4715177646857693,7.36327288272688,1.0,1.1991482734714558,5.274923012311927,3.5863878557664246,1.0,,,,1
4,76.25391424300155,4.510794927050796,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,202,75.0,100.0,5.338601743001541,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,54694,,,0,0,-7,7,226.3,70,49,,,1,3,4.0,5.3,15,Pierre-Emerick,4.8,5.427614379887367,6.682086668001505,16.9047619047619,19,16,5,1.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,101.8,32,22,False,272.2,114,39,1514,Personal Reasons - 75% chance of playing,2021-01-23T16:00:22.555453Z,4.355474073692304,4.306830138442397,4.5519324534771055,113,1,0,1.0,0,,54694.jpg,4.2,0,0,Aubameyang,7.2,False,,d,1,3,Arsenal,519.0,20,12,71,557854,34685,3206687,13713,0.3991853917744067,0.4803198566272006,0.591335103362965,1.341880561066736,0.4,6.3,Aubameyang,1.5,4.5,0.0,0.0,0.0,0.09999999999999988,0.10000000000000007,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.10000000000000007,0.09999999999999988,0.2,-0.09999999999999988,6.0,7.5,0.443661971830986,0.2,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,29.52,0.4,0.3999999999999999,0.20000000000000007,0.19999999999999973,0.3000000000000003,,,0.6000000000000001,0.7999999999999998,0.09999999999999963,1.4000000000000004,0.09999999999999998,0.0,0.0,0.0,0.30000000000000004,0.8999999999999999,0.0,0.30000000000000004,11.740818220681719,3.8187307530779817,4.246596963941606,3.606530659712634,1.7065696597405973,7.132871083698082,,,5.449328964117222,6.670320046035638,2.867879441171442,11.740818220681719,5.617989671854215,2.049787068367864,2.8187307530779817,3.7465969639416064,4.101194211912203,7.540818220681719,2.7652988882215865,3.2820849986239,2
5,11.221749381195094,5.610874690597547,1,,,,,0.0,,,,,,1.0,,,,,,,,,3,42,100.0,100.0,2.5264368811950955,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,58822,,,0,0,-4,4,32.3,302,93,,,0,2,2.9,2.9,12,Cédric,2.4,,10.65858538272688,2.0,19,0,0,,,,,0.0,,,,,,0.0,,,,,,,,,6.4,387,145,False,29.2,381,151,95,,2020-09-23T09:00:14.881983Z,5.4614369917085375,5.8459584995609575,5.545575422149058,46,0,0,,0,,58822.jpg,6.5,0,0,Soares,0.2,False,,a,1,3,Arsenal,2.0,400,151,13,5929,1594,35713,436,1.219755367521206,1.2672375416007482,2.3170837788536702,2.616083813708048,0.5,2.8,Cédric,0.6,1.7999999999999998,,,,,0.0,,,,,,0.6,,,,,,,,,0.0,0.6,0.3,,,,,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,10.65858538272688,,,,,1.0,,,,,,10.65858538272688,,,,,,,,,0
6,57.02,3.586741935483871,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,9,226,,,0.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,59966,,,0,0,-2,2,187.6,95,8,,,1,4,6.7,6.7,2,Alexandre,6.2,3.6555555555555554,5.080000000000001,15.897435897435901,19,8,7,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,,101.1,34,11,False,328.2,65,9,1031,,,3.4911801650423886,3.3738970009652007,3.63329277286973,83,0,0,3.0,0,,59966.jpg,3.9,0,0,Lacazette,6.2,False,,a,1,3,Arsenal,498.0,22,9,62,804608,63900,669917,48876,0.43213758258841817,0.4404283801874164,0.6120481927710842,1.2449763007256422,0.7,7.5,Lacazette,0.9,2.7,0.2,0.0,0.09999999999999998,0.0,,0.0,0.0,0.0,0.09999999999999998,0.0,0.30000000000000004,0.0,0.0,,0.0,0.09999999999999998,0.10000000000000003,0.0,,5.2,6.1000000000000005,0.3837096774193548,0.2,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,20.32,0.5,0.0,0.5,0.2999999999999998,,0.0,1.0,0.10000000000000007,1.0,0.0,0.20000000000000007,0.09999999999999998,1.2000000000000002,,0.0,0.30000000000000004,0.0,0.19999999999999973,,3.700000000000001,5.6,1.0,3.3,2.2,,1.0,8.0,3.4000000000000004,8.3,2.0,3.700000000000001,3.4,7.8000000000000025,,1.0,2.5,2.3000000000000003,2.799999999999999,,2
7,6.789655321792643,2.2632184405975475,0,,,,,,,0.0,,,,,,,,,0.0,0.0,,,0,16,100.0,100.0,3.789655321792643,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,69140,,,0,0,0,0,1.0,420,165,,,0,2,0.7,0.7,0,Shkodran,0.2,1.0,1.0,3.0,19,1,0,,,,,,,0.0,,,,,,,,,0.0,0.0,,,1.3,444,167,False,11.6,423,165,45,,2020-08-15T10:00:11.331812Z,2.173175546567573,2.630592424727945,2.1689862851819752,50,0,0,,0,,69140.jpg,1.0,0,0,Mustafi,0.1,False,,a,1,3,Arsenal,0.0,607,223,3,13254,117,13181,187,0.4526436881195095,0.2,0.2,1.0121420562214372,0.0,0.6,Mustafi,0.0,0.0,,,,,,,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,,,,,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,0.0,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,0
8,74.76053733504911,3.9746108456608384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,367,,,23.760537335049108,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,80201,,,0,0,0,0,0.0,613,65,,,2,1,7.1,7.1,6,Bernd,6.6,4.252418864631399,5.271319864294684,18.80952380952381,19,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,205,13,False,384.0,33,13,1710,,,3.8845679516308635,4.341984829791237,3.8803786902452666,50,0,0,,1,,80201.jpg,4.2,0,44,Leno,9.2,False,,a,1,3,Arsenal,0.0,609,63,79,742809,28966,694408,21267,0.7949221691321677,0.8504837729262796,1.0542639728589367,1.7775000070011118,1.3,15.8,Leno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96327288272688,6.274923012311929,2.9863878557664254,3.4261226388505337,3.626278638962397,3.331484334792321,2.7973158564688854,8.443212633449336,3.797315856468885,5.68128018414255,3.4715177646857693,4.96327288272688,2.5982744768905404,3.199148273471456,5.274923012311927,3.9863878557664254,3.2047768476488083,5.9632728827268755,2.661195552886346,6.328339994495595,0
9,30.968415976121374,2.0949222572082102,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1,175,100.0,100.0,4.6684159761213735,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84450,,,0,0,-3,3,74.6,213,131,1.0,,0,3,4.5,4.5,3,Granit,4.0,2.0865346817528243,2.9678299660736713,14.782608695652176,19,12,1,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,36.1,218,101,False,201.4,171,66,1174,,2020-12-13T22:30:16.182130Z,2.057679292887641,2.1539526019493898,2.0785407089451726,52,0,0,,0,,84450.jpg,2.3,1,0,Xhaka,0.4,False,,a,1,3,Arsenal,85.0,200,106,34,33018,1108,68630,1131,0.4028696648477327,0.4012566695678509,0.5707365319372446,0.9186841827546218,0.8,6.5,Xhaka,0.1,0.30000000000000004,0.1,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.6,0.7,0.047352941176470584,0.2,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,3.0,0.2,0.0,0.0,0.0,,,0.10000000000000003,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,,,0.0,2.7408182206817204,4.1187307530779815,2.2465969639416064,1.6065306597126334,-2.0,,,3.6108031583623337,3.449328964117221,2.6703200460356378,2.3678794411714423,2.7408182206817204,2.149568619222635,1.0,1.0,2.2465969639416064,1.801194211912202,,,2.0820849986238987,2
10,9.762778333694822,3.2775041548832617,0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,1,63,75.0,75.0,3.7627783336948233,2,,,,,,,0.0,1.0,1.0,0.0,0.0,,,,,,,,,92371,,,0,0,-1,1,11.7,358,132,,,0,2,2.5,2.5,0,Pablo,2.8,,,2.9787234042553186,19,1,0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,7.4,371,137,False,59.0,339,131,270,Calf injury - 75% chance of playing,2021-01-14T22:00:26.195009Z,3.187461260853288,3.644878139013658,3.183271999467689,44,0,0,,0,,92371.jpg,4.7,0,0,Marí,0.2,False,,d,1,3,Arsenal,4.0,389,149,14,31102,197,19095,3969,0.7448873079280139,0.8274097480349071,0.8274097480349071,1.5624887988890908,0.6,3.2,Marí,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.4432126334493358,4.797315856468885,4.681280184142551,,,,,,,,,,,1
