id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week19,assists_week2,assists_week20,assists_week21,assists_week22,assists_week23,assists_week24,assists_week25,assists_week26,assists_week27,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week19,cleansheet_week2,cleansheet_week20,cleansheet_week21,cleansheet_week22,cleansheet_week23,cleansheet_week24,cleansheet_week25,cleansheet_week26,cleansheet_week27,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week19,goals_week2,goals_week20,goals_week21,goals_week22,goals_week23,goals_week24,goals_week25,goals_week26,goals_week27,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,next10_xP,next1_xP,next5_xP,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week19,xA_week2,xA_week20,xA_week21,xA_week22,xA_week23,xA_week24,xA_week25,xA_week26,xA_week27,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week19,xGA_week2,xGA_week20,xGA_week21,xGA_week22,xGA_week23,xGA_week24,xGA_week25,xGA_week26,xGA_week27,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week19,xG_week2,xG_week20,xG_week21,xG_week22,xG_week23,xG_week24,xG_week25,xG_week26,xG_week27,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 19,xPoints week 2,xPoints week 20,xPoints week 21,xPoints week 22,xPoints week 23,xPoints week 24,xPoints week 25,xPoints week 26,xPoints week 27,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,yellow_cards
1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37605,,,0,0,-3,3,0.0,685,278,,,0,3,0.0,0.0,0,Mesut,0.0,,,,,,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,685,278,False,0.0,685,278,0,Not included in Arsenal's 25-man Premier League squad,2020-10-20T22:30:18.118477Z,,,,67,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.5,False,,u,1,3,Arsenal,0.0,685,278,0,3441,0,54548,49,,,,,0.0,0.0,Özil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,39476,,,0,0,-2,2,0.0,640,233,,,0,2,0.0,0.0,0,Sokratis,0.0,,,,,,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,651,232,False,0.0,648,232,0,Left the club by mutual consent on 20/1,2020-10-21T10:30:18.546407Z,,,,48,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,u,1,3,Arsenal,0.0,632,230,0,10266,0,19092,7,,,,,0.0,0.0,Sokratis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,45.56457074161625,2.709244746798805,0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,192,100.0,100.0,20.564570741616247,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41270,,,0,0,-1,1,43.2,319,103,4.0,,0,2,3.0,3.5,2,David,3.0,2.983878956225904,2.8411114965910937,2.6043522052085017,3.3072388138013147,16.818181818181817,27,16,1,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,35.8,283,95,False,206.8,231,93,1164,,2021-02-02T20:30:22.388696Z,2.88524167927212,2.751770874789233,2.7464065794832084,54,0,0,,0,,41270.jpg,2.2,1,0,Luiz Moreira Marinho,0.8,False,,a,1,3,Arsenal,111.0,221,60,37,61911,1154,108077,2047,0.5017119901479268,0.5525701770788711,0.6124516321854286,1.1658733094613,0.6,6.9,David Luiz,0.4,1.2000000000000002,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.8,1.2000000000000002,0.07135135135135137,,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,1.2000000000000028,1.3999999999999986,1.3999999999999986,1.3000000000000007,0.6000000000000014,2.099999999999998,0.5,1.6000000000000014,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,4.800000000000002,,0.0,,,0.0,0.1,,,,0.0,0.4,0.0,0.0,0.09999999999999998,0.0,,0.0,0.0,0.10000000000000007,0.0,0.0,0.0,0.1,0.0,,,,2.8075860719786205,,0.0,,,1.0,3.397315856468885,,,,2.4715177646857693,7.36327288272688,1.0,3.204776847648805,3.586387855766427,-3.0,,4.395246544376104,1.0,5.026122638850534,2.8075860719786205,1.1991482734714558,5.274923012311927,3.5863878557664246,1.0,,,,1
4,105.71477884772814,4.574197161680544,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,288,100.0,100.0,7.064825504026724,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,54694,,,1,-1,-6,6,260.9,98,68,,,2,3,7.8,8.3,8,Pierre-Emerick,7.8,5.472732780524352,5.730398394367797,4.915091469267881,5.534632916468333,23.11111111111111,27,20,9,1.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,2.0,0.0,,,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,139.0,36,24,False,408.4,101,33,1851,,2021-01-23T16:00:22.555453Z,4.612371586644618,4.473562436454624,4.5250145949941984,114,1,0,1.0,0,,54694.jpg,4.5,0,0,Aubameyang,7.9,False,,a,1,3,Arsenal,723.0,22,13,104,751583,46982,3329394,12392,0.4012453650596969,0.48006427899336424,0.48549411547967836,1.354760277685148,0.7,9.1,Aubameyang,1.6,4.800000000000002,0.0,0.0,0.0,0.09999999999999988,0.10000000000000007,,,0.0,0.0,0.0,0.0,0.5,,,0.0,0.0,0.10000000000000007,0.0,0.0,0.0,0.0,0.0,0.5,0.10000000000000007,0.09999999999999988,0.2,-0.09999999999999988,9.0,10.6,0.45865384615384613,0.2,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,1.2000000000000028,1.3999999999999986,1.3999999999999986,1.3000000000000007,0.6000000000000014,2.099999999999998,0.5,1.6000000000000014,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,44.04,0.4,0.3999999999999999,0.20000000000000007,0.19999999999999973,0.3000000000000003,,,0.6000000000000001,0.7999999999999998,0.09999999999999963,1.4000000000000004,0.09999999999999998,,,0.09999999999999963,0.10000000000000052,1.9,0.0,0.09999999999999963,0.8000000000000007,0.0,0.0,0.0,0.30000000000000004,0.8999999999999999,0.0,0.30000000000000004,7.2018965179946575,3.8187307530779817,4.246596963941606,3.606530659712634,1.7065696597405973,7.132871083698082,,,5.449328964117222,6.670320046035638,2.867879441171442,11.740818220681719,5.617989671854215,,,1.4999999999999982,1.5000000000000029,15.348811636094027,2.122456428252982,1.4999999999999982,7.2018965179946575,2.049787068367864,2.8187307530779817,3.7465969639416064,4.101194211912203,7.540818220681719,2.7652988882215865,3.2820849986239,2
5,29.644864208738984,3.6485986718447982,1,,,,,0.0,,,,,,1.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,3,111,100.0,100.0,9.93491086503758,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,58822,,,0,0,-4,4,109.0,217,54,5.0,,0,2,0.8,1.3,0,Cédric,0.8,4.3782334710387465,,,3.8704987851208967,8.125,27,7,0,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,25.5,331,115,False,100.6,329,128,609,,2020-09-23T09:00:14.881983Z,3.8242409403554967,3.6843499618238496,3.6822001684369337,46,0,0,,0,,58822.jpg,3.2,0,0,Soares,0.3,False,,a,1,3,Arsenal,45.0,329,117,26,26682,170,49548,1017,0.7931736243140867,0.9517898850084232,0.8414127793741081,1.7011679024172486,0.2,5.7,Cédric,0.9,2.7,,,,,0.0,,,,,,0.6,,0.20000000000000007,0.0,0.0,0.0,0.09999999999999998,,0.0,,,,,,,,,0.2,1.1,0.1353846153846154,,,,,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,,1.2000000000000028,1.3999999999999986,1.3999999999999986,1.3000000000000007,0.6000000000000014,2.099999999999998,0.5,1.6000000000000014,,,,,,,,1.2000000000000002,,,,,0.0,,,,,,0.0,,0.0,0.1,0.0,0.0,0.1,,0.0,,,,,,,,,,,,,,1.0,,,,,,10.65858538272688,,3.8047768476488053,2.586387855766427,1.9863878557664272,3.0901271721360497,4.095246544376104,,4.426122638850534,,,,,,,,,1
6,81.55990668740282,3.5342626231207888,2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,13,314,100.0,100.0,0.0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,59966,,,0,0,-4,4,237.3,112,12,3.0,,2,4,2.5,3.0,1,Alexandre,2.5,3.4329400855048324,3.968958520734114,3.5821447511496167,2.7750000000000004,23.07692307692308,27,12,9,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,,126.3,47,15,False,439.4,75,9,1440,,2021-01-30T23:00:18.185183Z,3.5302796171919617,3.4581787160695496,3.4942787475121992,81,0,0,2.0,0,,59966.jpg,3.9,0,0,Lacazette,4.0,False,,a,1,3,Arsenal,589.0,38,18,90,1233415,6712,1280441,21386,0.4363287189038011,0.4238197636425719,0.34259259259259267,1.2418133042514408,0.3,11.1,Lacazette,1.9,5.6999999999999975,0.2,0.0,0.09999999999999998,0.0,,0.0,0.0,0.0,0.09999999999999998,0.0,0.30000000000000004,0.0,0.6,0.0,0.10000000000000007,0.2999999999999998,,0.0,0.0,0.0,0.0,,0.0,0.09999999999999998,0.10000000000000003,0.0,,6.8,8.7,0.3769999999999999,0.2,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,1.2000000000000028,1.3999999999999986,1.3999999999999986,1.3000000000000007,0.6000000000000014,2.099999999999998,0.5,1.6000000000000014,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,26.24,0.5,0.0,0.5,0.2999999999999998,,0.0,1.0,0.10000000000000007,1.0,0.0,0.20000000000000007,0.09999999999999998,0.7000000000000002,0.09999999999999963,0.0,0.09999999999999963,,0.0,0.7000000000000002,0.0,1.2000000000000002,,0.0,0.30000000000000004,0.0,0.19999999999999973,,1.0,5.6,1.0,3.3,2.2,,1.0,8.0,3.4000000000000004,8.3,2.0,3.700000000000001,3.4,9.49874213836478,2.3999999999999986,2.197718631178708,2.299999999999998,,1.0,6.8000000000000025,1.0,7.800000000000002,,1.0,2.5,2.3000000000000003,2.799999999999999,,2
7,6.668274780936952,2.2227582603123177,0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,0,16,0.0,0.0,3.6682747809369527,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,69140,,,0,0,0,0,1.0,442,173,,,0,2,0.0,0.0,0,Shkodran,0.0,,1.0,1.0,,3.0,27,1,0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,1.3,470,177,False,11.6,452,174,45,Joined Schalke on a permanent deal on 1/2,2021-02-01T22:30:23.082979Z,2.399781851624786,2.284895761493572,2.270226329053284,50,0,0,,0,,69140.jpg,1.0,0,0,Mustafi,0.0,False,,u,1,3,Arsenal,0.0,657,238,3,13464,0,14365,29,0.44455165206246355,,,0.9940477135215031,0.0,0.6,Mustafi,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,,1.2000000000000028,1.3999999999999986,1.3999999999999986,1.3000000000000007,0.6000000000000014,2.099999999999998,0.5,1.6000000000000014,,,,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,0
8,98.85607046603144,3.794475432029489,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,475,100.0,100.0,31.85607046603144,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,80201,,,0,0,0,0,0.0,663,73,,,2,1,2.8,3.3,5,Bernd,2.8,3.7256804638679433,4.1129809314381065,4.0321083011102505,4.229695242054297,26.052631578947373,27,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.9,224,14,False,528.4,46,13,2321,,2021-02-02T20:30:22.406559Z,3.971499023341957,3.856612933210743,3.8419435007704537,50,0,0,,1,,80201.jpg,3.8,1,65,Leno,6.7,False,,a,1,3,Arsenal,0.0,659,69,99,843581,2408,995260,6869,0.7588950864058978,0.7451360927735886,0.8459390484108594,1.696941000994164,0.6,19.8,Leno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,1.2000000000000028,1.3999999999999986,1.3999999999999986,1.3000000000000007,0.6000000000000014,2.099999999999998,0.5,1.6000000000000014,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.807586071978622,6.274923012311929,2.9863878557664254,3.4261226388505337,3.626278638962397,3.3314843347923215,2.7973158564688854,8.443212633449336,3.797315856468885,5.68128018414255,3.4715177646857693,4.96327288272688,2.5982744768905404,4.204776847648805,3.9863878557664254,-0.01361214423357271,,4.1952465443761024,2.489825713011929,4.426122638850534,5.807586071978622,3.1991482734714562,5.274923012311927,3.9863878557664254,3.2047768476488083,5.963272882726876,2.661195552886346,6.328339994495595,0
9,52.196966041409894,2.2232041091711623,2,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1,296,100.0,100.0,7.177059354007082,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84450,,,0,0,-3,3,227.7,119,81,1.0,,0,3,2.5,3.0,2,Granit,2.5,2.655146430152654,2.790916651541672,2.3657134760188154,2.489927272302636,23.47826086956522,27,21,1,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,67.8,157,83,False,335.0,154,59,1894,,2020-12-13T22:30:16.182130Z,2.26655298099287,2.221412353499597,2.225965838625961,52,0,0,,0,,84450.jpg,2.3,1,0,Xhaka,0.4,False,,a,1,3,Arsenal,115.0,218,112,54,39715,452,77337,571,0.42753925176368507,0.5106050827216643,0.47883216775050697,0.974939496252454,0.5,10.4,Xhaka,1.3,3.9,0.1,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.10000000000000007,0.2,0.10000000000000007,0.09999999999999988,0.10000000000000007,0.0,0.0,0.0,0.0,,,0.0,0.7,2.0,0.08518518518518518,0.2,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,1.2000000000000028,1.3999999999999986,1.3999999999999986,1.3000000000000007,0.6000000000000014,2.099999999999998,0.5,1.6000000000000014,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,3.5,0.2,0.0,0.0,0.0,,,0.10000000000000003,0.2,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,,,0.0,2.5018965179946555,4.1187307530779815,2.2465969639416064,1.6065306597126334,-2.0,,,3.6108031583623337,3.449328964117221,2.6703200460356378,2.3678794411714423,2.7408182206817204,2.149568619222635,4.999936350276982,2.746596963941607,1.2465969639416068,1.5725317930340128,4.0462209625188965,1.4224564282529824,2.9065306597126335,2.5018965179946555,1.0,1.0,2.2465969639416064,1.801194211912202,,,2.0820849986238987,5
10,19.41065612310496,3.2027582603123177,0,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,1,105,100.0,100.0,7.410656123104956,2,,,,,,,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,92371,,,0,0,-1,1,23.2,364,132,,,0,2,1.5,2.0,2,Pablo,1.5,3.2411781412803613,,,3.2411781412803613,6.0606060606060606,27,4,0,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,13.8,373,136,False,101.6,327,127,540,,2021-01-14T22:00:26.195009Z,3.379781851624786,3.2648957614935714,3.2502263290532833,44,0,0,,0,,92371.jpg,3.3,0,0,Marí,0.1,False,,a,1,3,Arsenal,14.0,380,142,20,34214,711,29415,338,0.7278996046164358,0.7366313957455366,0.7366313957455366,1.5268550918025456,0.3,4.5,Marí,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,,1.2000000000000028,1.3999999999999986,1.3999999999999986,1.3000000000000007,0.6000000000000014,2.099999999999998,0.5,1.6000000000000014,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,2.8075860719786205,,,,,,,1.4432126334493358,4.797315856468885,4.681280184142551,,,,,,,,,2.489825713011929,4.426122638850534,2.8075860719786205,,,,,,,,1
