id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,xG_week5,goals_week5,xPoints week 5,clean_sheet_points,xGA_week5,cleansheet_week5,xA,xA_points,xA_week5,assists_week5,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,next1_xP,next5_xP,next10_xP,value,valuePoints metric
1,0,0,0,0.0,,0,37605,,,0,0,-2,2,0.0,585,236,,,0,3,0.0,-0.5,0,Mesut,0.0,0,0,0.0,586,237,False,0.0,585,237,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.7,False,,n,1,3,0.0,585,236,0,3189,256,43052,2292,0.0,0.0,Özil,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0.0,100.0,0,39476,,,0,0,-1,1,0.0,508,197,,,0,2,0.0,-0.5,0,Sokratis,0.0,0,0,0.0,521,197,False,0.0,518,197,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,49,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,n,1,3,0.0,488,188,0,10176,181,16933,376,0.0,0.0,Sokratis,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,39,100.0,100.0,0,41270,,,0,0,0,0,7.3,263,81,4.0,,0,2,1.7,1.2,2,David,1.7,5,0,8.4,217,70,False,57.8,154,61,271,,2020-09-10T14:30:11.632386Z,55,0,0,,0,,41270.jpg,1.5,0,0,Luiz Moreira Marinho,1.1,False,,a,1,3,19.0,198,57,6,25047,4659,46311,3311,0.3,1.1,David Luiz,0,Arsenal,4.0,10.789530697285215,0.1,0.6000000000000001,0.1,0.0,3.5863878557664246,4.189530697285217,1.4000000000000004,0.0,0.0,0.0,0.0,0.0,2.697382674321304,,,,,,,,1.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,2.687274246379639,2.6552033317745574,2.5182637205048377,0.4904332135129643,1.1501678369010284
4,1,0,61,100.0,75.0,1,54694,,,0,0,-2,2,87.1,45,34,6.0,,0,3,2.0,1.1,2,Pierre-Emerick,2.0,6,1,27.9,43,23,False,86.8,87,30,450,,2020-10-08T09:00:12.305506Z,118,0,0,1.0,0,,54694.jpg,3.6,0,0,Aubameyang,17.3,False,,a,1,3,105.0,38,19,18,343403,9790,2263736,183020,0.2,1.5,Aubameyang,1,Arsenal,5.0,17.100262825660252,0.5,2.5,0.0,0.0,3.7465969639416064,1.3092283429016298,1.4000000000000004,0.0,1.0,3.0,0.5,0.0,3.4200525651320506,3.8187307530779817,0.4,1.0,0.2,1.0,0.0,0.0,5.617989671854215,0.09999999999999998,0.0,1.9,0.0,0.5,1.0,2.049787068367864,0.0,0.0,3.0,0.0,0.0,0.0,2.8187307530779817,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.3017417361063246,3.4966062271455134,3.4009156629756485,0.2898349631467839,0.9956157939562388
5,0,0,0,100.0,100.0,0,58822,,,0,0,-2,2,0.0,492,193,,,0,2,0.0,-0.5,0,Cédric,0.0,0,0,0.0,508,193,False,0.0,505,193,0,,2020-09-23T09:00:14.881983Z,48,0,0,,0,,58822.jpg,0.0,0,0,Soares,0.2,False,,a,1,3,0.0,466,182,0,2287,201,28343,892,0.0,0.0,Cédric,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,3,82,,,1,59966,,,0,0,0,0,29.8,152,20,5.0,,0,4,2.7,2.2,1,Alexandre,2.7,3,3,27.6,44,16,False,112.0,50,11,256,,,85,0,0,3.0,0,,59966.jpg,5.5,0,0,Lacazette,4.2,False,,a,1,3,134.0,28,17,22,237167,5637,269179,46362,0.3,2.6,Lacazette,0,Arsenal,4.0,17.8,1.8,7.2,0.0,0.0,1.0,0.0,1.4000000000000004,0.0,0.2,0.6000000000000001,0.0,0.0,4.45,5.6,0.5,1.0,0.2,1.0,0.2,0.0,3.4,0.09999999999999998,1.0,1.9,0.0,0.0,0.0,7.8000000000000025,1.2000000000000002,1.0,3.0,0.0,0.0,0.0,,,,0.20000000000000007,0.0,,,4.237502816020137,4.609851360393215,4.497062146616981,0.5235294117647059,1.5263374077683287
7,0,0,0,100.0,0.0,0,69140,,,0,0,0,0,0.0,536,207,,,0,2,0.0,0.0,0,Shkodran,0.0,0,0,0.0,546,207,False,0.0,543,207,0,,2020-08-15T10:00:11.331812Z,50,0,0,,0,,69140.jpg,0.0,0,0,Mustafi,0.0,False,,a,1,3,0.0,525,202,0,9908,80,10266,65,0.0,0.0,Mustafi,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,2,100,,,1,80201,,,0,0,0,0,0.0,538,56,,,0,1,2.7,2.2,3,Bernd,2.7,6,0,11.1,169,8,False,110.6,51,7,450,,,50,0,0,,0,,80201.jpg,3.4,0,14,Leno,9.6,False,,a,1,3,0.0,527,55,17,319485,23497,252469,25227,0.5,3.4,Leno,0,Arsenal,5.0,18.23691337160652,0.0,0.0,0.0,0.0,3.9863878557664254,5.236913371606518,1.4000000000000004,0.0,0.0,0.0,0.0,0.0,3.647382674321304,6.274923012311929,0.0,0.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,3.199148273471456,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.65362018360886,3.5929070732827717,3.464643555380456,0.7294765348642608,1.6311591199474824
9,0,0,42,,,1,84450,,,0,0,-1,1,29.1,156,96,2.0,,0,3,1.3,0.8,2,Granit,1.3,5,0,8.7,207,95,False,37.8,221,88,317,,,54,0,0,,0,,84450.jpg,1.8,0,0,Xhaka,0.6,False,,a,1,3,21.0,192,103,9,19608,697,41061,3132,0.2,1.7,Xhaka,0,Arsenal,5.0,10.60922834290163,0.2,1.0,0.0,0.0,2.2465969639416064,1.3092283429016298,1.4000000000000004,0.0,0.1,0.30000000000000004,0.0,0.0,2.1218456685803257,4.1187307530779815,0.2,0.0,0.2,1.0,0.1,0.0,2.149568619222635,0.0,0.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,2.095072088038233,2.129540283039788,2.0824358417273783,0.39293438307043066,0.9130969930704381
10,0,0,0,0.0,0.0,0,92371,,,-1,1,-1,1,0.0,414,163,,,0,2,0.0,0.0,0,Pablo,0.0,0,0,0.0,439,166,False,0.0,435,166,0,Ankle injury - Expected back 07 Nov,2020-08-15T10:00:11.357231Z,44,0,0,,0,,92371.jpg,0.0,0,0,Marí,0.0,False,,i,1,3,0.0,377,149,0,227,44,576,52,0.0,0.0,Marí,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
