id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,xG_week6,goals_week6,xPoints week 6,clean_sheet_points,xGA_week6,cleansheet_week6,xA,xA_points,xA_week6,assists_week6,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,xPoints week 5,xG_week5,goals_week5,xGA_week5,cleansheet_week5,xA_week5,assists_week5,next1_xP,next5_xP,next10_xP,form 5,value,valuePoints metric,xG+xA,xG+xA per game
1,0,0,0,0.0,0.0,0,37605,,,0,0,-2,2,0.0,587,236,,,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,589,237,False,0.0,588,237,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.7,False,,n,1,3,0.0,588,236,0,3243,34,46297,2077,0.0,0.0,Özil,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0.0,0.0,0,39476,,,0,0,-1,1,0.0,518,202,,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,532,202,False,0.0,528,202,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,49,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,n,1,3,0.0,504,193,0,10193,16,17528,397,0.0,0.0,Sokratis,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,51,75.0,100.0,0,41270,,,0,0,0,0,9.8,281,87,4.0,,0,2,1.1,1.5,1,David,1.5,5,0,9.7,227,77,False,66.6,161,64,319,Thigh injury - 75% chance of playing,2020-10-25T21:30:13.186040Z,55,0,0,,0,,41270.jpg,1.4,0,0,Luiz Moreira Marinho,1.1,False,,d,1,3,21.0,209,59,7,29407,2198,52612,5187,0.3,1.3,David Luiz,0,Arsenal,5.0,12.960544774155451,0.1,0.6000000000000001,0.0,0.0,1.0,5.360544774155453,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,2.5921089548310903,,,,,,,,1.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.5863878557664246,0.1,0.0,1.4000000000000004,0.0,0.0,0.0,2.5428276265846588,2.402467706942828,2.46798765587554,2.4120918283099617,0.4712925372420164,1.1052789720835623,0.1,0.02
4,1,0,73,100.0,100.0,1,54694,,,-1,1,-3,3,103.1,41,31,6.0,,0,3,2.0,2.0,2,Pierre-Emerick,2.0,7,1,31.4,50,27,False,93.4,101,37,540,,2020-10-08T09:00:12.305506Z,117,0,0,1.0,0,,54694.jpg,3.3,0,0,Aubameyang,15.2,False,,a,1,3,117.0,41,22,20,352343,3911,2422201,91154,0.2,1.7,Aubameyang,1,Arsenal,6.0606060606060606,21.092926025838352,0.8,4.0,0.30000000000000004,0.0,4.101194211912203,1.6244075073198336,1.2000000000000002,0.0,1.1,3.3000000000000003,0.10000000000000007,0.0,3.480332794263328,3.8187307530779817,0.4,1.0,0.2,1.0,0.0,0.0,5.617989671854215,0.09999999999999998,0.0,1.9,0.0,0.5,1.0,2.049787068367864,0.0,0.0,3.0,0.0,0.0,0.0,2.8187307530779817,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.7465969639416064,0.0,0.0,1.4000000000000004,0.0,0.5,0.0,3.693373486633533,3.5024635283326497,3.3904800725731237,3.6668597338307736,0.2974643413900281,1.017484595688631,1.9000000000000001,0.3135
5,0,0,0,100.0,100.0,0,58822,,,-1,1,-3,3,0.0,495,196,,,0,2,0.0,0.0,0,Cédric,0.0,0,0,0.0,512,196,False,0.0,508,196,0,,2020-09-23T09:00:14.881983Z,47,0,0,,0,,58822.jpg,0.0,0,0,Soares,0.2,False,,a,1,3,0.0,472,185,0,2473,107,29284,485,0.0,0.0,Cédric,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,3,79,,,1,59966,,,-1,1,-1,1,51.2,115,16,5.0,,0,4,2.2,2.2,1,Alexandre,2.2,4,3,34.6,40,16,False,114.4,67,13,346,,,84,0,0,3.0,0,,59966.jpg,4.6,0,0,Lacazette,3.8,False,,a,1,3,180.0,23,15,23,241491,2123,307175,21409,0.3,2.7,Lacazette,1,Arsenal,5.0,20.3,2.1,8.4,0.30000000000000004,0.0,2.5,0.0,1.2000000000000002,0.0,0.3,0.8999999999999999,0.09999999999999998,0.0,4.06,5.6,0.5,1.0,0.2,1.0,0.2,0.0,3.4,0.09999999999999998,1.0,1.9,0.0,0.0,0.0,7.8000000000000025,1.2000000000000002,1.0,3.0,0.0,0.0,0.0,,,,0.20000000000000007,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,4.41689357636711,4.170128859631314,3.9668457570630484,3.675,0.4833333333333333,1.4008330854649789,2.4,0.48
7,0,0,9,100.0,100.0,0,69140,,,0,0,0,0,1.0,342,125,,,0,2,0.2,0.2,1,Shkodran,0.2,1,0,0.9,373,135,False,7.6,345,131,41,,2020-08-15T10:00:11.331812Z,50,0,0,,0,,69140.jpg,1.0,0,0,Mustafi,0.0,False,,a,1,3,0.0,532,204,1,10127,144,10325,47,0.0,0.2,Mustafi,0,Arsenal,1.0,2.0721089548310903,0.0,0.0,0.0,0.0,1.0,1.0721089548310905,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,2.0721089548310903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9998022345609745,1.8753626192246784,1.9539976070327632,1.0,0.41442179096621806,0.9266752959576718,0.0,0.0
8,0,2,111,,,1,80201,,,0,0,0,0,0.0,543,56,,,0,1,2.5,2.5,2,Bernd,2.5,7,0,12.3,185,9,False,122.6,52,9,540,,,50,0,0,,0,,80201.jpg,3.2,0,15,Leno,9.3,False,,a,1,3,0.0,534,55,19,329909,4380,283538,19787,0.5,3.8,Leno,0,Arsenal,5.9375,21.3656469193096,0.0,0.0,0.0,0.0,3.2047768476488083,6.365646919309598,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,3.5984247443047743,6.274923012311929,0.0,0.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,3.199148273471456,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.5261180240346586,3.4016784086983627,3.4803133965064474,3.652702093217832,0.7196849488609549,1.6092644680365549,0.0,0.0
9,0,0,47,,,1,84450,,,0,0,-1,1,33.8,161,98,2.0,,0,3,1.2,1.2,1,Granit,1.2,6,0,11.4,194,92,False,51.8,204,80,407,,,54,0,0,,0,,84450.jpg,1.7,0,0,Xhaka,0.6,False,,a,1,3,29.0,181,96,10,20308,444,44153,1824,0.2,1.9,Xhaka,1,Arsenal,5.882352941176473,12.376630815928076,0.3,1.5,0.09999999999999998,0.0,1.801194211912202,1.5766308159280742,1.2000000000000002,0.0,0.1,0.30000000000000004,0.0,0.0,2.1040272387077725,4.1187307530779815,0.2,0.0,0.2,1.0,0.1,0.0,2.149568619222635,0.0,0.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,2.144665308300639,2.0729586284874504,2.0591740263072724,1.6394719590152884,0.3896346738347727,0.90542916172022,0.4,0.06799999999999998
10,0,0,0,0.0,0.0,0,92371,,,0,0,-1,1,0.0,430,174,,,0,2,0.0,0.0,0,Pablo,0.0,0,0,0.0,453,175,False,0.0,448,175,0,Ankle injury - Expected back 07 Nov,2020-08-15T10:00:11.357231Z,44,0,0,,0,,92371.jpg,0.0,0,0,Marí,0.0,False,,i,1,3,0.0,398,158,0,251,15,631,35,0.0,0.0,Marí,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
