id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xGA_week8,cleansheet_week8,xA,xA_points,xG_week8,goals_week8,xPoints week 8,xA_week8,assists_week8,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,xPoints week 5,xG_week5,goals_week5,xGA_week5,cleansheet_week5,xA_week5,assists_week5,xPoints week 6,xG_week6,goals_week6,xGA_week6,cleansheet_week6,xA_week6,assists_week6,xPoints week 7,xG_week7,goals_week7,xGA_week7,cleansheet_week7,xA_week7,assists_week7,form 5,next1_xP,next5_xP,next10_xP,value,valuePoints metric,xG+xA,xG+xA per game
1,0,0,0,0.0,0.0,0,37605,,,0,0,-2,2,0.0,600,238,,,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,600,238,False,0.0,600,238,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.6,False,,n,1,3,0.0,600,238,0,3310,6,49728,575,0.0,0.0,Özil,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0.0,0.0,0,39476,,,0,0,-1,1,0.0,545,209,,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,556,209,False,0.0,554,209,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,49,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,n,1,3,0.0,533,203,0,10208,3,18199,111,0.0,0.0,Sokratis,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,51,100.0,100.0,0,41270,,,0,0,0,0,9.8,309,101,4.0,,0,2,1.3,1.3,0,David,0.8,5,0,9.7,268,90,False,66.6,200,83,319,,2020-10-25T21:30:13.186040Z,55,0,0,,0,,41270.jpg,1.4,0,0,Luiz Moreira Marinho,0.9,False,,a,1,3,21.0,236,70,7,32684,1254,66529,1413,0.1,1.3,David Luiz,0,Arsenal,5.0,13.3300959372038,0.1,0.6000000000000001,5.730095937203803,1.8000000000000007,0.0,0.0,0.0,,,,,,2.6660191874407597,,,,,,,,1.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.5863878557664246,0.1,0.0,1.4000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,3.287103622692784,2.37257599551538,2.74843502036706,2.780400664041406,0.4847307613528654,1.1367944011603448,0.1,0.02
4,1,1,111,100.0,100.0,2,54694,,,0,0,-3,3,147.8,32,25,6.0,,0,3,4.0,4.0,2,Pierre-Emerick,3.5,10,2,43.2,39,21,False,133.4,79,27,716,,2020-10-08T09:00:12.305506Z,117,0,0,1.0,0,,54694.jpg,3.8,0,0,Aubameyang,13.3,False,,a,1,3,151.0,44,25,30,411688,3547,2620774,46022,0.3,2.6,Aubameyang,2,Arsenal,7.894736842105264,30.638817774255088,1.7,8.02,2.2618799752120267,1.8000000000000007,0.0,1.4,4.199999999999998,0.0,0.0,2.7652988882215865,0.2,0.0,3.880916918072312,3.8187307530779817,0.4,1.0,0.2,1.0,0.0,0.0,5.617989671854215,0.09999999999999998,0.0,1.9,0.0,0.5,1.0,2.049787068367864,0.0,0.0,3.0,0.0,0.0,0.0,2.8187307530779817,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.7465969639416064,0.0,0.0,1.4000000000000004,0.0,0.5,0.0,4.101194211912203,0.30000000000000004,0.0,1.2000000000000002,0.0,0.10000000000000007,0.0,7.540818220681719,0.8999999999999999,1.0,0.2999999999999989,1.0,0.09999999999999988,0.0,4.1945278075670185,4.191917819274467,3.819796025331237,3.8370331197363567,0.3317023006899412,1.1345964350865474,3.0999999999999996,0.3926666666666666
5,0,0,0,100.0,100.0,0,58822,,,0,0,-3,3,0.0,521,203,,,0,2,0.5,0.5,0,Cédric,0.0,0,0,0.0,535,203,False,0.0,533,203,0,,2020-09-23T09:00:14.881983Z,47,0,0,,0,,58822.jpg,0.0,0,0,Soares,0.2,False,,a,1,3,0.0,498,193,0,2881,69,31050,296,0.0,0.0,Cédric,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,3,88,,,2,59966,,,0,0,-1,1,73.8,110,14,5.0,,0,4,2.0,2.0,2,Alexandre,1.5,5,3,38.3,50,16,False,126.4,97,14,485,,,84,0,0,3.0,0,,59966.jpg,3.9,0,0,Lacazette,3.3,False,,a,1,3,186.0,34,18,27,262595,3044,359518,9608,0.2,3.2,Lacazette,1,Arsenal,6.9230769230769225,25.4,2.3,9.2,0.0,1.8000000000000007,0.0,0.4,1.2000000000000002,0.19999999999999973,0.0,2.799999999999999,0.0,0.0,3.6688888888888886,5.6,0.5,1.0,0.2,1.0,0.2,0.0,3.4,0.09999999999999998,1.0,1.9,0.0,0.0,0.0,7.8000000000000025,1.2000000000000002,1.0,3.0,0.0,0.0,0.0,,,,0.20000000000000007,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,2.5,0.30000000000000004,0.0,1.2000000000000002,0.0,0.09999999999999998,0.0,2.3000000000000003,0.0,0.0,0.2999999999999989,1.0,0.10000000000000003,0.0,2.15,4.049289024529621,3.5880063647943827,3.597156754283865,0.4367724867724867,1.2658869316380297,2.6999999999999997,0.39
7,0,0,13,100.0,100.0,0,69140,,,0,0,0,0,1.0,369,141,,,0,2,1.0,1.0,0,Shkodran,0.5,1,0,1.3,390,145,False,11.6,358,140,44,,2020-08-15T10:00:11.331812Z,50,0,0,,0,,69140.jpg,1.0,0,0,Mustafi,0.0,False,,a,1,3,0.0,554,210,2,10704,143,10607,87,0.1,0.4,Mustafi,0,Arsenal,2.0,4.292038374881521,0.0,0.0,2.2920383748815207,1.8000000000000007,0.0,0.0,0.0,,,,,,2.1460191874407606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.2999999999999989,0.0,0.0,0.0,1.0,1.8221890024316532,2.2348960503982784,2.266130745799797,0.4292038374881521,0.9597289568272807,0.0,0.0
8,0,2,150,,,2,80201,,,0,0,0,0,0.0,564,59,,,1,1,4.0,4.0,2,Bernd,3.5,10,0,17.1,177,9,False,171.2,41,8,720,,,50,0,0,,0,,80201.jpg,3.5,0,21,Leno,9.2,False,,a,1,3,0.0,556,59,28,372766,4739,334688,12290,0.7,5.6,Leno,0,Arsenal,8.0,29.168153499526085,0.0,0.0,9.168153499526083,1.8000000000000007,0.0,0.0,0.0,0.0,0.0,2.661195552886346,0.0,0.0,3.6460191874407606,6.274923012311929,0.0,0.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,3.199148273471456,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.2047768476488083,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,5.9632728827268755,0.0,0.0,0.2999999999999989,1.0,0.0,0.0,4.218111230268076,3.322189002431653,3.7348960503982784,3.7661307457997966,0.7292038374881521,1.6305493500772175,0.0,0.0
9,0,0,47,,,1,84450,,,0,0,-2,2,33.8,190,119,2.0,,0,3,1.3,1.3,0,Granit,0.8,6,0,11.4,243,111,False,51.8,236,95,407,,,53,0,0,,0,,84450.jpg,1.7,0,0,Xhaka,0.5,False,,a,1,3,29.0,208,107,10,21254,112,51002,1198,0.2,1.9,Xhaka,1,Arsenal,5.882352941176473,12.485322334471707,0.3,1.5,1.6853223344717063,1.8000000000000007,0.0,0.1,0.30000000000000004,,,,,,2.12250479686019,4.1187307530779815,0.2,0.0,0.2,1.0,0.1,0.0,2.149568619222635,0.0,0.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,1.801194211912202,0.09999999999999998,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,1.6825970586179362,2.1190340829714183,2.128248386019964,2.1379209779660564,0.40047260318116795,0.9219571688875338,0.4,0.06799999999999998
10,0,0,0,0.0,0.0,0,92371,,,0,0,-1,1,0.0,453,184,,,0,2,0.0,0.0,0,Pablo,0.0,0,0,0.0,474,185,False,0.0,471,185,0,Ankle injury - Expected back 21 Nov,2020-08-15T10:00:11.357231Z,44,0,0,,0,,92371.jpg,0.0,0,0,Marí,0.0,False,,i,1,3,0.0,423,172,0,281,10,697,17,0.0,0.0,Marí,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
