id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xGA_week9,cleansheet_week9,xA,xA_points,xG_week9,goals_week9,xPoints week 9,xA_week9,assists_week9,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,xPoints week 5,xG_week5,goals_week5,xGA_week5,cleansheet_week5,xA_week5,assists_week5,xPoints week 6,xG_week6,goals_week6,xGA_week6,cleansheet_week6,xA_week6,assists_week6,xPoints week 7,xG_week7,goals_week7,xGA_week7,cleansheet_week7,xA_week7,assists_week7,xPoints week 8,xG_week8,goals_week8,xGA_week8,cleansheet_week8,xA_week8,assists_week8,form 5,next1_xP,next5_xP,next10_xP,value,valuePoints metric,xG+xA,xG+xA per game
1,0,0,0,0.0,0.0,0,37605,,,0,0,-2,2,0.0,601,239,,,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,601,239,False,0.0,601,239,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.6,False,,n,1,3,0.0,601,239,0,3324,6,50920,389,0.0,0.0,Özil,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0.0,0.0,0,39476,,,0,0,-1,1,0.0,551,210,,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,561,210,False,0.0,560,210,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,49,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,n,1,3,0.0,537,204,0,10219,3,18440,95,0.0,0.0,Sokratis,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,51,100.0,100.0,0,41270,,,0,0,0,0,9.8,316,105,4.0,,0,2,0.5,0.5,0,David,0.0,5,0,9.7,286,95,False,66.6,219,89,319,,2020-10-25T21:30:13.186040Z,55,0,0,,0,,41270.jpg,1.4,0,0,Luiz Moreira Marinho,0.9,False,,a,1,3,21.0,252,75,7,36581,1355,71244,2541,0.0,1.3,David Luiz,0,Arsenal,5.0,12.587044175545929,0.1,0.6000000000000001,4.9870441755459245,2.5,0.0,0.0,0.0,,,,,,2.517408835109185,,,,,,,,1.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.5863878557664246,0.1,0.0,1.4000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,2.2931939278832125,3.059255044018132,2.5836798315893104,2.6870328073326744,0.45771069729257907,1.073426734010442,0.1,0.02
4,1,1,115,100.0,100.0,3,54694,,,-1,1,-4,4,162.2,33,25,,,0,3,4.8,4.8,3,Pierre-Emerick,4.3,10,2,49.1,41,23,False,139.0,96,33,806,,2020-10-08T09:00:12.305506Z,116,0,0,1.0,0,,54694.jpg,3.7,0,0,Aubameyang,11.9,False,,a,1,3,190.0,38,21,33,455906,3983,2762350,69706,0.4,2.8,Aubameyang,2,Arsenal,8.91891891891892,33.661856062469056,2.0,9.52,2.223952132338048,2.5,1.0,1.3,3.9,0.30000000000000004,0.0,3.2820849986239,-0.09999999999999988,0.0,3.7742081039738036,3.8187307530779817,0.4,1.0,0.2,1.0,0.0,0.0,5.617989671854215,0.09999999999999998,0.0,1.9,0.0,0.5,1.0,2.049787068367864,0.0,0.0,3.0,0.0,0.0,0.0,2.8187307530779817,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.7465969639416064,0.0,0.0,1.4000000000000004,0.0,0.5,0.0,4.101194211912203,0.30000000000000004,0.0,1.2000000000000002,0.0,0.10000000000000007,0.0,7.540818220681719,0.8999999999999999,1.0,0.2999999999999989,1.0,0.09999999999999988,0.0,2.7652988882215865,0.0,0.0,1.8000000000000007,0.0,0.2,0.0,4.287198656676203,3.855150158685405,3.6529546970319346,3.7699605777858665,0.3253627675839486,1.108145655654835,3.3,0.36999999999999994
5,0,0,0,100.0,100.0,0,58822,,,0,0,-3,3,0.0,528,205,,,0,2,0.5,0.5,0,Cédric,0.0,0,0,0.0,540,205,False,0.0,539,205,0,,2020-09-23T09:00:14.881983Z,47,0,0,,0,,58822.jpg,0.0,0,0,Soares,0.2,False,,a,1,3,0.0,502,194,0,3078,93,31993,341,0.0,0.0,Cédric,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,3,88,,,2,59966,,,-1,1,-2,2,73.8,127,18,,,0,4,1.8,1.8,0,Alexandre,1.3,5,3,38.3,62,17,False,126.4,121,16,485,,,83,0,0,3.0,0,,59966.jpg,3.9,0,0,Lacazette,3.0,False,,a,1,3,186.0,39,18,27,267492,1155,390461,14495,0.2,3.3,Lacazette,1,Arsenal,6.9230769230769225,25.0,2.2,8.8,0.0,2.5,0.0,0.4,1.2000000000000002,,,,,,3.611111111111111,5.6,0.5,1.0,0.2,1.0,0.2,0.0,3.4,0.09999999999999998,1.0,1.9,0.0,0.0,0.0,7.8000000000000025,1.2000000000000002,1.0,3.0,0.0,0.0,0.0,,,,0.20000000000000007,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,2.5,0.30000000000000004,0.0,1.2000000000000002,0.0,0.09999999999999998,0.0,2.3000000000000003,0.0,0.0,0.2999999999999989,1.0,0.10000000000000003,0.0,2.799999999999999,0.19999999999999973,0.0,1.8000000000000007,0.0,0.0,0.0,2.15,3.557708951097303,3.47611449953752,3.565413721857831,0.43507362784471215,1.2534349650705698,2.6,0.3755555555555556
7,0,0,13,100.0,100.0,0,69140,,,0,0,0,0,1.0,375,144,,,0,2,0.8,0.8,0,Shkodran,0.3,1,0,1.3,395,149,False,11.6,365,142,44,,2020-08-15T10:00:11.331812Z,50,0,0,,0,,69140.jpg,1.0,0,0,Mustafi,0.0,False,,a,1,3,0.0,556,211,2,11121,182,10924,171,0.1,0.4,Mustafi,0,Arsenal,2.0,3.99481767021837,0.0,0.0,1.9948176702183693,2.5,0.0,0.0,0.0,,,,,,1.997408835109185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.2999999999999989,0.0,0.0,0.0,,,,1.8000000000000007,0.0,,,1.0,2.543691531157741,2.0748949347046555,2.170829205824486,0.399481767021837,0.8932683868325613,0.0,0.0
8,0,5,179,,,3,80201,,,0,0,0,0,0.0,568,59,,,2,1,6.8,6.8,10,Bernd,6.3,10,0,20.3,171,8,False,202.8,37,9,810,,,50,0,0,,0,,80201.jpg,4.2,0,25,Leno,9.0,False,,a,1,3,0.0,558,59,38,387576,9737,365458,8846,1.3,7.6,Leno,0,Arsenal,9.047619047619047,35.024175174797385,0.0,0.0,9.024175174797387,2.5,1.0,0.0,0.0,0.0,0.0,6.328339994495595,0.0,0.0,3.8710930456355017,6.274923012311929,0.0,0.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,3.199148273471456,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.2047768476488083,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,5.9632728827268755,0.0,0.0,0.2999999999999989,1.0,0.0,0.0,2.661195552886346,0.0,0.0,1.8000000000000007,0.0,0.0,0.0,4.42879462670481,4.417375741684056,3.948579145230972,4.044513416350801,0.7742186091271004,1.7312054394535354,0.0,0.0
9,0,0,57,,,2,84450,,,0,0,-2,2,34.5,212,131,1.0,,0,3,1.5,1.5,3,Granit,1.0,6,0,12.7,247,114,False,62.6,231,95,497,,,53,0,0,,0,,84450.jpg,1.9,0,0,Xhaka,0.5,False,,a,1,3,30.0,218,113,13,21865,373,53565,808,0.2,2.5,Xhaka,1,Arsenal,6.842105263157895,14.506094060055185,0.3,1.5,1.7060940600551846,2.5,1.0,0.1,0.30000000000000004,0.0,0.0,2.0820849986238987,0.0,0.0,2.120121439546527,4.1187307530779815,0.2,0.0,0.2,1.0,0.1,0.0,2.149568619222635,0.0,0.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,1.801194211912202,0.09999999999999998,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,2.043292058159236,2.2469659686756773,2.1149060076156005,2.155153658608689,0.40002291312198623,0.9209219046258921,0.4,0.05846153846153847
10,0,0,0,25.0,25.0,0,92371,,,0,0,-1,1,0.0,463,189,,,0,2,0.1,0.1,0,Pablo,0.0,0,0,0.0,483,190,False,0.0,481,190,0,Lack of match fitness - 25% chance of playing,2020-08-15T10:00:11.357231Z,44,0,0,,0,,92371.jpg,0.0,0,0,Marí,0.0,False,,d,1,3,0.0,428,174,0,305,10,742,17,0.0,0.0,Marí,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
