id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xA,xA_points,adjusted points per game,next10_xP,next1_xP,next5_xP
1,3,1,256,,,5,37605,0,0,0,0,582.9,35,29,0,3,3.4,,0,Mesut,0.0,20,1,99.8,135,72,False,223.6,256,111,1439,,,70,0,0,0,37605.jpg,2.9,0,0,Özil,2.0,False,,a,1,3,190.0,175,96,53,0,0,0,0,0.0,7.6,Özil,1,Arsenal,18.27586206896552,53.709259893564365,1.3,6.5,4.175630592787453,2.3,6.9,2.938808560213899,2.8844482753396963,3.230239885898564,2.8200823993832236
2,0,5,305,,,4,39476,0,0,0,0,36.8,297,106,0,2,3.1,,0,Sokratis,0.0,25,2,58.5,235,74,False,436.2,144,53,1696,,,50,0,0,0,39476.jpg,3.0,0,0,Papastathopoulos,0.5,False,,a,1,3,110.0,225,65,57,0,0,0,0,0.0,11.4,Sokratis,6,Arsenal,19.0,52.96432042736518,1.0,6.0,17.36432042736518,0.2,0.6000000000000001,2.787595811966588,2.657606372415319,3.127298455739427,2.486313151627274
3,1,10,494,,,8,41270,0,0,0,0,106.7,223,61,0,2,3.5,,0,David,0.0,42,2,102.1,130,35,False,701.6,50,18,2809,,,55,0,0,0,41270.jpg,2.8,2,0,Luiz Moreira Marinho,2.7,False,,a,1,3,211.0,161,32,94,0,0,0,0,0.0,17.1,David Luiz,5,Arsenal,33.571428571428584,92.19252781527763,1.8,10.8,30.68131804835201,1.0,3.0,2.7461604030082696,2.6140165043030055,3.1062129322621725,2.4406003933343374
4,5,37,807,,,10,54694,0,0,0,0,479.6,54,42,0,3,5.0,,0,Pierre-Emerick,0.0,44,22,285.2,11,7,False,1006.0,8,4,3136,,,120,0,0,0,54694.jpg,5.7,1,0,Aubameyang,42.2,False,,a,1,3,1369.0,9,3,205,0,0,0,0,0.0,17.1,Aubameyang,3,Arsenal,35.96491228070175,200.31323647915696,15.7,77.54,8.217187644528764,3.0,9.0,5.569685111859486,5.458735701598224,6.395627485927169,5.338609892392841
5,1,3,286,,,4,58822,0,0,0,0,218.9,159,34,0,2,3.1,,0,Cédric,0.0,20,1,68.7,203,59,False,349.0,182,68,1553,,,50,0,0,0,58822.jpg,2.9,0,0,Soares,0.6,False,,a,1,3,118.0,224,64,61,0,0,0,0,0.0,12.2,Cédric,1,Arsenal,21.03448275862069,55.93486759032448,0.0,0.0,19.223657823398835,0.0,0.0,2.6591986231465734,2.5409587129477873,2.8879214062262677,2.3812428573852946
6,7,16,387,,,5,59966,0,0,0,0,337.7,107,14,0,4,4.0,,0,Alexandre,0.0,25,10,173.8,46,17,False,536.4,101,15,1867,,,85,0,0,0,59966.jpg,3.9,0,0,Lacazette,2.7,False,,a,1,3,861.0,32,17,118,0,0,0,0,0.0,13.9,Lacazette,8,Arsenal,30.256410256410252,105.27846836847948,8.5,34.0,0.0,3.1,9.3,3.4795425986192368,3.431136438612403,3.936761669535744,3.3834395669545434
7,2,2,242,0.0,,4,69140,0,0,0,0,45.5,287,98,0,2,0.0,,0,Shkodran,0.0,17,0,47.9,265,88,False,277.2,219,83,1205,Hamstring injury - Expected back 31 Oct,2020-08-15T10:00:11.331812Z,50,0,0,0,69140.jpg,2.9,0,0,Mustafi,0.0,False,,i,1,3,155.0,199,51,43,0,0,0,0,0.0,8.6,Mustafi,2,Arsenal,14.827586206896553,40.7735225896898,0.8,4.800000000000002,13.551103055838526,0.0,0.0,2.749842221165126,2.620652643865759,3.081989787740672,2.4501475650655844
8,0,10,591,,,7,80201,0,0,0,0,0.0,451,47,0,1,3.5,,0,Bernd,0.0,39,0,84.1,166,6,False,843.2,23,6,2649,,,50,0,0,1,80201.jpg,3.8,0,113,Leno,6.1,False,,a,1,3,0.0,444,43,114,0,0,0,0,0.0,22.8,Leno,2,Arsenal,30.0,113.41734804320818,0.0,0.0,27.417348043208168,0.0,0.0,3.780578268106939,3.662338357908153,4.009301051186633,3.50262250234566
9,2,2,408,,,10,84450,0,0,0,0,298.5,120,78,0,3,2.8,,0,Granit,0.0,31,1,89.9,154,82,False,486.2,125,46,2586,,,55,0,0,0,84450.jpg,2.4,0,0,Xhaka,0.6,False,,a,1,3,110.0,226,116,73,0,0,0,0,0.0,13.3,Xhaka,10,Arsenal,30.41666666666667,65.37195566980336,0.4,2.0,6.949536135952072,1.0,3.0,2.149214980925042,2.114094827592103,2.258914166188608,2.068687160356885
10,0,1,31,0.0,,1,92371,0,0,0,0,1.7,351,133,0,2,0.0,,0,Pablo,0.0,0,0,3.0,363,132,False,27.8,353,129,113,Ankle injury - Expected back 25 Sep,2020-08-15T10:00:11.357231Z,45,0,0,0,92371.jpg,4.0,0,0,Marí,0.0,False,,i,1,3,0.0,386,152,8,0,0,0,0,0.0,1.8,Marí,0,Arsenal,2.0,5.827823202880545,0.0,0.0,1.827823202880545,0.0,0.0,2.9139116014402724,2.7956716912414863,3.1426343845199667,2.6359558356789936
11,0,4,204,,,4,98745,0,0,0,0,76.9,248,79,0,2,3.1,,0,Héctor,0.0,18,1,37.0,285,100,False,187.8,273,102,1156,,,50,0,0,0,98745.jpg,2.9,0,0,Bellerín,3.1,False,,a,1,3,103.0,232,69,44,0,0,0,0,0.0,8.8,Bellerín,2,Arsenal,15.172413793103447,39.766244987369646,0.5,3.0,13.866244987369651,0.3,0.8999999999999999,2.620957055985727,2.4940227368249746,2.9318026430060202,2.325739870197334
12,0,1,169,,,3,98980,0,0,0,0,0.0,403,32,0,1,2.7,,0,Emiliano,0.0,9,0,25.8,305,20,False,256.8,230,20,770,,,45,0,0,0,98980.jpg,3.7,0,34,Martínez,7.0,False,,a,1,3,0.0,388,27,33,0,0,0,0,0.0,7.3,Martínez,2,Arsenal,8.91891891891892,29.15110347230513,0.0,0.0,8.151103472305133,0.0,0.0,3.2684570559857278,3.1502171457869417,3.497179839065422,2.990501290224449
13,1,5,197,0.0,,3,101184,0,0,0,0,113.5,218,59,0,2,0.0,,0,Calum,0.0,15,1,58.7,234,73,False,272.0,221,84,1102,Knee injury - Unknown return date,2020-08-15T10:00:11.386295Z,45,0,0,0,101184.jpg,3.0,0,0,Chambers,0.0,False,,i,1,3,203.0,170,36,42,0,0,0,0,0.0,9.3,Chambers,5,Arsenal,14.0,41.40597218708945,0.8,4.800000000000002,12.794762420163815,0.7,2.1,2.9575694419349605,2.822658933271775,3.34375391047863,2.6465167510743264
14,2,1,331,,,4,111457,0,0,0,0,182.5,179,40,0,2,3.1,,0,Sead,0.0,26,0,53.0,250,80,False,269.6,224,85,1694,,,50,0,0,0,111457.jpg,2.1,0,0,Kolasinac,0.3,False,,a,1,3,81.0,256,83,55,0,0,0,0,0.0,11.0,Kolasinac,4,Arsenal,26.190476190476193,64.9581995715727,0.6,3.6,23.935780037721425,1.0,3.0,2.4802221654600487,2.3534585057855524,2.7894557929334973,2.1853437979957953
15,2,3,244,,,3,154043,0,0,0,0,182.0,180,41,0,2,3.1,,0,Ainsley,0.0,22,0,53.6,244,78,False,301.8,204,77,1382,,,50,0,0,0,154043.jpg,2.0,1,0,Maitland-Niles,1.6,False,,a,1,3,58.0,277,95,41,0,0,0,0,0.0,8.2,Maitland-Niles,4,Arsenal,20.5,49.157607363376854,0.3,1.7999999999999998,18.735187829525586,1.4,4.199999999999998,2.3979320665061885,2.2697923311323613,2.7201633796599296,2.100321711078273
16,0,2,96,,,1,156074,0,0,0,0,4.8,343,127,0,2,2.6,,0,Rob,0.0,9,0,15.8,331,119,False,133.6,298,113,580,,,45,0,0,0,156074.jpg,2.0,0,0,Holding,0.7,False,,a,1,3,19.0,314,116,16,0,0,0,0,0.0,3.6,Holding,1,Arsenal,8.0,19.911292811522177,0.1,0.6000000000000001,7.31129281152218,0.0,0.0,2.488911601440273,2.3681348610403825,2.741595945351442,2.205919347076918
17,2,4,213,,,2,192895,0,0,0,0,121.1,215,56,0,2,3.5,,0,Kieran,0.0,16,1,39.8,279,96,False,201.8,266,99,986,,,55,0,0,0,192895.jpg,2.8,0,0,Tierney,10.7,False,,a,1,3,73.0,266,90,42,0,0,0,0,0.0,7.6,Tierney,2,Arsenal,15.000000000000002,41.631093555455365,0.2,1.2000000000000002,13.70867402160409,1.1,3.3000000000000003,2.775406237030358,2.6470190060271546,3.09997526343595,2.4773045168607757
18,6,9,353,,,5,195735,0,0,0,0,639.4,27,21,0,3,3.7,,0,Nicolas,0.0,30,5,176.5,45,25,False,500.2,120,42,2004,,,80,0,0,0,195735.jpg,3.4,0,0,Pépé,2.4,False,,a,1,3,624.0,49,26,106,0,0,0,0,0.0,13.2,Pépé,4,Arsenal,31.176470588235286,105.61039314219126,4.7,23.02,7.123134540637418,4.4,13.2,3.3875031762589654,3.318646901148817,3.8158559843904505,3.239997442571045
19,1,0,247,,,3,198849,0,0,0,0,207.1,166,109,0,3,2.4,,0,Lucas,0.0,23,1,69.7,200,101,False,281.8,216,91,1501,,,50,0,0,0,198849.jpg,1.6,0,0,Torreira,0.3,False,,a,1,3,207.0,166,90,46,0,0,0,0,0.0,9.2,Torreira,7,Arsenal,28.75,53.57994940227761,1.6,8.0,6.568739635351959,1.1,3.3000000000000003,1.8636504139922645,1.820795975562578,2.0464035792790165,1.7677673525735305
20,1,0,150,,,1,200089,0,0,0,0,165.9,188,117,0,3,2.4,,0,Joseph,0.0,16,1,55.2,241,118,False,176.8,278,121,838,,,50,0,0,0,200089.jpg,1.4,0,0,Willock,0.2,False,,a,1,3,212.0,159,88,41,0,0,0,0,0.0,8.2,Willock,2,Arsenal,29.28571428571429,53.30234827747049,2.3,11.5,6.691138510544852,0.8,2.4000000000000004,1.8200801850843584,1.7744659910424703,2.028900547124361,1.7187180507346422
21,1,0,105,,,2,200641,0,0,0,0,148.3,203,123,0,3,2.8,,0,Reiss,0.0,7,1,44.4,271,124,False,110.4,309,131,622,,,55,0,0,0,200641.jpg,1.8,0,0,Nelson,0.1,False,,a,1,3,185.0,180,100,30,0,0,0,0,0.0,5.5,Nelson,1,Arsenal,16.666666666666668,31.11917477292677,0.9,4.5,3.807965006001136,0.7,2.1,1.8671504863756063,1.8241960453640793,2.050848223335715,1.7710688851163265
22,0,1,66,,,3,205533,0,0,0,0,67.0,263,41,0,4,2.8,,0,Edward,0.0,9,2,36.4,287,41,False,90.4,320,38,628,,,60,0,0,0,205533.jpg,1.9,1,0,Nketiah,1.7,False,,a,1,3,210.0,164,42,25,0,0,0,0,0.0,4.2,Nketiah,0,Arsenal,13.157894736842106,31.9,3.2,12.8,0.0,0.7,2.1,2.4244,2.386097246403593,2.786187619807489,2.348355737426792
23,0,0,13,,,1,209289,0,0,0,0,6.3,340,157,0,3,2.0,,0,Emile,0.0,0,0,1.6,372,157,False,9.8,368,155,96,,,45,0,0,0,209289.jpg,2.0,0,0,Smith Rowe,0.6,False,,a,1,3,0.0,417,167,4,0,0,0,0,0.0,0.9,Smith Rowe,0,Arsenal,2.0,3.456955800720136,0.0,0.0,0.4569558007201362,0.0,0.0,1.728477900360068,1.6989179228103717,1.7856585961299918,1.6589889589197484
24,6,4,259,,,7,223340,0,0,0,0,322.5,112,74,0,3,2.8,,0,Bukayo,0.0,18,1,89.8,156,84,False,327.2,194,81,1746,,,55,0,0,0,223340.jpg,2.7,0,0,Saka,9.0,False,,a,1,3,248.0,141,83,71,0,0,0,0,0.0,12.9,Saka,6,Arsenal,26.29629629629629,68.57538116657784,1.3,6.5,6.0081225650240135,3.6,10.8,2.6077961852078904,2.555983561894141,2.8751636427502407,2.494128016987672
25,2,2,272,,,3,242166,0,0,0,0,235.1,152,99,0,3,2.4,,0,Matteo,0.0,31,0,71.6,193,98,False,333.6,189,79,1744,,,50,0,0,0,242166.jpg,2.0,0,0,Guendouzi,0.2,False,,a,1,3,146.0,205,108,48,0,0,0,0,0.0,9.6,Guendouzi,6,Arsenal,24.0,53.305889142492894,0.7,3.5,5.483469608641635,1.3,3.9,2.2210787142705377,2.181089545894079,2.376768049014301,2.13088420857724
26,1,5,129,0.0,,2,444145,0,0,0,0,36.6,298,148,0,3,0.0,,0,Gabriel Teodoro,0.0,9,3,42.5,275,126,False,162.8,284,123,656,Knee injury - Expected back 31 Dec,2020-08-15T10:00:11.409498Z,50,0,0,0,444145.jpg,2.8,0,0,Martinelli Silva,0.1,False,,i,1,3,226.0,151,85,39,0,0,0,0,0.0,7.8,Martinelli,1,Arsenal,13.928571428571427,39.49358052194086,2.2,11.0,3.1823707550152345,0.2,0.6000000000000001,2.8354365502931898,2.77770691635653,3.158692971125093,2.7100210619142646
27,0,0,0,,,0,462424,0,0,0,0,0.0,438,173,0,2,2.6,,0,William,0.0,0,0,0.0,447,173,False,0.0,447,173,0,,,45,0,0,0,462424.jpg,0.0,0,0,Saliba,4.3,False,,a,1,3,0.0,431,171,0,0,0,0,0,0.0,0.0,Saliba,0,Arsenal,,,,,,,,,,,
