,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-096,1990,5,4,379,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.13,0.08,0.21,0.13,0.21,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-062,1997,9,6,547,3,1,0,0,0,0,0.49,0.16,0.66,0.49,0.66,3.5,3.5,0.9,0.57,0.14,0.71,0.57,0.71,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-143,1996,10,10,855,3,3,0,0,1,0,0.32,0.32,0.63,0.32,0.63,2.6,2.6,2.8,0.27,0.29,0.56,0.27,0.56,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-070,1997,6,6,540,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.01,0.03,0.02,0.03,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,33-335,1987,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-184,1988,2,2,109,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.14,0.46,0.60,0.14,0.60,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-056,1996,7,7,630,1,0,0,0,0,0,0.14,0.00,0.14,0.14,0.14,0.3,0.3,0.2,0.04,0.03,0.07,0.04,0.07,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-180,2001,3,3,255,1,0,0,0,0,0,0.35,0.00,0.35,0.35,0.35,0.1,0.1,0.3,0.02,0.12,0.14,0.02,0.14,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-024,1993,9,9,810,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25-289,1995,4,3,290,1,0,0,0,2,0,0.31,0.00,0.31,0.31,0.31,0.1,0.1,0.0,0.02,0.01,0.03,0.02,0.03,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,DFMF,Leicester City,31-015,1989,6,2,263,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.04,0.29,0.32,0.04,0.32,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-236,1991,2,1,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.03,0.14,0.17,0.03,0.17,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31-276,1989,6,6,530,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-057,1998,8,8,690,0,1,0,0,1,0,0.00,0.13,0.13,0.00,0.13,0.7,0.7,1.2,0.09,0.15,0.24,0.09,0.24,Matches
15,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,28-295,1992,8,5,437,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.1,0.07,0.22,0.28,0.07,0.28,Matches
16,Alisson\Alisson,br BRA,GK,Liverpool,28-062,1992,8,8,720,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
17,Allan\Allan,br BRA,MF,Everton,29-330,1991,9,9,810,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.01,0.03,0.04,0.01,0.04,Matches
18,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24-236,1996,2,1,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.25,0.00,0.25,0.25,0.25,Matches
19,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,26-297,1994,9,5,485,0,1,0,0,1,0,0.00,0.19,0.19,0.00,0.19,0.2,0.2,0.8,0.03,0.14,0.18,0.03,0.18,Matches
20,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,29-341,1990,3,3,225,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.03,0.02,0.05,0.03,0.05,Matches
21,Steven Alzate\Steven-Alzate,co COL,MF,Brighton,22-086,1998,5,4,351,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.06,0.08,0.15,0.06,0.15,Matches
22,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,25-348,1994,2,2,144,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
23,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-080,2000,5,4,365,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.02,0.04,0.06,0.02,0.06,Matches
24,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-186,1996,4,4,360,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
