,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-201,1990,18,17,1504,16.7,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,1.2,1.2,0.8,2.0,0.07,0.05,0.12,0.07,0.12,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-167,1997,20,12,1021,11.3,6,1,6,0,0,0,0,0.53,0.09,0.62,0.53,0.62,5.6,5.6,0.9,6.5,0.49,0.08,0.57,0.49,0.57,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-248,1996,28,24,2165,24.1,7,4,7,0,0,1,0,0.29,0.17,0.46,0.29,0.46,6.5,6.5,4.6,11.1,0.27,0.19,0.46,0.27,0.46,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-175,1997,25,25,2250,25.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.3,1.3,0.04,0.01,0.05,0.04,0.05,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-074,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-289,1988,8,4,312,3.5,1,0,0,1,1,0,0,0.29,0.00,0.29,0.00,0.00,1.5,0.7,0.6,1.3,0.43,0.16,0.59,0.21,0.37,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-161,1996,25,25,2179,24.2,2,1,2,0,0,2,0,0.08,0.04,0.12,0.08,0.12,0.9,0.9,1.3,2.2,0.04,0.06,0.09,0.04,0.09,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-285,2001,13,8,702,7.8,1,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.3,0.3,0.7,1.1,0.04,0.09,0.14,0.04,0.14,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-129,1993,24,24,2099,23.3,2,0,2,0,0,3,1,0.09,0.00,0.09,0.09,0.09,0.5,0.5,0.1,0.6,0.02,0.00,0.02,0.02,0.02,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-028,1995,6,5,470,5.2,1,0,1,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.1,0.1,0.0,0.1,0.01,0.00,0.02,0.01,0.02,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-120,1989,22,12,1247,13.9,0,4,0,0,0,2,0,0.00,0.29,0.29,0.00,0.29,1.0,1.0,3.2,4.3,0.07,0.23,0.31,0.07,0.31,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-341,1991,15,12,1127,12.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.1,1.5,0.03,0.09,0.12,0.03,0.12,Matches
