Squad,Rk,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,20,13,5,2,37,13,24,44,36.4,14.8,21.6,1.08,W W W W W,,İlkay Gündoğan - 7,Ederson,,1.8199999999999998,0.74,0.4771139155210344
Manchester Utd,2,21,12,5,4,37,27,10,41,33.6,26.9,6.7,0.32,W D W L D,,Bruno Fernandes - 11,David de Gea,,1.6,1.2809523809523808,0.2777726290781846
Liverpool,3,21,11,7,3,43,24,19,40,41.0,23.5,17.5,0.84,L D L W W,600.0,Mohamed Salah - 15,Alisson,,1.9523809523809523,1.119047619047619,0.3265906853042678
Leicester City,4,21,12,3,6,37,25,12,39,31.3,24.0,7.3,0.35,W W W D L,,Jamie Vardy - 11,Kasper Schmeichel,,1.4904761904761905,1.1428571428571428,0.31890655732397044
West Ham,5,21,10,5,6,31,27,4,35,28.6,24.7,3.9,0.19,W W W W L,182.0,Tomáš Souček - 7,Łukasz Fabiański,,1.361904761904762,1.1761904761904762,0.30845155679303193
Tottenham,6,20,9,6,5,34,21,13,33,27.0,23.3,3.7,0.19,W D W L L,200.0,Harry Kane Son Heung-min - 12,Hugo Lloris,,1.35,1.165,0.31192266203264674
Chelsea,7,21,9,6,6,35,23,12,33,32.6,21.2,11.4,0.54,L W L D W,182.0,Tammy Abraham - 6,Edouard Mendy,,1.5523809523809524,1.0095238095238095,0.36439245848206747
Everton,8,19,10,3,6,29,24,5,33,23.2,24.1,-0.9,-0.05,W L W D L,200.0,Dominic Calvert-Lewin - 11,Jordan Pickford,,1.2210526315789474,1.2684210526315791,0.2812753903799933
Aston Villa,9,19,10,2,7,34,21,13,32,32.4,24.5,7.9,0.42,L L W L W,,Ollie Watkins - 8,Emiliano Martínez,,1.7052631578947368,1.2894736842105263,0.2754157005821102
Arsenal,10,21,9,4,8,26,20,6,31,28.7,24.5,4.2,0.2,W D W W D,182.0,Alexandre Lacazette - 8,Bernd Leno,,1.3666666666666667,1.1666666666666667,0.3114032239145977
Southampton,11,20,8,5,7,27,25,2,29,20.2,24.4,-4.2,-0.21,D W L L L,182.0,Danny Ings - 7,Alex McCarthy,,1.01,1.22,0.2952301669240142
Leeds United,12,20,9,2,9,35,36,-1,29,32.3,35.9,-3.6,-0.18,W L L W W,,Patrick Bamford - 11,Illan Meslier,,1.6149999999999998,1.795,0.16612745234683307
Crystal Palace,13,21,7,5,9,25,36,-11,26,18.5,28.8,-10.4,-0.49,W D L L W,182.0,Wilfried Zaha - 9,Vicente Guaita,,0.8809523809523809,1.3714285714285714,0.2537442087799692
Wolves,14,21,6,5,10,21,30,-9,23,20.8,25.0,-4.2,-0.2,D L L D L,,Pedro Neto Raúl Jiménez - 4,Rui Patrício,,0.9904761904761905,1.1904761904761905,0.30407643128483336
Newcastle Utd,15,21,6,4,11,21,34,-13,22,19.5,29.9,-10.4,-0.49,L L L L W,,Callum Wilson - 10,Karl Darlow,,0.9285714285714286,1.4238095238095236,0.24079495330338294
Burnley,16,20,6,4,10,13,26,-13,22,16.6,29.9,-13.3,-0.66,L L W W L,,Chris Wood - 4,Nick Pope,,0.8300000000000001,1.4949999999999999,0.22424860473053537
Brighton,17,21,4,9,8,23,29,-6,21,29.1,22.6,6.5,0.31,D L W D W,182.0,Neal Maupay - 7,Mathew Ryan,,1.3857142857142857,1.0761904761904764,0.34089169020281784
Fulham,18,20,2,8,10,17,29,-12,14,22.0,29.4,-7.4,-0.37,D L L D D,200.0,Bobby Reid - 5,Alphonse Areola,,1.1,1.47,0.22992548518672384
West Brom,19,21,2,6,13,17,50,-33,12,13.6,39.4,-25.9,-1.23,L W L L D,,Matheus Pereira - 5,Sam Johnstone,,0.6476190476190476,1.8761904761904762,0.15317251003500099
Sheffield Utd,20,21,2,2,17,12,34,-22,8,19.5,30.1,-10.6,-0.5,L W L W L,,David McGoldrick - 5,Aaron Ramsdale,,0.9285714285714286,1.4333333333333333,0.23851255385430242
