id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xA,xA_points,adjusted points per game,xPoints week 1,next1_xP,next5_xP,next10_xP,value,valuePoints metric,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1
1,0,0,0,,,0,37605,4.0,,0,0,0,0,0.0,511,202,,,0,3,2.9,3.4,0,Mesut,0.0,0,0,0.0,511,202,False,0.0,511,202,0,,,70,0,0,,0,,37605.jpg,0.0,0,0,Özil,1.1,False,,a,1,3,0.0,507,199,0,804,804,12941,12941,0.0,0.0,Özil,0,Arsenal,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0.0,0.0,0,39476,,,0,0,0,0,0.0,348,149,,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,361,150,False,0.0,354,150,0,Calf injury - Expected back 19 Sep,2020-09-11T11:00:08.600094Z,50,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,i,1,3,0.0,306,138,0,43,43,3235,3235,0.0,0.0,Sokratis,0,Arsenal,,,,,,,,,,,,,,,,,,,,
3,0,0,0,0.0,0.0,0,41270,,,0,0,0,0,0.0,431,178,4.0,,0,2,0.0,0.0,0,David,0.0,0,0,0.0,432,178,False,0.0,427,178,0,Neck - Unknown return date,2020-09-10T14:30:11.632386Z,55,0,0,,0,,41270.jpg,0.0,0,0,Luiz Moreira Marinho,0.8,False,,i,1,3,0.0,408,174,0,341,341,22251,22251,0.0,0.0,David Luiz,0,Arsenal,,,,,,,,,,,,,,,,,,,,
4,0,0,19,,,1,54694,,,0,0,0,0,15.3,49,33,6.0,,0,3,4.5,5.0,7,Pierre-Emerick,7.0,0,1,10.6,7,4,False,36.6,23,8,90,,,120,0,0,1.0,0,,54694.jpg,7.0,0,0,Aubameyang,46.3,False,,a,1,3,54.0,8,4,7,91808,91808,173462,173462,0.6,0.6,Aubameyang,1,Arsenal,1.0,3.8187307530779817,0.4,2.0,0.8187307530779818,0.0,0.0,3.8187307530779817,3.8187307530779817,3.801122764218236,,,0.3182275627564985,1.1023726141261376,0.4,1.0,0.2,1.0,0.0,0.0
5,0,0,0,,,0,58822,,,-1,1,-1,1,0.0,342,147,,,0,2,2.6,3.1,0,Cédric,0.0,0,0,0.0,356,148,False,0.0,349,148,0,,,49,0,0,,0,,58822.jpg,0.0,0,0,Soares,0.5,False,,a,1,3,0.0,299,136,0,645,645,9711,9711,0.0,0.0,Cédric,0,Arsenal,,,,,,,,,,,,,,,,,,,,
6,0,1,29,,,1,59966,,,0,0,0,0,12.7,62,8,5.0,,0,4,3.5,4.0,7,Alexandre,7.0,0,1,9.9,14,4,False,38.6,20,4,86,,,85,0,0,3.0,0,,59966.jpg,7.0,0,0,Lacazette,4.9,False,,a,1,3,48.0,11,7,7,64624,64624,22494,22494,0.8,0.8,Lacazette,0,Arsenal,1.0,5.6,0.5,2.0,0.0,0.2,0.6000000000000001,5.6,5.6,5.527276823302016,,,0.6588235294117647,1.9207841535960988,0.5,1.0,0.2,1.0,0.2,0.0
7,0,0,0,0.0,0.0,0,69140,,,0,0,0,0,0.0,366,154,,,0,2,0.0,0.0,0,Shkodran,0.0,0,0,0.0,377,155,False,0.0,371,155,0,Hamstring injury - Expected back 31 Oct,2020-08-15T10:00:11.331812Z,50,0,0,,0,,69140.jpg,0.0,0,0,Mustafi,0.0,False,,i,1,3,0.0,328,144,0,32,32,163,163,0.0,0.0,Mustafi,0,Arsenal,,,,,,,,,,,,,,,,,,,,
8,0,1,29,,,1,80201,,,0,0,0,0,0.0,370,44,,,0,1,3.0,3.5,7,Bernd,7.0,0,0,1.4,169,10,False,14.0,96,10,90,,,50,0,0,,0,,80201.jpg,7.0,0,2,Leno,9.1,False,,a,1,3,0.0,333,44,7,83368,83368,28508,28508,1.4,1.4,Leno,0,Arsenal,1.0,6.274923012311929,0.0,0.0,3.274923012311928,0.0,0.0,6.274923012311929,6.274923012311929,6.4282546774821245,,,1.2549846024623856,2.8062308818214445,0.0,0.0,0.2,1.0,0.0,0.0
9,0,0,11,,,1,84450,,,0,0,0,0,17.2,42,28,2.0,,0,3,2.3,2.8,3,Granit,3.0,0,0,4.5,57,29,False,6.8,150,61,77,,,55,0,0,,0,,84450.jpg,3.0,0,0,Xhaka,0.9,False,,a,1,3,21.0,43,20,3,7782,7782,6846,6846,0.5,0.5,Xhaka,0,Arsenal,1.0,4.1187307530779815,0.2,1.0,0.8187307530779818,0.1,0.30000000000000004,4.1187307530779815,4.1187307530779815,4.1207020810215385,,,0.7488601369232694,1.756232694064217,0.2,0.0,0.2,1.0,0.1,0.0
10,0,0,0,0.0,0.0,0,92371,,,0,0,0,0,0.0,274,112,,,0,2,0.0,0.0,0,Pablo,0.0,0,0,0.0,292,113,False,0.0,285,113,0,Ankle injury - Expected back 03 Oct,2020-08-15T10:00:11.357231Z,45,0,0,,0,,92371.jpg,0.0,0,0,Marí,0.0,False,,i,1,3,0.0,220,94,0,32,32,151,151,0.0,0.0,Marí,0,Arsenal,,,,,,,,,,,,,,,,,,,,
