id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xGA_week11,cleansheet_week11,xA,xA_points,xG_week11,goals_week11,xPoints week 11,xA_week11,assists_week11,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,xPoints week 5,xG_week5,goals_week5,xGA_week5,cleansheet_week5,xA_week5,assists_week5,xPoints week 6,xG_week6,goals_week6,xGA_week6,cleansheet_week6,xA_week6,assists_week6,xPoints week 7,xG_week7,goals_week7,xGA_week7,cleansheet_week7,xA_week7,assists_week7,xPoints week 8,xG_week8,goals_week8,xGA_week8,cleansheet_week8,xA_week8,assists_week8,xPoints week 9,xG_week9,goals_week9,xGA_week9,cleansheet_week9,xA_week9,assists_week9,xPoints week 10,xG_week10,goals_week10,xGA_week10,cleansheet_week10,xA_week10,assists_week10,form 5,form 10,next1_xP,next5_xP,next10_xP,value,valuePoints metric,xG+xA,xG+xA per game
1,0,0,0,0.0,0.0,0,37605,,,0,0,-2,2,0.0,604,240,,,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,604,240,False,0.0,604,240,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.6,False,,n,1,3,0.0,604,240,0,3363,14,51835,250,0.0,0.0,Özil,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0.0,0.0,0,39476,,,0,0,-1,1,0.0,556,212,,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,567,212,False,0.0,566,212,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,49,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,n,1,3,0.0,543,206,0,10230,5,18617,53,0.0,0.0,Sokratis,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,52,75.0,75.0,0,41270,,,0,0,0,0,23.1,270,79,4.0,,0,2,0.8,0.0,0,David,0.0,7,0,11.7,297,100,False,72.0,239,93,364,Head injury - 75% chance of playing,2020-11-26T23:30:22.462494Z,55,0,0,,0,,41270.jpg,1.2,0,0,Luiz Moreira Marinho,0.8,False,,d,1,3,22.0,267,78,7,36917,73,81627,2517,0.0,1.3,David Luiz,0,Arsenal,5.833333333333334,13.901527373743512,0.1,0.6000000000000001,6.301527373743513,0.5,0.0,0.0,0.0,,,,,,2.3831189783560305,,,,,,,,1.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.5863878557664246,0.1,0.0,1.4000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,,,,2.5,0.0,,,0.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,0.0,2.0100765235916347,3.2036951112457586,2.387764908355956,2.5444697609270936,0.4332943597010965,1.0161653466923124,0.1,0.017142857142857144
4,1,1,123,100.0,100.0,3,54694,,,0,0,-5,5,170.8,42,30,,,0,3,3.3,2.3,2,Pierre-Emerick,2.3,14,2,58.9,36,20,False,141.4,135,51,986,,2020-10-08T09:00:12.305506Z,115,0,0,1.0,0,,54694.jpg,3.4,0,0,Aubameyang,9.3,False,,a,1,3,277.0,31,15,37,467316,7235,2963724,46868,0.2,3.2,Aubameyang,2,Arsenal,10.882352941176471,41.38191583857537,2.6,12.52,2.9389476406955035,0.5,0.0,1.3,3.9,0.20000000000000007,0.0,3.606530659712634,0.0,0.0,3.802662536517736,3.8187307530779817,0.4,1.0,0.2,1.0,0.0,0.0,5.617989671854215,0.09999999999999998,0.0,1.9,0.0,0.5,1.0,2.049787068367864,0.0,0.0,3.0,0.0,0.0,0.0,2.8187307530779817,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.7465969639416064,0.0,0.0,1.4000000000000004,0.0,0.5,0.0,4.101194211912203,0.30000000000000004,0.0,1.2000000000000002,0.0,0.10000000000000007,0.0,7.540818220681719,0.8999999999999999,1.0,0.2999999999999989,1.0,0.09999999999999988,0.0,2.7652988882215865,0.0,0.0,1.8000000000000007,0.0,0.2,0.0,3.2820849986239,0.30000000000000004,0.0,2.5,1.0,-0.09999999999999988,0.0,4.246596963941606,0.3999999999999999,0.0,1.4000000000000004,0.0,0.0,0.0,4.288265946236288,3.9775628400335306,4.242641529160274,3.715612372222151,3.8789214164543617,0.33066630752328136,1.121344005962236,3.9000000000000004,0.3583783783783784
5,0,0,0,100.0,100.0,0,58822,,,-1,1,-4,4,0.0,529,206,,,0,2,1.0,0.0,0,Cédric,0.0,0,0,0.0,543,206,False,0.0,542,206,0,,2020-09-23T09:00:14.881983Z,46,0,0,,0,,58822.jpg,0.0,0,0,Soares,0.2,False,,a,1,3,0.0,504,197,0,3350,79,33017,285,0.0,0.0,Cédric,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,3,96,,,2,59966,,,0,0,-2,2,89.2,131,19,,,0,4,1.7,0.7,1,Alexandre,0.7,7,3,46.8,59,18,False,139.2,139,17,584,,,83,0,0,3.0,0,,59966.jpg,3.2,0,0,Lacazette,2.7,False,,a,1,3,243.0,38,19,29,276995,4502,421650,7585,0.1,3.5,Lacazette,2,Arsenal,9.0625,29.3,2.7,10.8,0.0,0.5,0.0,0.5,1.5,0.5,0.0,3.3,0.09999999999999998,0.0,3.2331034482758616,5.6,0.5,1.0,0.2,1.0,0.2,0.0,3.4,0.09999999999999998,1.0,1.9,0.0,0.0,0.0,7.8000000000000025,1.2000000000000002,1.0,3.0,0.0,0.0,0.0,,,,0.20000000000000007,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,2.5,0.30000000000000004,0.0,1.2000000000000002,0.0,0.09999999999999998,0.0,2.3000000000000003,0.0,0.0,0.2999999999999989,1.0,0.10000000000000003,0.0,2.799999999999999,0.19999999999999973,0.0,1.8000000000000007,0.0,0.0,0.0,,,,2.5,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,2.35,3.0125,3.4480025480127026,3.1523803586239527,3.2659751731046254,0.3895305359368508,1.1222265898410075,3.2,0.3531034482758621
7,0,0,13,100.0,100.0,0,69140,,,0,0,0,0,1.0,384,149,,,0,2,1.0,0.0,0,Shkodran,0.0,1,0,1.3,405,152,False,11.6,379,148,44,,2020-08-15T10:00:11.331812Z,50,0,0,,0,,69140.jpg,1.0,0,0,Mustafi,0.0,False,,a,1,3,0.0,561,213,2,11641,163,11433,193,0.0,0.4,Mustafi,0,Arsenal,2.0,4.160523670997776,0.0,0.0,2.1605236709977755,0.5,0.0,0.0,0.0,,,,,,2.080261835498888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.2999999999999989,0.0,0.0,0.0,,,,1.8000000000000007,0.0,,,,,,2.5,0.0,,,,,,1.4000000000000004,0.0,,,1.0,1.0,2.8845520610043778,2.091025281874872,2.239121468191813,0.4160523670997776,0.9303213750347997,0.0,0.0
8,0,5,202,,,3,80201,,,0,0,0,0,0.0,572,59,,,2,1,5.3,4.3,1,Bernd,4.3,14,0,23.4,188,11,False,234.0,41,11,990,,,50,0,0,,0,,80201.jpg,3.7,0,29,Leno,8.5,False,,a,1,3,0.0,563,59,41,410942,8504,424731,19263,0.9,8.2,Leno,0,Arsenal,11.08108108108108,40.970468987960636,0.0,0.0,11.970468987960649,0.5,0.0,0.0,0.0,0.0,0.0,3.4261226388505337,0.0,0.0,3.697335006230595,6.274923012311929,0.0,0.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,3.199148273471456,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.2047768476488083,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,5.9632728827268755,0.0,0.0,0.2999999999999989,1.0,0.0,0.0,2.661195552886346,0.0,0.0,1.8000000000000007,0.0,0.0,0.0,6.328339994495595,0.0,0.0,2.5,1.0,0.0,0.0,2.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,4.273063784945155,3.9628829390814935,4.501625231736085,3.708098452606579,3.8561946389235207,0.739467001246119,1.6534984819042438,0.0,0.0
9,0,0,81,,,2,84450,,,-1,1,-3,3,46.2,194,117,1.0,,0,3,3.0,2.0,1,Granit,2.0,10,0,17.6,232,108,False,97.6,199,80,667,,,52,0,0,,0,,84450.jpg,1.8,0,0,Xhaka,0.5,False,,a,1,3,32.0,233,122,16,22705,303,56650,1023,0.4,3.1,Xhaka,2,Arsenal,8.888888888888891,18.2005818566642,0.3,1.5,2.4005818566641945,0.5,0.0,0.1,0.30000000000000004,0.0,0.0,1.6065306597126334,0.0,0.0,2.047565458874722,4.1187307530779815,0.2,0.0,0.2,1.0,0.1,0.0,2.149568619222635,0.0,0.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,1.801194211912202,0.09999999999999998,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,2.0820849986238987,0.0,0.0,2.5,1.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,1.9784042074260464,1.7665715521693226,2.280700895413813,2.038212460103352,2.0921848183705376,0.3937625882451388,0.8979168528810759,0.4,0.04499999999999999
10,0,0,0,100.0,100.0,0,92371,,,0,0,-1,1,0.0,479,196,,,0,2,1.0,0.0,0,Pablo,0.0,0,0,0.0,498,196,False,0.0,497,196,0,,2020-08-15T10:00:11.357231Z,44,0,0,,0,,92371.jpg,0.0,0,0,Marí,0.0,False,,a,1,3,0.0,446,183,0,641,127,817,48,0.0,0.0,Marí,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
