id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week19,assists_week2,assists_week20,assists_week21,assists_week22,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week19,cleansheet_week2,cleansheet_week20,cleansheet_week21,cleansheet_week22,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 5,games played,gameweek,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week19,goals_week2,goals_week20,goals_week21,goals_week22,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,next10_xP,next1_xP,next5_xP,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week19,xA_week2,xA_week20,xA_week21,xA_week22,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week19,xGA_week2,xGA_week20,xGA_week21,xGA_week22,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week19,xG_week2,xG_week20,xG_week21,xG_week22,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 19,xPoints week 2,xPoints week 20,xPoints week 21,xPoints week 22,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,yellow_cards
1,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,37605,,,0,0,-3,3,0.0,665,269,,,0,3,0.0,0.0,0,Mesut,0.0,,,,22,0,0,,,,,,,,,,,,,,,,,,,,,,,0.0,665,269,False,0.0,665,269,0,Not included in Arsenal's 25-man Premier League squad,2020-10-20T22:30:18.118477Z,,,,67,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.5,False,,u,1,3,Arsenal,0.0,665,269,0,3441,0,53987,104,,,,,0.0,0.0,Özil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,39476,,,0,0,-2,2,0.0,610,224,,,0,2,0.0,0.0,0,Sokratis,0.0,,,,22,0,0,,,,,,,,,,,,,,,,,,,,,,,0.0,622,224,False,0.0,620,224,0,Left the club by mutual consent on 20/1,2020-10-21T10:30:18.546407Z,,,,48,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,u,1,3,Arsenal,0.0,603,222,0,10266,0,19000,17,,,,,0.0,0.0,Sokratis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,33.41673238612367,2.5396716613453987,0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,138,0.0,100.0,16.21673238612367,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41270,,,0,0,-1,1,30.7,325,109,4.0,,0,2,0.0,3.7,-3,David,3.2,2.574753029613824,2.725191070165576,13.157894736842106,22,12,0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,24.9,301,102,False,132.8,262,101,886,Suspended until 14 Feb,2021-02-02T20:30:22.388696Z,2.4649096388540506,2.0992364894540554,2.3656576093121697,54,0,0,,0,,41270.jpg,1.9,1,0,Luiz Moreira Marinho,0.8,False,,s,1,3,Arsenal,88.0,220,61,25,49985,192,100111,5122,0.47030956691581455,0.4768061165951526,0.5046650129936252,1.0929006721361834,0.6,4.6,David Luiz,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7,0.7,0.05319999999999999,,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,1.2000000000000028,1.3999999999999986,1.3999999999999986,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,4.199999999999998,,0.0,,,0.0,0.1,,,,0.0,0.4,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.1,0.0,,,,-3.0,,0.0,,,1.0,3.397315856468885,,,,2.4715177646857693,7.36327288272688,1.0,3.204776847648805,3.586387855766427,-3.0,1.1991482734714558,5.274923012311927,3.5863878557664246,1.0,,,,1
4,77.963841107233,4.331324505957388,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,207,100.0,75.0,5.546122476054295,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,54694,,,0,0,-7,7,226.6,88,63,,,1,3,4.3,3.2,1,Pierre-Emerick,3.8,5.893536292617352,5.369565887284385,18.0,22,16,5,1.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,103.9,43,27,False,275.2,142,54,1543,,2021-01-23T16:00:22.555453Z,4.256520617685967,4.051994564597687,4.214845790722544,113,1,0,1.0,0,,54694.jpg,4.0,0,0,Aubameyang,6.6,False,,a,1,3,Arsenal,537.0,27,14,72,573650,9221,3265086,4866,0.38330305362454764,0.5215518843024205,0.47518282188357386,1.2884913307323034,0.3,6.4,Aubameyang,1.5,4.5,0.0,0.0,0.0,0.09999999999999988,0.10000000000000007,,,0.0,0.0,0.0,0.0,0.5,,,0.0,0.0,0.0,0.5,0.10000000000000007,0.09999999999999988,0.2,-0.09999999999999988,6.1,7.6,0.4222222222222222,0.2,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,1.2000000000000028,1.3999999999999986,1.3999999999999986,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,30.02,0.4,0.3999999999999999,0.20000000000000007,0.19999999999999973,0.3000000000000003,,,0.6000000000000001,0.7999999999999998,0.09999999999999963,1.4000000000000004,0.09999999999999998,,,0.09999999999999963,0.0,0.0,0.0,0.30000000000000004,0.8999999999999999,0.0,0.30000000000000004,1.4999999999999982,3.8187307530779817,4.246596963941606,3.606530659712634,1.7065696597405973,7.132871083698082,,,5.449328964117222,6.670320046035638,2.867879441171442,11.740818220681719,5.617989671854215,,,1.4999999999999982,2.049787068367864,2.8187307530779817,3.7465969639416064,4.101194211912203,7.540818220681719,2.7652988882215865,3.2820849986239,2
5,20.060076937905702,4.01201538758114,1,,,,,0.0,,,,,,1.0,,0.0,0.0,0.0,,,,,,,,3,79,100.0,100.0,6.162358306726996,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,,,,,,,,58822,,,0,0,-4,4,70.4,238,55,,,0,2,4.5,4.5,1,Cédric,4.0,,4.759034485477135,5.0,22,3,0,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,15.5,340,119,False,64.6,351,137,365,,2020-09-23T09:00:14.881983Z,3.9286805531449303,3.5457271836011914,3.82685243209926,46,0,0,,0,,58822.jpg,4.2,0,0,Soares,0.3,False,,a,1,3,Arsenal,20.0,346,124,21,20512,2523,39110,1626,0.8721772581698132,,1.0345727142341599,1.8706118198267698,0.9,4.6,Cédric,0.8,2.4000000000000004,,,,,0.0,,,,,,0.6,,0.20000000000000007,0.0,0.0,,,,,,,,0.1,0.9,0.18,,,,,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,,1.2000000000000028,1.3999999999999986,1.3999999999999986,,,,,,,,0.6000000000000001,,,,,0.0,,,,,,0.0,,0.0,0.1,0.0,,,,,,,,1.9863878557664272,,,,,1.0,,,,,,10.65858538272688,,3.804776847648805,2.586387855766427,1.9863878557664272,,,,,,,,1
6,71.11543726235743,3.7808207152139386,2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,11,275,100.0,75.0,0.0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,59966,,,0,0,-1,1,217.0,96,9,,,2,4,4.7,3.5,4,Alexandre,4.2,4.4996067521714975,3.959292153908698,18.80952380952381,22,10,8,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,118.0,33,10,False,397.2,56,9,1256,,2021-01-30T23:00:18.185183Z,3.7348541935232187,3.642199459094576,3.72104146011114,84,0,0,3.0,0,,59966.jpg,4.2,0,0,Lacazette,7.8,False,,a,1,3,Arsenal,568.0,24,12,79,1146249,38881,888402,27642,0.4500977041921355,0.5356674704966068,0.4713443040367497,1.304507080808633,0.5,9.4,Lacazette,1.6,4.800000000000002,0.2,0.0,0.09999999999999998,0.0,,0.0,0.0,0.0,0.09999999999999998,0.0,0.30000000000000004,0.0,0.6,0.0,0.10000000000000007,0.0,,0.0,0.09999999999999998,0.10000000000000003,0.0,,6.0,7.6,0.40405063291139237,0.2,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,1.2000000000000028,1.3999999999999986,1.3999999999999986,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,23.52,0.5,0.0,0.5,0.2999999999999998,,0.0,1.0,0.10000000000000007,1.0,0.0,0.20000000000000007,0.09999999999999998,0.7000000000000002,0.09999999999999963,0.0,1.2000000000000002,,0.0,0.30000000000000004,0.0,0.19999999999999973,,2.197718631178708,5.6,1.0,3.3,2.2,,1.0,8.0,3.4000000000000004,8.3,2.0,3.700000000000001,3.4,9.49874213836478,2.3999999999999986,2.197718631178708,7.8000000000000025,,1.0,2.5,2.3000000000000003,2.799999999999999,,2
7,6.697414984036198,2.2324716613453988,0,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,0,16,0.0,0.0,3.6974149840361967,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,69140,,,0,0,0,0,1.0,428,167,,,0,2,0.0,0.0,0,Shkodran,0.0,1.0,,3.0,22,1,0,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,1.3,455,172,False,11.6,435,169,45,Joined Schalke on a permanent deal on 1/2,2021-02-01T22:30:23.082979Z,2.167454801150346,1.8214249789222987,2.0711311491298683,50,0,0,,0,,69140.jpg,1.0,0,0,Mustafi,0.0,False,,u,1,3,Arsenal,0.0,627,230,3,13464,0,13883,298,0.44649433226907975,0.2,,0.9983916785220402,0.0,0.6,Mustafi,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,,1.2000000000000028,1.3999999999999986,1.3999999999999986,,,,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,0
8,83.11437654959877,3.777926206799944,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,410,0.0,,27.11437654959877,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,80201,,,0,0,0,0,0.0,633,66,,,2,1,0.0,4.7,-1,Bernd,4.2,4.0662952071916285,3.3224686413188613,22.0,22,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.6,210,12,False,446.0,35,12,1961,Suspended until 14 Feb,2021-02-02T20:30:22.406559Z,3.712909346604892,3.366879524376845,3.6165856945844137,50,0,0,,1,,80201.jpg,4.0,1,54,Leno,7.9,False,,s,1,3,Arsenal,0.0,629,64,88,812560,1131,866614,123003,0.7555852413599888,0.8132590414383257,0.6644937282637723,1.6895399624765206,0.8,17.6,Leno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,1.2000000000000028,1.3999999999999986,1.3999999999999986,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01361214423357271,6.274923012311929,2.9863878557664254,3.4261226388505337,3.626278638962397,3.331484334792321,2.7973158564688854,8.443212633449336,3.797315856468885,5.68128018414255,3.4715177646857693,4.96327288272688,2.5982744768905404,4.204776847648805,3.9863878557664254,-0.01361214423357271,3.199148273471456,5.274923012311927,3.9863878557664254,3.2047768476488083,5.9632728827268755,2.661195552886346,6.328339994495595,0
9,40.018164614288295,2.2335719784719053,1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1,233,100.0,100.0,5.5204459831096,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84450,,,0,0,-3,3,121.3,180,112,1.0,,0,3,3.5,3.5,1,Granit,3.0,2.979035013566069,2.8203655880026717,17.916666666666668,22,15,1,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,48.3,193,96,False,260.0,155,59,1444,,2020-12-13T22:30:16.182130Z,2.2077753768417026,2.102033329194656,2.18082701950718,52,0,0,,0,,84450.jpg,2.4,1,0,Xhaka,0.4,False,,a,1,3,Arsenal,102.0,195,103,43,36328,440,72468,1232,0.4295330727830587,0.5728913487627055,0.5423779976928215,0.9794861077091258,0.6,8.3,Xhaka,0.7,2.1,0.1,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.7,1.4,0.07813953488372093,0.2,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,1.2000000000000028,1.3999999999999986,1.3999999999999986,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,3.5,0.2,0.0,0.0,0.0,,,0.10000000000000003,0.2,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.09999999999999998,,,0.0,1.2465969639416068,4.1187307530779815,2.2465969639416064,1.6065306597126334,-2.0,,,3.6108031583623337,3.449328964117221,2.6703200460356378,2.3678794411714423,2.7408182206817204,2.149568619222635,4.999936350276982,2.746596963941607,1.2465969639416068,1.0,1.0,2.2465969639416064,1.801194211912202,,,2.0820849986238987,3
10,9.671192182730977,3.246757375631113,0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1,63,75.0,75.0,3.671192182730976,2,,,,,,,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,92371,,,0,0,-1,1,11.7,376,139,,,0,2,0.4,0.4,0,Pablo,0.0,,,2.9787234042553186,22,1,0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,7.4,386,141,False,59.0,354,138,270,Calf injury - 75% chance of playing,2021-01-14T22:00:26.195009Z,3.18174051543606,2.835710693208012,3.085416863415581,44,0,0,,0,,92371.jpg,4.7,0,0,Marí,0.1,False,,d,1,3,Arsenal,4.0,396,151,14,31261,26,26651,802,0.7378994035525256,,,1.5478308470107325,0.0,3.2,Marí,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,,1.2000000000000028,1.3999999999999986,1.3999999999999986,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.4432126334493358,4.797315856468885,4.681280184142551,,,,,,,,,,,,,,1
