id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week19,assists_week2,assists_week20,assists_week21,assists_week22,assists_week23,assists_week24,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week19,cleansheet_week2,cleansheet_week20,cleansheet_week21,cleansheet_week22,cleansheet_week23,cleansheet_week24,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 5,games played,gameweek,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week19,goals_week2,goals_week20,goals_week21,goals_week22,goals_week23,goals_week24,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,next10_xP,next1_xP,next5_xP,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week19,xA_week2,xA_week20,xA_week21,xA_week22,xA_week23,xA_week24,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week19,xGA_week2,xGA_week20,xGA_week21,xGA_week22,xGA_week23,xGA_week24,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week19,xG_week2,xG_week20,xG_week21,xG_week22,xG_week23,xG_week24,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 19,xPoints week 2,xPoints week 20,xPoints week 21,xPoints week 22,xPoints week 23,xPoints week 24,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,yellow_cards
1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,37605,,,0,0,-3,3,0.0,670,271,,,0,3,0.0,0.0,0,Mesut,0.0,,,,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,670,271,False,0.0,670,271,0,Not included in Arsenal's 25-man Premier League squad,2020-10-20T22:30:18.118477Z,,,,67,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.5,False,,u,1,3,Arsenal,0.0,670,271,0,3441,0,54257,98,,,,,0.0,0.0,Özil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,39476,,,0,0,-2,2,0.0,623,229,,,0,2,0.0,0.0,0,Sokratis,0.0,,,,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,634,228,False,0.0,631,228,0,Left the club by mutual consent on 20/1,2020-10-21T10:30:18.546407Z,,,,48,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,u,1,3,Arsenal,0.0,614,224,0,10266,0,19048,17,,,,,0.0,0.0,Sokratis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,36.58786616999016,2.673728681653127,0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0,151,100.0,100.0,17.187866169990155,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41270,,,0,0,-1,1,41.8,303,95,4.0,,0,2,0.7,1.7,1,David,1.2,3.0035336492006635,2.046602811947834,13.68421052631579,24,14,0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,27.7,297,102,False,148.0,262,101,976,,2021-02-02T20:30:22.388696Z,2.6899096290212747,2.085314746228475,2.5292652547740677,54,0,0,,0,,41270.jpg,1.9,1,0,Luiz Moreira Marinho,0.8,False,,a,1,3,Arsenal,90.0,230,64,26,52453,1110,103281,710,0.49513494104687533,0.5562099350371599,0.3790005207310803,1.1505896284799637,0.2,4.8,David Luiz,0.4,1.2000000000000002,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.4,0.0,0.0,0.0,0.0,,,,0.7,1.1,0.08038461538461539,,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,1.2000000000000028,1.3999999999999986,1.3999999999999986,1.3000000000000007,0.6000000000000014,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,4.199999999999998,,0.0,,,0.0,0.1,,,,0.0,0.4,0.0,0.0,0.09999999999999998,0.0,,0.0,0.0,0.0,0.1,0.0,,,,4.3952465443761035,,0.0,,,1.0,3.397315856468885,,,,2.4715177646857693,7.36327288272688,1.0,3.204776847648805,3.586387855766427,-3.0,,4.3952465443761035,1.1991482734714558,5.274923012311927,3.5863878557664246,1.0,,,,1
4,94.45078075080549,4.773319027191247,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,264,100.0,100.0,6.213371424380647,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,54694,,,0,0,-7,7,254.9,85,61,,,2,3,3.9,4.9,20,Pierre-Emerick,4.4,6.439594044014293,6.116270545364674,19.78723404255319,24,18,8,1.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,2.0,0.0,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,127.7,34,23,False,377.4,88,31,1664,,2021-01-23T16:00:22.555453Z,4.6713301804936895,3.763757263352696,4.41846106834603,113,1,0,1.0,0,,54694.jpg,4.7,0,0,Aubameyang,6.7,False,,a,1,3,Arsenal,646.0,22,13,93,607522,25141,3286235,4698,0.4224176130257741,0.569875579116309,0.5412628801207676,1.419976770822902,0.4,8.2,Aubameyang,1.6,4.800000000000002,0.0,0.0,0.0,0.09999999999999988,0.10000000000000007,,,0.0,0.0,0.0,0.0,0.5,,,0.0,0.0,0.10000000000000007,0.0,0.0,0.5,0.10000000000000007,0.09999999999999988,0.2,-0.09999999999999988,8.1,9.7,0.4902150537634408,0.2,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,1.2000000000000028,1.3999999999999986,1.3999999999999986,1.3000000000000007,0.6000000000000014,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,39.54,0.4,0.3999999999999999,0.20000000000000007,0.19999999999999973,0.3000000000000003,,,0.6000000000000001,0.7999999999999998,0.09999999999999963,1.4000000000000004,0.09999999999999998,,,0.09999999999999963,0.10000000000000052,1.9,0.0,0.0,0.0,0.30000000000000004,0.8999999999999999,0.0,0.30000000000000004,15.348811636094027,3.8187307530779817,4.246596963941606,3.606530659712634,1.7065696597405973,7.132871083698082,,,5.449328964117222,6.670320046035638,2.867879441171442,11.740818220681719,5.617989671854215,,,1.4999999999999982,1.5000000000000029,15.348811636094027,2.049787068367864,2.8187307530779817,3.7465969639416064,4.101194211912203,7.540818220681719,2.7652988882215865,3.2820849986239,2
5,26.66354843673653,3.7773360285376754,1,,,,,0.0,,,,,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,3,100,100.0,100.0,8.866139110311662,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,,,,,,,,58822,,,0,0,-4,4,98.0,209,49,7.0,,0,2,1.7,2.7,1,Cédric,2.2,4.370251943070116,3.1125852551387623,7.0588235294117645,24,6,0,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,22.3,327,110,False,82.0,336,130,519,,2020-09-23T09:00:14.881983Z,3.785701987207896,3.125356666926453,3.609380476838825,46,0,0,,0,,58822.jpg,3.4,0,0,Soares,0.3,False,,a,1,3,Arsenal,43.0,313,107,24,24048,1134,43757,1077,0.8211600062038426,0.950054770232634,0.6766489685084266,1.7611920044753768,0.5,5.2,Cédric,0.9,2.7,,,,,0.0,,,,,,0.6,,0.20000000000000007,0.0,0.0,0.0,0.09999999999999998,,,,,,,,0.2,1.1,0.15583333333333335,,,,,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,,1.2000000000000028,1.3999999999999986,1.3999999999999986,1.3000000000000007,0.6000000000000014,,,,,,,,1.2000000000000002,,,,,0.0,,,,,,0.0,,0.0,0.1,0.0,0.0,0.1,,,,,,,,4.095246544376104,,,,,1.0,,,,,,10.65858538272688,,3.804776847648805,2.586387855766427,1.9863878557664272,3.0901271721360497,4.095246544376104,,,,,,,,1
6,73.41481865284975,3.6707409326424867,2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,11,277,100.0,100.0,0.0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,59966,,,-1,1,-3,3,233.6,100,10,3.0,,2,4,3.1,4.1,0,Alexandre,3.6,4.644051196615943,4.099115192385871,20.0,24,11,8,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,,120.0,40,12,False,401.0,73,9,1314,,2021-01-30T23:00:18.185183Z,3.59743424450548,3.074480201646121,3.450378506744597,82,0,0,3.0,0,,59966.jpg,4.0,0,0,Lacazette,5.6,False,,a,1,3,Arsenal,568.0,29,14,80,1188471,5470,1110858,67605,0.4476513332490838,0.5663477069043834,0.49989209663242334,1.2818783376394947,0.4,9.8,Lacazette,1.9,5.6999999999999975,0.2,0.0,0.09999999999999998,0.0,,0.0,0.0,0.0,0.09999999999999998,0.0,0.30000000000000004,0.0,0.6,0.0,0.10000000000000007,0.2999999999999998,,0.0,,0.0,0.09999999999999998,0.10000000000000003,0.0,,6.1,8.0,0.4,0.2,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,1.2000000000000028,1.3999999999999986,1.3999999999999986,1.3000000000000007,0.6000000000000014,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,23.92,0.5,0.0,0.5,0.2999999999999998,,0.0,1.0,0.10000000000000007,1.0,0.0,0.20000000000000007,0.09999999999999998,0.7000000000000002,0.09999999999999963,0.0,0.09999999999999963,,1.2000000000000002,,0.0,0.30000000000000004,0.0,0.19999999999999973,,,5.6,1.0,3.3,2.2,,1.0,8.0,3.4000000000000004,8.3,2.0,3.700000000000001,3.4,9.49874213836478,2.3999999999999986,2.197718631178708,2.299999999999998,,7.8000000000000025,,1.0,2.5,2.3000000000000003,2.799999999999999,,2
7,6.768109121882457,2.256036373960819,0,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,0,16,0.0,0.0,3.768109121882457,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,69140,,,0,0,0,0,1.0,435,169,,,0,2,0.0,0.0,0,Shkodran,0.0,1.0,,3.0,24,1,0,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,1.3,461,174,False,11.6,442,171,45,Joined Schalke on a permanent deal on 1/2,2021-02-01T22:30:23.082979Z,2.2917500336409624,1.826497291806378,2.170288952112465,50,0,0,,0,,69140.jpg,1.0,0,0,Mustafi,0.0,False,,u,1,3,Arsenal,0.0,638,232,3,13464,0,14176,76,0.4512072747921638,0.2,,1.0089301383777056,0.0,0.6,Mustafi,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,,1.2000000000000028,1.3999999999999986,1.3999999999999986,1.3000000000000007,0.6000000000000014,,,,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,0.0,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,0
8,86.9854547837112,3.769369707294152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,426,100.0,100.0,28.985454783711205,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,80201,,,0,0,0,0,0.0,644,67,,,2,1,1.7,2.7,2,Bernd,2.2,4.303266491670132,3.09319977588944,23.07692307692308,24,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9,215,13,False,469.0,45,13,2051,,2021-02-02T20:30:22.406559Z,3.805083366974296,3.3398306251397107,3.6836222854457983,50,0,0,,1,,80201.jpg,3.9,1,57,Leno,7.0,False,,a,1,3,Arsenal,0.0,640,64,90,822507,3568,946334,9580,0.7538739414588304,0.8606532983340264,0.6186399551778881,1.6857133795676416,0.4,18.0,Leno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,1.2000000000000028,1.3999999999999986,1.3999999999999986,1.3000000000000007,0.6000000000000014,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1952465443761024,6.274923012311929,2.9863878557664254,3.4261226388505337,3.626278638962397,3.331484334792321,2.7973158564688854,8.443212633449336,3.797315856468885,5.68128018414255,3.4715177646857693,4.96327288272688,2.5982744768905404,4.204776847648805,3.9863878557664254,-0.01361214423357271,,4.1952465443761024,3.199148273471456,5.274923012311927,3.9863878557664254,3.2047768476488083,5.9632728827268755,2.661195552886346,6.328339994495595,0
9,45.44939688525776,2.3188467798600896,2,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,1,265,100.0,100.0,6.154578232408012,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84450,,,0,0,-3,3,173.2,145,95,1.0,,0,3,2.5,3.5,5,Granit,3.0,2.9451032864081466,2.922376606742621,19.6,24,18,1,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,58.4,165,86,False,302.4,145,54,1624,,2020-12-13T22:30:16.182130Z,2.3113600080995,2.077944434617529,2.248065308641401,52,0,0,,0,,84450.jpg,2.5,1,0,Xhaka,0.4,False,,a,1,3,Arsenal,109.0,206,107,49,37408,342,74921,574,0.4459320730500172,0.5663660166169513,0.5619955012966579,1.0168815819102865,0.6,9.4,Xhaka,1.0,3.0,0.1,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.10000000000000007,0.2,0.0,0.0,0.0,0.0,,,0.0,0.7,1.7,0.086734693877551,0.2,1.4000000000000004,0.5,0.9000000000000004,1.099999999999998,0.8000000000000007,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,1.9,1.2000000000000028,1.3999999999999986,1.3999999999999986,1.3000000000000007,0.6000000000000014,3.0,0.20000000000000007,1.4000000000000004,1.2000000000000002,0.2999999999999989,1.8000000000000007,2.5,3.5,0.2,0.0,0.0,0.0,,,0.10000000000000003,0.2,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,,,0.0,4.0462209625188965,4.1187307530779815,2.2465969639416064,1.6065306597126334,-2.0,,,3.6108031583623337,3.449328964117221,2.6703200460356378,2.3678794411714423,2.7408182206817204,2.149568619222635,4.999936350276982,2.746596963941607,1.2465969639416068,1.5725317930340128,4.0462209625188965,1.0,1.0,2.2465969639416064,1.801194211912202,,,2.0820849986238987,4
10,9.74138494371308,3.2703220882465334,0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,1,63,100.0,100.0,3.7413849437130775,2,,,,,,,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,92371,,,0,0,-1,1,11.7,383,143,,,0,2,-0.5,0.5,0,Pablo,0.0,,,2.9787234042553186,24,1,0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,7.4,393,144,False,59.0,364,140,270,,2021-01-14T22:00:26.195009Z,3.3060357479266766,2.840783006092092,3.184574666398179,44,0,0,,0,,92371.jpg,4.7,0,0,Marí,0.1,False,,a,1,3,Arsenal,4.0,403,153,14,31696,109,27937,321,0.7432550200560303,,,1.559064882963296,0.0,3.2,Marí,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2.2,0.8000000000000007,0.4000000000000021,1.0,0.2999999999999972,,1.2000000000000028,1.3999999999999986,1.3999999999999986,1.3000000000000007,0.6000000000000014,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.4432126334493358,4.797315856468885,4.681280184142551,,,,,,,,,,,,,,,,1
