id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,xG_week4,goals_week4,xPoints week 4,clean_sheet_points,xGA_week4,cleansheet_week4,xA,xA_points,xA_week4,assists_week4,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,next1_xP,next5_xP,next10_xP,value,valuePoints metric
1,0,0,0,,,0,37605,,,0,0,-2,2,0.0,568,232,,,0,3,-0.5,0.5,0,Mesut,0.0,0,0,0.0,568,232,False,0.0,567,232,0,,,68,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.8,False,,a,1,3,0.0,567,231,0,2760,443,39534,3614,0.0,0.0,Özil,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,100.0,75.0,0,39476,,,0,0,-1,1,0.0,476,188,,,0,2,-0.5,0.4,0,Sokratis,0.0,0,0,0.0,488,188,False,0.0,484,188,0,,2020-09-11T11:00:08.600094Z,49,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,a,1,3,0.0,449,177,0,9919,157,16445,288,0.0,0.0,Sokratis,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,27,100.0,100.0,0,41270,,,0,0,0,0,4.0,255,81,4.0,,0,2,0.5,1.5,2,David,1.0,4,0,4.7,257,86,False,43.2,164,64,181,,2020-09-10T14:30:11.632386Z,55,0,0,,0,,41270.jpg,1.3,0,0,Luiz Moreira Marinho,1.0,False,,a,1,3,0.0,537,207,4,18215,2890,40948,4143,0.2,0.7,David Luiz,0,Arsenal,3.0769230769230766,7.271421034940634,0.0,0.0,0.0,0.0,5.274923012311927,3.2714210349406345,0.20000000000000012,0.0,0.0,0.0,0.0,0.0,2.363211836355706,,,,,,,,1.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,2.1287361170542005,2.1514607204214604,2.1573356714254506,0.4296748793374011,1.0076769128221883
4,1,0,54,75.0,,1,54694,,,0,0,-1,1,57.2,60,44,6.0,,0,3,2.6,4.5,2,Pierre-Emerick,4.0,5,1,23.8,41,22,False,78.2,69,26,360,Ankle injury - 75% chance of playing,2020-10-08T09:00:12.305506Z,119,0,0,1.0,0,,54694.jpg,4.0,0,0,Aubameyang,24.3,False,,d,1,3,103.0,30,13,16,324647,20449,1753242,284752,0.3,1.3,Aubameyang,1,Arsenal,4.0,13.464038282636695,0.5,2.5,0.0,0.0,2.8187307530779817,1.0632118363557064,0.20000000000000012,0.0,0.5,1.5,0.0,0.0,3.3660095706591737,3.8187307530779817,0.4,1.0,0.2,1.0,0.0,0.0,5.617989671854215,0.09999999999999998,0.0,1.9,0.0,0.5,1.0,2.049787068367864,0.0,0.0,3.0,0.0,0.0,0.0,3.522639069793209,3.5848104495551523,3.371308945141982,0.28285794711421625,0.9757574273985611
5,0,0,0,100.0,100.0,0,58822,,,0,0,-2,2,0.0,468,186,,,0,2,-0.5,0.5,0,Cédric,0.0,0,0,0.0,482,186,False,0.0,478,186,0,,2020-09-23T09:00:14.881983Z,48,0,0,,0,,58822.jpg,0.0,0,0,Soares,0.2,False,,a,1,3,0.0,437,174,0,1951,383,26584,1095,0.0,0.0,Cédric,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,3,80,,,1,59966,,,0,0,0,0,29.8,121,14,5.0,,0,4,4.7,5.7,0,Alexandre,5.2,3,3,27.6,30,13,False,112.0,28,9,235,,,85,0,0,3.0,0,,59966.jpg,7.0,0,0,Lacazette,5.0,False,,a,1,3,134.0,23,15,21,221848,14688,194834,55120,0.6,2.5,Lacazette,0,Arsenal,3.0,16.8,1.8,7.2,,,,0.0,0.20000000000000012,0.0,0.2,0.6000000000000001,,,5.6000000000000005,5.6,0.5,1.0,0.2,1.0,0.2,0.0,3.4,0.09999999999999998,1.0,1.9,0.0,0.0,0.0,7.800000000000002,1.2000000000000002,1.0,3.0,0.0,0.0,0.0,6.15964591529447,6.306520510486804,5.747597880859967,0.6588235294117648,1.9207841535960992
7,0,0,0,0.0,0.0,0,69140,,,0,0,0,0,0.0,511,200,,,0,2,0.0,0.0,0,Shkodran,0.0,0,0,0.0,520,200,False,0.0,516,200,0,Hamstring injury - Expected back 24 Oct,2020-08-15T10:00:11.331812Z,50,0,0,,0,,69140.jpg,0.0,0,0,Mustafi,0.0,False,,i,1,3,0.0,495,194,0,9815,44,10179,74,0.0,0.0,Mustafi,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,2,81,,,1,80201,,,0,0,0,0,0.0,513,52,,,0,1,3.0,4.0,2,Bernd,3.5,5,0,7.9,191,9,False,79.0,66,8,360,,,50,0,0,,0,,80201.jpg,3.5,0,10,Leno,9.7,False,,a,1,3,0.0,497,51,14,277832,40239,201747,34670,0.7,2.8,Leno,0,Arsenal,4.0,14.252847345422824,0.0,0.0,0.0,0.0,5.274923012311927,4.2528473454228255,0.20000000000000012,0.0,0.0,0.0,0.0,0.0,3.5632118363557064,6.274923012311929,0.0,0.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,3.1991482734714562,0.0,0.0,3.0,0.0,0.0,0.0,3.3287361170542007,3.3514607204214606,3.3573356714254508,0.7126423672711413,1.5935167768646432
9,0,0,32,,,1,84450,,,-1,1,-1,1,27.3,130,82,2.0,,0,3,1.3,2.3,1,Granit,1.8,4,0,7.9,192,96,False,31.4,217,89,235,,,54,0,0,,0,,84450.jpg,1.8,0,0,Xhaka,0.7,False,,a,1,3,21.0,171,94,7,18516,1162,34969,6013,0.3,1.3,Xhaka,0,Arsenal,3.888888888888889,8.333678174234715,0.2,1.0,0.0,0.0,1.0,1.0336781742347143,0.20000000000000012,0.0,0.1,0.30000000000000004,0.0,0.0,2.142945816231784,4.1187307530779815,0.2,0.0,0.2,1.0,0.1,0.0,2.149568619222635,0.0,0.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.1562813612299823,2.180846388596526,2.1104536453955016,0.3968418178207007,0.922177050898951
10,0,0,0,0.0,0.0,0,92371,,,0,0,0,0,0.0,429,174,,,0,2,0.0,0.0,0,Pablo,0.0,0,0,0.0,446,174,False,0.0,441,174,0,Ankle injury - Expected back 24 Oct,2020-08-15T10:00:11.357231Z,45,0,0,,0,,92371.jpg,0.0,0,0,Marí,0.0,False,,i,1,3,0.0,389,158,0,160,22,491,62,0.0,0.0,Marí,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
