id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xGA_week7,cleansheet_week7,xA,xA_points,xG_week7,goals_week7,xPoints week 7,xA_week7,assists_week7,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,xPoints week 5,xG_week5,goals_week5,xGA_week5,cleansheet_week5,xA_week5,assists_week5,xPoints week 6,xG_week6,goals_week6,xGA_week6,cleansheet_week6,xA_week6,assists_week6,form 5,next1_xP,next5_xP,next10_xP,value,valuePoints metric,xG+xA,xG+xA per game
1,0,0,0,0.0,0.0,0,37605,,,0,0,-2,2,0.0,596,237,,,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,596,237,False,0.0,595,237,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.6,False,,n,1,3,0.0,596,237,0,3295,29,48838,1414,0.0,0.0,Özil,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0.0,0.0,0,39476,,,0,0,-1,1,0.0,536,206,,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,548,206,False,0.0,543,206,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,49,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,n,1,3,0.0,523,198,0,10204,9,18027,270,0.0,0.0,Sokratis,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,51,100.0,50.0,0,41270,,,0,0,0,0,9.8,295,93,4.0,,0,2,1.5,0.5,0,David,1.0,5,0,9.7,246,82,False,66.6,187,79,319,,2020-10-25T21:30:13.186040Z,55,0,0,,0,,41270.jpg,1.4,0,0,Luiz Moreira Marinho,0.9,False,,a,1,3,21.0,222,64,7,30292,778,64422,6082,0.2,1.3,David Luiz,0,Arsenal,5.0,13.798477529420488,0.1,0.6000000000000001,6.1984775294204875,0.2999999999999989,0.0,0.0,0.0,,,,,,2.7596955058840966,,,,,,,,1.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.5863878557664246,0.1,0.0,1.4000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,2.765114785387452,2.535013494439489,2.672170715807786,2.7717516002266818,0.5017628192516539,1.1767381175556961,0.1,0.02
4,1,1,104,100.0,100.0,2,54694,,,0,0,-3,3,119.5,39,30,6.0,,0,3,4.5,4.0,8,Pierre-Emerick,4.0,7,2,39.0,39,22,False,127.4,71,26,626,,2020-10-08T09:00:12.305506Z,117,0,0,1.0,0,,54694.jpg,4.0,0,0,Aubameyang,13.8,False,,a,1,3,143.0,41,22,28,384952,30186,2563117,34551,0.3,2.4,Aubameyang,2,Arsenal,7.0,27.978237188773107,1.7,8.02,2.169467135297171,0.2999999999999989,1.0,1.2,3.6,0.8999999999999999,1.0,7.540818220681719,0.09999999999999988,0.0,3.9968910269675866,3.8187307530779817,0.4,1.0,0.2,1.0,0.0,0.0,5.617989671854215,0.09999999999999998,0.0,1.9,0.0,0.5,1.0,2.049787068367864,0.0,0.0,3.0,0.0,0.0,0.0,2.8187307530779817,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.7465969639416064,0.0,0.0,1.4000000000000004,0.0,0.5,0.0,4.101194211912203,0.30000000000000004,0.0,1.2000000000000002,0.0,0.10000000000000007,0.0,4.0514254435962735,4.093179706694925,3.9661028618257874,3.951806487270961,0.3416146176895373,1.1685017758327432,2.9,0.41428571428571426
5,0,0,0,100.0,100.0,0,58822,,,0,0,-3,3,0.0,510,198,,,0,2,0.5,0.0,0,Cédric,0.0,0,0,0.0,525,198,False,0.0,520,198,0,,2020-09-23T09:00:14.881983Z,47,0,0,,0,,58822.jpg,0.0,0,0,Soares,0.2,False,,a,1,3,0.0,488,188,0,2765,187,30505,672,0.0,0.0,Cédric,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,3,88,,,2,59966,,,0,0,-1,1,73.2,94,12,5.0,,0,4,1.8,1.3,2,Alexandre,1.3,4,3,38.2,41,15,False,126.4,74,14,421,,,84,0,0,3.0,0,,59966.jpg,4.2,0,0,Lacazette,3.4,False,,a,1,3,182.0,27,16,25,251950,9176,344483,17169,0.2,3.0,Lacazette,1,Arsenal,5.9523809523809526,22.6,2.1,8.4,0.0,0.2999999999999989,1.0,0.4,1.2000000000000002,0.0,0.0,2.3000000000000003,0.10000000000000003,0.0,3.7968,5.6,0.5,1.0,0.2,1.0,0.2,0.0,3.4,0.09999999999999998,1.0,1.9,0.0,0.0,0.0,7.8000000000000025,1.2000000000000002,1.0,3.0,0.0,0.0,0.0,,,,0.20000000000000007,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,2.5,0.30000000000000004,0.0,1.2000000000000002,0.0,0.09999999999999998,0.0,3.400000000000001,3.947650410845839,3.7879870200110894,3.749208979839481,0.452,1.3100204578555252,2.5,0.42
7,0,0,13,100.0,100.0,0,69140,,,0,0,0,0,1.0,359,136,,,0,2,1.2,0.7,1,Shkodran,0.7,1,0,1.3,384,143,False,11.6,351,138,44,,2020-08-15T10:00:11.331812Z,50,0,0,,0,,69140.jpg,1.0,0,0,Mustafi,0.0,False,,a,1,3,0.0,546,207,2,10485,233,10483,118,0.1,0.4,Mustafi,0,Arsenal,2.0,4.479391011768195,0.0,0.0,2.4793910117681954,0.2999999999999989,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2396955058840966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,1.0,2.0037895055372696,2.152826443485532,2.25529259875053,0.44793910117681934,1.001622280011524,0.0,0.0
8,0,2,138,,,2,80201,,,0,0,0,0,0.0,558,59,,,1,1,4.5,4.0,7,Bernd,4.0,7,0,14.4,181,11,False,144.0,51,9,630,,,50,0,0,,0,,80201.jpg,3.7,0,18,Leno,9.2,False,,a,1,3,0.0,548,58,26,356196,24030,318279,14137,0.8,5.2,Leno,0,Arsenal,7.027027027027026,26.711373825131496,0.0,0.0,8.711373825131497,0.2999999999999989,1.0,0.0,0.0,0.0,0.0,5.9632728827268755,0.0,0.0,3.8012339674225593,6.274923012311929,0.0,0.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,3.199148273471456,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.2047768476488083,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,4.325701774385098,3.5653279670757323,3.714364905023994,3.816831060288993,0.7602467934845119,1.6999635099076127,0.0,0.0
9,0,0,47,,,1,84450,,,-1,1,-2,2,33.8,179,112,2.0,,0,3,1.5,1.0,0,Granit,1.0,6,0,11.4,221,101,False,51.8,217,86,407,,,53,0,0,,0,,84450.jpg,1.7,0,0,Xhaka,0.5,False,,a,1,3,29.0,189,100,10,21061,408,48968,3113,0.2,1.9,Xhaka,1,Arsenal,5.882352941176473,12.623081626300145,0.3,1.5,1.823081626300144,0.2999999999999989,0.0,0.1,0.30000000000000004,,,,,,2.1459238764710244,4.1187307530779815,0.2,0.0,0.2,1.0,0.1,0.0,2.149568619222635,0.0,0.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,1.801194211912202,0.09999999999999998,0.0,1.2000000000000002,0.0,0.0,0.0,1.511947793963452,2.1155685480849797,2.1225345052931304,2.14079360345182,0.40489129744736313,0.9321297670215387,0.4,0.06799999999999998
10,0,0,0,0.0,0.0,0,92371,,,0,0,-1,1,0.0,443,178,,,0,2,0.0,0.0,0,Pablo,0.0,0,0,0.0,465,179,False,0.0,459,179,0,Ankle injury - Expected back 21 Nov,2020-08-15T10:00:11.357231Z,44,0,0,,0,,92371.jpg,0.0,0,0,Marí,0.0,False,,i,1,3,0.0,413,165,0,268,14,669,22,0.0,0.0,Marí,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
