,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
0,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,29.0,1990.0,22,20,1777,19.7,0,1,0,0,0,2,0,0.0,0.05,0.05,0.0,0.05,1.2,1.2,0.8,2.0,0.06,0.04,0.1,0.06,0.1,Matches
1,2,Tammy Abraham,eng ENG,FW,Chelsea,22.0,1997.0,22,12,1040,11.6,6,1,6,0,0,0,0,0.52,0.09,0.61,0.52,0.61,6.4,6.4,0.9,7.3,0.56,0.07,0.63,0.56,0.63,Matches
2,3,Che Adams,sct SCO,FW,Southampton,24.0,1996.0,36,30,2667,29.6,9,5,9,0,0,1,0,0.3,0.17,0.47,0.3,0.47,8.8,8.8,5.8,14.5,0.3,0.19,0.49,0.3,0.49,Matches
3,4,Tosin Adarabioyo,eng ENG,DF,Fulham,22.0,1997.0,33,33,2953,32.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.4,1.5,0.03,0.01,0.04,0.03,0.04,Matches
4,5,Adrián,es ESP,GK,Liverpool,33.0,1987.0,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
5,6,Sergio Agüero,ar ARG,"FW,MF",Manchester City,32.0,1988.0,12,7,559,6.2,4,1,3,1,2,0,0,0.64,0.16,0.81,0.48,0.64,3.4,1.8,1.3,3.1,0.54,0.21,0.75,0.3,0.51,Matches
6,7,Ola Aina,ng NGA,DF,Fulham,23.0,1996.0,31,31,2664,29.6,2,1,2,0,0,3,0,0.07,0.03,0.1,0.07,0.1,1.0,1.0,1.4,2.3,0.03,0.05,0.08,0.03,0.08,Matches
7,8,Rayan Aït Nouri,fr FRA,DF,Wolves,19.0,2001.0,21,16,1404,15.6,1,1,1,0,0,1,0,0.06,0.06,0.13,0.06,0.13,0.6,0.6,1.0,1.6,0.04,0.06,0.1,0.04,0.1,Matches
8,9,Semi Ajayi,ng NGA,DF,West Brom,26.0,1993.0,33,31,2780,30.9,2,0,2,0,0,3,1,0.06,0.0,0.06,0.06,0.06,1.3,1.3,0.3,1.5,0.04,0.01,0.05,0.04,0.05,Matches
9,10,Nathan Aké,nl NED,DF,Manchester City,25.0,1995.0,10,9,797,8.9,1,0,1,0,0,4,0,0.11,0.0,0.11,0.11,0.11,0.1,0.1,0.0,0.1,0.01,0.0,0.02,0.01,0.02,Matches
10,11,Marc Albrighton,eng ENG,"DF,FW",Leicester City,30.0,1989.0,31,17,1746,19.4,1,5,1,0,0,2,0,0.05,0.26,0.31,0.05,0.31,1.3,1.3,4.4,5.7,0.07,0.23,0.29,0.07,0.29,Matches
11,12,Thiago Alcántara,es ESP,MF,Liverpool,29.0,1991.0,24,20,1854,20.6,1,0,1,0,0,4,0,0.05,0.0,0.05,0.05,0.05,1.4,1.4,2.3,3.7,0.07,0.11,0.18,0.07,0.18,Matches
12,13,Toby Alderweireld,be BEL,DF,Tottenham,31.0,1989.0,25,25,2240,24.9,1,0,1,0,0,2,0,0.04,0.0,0.04,0.04,0.04,0.8,0.8,0.3,1.2,0.03,0.01,0.05,0.03,0.05,Matches
13,14,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25.0,1995.0,1,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
14,15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,21.0,1998.0,36,34,3031,33.7,2,7,2,0,0,2,0,0.06,0.21,0.27,0.06,0.27,2.8,2.8,8.1,10.8,0.08,0.24,0.32,0.08,0.32,Matches
15,16,Ezgjan Alioski,mk MKD,DF,Leeds United,28.0,1992.0,36,29,2461,27.3,2,3,2,0,0,7,0,0.07,0.11,0.18,0.07,0.18,1.5,1.5,3.1,4.6,0.05,0.11,0.17,0.05,0.17,Matches
16,17,Alisson,br BRA,GK,Liverpool,27.0,1992.0,33,33,2970,33.0,1,0,1,0,0,1,0,0.03,0.0,0.03,0.03,0.03,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,Matches
17,18,Allan,br BRA,MF,Everton,29.0,1991.0,24,23,2051,22.8,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.9,1.1,0.01,0.04,0.05,0.01,0.05,Matches
18,19,Dele Alli,eng ENG,MF,Tottenham,24.0,1996.0,15,7,620,6.9,0,1,0,0,0,0,0,0.0,0.15,0.15,0.0,0.15,1.3,1.3,0.9,2.2,0.19,0.13,0.32,0.19,0.32,Matches
19,20,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,26.0,1994.0,34,28,2429,27.0,4,1,4,0,0,3,0,0.15,0.04,0.19,0.15,0.19,3.2,3.2,2.8,5.9,0.12,0.1,0.22,0.12,0.22,Matches
20,21,Marcos Alonso,es ESP,DF,Chelsea,29.0,1990.0,13,11,960,10.7,2,0,2,0,0,2,0,0.19,0.0,0.19,0.19,0.19,1.7,1.7,1.1,2.8,0.16,0.11,0.27,0.16,0.27,Matches
21,22,Steven Alzate,co COL,"MF,DF",Brighton,21.0,1998.0,15,10,896,10.0,1,0,1,0,0,2,0,0.1,0.0,0.1,0.1,0.1,0.7,0.7,0.5,1.1,0.07,0.05,0.11,0.07,0.11,Matches
22,23,Daniel Amartey,gh GHA,DF,Leicester City,25.0,1994.0,12,8,722,8.0,1,0,1,0,0,3,0,0.12,0.0,0.12,0.12,0.12,0.4,0.4,0.0,0.4,0.05,0.0,0.05,0.05,0.05,Matches
23,24,Ethan Ampadu,wls WAL,"DF,MF",Sheffield Utd,19.0,2000.0,25,23,2089,23.2,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.3,0.01,0.04,0.06,0.01,0.06,Matches
24,25,Joachim Andersen,dk DEN,DF,Fulham,24.0,1996.0,31,30,2730,30.3,1,1,1,0,0,7,1,0.03,0.03,0.07,0.03,0.07,1.1,1.1,0.5,1.6,0.04,0.02,0.05,0.04,0.05,Matches
26,26,Elliot Anderson,sct SCO,MF,Newcastle Utd,17.0,2002.0,1,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
27,27,Felipe Anderson,br BRA,"FW,MF",West Ham,27.0,1993.0,2,0,3,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
