,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
0,1,Max Aarons,eng ENG,DF,Norwich City,21-333,2000,14,14,1260,14.0,0,1,0,0,0,3,0,0.0,0.07,0.07,0.0,0.07,0.6,0.6,0.9,1.4,0.04,0.06,0.1,0.04,0.1,Matches
1,2,Che Adams,sct SCO,FW,Southampton,25-143,1996,11,10,768,8.5,3,1,3,0,0,0,0,0.35,0.12,0.47,0.35,0.47,2.4,2.4,1.3,3.7,0.28,0.16,0.43,0.28,0.43,Matches
2,3,Rayan Aït Nouri,fr FRA,DF,Wolves,20-180,2001,7,6,539,6.0,0,1,0,0,0,1,0,0.0,0.17,0.17,0.0,0.17,0.3,0.3,0.5,0.8,0.05,0.09,0.13,0.05,0.13,Matches
3,4,Kristoffer Ajer,no NOR,DF,Brentford,23-230,1998,7,6,565,6.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.03,0.05,0.07,0.03,0.07,Matches
4,5,Nathan Aké,nl NED,DF,Manchester City,26-288,1995,5,4,375,4.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.05,0.0,0.05,0.05,0.05,Matches
5,6,Marc Albrighton,eng ENG,"FW,MF",Leicester City,32-015,1989,5,3,297,3.3,1,0,1,0,0,1,0,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.3,0.01,0.07,0.08,0.01,0.08,Matches
6,7,Thiago Alcántara,es ESP,MF,Liverpool,30-236,1991,8,5,415,4.6,1,1,1,0,0,1,0,0.22,0.22,0.43,0.22,0.43,0.8,0.8,0.8,1.5,0.17,0.16,0.33,0.17,0.33,Matches
7,8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-057,1998,12,12,1054,11.7,1,7,1,0,0,1,0,0.09,0.6,0.68,0.09,0.68,1.3,1.3,5.3,6.6,0.11,0.45,0.56,0.11,0.56,Matches
8,9,Alisson,br BRA,GK,Liverpool,29-062,1992,13,13,1170,13.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
9,10,Allan,br BRA,MF,Everton,30-329,1991,14,14,1231,13.7,0,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matches
10,11,Dele Alli,eng ENG,MF,Tottenham,25-236,1996,8,6,516,5.7,1,0,0,1,1,1,0,0.17,0.0,0.17,0.0,0.0,1.1,0.3,0.0,0.3,0.18,0.0,0.18,0.05,0.05,Matches
11,12,Miguel Almirón,py PAR,MF,Newcastle Utd,27-296,1994,12,8,735,8.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,1.0,0.07,0.05,0.12,0.07,0.12,Matches
12,13,Marcos Alonso,es ESP,DF,Chelsea,30-340,1990,8,8,702,7.8,1,1,1,0,0,3,0,0.13,0.13,0.26,0.13,0.26,0.9,0.9,1.2,2.1,0.11,0.16,0.27,0.11,0.27,Matches
13,14,Steven Alzate,co COL,MF,Brighton,23-086,1998,2,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.14,0.14,0.0,0.14,Matches
14,15,Daniel Amartey,gh GHA,DF,Leicester City,26-347,1994,8,7,606,6.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches
15,16,Joachim Andersen,dk DEN,DF,Crystal Palace,25-186,1996,12,11,1024,11.4,0,1,0,0,0,3,0,0.0,0.09,0.09,0.0,0.09,0.2,0.2,0.5,0.8,0.02,0.05,0.07,0.02,0.07,Matches
16,17,Michail Antonio,jm JAM,FW,West Ham,31-250,1990,13,13,1165,12.9,6,3,6,0,1,5,1,0.46,0.23,0.7,0.46,0.7,5.3,5.1,3.1,8.2,0.41,0.24,0.65,0.39,0.63,Matches
17,18,Cameron Archer,eng ENG,"MF,FW",Aston Villa,20-135,2001,3,0,27,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
18,19,Adam Armstrong,eng ENG,"FW,MF",Southampton,24-296,1997,13,12,1037,11.5,2,2,2,0,0,0,0,0.17,0.17,0.35,0.17,0.35,3.7,3.7,1.7,5.5,0.32,0.15,0.47,0.32,0.47,Matches
19,20,Stuart Armstrong,sct SCO,MF,Southampton,29-248,1992,4,1,125,1.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.6,0.24,0.17,0.41,0.24,0.41,Matches
20,21,Kepa Arrizabalaga,es ESP,GK,Chelsea,27-061,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
21,22,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32-168,1989,13,12,1031,11.5,4,1,4,0,2,3,0,0.35,0.09,0.44,0.35,0.44,5.5,3.9,0.8,4.7,0.48,0.07,0.55,0.34,0.41,Matches
22,23,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,30-083,1991,13,10,801,8.9,0,1,0,0,0,1,0,0.0,0.11,0.11,0.0,0.11,1.3,1.3,0.8,2.2,0.15,0.09,0.24,0.15,0.24,Matches
23,24,Luke Ayling,eng ENG,DF,Leeds United,30-100,1991,5,5,448,5.0,1,0,1,0,0,0,0,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.04,0.0,0.05,0.04,0.05,Matches
24,25,César Azpilicueta,es ESP,DF,Chelsea,32-097,1989,9,8,699,7.8,0,2,0,0,0,0,0,0.0,0.26,0.26,0.0,0.26,0.2,0.2,1.3,1.5,0.02,0.17,0.19,0.02,0.19,Matches
26,26,Daniel Bachmann,at AUT,GK,Watford,27-147,1994,6,6,540,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
27,27,Leon Bailey,jm JAM,"FW,MF",Aston Villa,24-116,1997,9,4,424,4.7,1,2,1,0,0,1,0,0.21,0.42,0.64,0.21,0.64,1.2,1.2,0.3,1.5,0.25,0.06,0.31,0.25,0.31,Matches
28,28,Eric Bailly,ci CIV,DF,Manchester Utd,27-235,1994,2,2,135,1.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
29,29,Folarin Balogun,eng ENG,FW,Arsenal,20-153,2001,2,1,70,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.35,0.0,0.35,0.35,0.35,Matches
30,30,Patrick Bamford,eng ENG,FW,Leeds United,28-089,1993,5,5,436,4.8,1,2,1,0,0,1,0,0.21,0.41,0.62,0.21,0.62,2.8,2.8,0.6,3.4,0.58,0.12,0.69,0.58,0.69,Matches
