Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
West Ham,1,2,2,0,0,8,3,5,6,4.8,2.2,2.5,1.27,W W,,Michail Antonio - 3,Łukasz Fabiański,,2.4,1.1,0.33287108369807955
Chelsea,2,2,2,0,0,5,0,5,6,3.8,0.6,3.2,1.59,W W,38965.0,"Marcos Alonso, Trevoh Chalobah... - 1",Edouard Mendy,,1.9,0.3,0.7408182206817179
Liverpool,3,2,2,0,0,5,0,5,6,5.0,2.1,2.8,1.41,W W,52591.0,Diogo Jota - 2,Alisson,,2.5,1.05,0.3499377491111553
Brighton,4,2,2,0,0,4,1,3,6,2.7,1.9,0.8,0.39,W W,29485.0,Neal Maupay - 2,Robert Sánchez,,1.35,0.95,0.38674102345450123
Tottenham,5,2,2,0,0,2,0,2,6,2.8,3.3,-0.5,-0.23,W W,58262.0,"Son Heung-min, Dele Alli - 1",Hugo Lloris,,1.4,1.65,0.19204990862075413
Manchester Utd,6,2,1,1,0,6,2,4,4,2.9,1.4,1.5,0.76,W D,72732.0,Bruno Fernandes - 3,David de Gea,,1.45,0.7,0.4965853037914095
Everton,7,2,1,1,0,5,3,2,4,4.5,2.2,2.3,1.15,W D,38487.0,Dominic Calvert-Lewin - 2,Jordan Pickford,,2.25,1.1,0.33287108369807955
Brentford,8,2,1,1,0,2,0,2,4,2.2,2.1,0.1,0.05,W D,16479.0,"Sergi Canós, Christian Nørgaard - 1",David Raya,,1.1,1.05,0.3499377491111553
Manchester City,9,2,1,0,1,5,1,4,3,4.6,1.4,3.2,1.61,L W,51437.0,"Jack Grealish, Raheem Sterling... - 1",Ederson,,2.3,0.7,0.4965853037914095
Aston Villa,10,2,1,0,1,4,3,1,3,2.2,1.9,0.2,0.11,L W,41964.0,Danny Ings - 2,Emiliano Martínez,,1.1,0.95,0.38674102345450123
Watford,11,2,1,0,1,3,4,-1,3,2.0,2.6,-0.6,-0.29,W L,20051.0,"Ismaila Sarr, Cucho... - 1",Daniel Bachmann,,1.0,1.3,0.2725317930340126
Leicester City,12,2,1,0,1,2,4,-2,3,1.5,3.6,-2.1,-1.04,W L,31983.0,"Jamie Vardy, Youri Tielemans - 1",Kasper Schmeichel,,0.75,1.8,0.16529888822158653
Southampton,13,2,0,1,1,2,4,-2,1,1.5,3.9,-2.4,-1.18,L D,,Adam Armstrong - 1,Alex McCarthy,,0.75,1.95,0.1422740715865136
Crystal Palace,14,2,0,1,1,0,3,-3,1,0.9,1.7,-0.9,-0.44,L D,23091.0,,Vicente Guaita,,0.45,0.85,0.4274149319487267
Leeds United,15,2,0,1,1,3,7,-4,1,2.1,3.6,-1.5,-0.73,L D,,"Luke Ayling, Mateusz Klich... - 1",Illan Meslier,,1.05,1.8,0.16529888822158653
Wolves,16,2,0,0,2,0,2,-2,0,2.5,2.3,0.2,0.09,L L,,,José Sá,,1.25,1.15,0.3166367693790533
Burnley,17,2,0,0,2,1,4,-3,0,1.9,4.2,-2.3,-1.15,L L,16910.0,James Tarkowski - 1,Nick Pope,,0.95,2.1,0.1224564282529819
Newcastle Utd,18,2,0,0,2,2,6,-4,0,2.2,3.3,-1.1,-0.57,L L,50673.0,"Callum Wilson, Jacob Murphy - 1",Freddie Woodman,,1.1,1.65,0.19204990862075413
Arsenal,19,2,0,0,2,0,4,-4,0,1.8,4.2,-2.4,-1.2,L L,58729.0,,Bernd Leno,,0.9,2.1,0.1224564282529819
Norwich City,20,2,0,0,2,0,8,-8,0,1.5,4.7,-3.2,-1.61,L L,27023.0,,Tim Krul,,0.75,2.35,0.09536916221554961
