Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,38,29,6,3,99,26,73,93,89.0,27.2,61.9,1.63,52774,Kevin De Bruyne - 15,Ederson,,2.3421052631578947,0.7157894736842105,0.4888060599065
Liverpool,2,38,28,8,2,94,26,68,92,89.2,34.2,55.0,1.45,53367,Mohamed Salah - 23,Alisson,,2.3473684210526318,0.9,0.4065696597405991
Chelsea,3,38,21,11,6,76,33,43,74,67.2,36.0,31.3,0.82,36443,Mason Mount - 11,Edouard Mendy,,1.7684210526315791,0.9473684210526315,0.38776010329632493
Tottenham,4,38,22,5,11,69,40,29,71,65.1,39.4,25.8,0.68,56523,Son Heung-min - 23,Hugo Lloris,,1.713157894736842,1.0368421052631578,0.35457261887316577
Arsenal,5,38,22,3,13,61,48,13,69,59.9,47.1,12.8,0.34,59665,Bukayo Saka - 11,Aaron Ramsdale,,1.5763157894736841,1.2394736842105263,0.28953656551012574
Manchester Utd,6,38,16,10,12,57,57,0,58,54.8,54.5,0.3,0.01,73150,Cristiano Ronaldo - 18,David de Gea,,1.4421052631578946,1.4342105263157894,0.23830342405284077
West Ham,7,38,16,8,14,60,51,9,56,49.9,51.0,-1.1,-0.03,58370,Jarrod Bowen - 12,Łukasz Fabiański,,1.313157894736842,1.3421052631578947,0.2612949944016282
Leicester City,8,38,14,10,14,62,59,3,52,50.8,61.0,-10.1,-0.27,32493,Jamie Vardy - 15,Kasper Schmeichel,,1.3368421052631578,1.605263157894737,0.20083669619328665
Brighton,9,38,12,15,11,42,44,-2,51,46.0,45.6,0.4,0.01,30966,"Leandro Trossard, Neal Maupay - 8",Robert Sánchez,,1.2105263157894737,1.2,0.30119421191220214
Wolves,10,38,15,6,17,38,43,-5,51,35.9,60.3,-24.4,-0.64,30777,Raúl Jiménez - 6,José Sá,,0.9447368421052631,1.5868421052631578,0.20457060522498555
Newcastle Utd,11,38,13,10,15,44,62,-18,49,40.3,55.4,-15.2,-0.4,51487,Callum Wilson - 8,Martin Dúbravka,,1.0605263157894735,1.4578947368421051,0.23272570821524724
Crystal Palace,12,38,11,15,12,50,46,4,48,46.4,41.0,5.4,0.14,24541,Wilfried Zaha - 14,Vicente Guaita,,1.2210526315789474,1.0789473684210527,0.3399531828268996
Brentford,13,38,13,7,18,48,56,-8,46,47.8,49.1,-1.3,-0.03,16916,Ivan Toney - 12,David Raya,,1.2578947368421052,1.2921052631578949,0.27469187524216665
Aston Villa,14,38,13,6,19,52,54,-2,45,44.0,49.1,-5.1,-0.13,41681,Ollie Watkins - 11,Emiliano Martínez,,1.1578947368421053,1.2921052631578949,0.27469187524216665
Southampton,15,38,9,13,16,43,67,-24,40,46.8,58.6,-11.9,-0.31,30134,James Ward-Prowse - 10,Fraser Forster,,1.2315789473684209,1.5421052631578949,0.21393024754195203
Everton,16,38,11,6,21,43,66,-23,39,42.8,54.5,-11.7,-0.31,38446,Richarlison - 10,Jordan Pickford,,1.1263157894736842,1.4342105263157894,0.23830342405284077
Leeds United,17,38,9,11,18,42,79,-37,38,47.2,70.1,-23.0,-0.6,36308,Raphael Dias Belloli - 11,Illan Meslier,,1.2421052631578948,1.844736842105263,0.15806691197267914
Burnley,18,38,7,14,17,34,53,-19,35,39.0,56.7,-17.7,-0.47,19163,Maxwel Cornet - 9,Nick Pope,Relegated,1.0263157894736843,1.4921052631578948,0.22489868588142214
Watford,19,38,6,5,27,34,77,-43,23,38.8,66.6,-27.8,-0.73,20614,Emmanuel Dennis - 10,Ben Foster,Relegated,1.0210526315789472,1.7526315789473683,0.17331724478212127
Norwich City,20,38,5,7,26,23,84,-61,22,33.3,77.0,-43.6,-1.15,26836,Teemu Pukki - 11,Tim Krul,Relegated,0.8763157894736842,2.026315789473684,0.13182028128887308
