id,adjusted points,adjusted points per game,assists,assists_week1,assists_week2,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week2,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week2,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 2 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week2,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week2,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week2,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week2,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 2,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards
1,2.09012717213605,2.09012717213605,0,0.0,,,,,,,,,0,0.0,,,,,,,,,11,,,1.0901271721360504,0,0.0,,,,,,,,,80201,,,0,0,0,0,0.0,427,45,,,0,1,2.6,3.6,1,Bernd,1.0,,,,,1.0,1,3.0827579498291016,2.972527265548706,,,,,,,,3.1437644958496094,3.10566782951355,2.457404375076294,3.3074851036071777,3.0827579498291016,3.479783296585083,2.7757933139801025,3.071486473083496,2,0,0.0,,,,,,,,,1.2,217,17,False,11.8,150,17,90,,,50,0,0,,0,,80201.jpg,1.0,0,1,Leno,2.1,False,,a,1,3,Arsenal,0.0,391,45,1,1996,1996,19699,19699,0.41802543442721,,,0.9347332877031224,0.2,6.095885610580444,0.2,Leno,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,1.3,,,,,,,,,0.0,0.0,,,,,,,,,2.09012717213605,2.09012717213605,,,,,,,,,30.47942805290222,0
2,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,115918,,,0,0,0,0,0.0,268,11,,,0,1,1.0,2.0,0,Rúnar Alex,0.0,,,,,,1,3.343534469604492,3.292943954467773,,,,,,,,3.423261880874634,3.3664443492889404,2.7944765090942383,3.5990142822265625,3.403174638748169,3.721921443939209,3.09621000289917,3.3322629928588867,0,0,,,,,,,,,,0.0,290,30,False,0.0,277,30,0,,,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,1.5,False,,a,1,3,Arsenal,0.0,201,10,0,4578,4578,2251,2251,,,,,0.0,8.343311131000519,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.373244524002075,0
3,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,47431,4.0,,-1,1,-1,1,0.0,537,225,2.0,,0,3,2.2,3.2,0,Willian,0.0,,,,,,1,2.353970766067505,2.5038764476776123,,,,,,,,2.463294744491577,2.436351776123047,2.019078254699707,2.918607950210572,2.4136109352111816,2.8426318168640137,2.396375894546509,2.402170181274414,0,0,,,,,,,,,,0.0,537,225,False,0.0,534,224,0,,,64,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.3,False,,a,1,3,Arsenal,0.0,531,222,0,614,614,5283,5283,,,,,0.0,3.867182619869709,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.749968767166138,0
4,,,0,,,,,,,,,,0,,,,,,,,,,0,25.0,25.0,,0,,,,,,,,,,54694,,,-1,1,-1,1,0.0,553,73,,,0,4,0.8,1.0,0,Pierre-Emerick,0.0,,,,,,1,2.5305016040802,2.7400436401367188,,,,,,,,2.574336290359497,2.672518730163574,2.019078254699707,3.045354127883911,2.590141773223877,2.9536736011505127,2.5074174404144287,2.6383373737335205,0,0,,,,,,,,,,0.0,553,73,False,0.0,553,73,0,Illness - 25% chance of playing,2021-08-13T14:30:14.477664Z,99,0,0,1.0,0,,54694.jpg,0.0,0,0,Aubameyang,1.8,False,,d,1,3,Arsenal,0.0,553,73,0,817,817,74611,74611,,,,,0.0,2.653677054125853,0.0,Aubameyang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.271402835845947,0
5,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,58822,,,0,0,0,0,0.0,309,116,5.0,,0,2,1.7,2.7,0,Cédric,0.0,,,,,,1,2.840202808380127,3.049744844436645,,,,,,,,2.78622841835022,2.98222017288208,1.966113924980164,3.165446758270264,2.899842977523804,3.230340480804444,2.8171186447143555,2.948038578033448,0,0,,,,,,,,,,0.0,328,120,False,0.0,315,119,0,,,45,0,0,,0,,58822.jpg,0.0,0,0,Soares,0.2,False,,a,1,3,Arsenal,0.0,247,90,0,453,453,2645,2645,,,,,0.0,6.374510579639011,0.0,Cédric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.68529760837555,0
6,,,0,,,,,,,,,,0,,,,,,,,,,0,25.0,25.0,,0,,,,,,,,,,59966,,,0,0,0,0,0.0,551,72,3.0,,0,4,0.7,0.9,0,Alexandre,0.0,,,,,,1,2.5305016040802,2.7400436401367188,,,,,,,,2.574336290359497,2.672518730163574,2.019078254699707,3.045354127883911,2.590141773223877,2.9536736011505127,2.5074174404144287,2.6383373737335205,0,0,,,,,,,,,,0.0,551,72,False,0.0,550,72,0,Illness - 25% chance of playing,2021-08-13T14:30:14.582063Z,85,0,0,2.0,0,,59966.jpg,0.0,0,0,Lacazette,1.9,False,,d,1,3,Arsenal,0.0,549,71,0,514,514,53204,53204,,,,,0.0,3.0907532748054054,0.0,Lacazette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.271402835845947,0
7,3.0725317930340124,3.0725317930340124,0,0.0,,,,,,,,,0,0.0,,,,,,,,,13,,,0.2725317930340126,0,0.0,,,,,,,,,84450,,,0,0,0,0,24.7,41,28,4.0,,0,3,1.4,2.4,2,Granit,2.0,,,,,1.0,1,2.895349740982056,3.005847930908203,,,,,,,,2.5311925411224365,2.9979634284973145,2.1900525093078613,3.044340848922729,2.895349740982056,3.093755006790161,2.878114938735962,2.9637818336486816,2,0,0.0,,,,,,,,,4.5,88,51,False,15.2,123,49,90,,,50,0,0,,0,,84450.jpg,2.0,0,0,Xhaka,1.0,False,,a,1,3,Arsenal,5.0,123,70,2,5770,5770,10028,10028,0.6145063586068025,,,1.3740779904506732,0.4,5.699149703979492,0.4,Xhaka,0.1,0.3,0.1,,,,,,,,,0.1,0.2,0.2,1.3,,,,,,,,,0.5,0.1,,,,,,,,,3.0725317930340124,3.0725317930340124,,,,,,,,,28.49574851989746,0
8,3.89012717213605,3.89012717213605,0,0.0,,,,,,,,,0,0.0,,,,,,,,,14,,,1.0901271721360504,0,0.0,,,,,,,,,92371,,,0,0,0,0,1.3,182,51,,,0,2,1.7,2.7,1,Pablo,1.0,,,,,1.0,1,3.515432596206665,3.552772045135498,,,,,,,,4.218186378479004,3.5448875427246094,2.946925401687622,4.786508560180664,3.515432596206665,4.6852569580078125,3.4686007499694824,3.366682529449463,2,0,0.0,,,,,,,,,2.5,157,48,False,16.6,111,41,90,,,45,0,0,,0,,92371.jpg,1.0,0,0,Marí,0.2,False,,a,1,3,Arsenal,7.0,106,21,1,615,615,1306,1306,0.8644727049191222,,,1.8338235353969656,0.2,8.355707857343885,0.2,Marí,0.0,0.0,0.0,,,,,,,,,0.3,0.3,0.3,1.3,,,,,,,,,1.7999999999999998,0.3,,,,,,,,,3.89012717213605,3.89012717213605,,,,,,,,,37.600685358047485,0
9,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,98745,,,0,0,0,0,0.0,436,169,,,0,2,2.2,3.2,0,Héctor,0.0,,,,,,1,2.840202808380127,3.049744844436645,,,,,,,,2.78622841835022,2.98222017288208,1.966113924980164,3.165446758270264,2.899842977523804,3.230340480804444,2.8171186447143555,2.948038578033448,0,0,,,,,,,,,,0.0,444,169,False,0.0,435,170,0,,,50,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.9,False,,a,1,3,Arsenal,0.0,403,158,0,1392,1392,14899,14899,,,,,0.0,5.73705952167511,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.68529760837555,0
10,2.9901271721360505,2.9901271721360505,0,0.0,,,,,,,,,0,0.0,,,,,,,,,14,,,1.0901271721360504,0,0.0,,,,,,,,,101184,,,0,0,0,0,16.8,68,16,,,0,2,1.7,2.7,1,Calum,1.0,,,,,1.0,1,3.1056060791015625,3.309020757675171,,,,,,,,2.723585367202759,3.301136016845703,2.0041275024414062,3.1959304809570312,3.1056060791015625,3.3862144947052,3.0228817462921143,3.2669546604156494,2,0,0.0,,,,,,,,,4.2,99,27,False,13.2,136,56,80,,,45,0,0,,0,,101184.jpg,1.0,0,0,Chambers,0.4,False,,a,1,3,Arsenal,12.0,86,17,1,1149,1149,2859,2859,0.6644727049191224,,,1.4095594666850375,0.2,6.7602362632751465,0.2,Chambers,0.1,0.3,0.1,,,,,,,,,0.1,0.2,0.2,1.3,,,,,,,,,0.6000000000000001,0.1,,,,,,,,,2.9901271721360505,2.9901271721360505,,,,,,,,,30.42106318473816,0
