id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,team_name,games played,adjusted points,xG,xG_points,xG_week1,goals_week1,xPoints week 1,bonus_week1,clean_sheet_points,xGA_week1,cleansheet_week1,xA,xA_points,xA_week1,assists_week1,adjusted points per game,gameweek,xPoints,form 5,form 10,form 15,form 20,gameweek 2 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,gameweek 10 prediction,gameweek 11 prediction,xPoints_next10,value,value form 5,value form 10,valuePoints metric,xG+xA,xG+xA per game
1,,,80201,0,0,0,0,0,1,2.6,3.6,1,Bernd,1.0,False,,,50,80201.jpg,1.0,Leno,2.1,False,,a,1,3,1,1996,1996,19699,19699,0.2,0.2,Leno,90,0,0,0,2,0,0,0,0,0,1,0,11,11.8,0.0,0.0,1.2,150,17,427,45,391,45,217,17,,,,,,,Arsenal,1.0,2.09012717213605,0.0,0.0,0.0,0.0,2.09012717213605,0.0,1.0901271721360504,1.3,0.0,0.0,0.0,0.0,0.0,2.09012717213605,1,2.09012717213605,,,,,3.1437644958496094,3.10566782951355,2.457404375076294,3.3074851036071777,3.0827579498291016,3.479783296585083,2.7757933139801025,3.071486473083496,3.0827579498291016,2.972527265548706,30.47942805290222,0.41802543442721,,,0.9347332877031225,0.0,0.0
2,,,115918,0,0,0,0,0,1,1.0,2.0,0,Rúnar Alex,0.0,False,,,40,115918.jpg,0.0,Rúnarsson,1.5,False,,a,1,3,0,4578,4578,2251,2251,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,277,30,268,11,201,10,290,30,,,,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,3.423261880874634,3.3664443492889404,2.7944765090942383,3.5990142822265625,3.403174638748169,3.721921443939209,3.09621000289917,3.3322629928588867,3.343534469604492,3.292943954467773,33.373244524002075,,,,,,
3,,,47431,-1,1,-1,1,0,3,2.2,3.2,0,Willian,0.0,False,,,64,47431.jpg,0.0,Borges Da Silva,0.3,False,,a,1,3,0,614,614,5283,5283,0.0,0.0,Willian,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,534,224,537,225,531,222,537,225,4.0,,2.0,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.463294744491577,2.436351776123047,2.019078254699707,2.9186079502105717,2.4136109352111816,2.8426318168640137,2.396375894546509,2.402170181274414,2.353970766067505,2.5038764476776123,24.749968767166138,,,,,,
4,25.0,25.0,54694,-1,1,-1,1,0,4,0.8,1.0,0,Pierre-Emerick,0.0,False,Illness - 25% chance of playing,2021-08-13T14:30:14.477664Z,99,54694.jpg,0.0,Aubameyang,1.8,False,,d,1,3,0,817,817,74611,74611,0.0,0.0,Aubameyang,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,553,73,553,73,553,73,553,73,,,,,1.0,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.574336290359497,2.672518730163574,2.019078254699707,3.045354127883911,2.590141773223877,2.9536736011505127,2.5074174404144287,2.6383373737335205,2.5305016040802,2.7400436401367188,26.271402835845947,,,,,,
5,,,58822,0,0,0,0,0,2,1.7,2.7,0,Cédric,0.0,False,,,45,58822.jpg,0.0,Soares,0.2,False,,a,1,3,0,453,453,2645,2645,0.0,0.0,Cédric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,315,119,309,116,247,90,328,120,,,5.0,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.78622841835022,2.98222017288208,1.966113924980164,3.165446758270264,2.899842977523804,3.230340480804444,2.8171186447143555,2.9480385780334477,2.840202808380127,3.049744844436645,28.68529760837555,,,,,,
6,25.0,25.0,59966,0,0,0,0,0,4,0.7,0.9,0,Alexandre,0.0,False,Illness - 25% chance of playing,2021-08-13T14:30:14.582063Z,85,59966.jpg,0.0,Lacazette,1.9,False,,d,1,3,0,514,514,53204,53204,0.0,0.0,Lacazette,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,550,72,551,72,549,71,551,72,,,3.0,,2.0,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.574336290359497,2.672518730163574,2.019078254699707,3.045354127883911,2.590141773223877,2.9536736011505127,2.5074174404144287,2.6383373737335205,2.5305016040802,2.7400436401367188,26.271402835845947,,,,,,
7,,,84450,0,0,0,0,0,3,1.4,2.4,2,Granit,2.0,False,,,50,84450.jpg,2.0,Xhaka,1.0,False,,a,1,3,2,5770,5770,10028,10028,0.4,0.4,Xhaka,90,0,0,0,2,0,0,0,0,0,0,0,13,15.2,24.7,5.0,4.5,123,49,41,28,123,70,88,51,,,4.0,,,,Arsenal,1.0,3.0725317930340124,0.1,0.5,0.1,0.0,3.0725317930340124,0.0,0.2725317930340126,1.3,0.0,0.1,0.3,0.1,0.0,3.0725317930340124,1,3.0725317930340124,,,,,2.5311925411224365,2.9979634284973145,2.1900525093078613,3.044340848922729,2.895349740982056,3.093755006790161,2.878114938735962,2.9637818336486816,2.895349740982056,3.005847930908203,28.49574851989746,0.6145063586068025,,,1.3740779904506732,0.2,0.2
8,,,92371,0,0,0,0,0,2,1.7,2.7,1,Pablo,1.0,False,,,45,92371.jpg,1.0,Marí,0.2,False,,a,1,3,1,615,615,1306,1306,0.2,0.2,Marí,90,0,0,0,2,0,0,0,0,0,0,0,14,16.6,1.3,7.0,2.5,111,41,182,51,106,21,157,48,,,,,,,Arsenal,1.0,3.89012717213605,0.3,1.7999999999999998,0.3,0.0,3.89012717213605,0.0,1.0901271721360504,1.3,0.0,0.0,0.0,0.0,0.0,3.89012717213605,1,3.89012717213605,,,,,4.218186378479004,3.5448875427246094,2.946925401687622,4.786508560180664,3.515432596206665,4.6852569580078125,3.4686007499694824,3.366682529449463,3.515432596206665,3.552772045135498,37.600685358047485,0.8644727049191222,,,1.8338235353969659,0.3,0.3
9,,,98745,0,0,0,0,0,2,2.2,3.2,0,Héctor,0.0,False,,,50,98745.jpg,0.0,Bellerín,0.9,False,,a,1,3,0,1392,1392,14899,14899,0.0,0.0,Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,435,170,436,169,403,158,444,169,,,,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.78622841835022,2.98222017288208,1.966113924980164,3.165446758270264,2.899842977523804,3.230340480804444,2.8171186447143555,2.9480385780334477,2.840202808380127,3.049744844436645,28.68529760837555,,,,,,
10,,,101184,0,0,0,0,0,2,1.7,2.7,1,Calum,1.0,False,,,45,101184.jpg,1.0,Chambers,0.4,False,,a,1,3,1,1149,1149,2859,2859,0.2,0.2,Chambers,80,0,0,0,2,0,0,0,0,0,0,0,14,13.2,16.8,12.0,4.2,136,56,68,16,86,17,99,27,,,,,,,Arsenal,1.0,2.9901271721360505,0.1,0.6000000000000001,0.1,0.0,2.9901271721360505,0.0,1.0901271721360504,1.3,0.0,0.1,0.3,0.1,0.0,2.9901271721360505,1,2.9901271721360505,,,,,2.723585367202759,3.301136016845703,2.0041275024414062,3.1959304809570312,3.1056060791015625,3.3862144947052,3.0228817462921143,3.2669546604156494,3.1056060791015625,3.309020757675171,30.42106318473816,0.6644727049191224,,,1.4095594666850375,0.2,0.2
