id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week2,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week2,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week2,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week2,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week2,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week2,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week2,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 2,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 21 prediction
1,6.677561921781158,2.2258539739270526,0,0.0,,,0.0,0.0,,,,,,,0,0.0,,,0.0,0.0,,,,,,,48,,,2.677561921781158,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,-1,1,-4,4,0.0,564,59,,,0,1,-0.5,1.0,0,Bernd,0.0,1.6547879838251456,1.799901046595447,1.799901046595447,,3.0,11,,,3.509732484817505,4.297451972961426,3.75877857208252,3.56756329536438,3.653806447982788,3.639778852462769,4.017077922821045,4.528010845184326,,3.9121057987213135,,,,,,,,9,0,0.0,,,0.0,0.0,,,,,,,7.9,335,23,False,79.0,256,23,270,,,46,0,0,,0,,80201.jpg,1.3,0,9,Leno,1.0,False,,a,1,3,Arsenal,0.0,549,54,4,58628,776,167795,2759,0.48388129867979407,0.35973651822285774,,1.0378097665638932,0.0,8.37410128634909,0.9,Leno,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,0.0,0.0,,,,,,,,2.09012717213605,,,2.220092880225629,1.0894830874246624,,,,,,,38.52086591720581,0,3.6365597248077393
2,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,115918,,,0,0,0,0,0.0,426,20,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,11,,,2.500892877578736,3.7273011207580566,3.197049379348755,2.89685320854187,2.96244215965271,2.609842300415039,3.4059572219848637,4.099000453948975,,3.1713500022888184,,,,,,,,0,0,,,,,,,,,,,,0.0,448,41,False,0.0,445,41,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.8,False,,u,1,3,Arsenal,0.0,389,14,0,19017,0,62147,1272,,,,,0.0,7.78884345293045,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1553738117218,0,2.5846850872039795
3,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,619,252,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,11,,,1.95337176322937,2.7299959659576416,2.453493595123291,2.134121417999268,2.138209104537964,1.9804904460906985,2.4787685871124268,3.11694598197937,,2.1634840965271,,,,,,,,0,0,,,,,,,,,,,,0.0,619,252,False,0.0,619,252,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,619,252,0,914,0,20102,52,,,,,0.0,3.6579396611168273,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.04501986503601,0,1.8961389064788816
4,38.011,3.8011,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,133,100.0,100.0,0.0,5,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,1,-1,1,-1,113.9,105,15,,,0,4,1.8,3.3,-1,Pierre-Emerick,2.3,3.897100000000001,3.897100000000001,3.897100000000001,3.814200000000001,10.0,11,,,3.172342538833618,4.808666229248047,4.347358226776123,3.6542506217956543,3.7194318771362314,3.164402723312378,4.347358226776123,4.891825199127197,,3.7599031925201416,,,,,,,,8,4,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,75.9,21,5,False,202.6,65,6,788,,2021-08-13T14:30:14.477664Z,101,0,2,1.0,0,,54694.jpg,3.8,0,0,Aubameyang,5.4,False,,a,1,3,Arsenal,443.0,5,2,38,641749,17664,434682,78003,0.37634653465346535,0.38585148514851497,0.37764356435643576,1.19604799772889,0.2,3.852324934289007,3.8,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,4.2,5.0,0.5,,1.200000000000001,0.5999999999999996,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,15.84,,0.2999999999999998,0.9000000000000004,0.0,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,2.6000000000000014,,3.2,2.6000000000000014,1.0,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,38.90848183631897,2,3.042943000793457
5,3.9775619217811577,1.3258539739270525,0,,,,0.0,0.0,0.0,,,,,,0,,,,0.0,0.0,0.0,,,,,,21,,,2.677561921781158,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-3,3,36.1,241,69,,,0,2,-0.5,1.0,0,Cédric,0.0,0.5365253225500971,0.5365253225500971,0.5365253225500971,,3.0,11,,,1.498725652694702,2.7974586486816406,1.9844903945922847,1.679113507270813,1.7653566598892212,1.5350475311279297,2.200026512145996,3.0432677268981934,,1.916118025779724,,,,,,,,7,0,,,,0.0,0.0,0.0,,,,,,6.8,346,122,False,30.8,334,126,188,,,42,0,0,,0,,58822.jpg,0.3,0,0,Soares,0.2,False,,a,1,3,Arsenal,1.0,368,132,1,11007,209,21380,402,0.31567951760167917,0.12774412441668978,,0.6469504949372565,0.0,4.743032767659143,0.2,Cédric,0.1,0.3,,,,0.1,0.0,0.0,,,,,,0.0,0.1,0.03333333333333333,,1.200000000000001,0.5999999999999996,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,,,0.0,0.0,0.0,,,,,,,,,,1.5200928802256288,-0.9105169125753376,1.0,,,,,,19.9207376241684,1,1.5011329650878906
6,11.7,1.95,0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,41,100.0,100.0,0.0,2,,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,0,0,-2,2,72.6,165,30,5.0,,0,4,1.2,2.7,2,Alexandre,1.7,1.95,1.95,1.95,2.14,6.0,11,,,1.8023602962493896,2.4882423877716064,2.030214548110962,1.8365098237991333,1.8906038999557493,1.8158817291259768,2.0777182579040527,2.700378894805908,,1.9381078481674197,,,,,,,,2,1,,0.0,0.0,,0.0,,,,0.0,1.0,0.0,24.0,208,35,False,57.6,288,37,264,,2021-08-13T14:30:14.582063Z,83,0,0,2.0,0,,59966.jpg,2.0,0,0,Lacazette,1.1,False,,a,1,3,Arsenal,111.0,113,37,12,51128,4548,162738,4161,0.23493975903614456,0.23493975903614456,0.25783132530120484,0.6768548811381077,0.2,2.436977682343448,1.4,Lacazette,0.3,0.8999999999999999,,0.0,0.0999999999999999,,0.0,,,,0.0,0.2,0.0,0.7,1.0,0.16666666666666666,,1.200000000000001,0.5999999999999996,,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,2.8,,0.0,0.1999999999999999,,0.0,,,,0.0,0.5,0.0,3.1,,1.0,3.1,,1.0,,,,1.0,3.6,2.0,20.226914763450623,0,1.6468970775604248
7,5.692520640593719,1.42313016014843,0,0.0,,,0.0,0.0,,,0.0,,,,0,0.0,,,0.0,0.0,,,0.0,,,,35,0.0,0.0,0.8925206405937193,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,-1,1,-2,2,53.2,193,115,4.0,,0,3,0.0,0.0,0,Granit,0.0,0.7959647679181622,1.3651065241971247,1.3651065241971247,,4.0,11,,,1.5798646211624146,2.2550456523895264,1.9291518926620483,1.6978392601013184,1.7615666389465332,1.616186499595642,2.0038182735443115,2.500854730606079,,1.836233139038086,,,,,,,,10,0,0.0,,,0.0,0.0,,,0.0,,,,10.4,315,139,False,42.2,316,132,295,Knee injury - Expected back 16 Jan,2021-09-26T22:30:11.256623Z,48,0,0,,0,,84450.jpg,1.0,1,0,Xhaka,0.3,False,,i,1,3,Arsenal,9.0,327,163,4,16607,29,76641,458,0.29648545003092297,0.16582599331628378,,0.649567075816029,0.0,3.908923516670863,0.8,Xhaka,0.1,0.3,0.1,,,0.0,0.0,,,0.0,,,,0.1,0.2,0.05,1.3,1.200000000000001,0.5999999999999996,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.5,0.1,,,0.0,0.0,,,0.0,,,,,3.0725317930340124,,,2.055023220056407,-2.0,,,2.3328710836980795,,,,18.76283288002014,0,1.582272171974182
8,4.885041281187438,2.442520640593719,0,0.0,,,0.0,,,,,,,,0,0.0,,,0.0,,,,,,,,35,100.0,100.0,1.7850412811874383,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,-1,1,-3,3,12.3,321,111,,,0,2,-0.5,1.0,0,Pablo,0.0,0.5200928802256288,2.205110026180839,2.205110026180839,,2.0,11,,,2.227216482162476,3.928194999694824,2.784410238265991,2.2843680381774902,2.370611429214477,2.2407379150390625,2.943165779113769,4.174004554748535,,2.4645919799804688,,,,,,,,4,0,0.0,,,0.0,,,,,,,,7.9,334,117,False,55.4,289,113,180,,2021-10-26T22:00:11.791357Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,a,1,3,Arsenal,11.0,317,105,1,4970,81,12703,150,0.5815525334746949,0.12383163814895924,,1.191828035666854,0.0,6.582601240703037,0.2,Marí,0.1,0.3,0.0,,,0.1,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,0.0,,,,,,,,,3.89012717213605,,,0.5200928802256288,,,,,,,,27.64692521095276,1,2.229623794555664
9,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,569,207,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,11,,,1.9004076719284055,3.463909387588501,2.7003324031829834,2.267910957336426,2.3334996700286865,1.965655207633972,2.8664772510528564,3.8508594036102295,,2.4348695278167725,,,,,,,,0,0,,,,,,,,,,,,0.0,577,207,False,0.0,576,207,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,557,203,0,3737,0,68820,249,,,,,0.0,5.338978295524916,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.627095818519592,0,1.8431743383407595
10,3.685041281187439,1.84252064059372,0,0.0,,,,0.0,,,,,,,0,0.0,,,,0.0,,,,,,,27,,,1.7850412811874383,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101184,,,0,0,-3,3,17.2,296,96,,,0,2,-0.5,1.0,0,Calum,0.0,0.0894830874246624,1.5398051297803566,1.5398051297803566,,2.0,11,,,1.8160200119018557,3.179332733154297,2.3663644790649414,1.9736076593399048,2.0598506927490234,1.8295414447784424,2.5819005966186523,3.4251418113708496,,2.2106120586395264,,,,,,,,7,0,0.0,,,,0.0,,,,,,,7.5,338,118,False,45.4,308,122,170,,,42,0,0,,0,,101184.jpg,0.5,0,0,Chambers,0.2,False,,a,1,3,Arsenal,12.0,314,102,1,9114,194,27447,408,0.43869539061755236,0.021305497005872,,0.8990580137822948,0.0,5.5382854597909095,0.2,Chambers,0.1,0.3,0.1,,,,0.0,,,,,,,0.1,0.2,0.1,1.3,1.200000000000001,0.5999999999999996,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.6000000000000001,0.1,,,,0.0,,,,,,,,2.9901271721360505,,,,0.0894830874246624,,,,,,,23.260798931121823,0,1.8184274435043333
