id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week2,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week2,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week2,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week2,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week2,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week2,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week2,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 2,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 22 prediction
1,6.102737323107121,2.0342457743690403,0,0.0,,,,0.0,0.0,,,,,,,0,0.0,,,,0.0,0.0,,,,,,,48,,,2.102737323107121,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-4,4,0.0,571,59,,,0,1,1.0,-0.5,0,Bernd,0.0,1.0894830874246624,1.799901046595447,1.799901046595447,,3.0,12,,,,4.221965789794922,3.75877857208252,3.653806447982788,3.653806447982788,3.634065628051758,4.017077922821045,4.232257843017578,,3.9121057987213135,3.6365597248077393,,,,,,,,9,0,0.0,,,,0.0,0.0,,,,,,,7.9,344,24,False,79.0,269,24,270,,,46,0,0,,0,,80201.jpg,1.3,0,9,Leno,1.0,False,,a,1,3,Arsenal,0.0,559,54,4,59273,405,170812,1691,0.44222734225413923,0.236844149440144,,0.9484719828708353,0.0,8.412566858789196,0.9,Leno,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,0.0,0.0,,,,,,,,2.09012717213605,,,,2.220092880225629,1.0894830874246624,,,,,,,38.6978075504303,0,3.977383375167847
2,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,432,21,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,12,,,,3.651815176010132,3.197049379348755,3.0220823287963867,2.96244215965271,2.643582582473755,3.4059572219848637,3.662106990814209,,3.1713500022888184,2.5846850872039795,,,,,,,,0,0,,,,,,,,,,,,,0.0,452,41,False,0.0,449,41,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.7,False,,u,1,3,Arsenal,0.0,396,14,0,19017,0,63883,867,,,,,0.0,7.909577190876007,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.63830876350403,0,3.33723783493042
3,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,625,257,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,12,,,,2.7299959659576416,2.453493595123291,2.1978492736816406,2.138209104537964,2.074481248855591,2.4787685871124268,2.7402877807617188,,2.1634840965271,1.8961389064788816,,,,,,,,0,0,,,,,,,,,,,,,0.0,626,257,False,0.0,626,257,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,625,257,0,914,0,20158,40,,,,,0.0,3.6931883342682372,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.267086505889893,0,2.3943779468536377
4,40.811,3.710090909090909,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,134,100.0,75.0,0.0,5,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,-1,1,-1,1,124.2,106,17,,,0,4,2.0,0.4,2,Pierre-Emerick,1.0,4.0771,3.797363636363636,3.797363636363636,3.8942,11.0,12,,,,4.0437211990356445,3.84875226020813,3.4803812503814697,3.431159257888794,3.3132784366607666,3.974495649337769,4.349494457244873,,3.471630573272705,3.037909507751465,,,,,,,,12,4,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,78.9,28,9,False,205.0,84,11,878,,2021-11-19T16:30:08.907928Z,99,0,2,1.0,0,,54694.jpg,3.6,0,0,Aubameyang,4.3,False,,a,1,3,Arsenal,460.0,6,3,40,671415,27803,558465,31678,0.37475665748393017,0.41182828282828277,0.39335353535353534,1.1791442948394504,0.1,3.6828584863681986,4.0,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,4.4,5.2,0.4727272727272727,,1.200000000000001,0.5999999999999996,4.399999999999999,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,16.64,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.0,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,2.8000000000000007,,3.2,2.6000000000000014,2.8000000000000007,1.0,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,36.460299015045166,2,3.50947642326355
5,3.4027373231071207,1.1342457743690402,0,,,,,0.0,0.0,0.0,,,,,,0,,,,,0.0,0.0,0.0,,,,,,21,,,2.102737323107121,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-3,3,36.1,252,72,,,0,2,1.0,-0.5,0,Cédric,0.0,0.0447415437123311,0.5365253225500971,0.5365253225500971,,3.0,12,,,,2.721972703933716,1.9844903945922847,1.7653566598892212,1.7653566598892212,1.679113507270813,2.200026512145996,2.732264518737793,,1.916118025779724,1.5011329650878906,,,,,,,,7,0,,,,,0.0,0.0,0.0,,,,,,6.8,357,124,False,30.8,343,129,188,,,42,0,0,,0,,58822.jpg,0.3,0,0,Soares,0.2,False,,a,1,3,Arsenal,1.0,376,137,1,11265,182,21949,390,0.2700585177069143,0.010652748502935976,,0.5534552669741559,0.0,4.879182123002552,0.2,Cédric,0.1,0.3,,,,,0.1,0.0,0.0,,,,,,0.0,0.1,0.03333333333333333,,1.200000000000001,0.5999999999999996,4.399999999999999,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,1.5200928802256288,-0.9105169125753376,1.0,,,,,,20.49256491661072,1,2.2267329692840576
6,14.3,2.042857142857143,0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,47,100.0,100.0,0.0,2,,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,0,0,-2,2,96.9,136,25,5.0,,0,4,2.7,1.2,2,Alexandre,1.7,2.0428571428571427,2.0428571428571427,2.0428571428571427,2.46,7.0,12,,,,2.482635021209717,2.141063690185547,2.0606629848480225,2.0606629848480225,2.006568670272827,2.1885673999786377,2.492926836013794,,2.1081666946411133,1.7503279447555542,,,,,,,,4,1,,0.0,0.0,0.0,,0.0,,,,0.0,1.0,0.0,27.3,204,34,False,65.8,291,38,330,,2021-08-13T14:30:14.582063Z,83,0,0,2.0,0,,59966.jpg,2.0,0,0,Lacazette,1.2,False,,a,1,3,Arsenal,111.0,125,40,14,57099,4048,168882,3132,0.24612736660929432,0.24612736660929427,0.2963855421686747,0.7090860659542081,0.2,2.5899687014430404,1.7,Lacazette,0.5,1.5,,0.0,0.0999999999999999,0.2,,0.0,,,,0.0,0.2,0.0,0.7,1.2,0.17142857142857143,,1.200000000000001,0.5999999999999996,4.399999999999999,,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,2.8,,0.0,0.1999999999999999,0.0,,0.0,,,,0.0,0.5,0.0,2.6,,1.0,3.1,2.6,,1.0,,,,1.0,3.6,2.0,21.496740221977237,0,2.205157995223999
7,5.500912441035707,1.3752281102589268,0,0.0,,,,0.0,0.0,,,0.0,,,,0,0.0,,,,0.0,0.0,,,0.0,,,,35,0.0,0.0,0.700912441035707,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,53.2,214,125,4.0,,0,3,0.0,0.0,0,Granit,0.0,0.1664355418490397,1.3651065241971247,1.3651065241971247,,4.0,12,,,,2.2550456523895264,1.9291518926620483,1.7615666389465332,1.7615666389465332,1.6978392601013184,2.0038182735443115,2.2653374671936035,,1.836233139038086,1.582272171974182,,,,,,,,10,0,0.0,,,,0.0,0.0,,,0.0,,,,10.4,324,144,False,42.2,327,139,295,Knee injury - Expected back 16 Jan,2021-09-26T22:30:11.256623Z,48,0,0,,0,,84450.jpg,1.0,1,0,Xhaka,0.3,False,,i,1,3,Arsenal,9.0,335,169,4,16657,41,77145,310,0.2865058563039431,0.034674071218549936,,0.6277028814200133,0.0,3.9792329569657645,0.8,Xhaka,0.1,0.3,0.1,,,,0.0,0.0,,,0.0,,,,0.1,0.2,0.05,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.5,0.1,,,,0.0,0.0,,,0.0,,,,,3.0725317930340124,,,,2.055023220056407,-2.0,,,2.3328710836980795,,,,19.10031819343567,0,2.0074870586395264
8,4.501824882071413,2.250912441035706,0,0.0,,,,0.0,,,,,,,,0,0.0,,,,0.0,,,,,,,,35,100.0,100.0,1.401824882071414,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,333,116,,,0,2,1.0,-0.5,0,Pablo,0.0,,2.205110026180839,2.205110026180839,,2.0,12,,,,3.312825918197632,2.710460901260376,2.2966620922088623,2.2966620922088623,2.210419178009033,2.8692164421081543,3.653778553009033,,2.3906428813934326,2.1140265464782715,,,,,,,,4,0,0.0,,,,0.0,,,,,,,,7.9,341,117,False,55.4,304,116,180,,2021-10-26T22:00:11.791357Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,a,1,3,Arsenal,11.0,322,106,1,5030,37,12891,119,0.5359315335799301,,,1.0983328077037533,0.0,6.308539254324777,0.2,Marí,0.1,0.3,0.0,,,,0.1,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,0.0,,,,,,,,,3.89012717213605,,,,0.5200928802256288,,,,,,,,26.495864868164062,1,2.6411702632904053
9,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,576,209,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,12,,,,3.388423442840576,2.7003324031829834,2.3931398391723637,2.3334996700286865,2.208270788192749,2.8664772510528564,3.3987152576446533,,2.4348695278167725,1.8431743383407595,,,,,,,,0,0,,,,,,,,,,,,,0.0,585,209,False,0.0,585,209,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,566,205,0,3737,0,69070,149,,,,,0.0,5.494172200560569,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.37202656269073,0,2.805124044418335
10,3.301824882071414,1.650912441035707,0,0.0,,,,,0.0,,,,,,,0,0.0,,,,,0.0,,,,,,,27,,,1.401824882071414,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101184,,,0,0,-3,3,17.2,308,101,,,0,2,1.0,-0.5,0,Calum,0.0,0.0894830874246624,1.5398051297803566,1.5398051297803566,,2.0,12,,,,3.103846788406372,2.3663644790649414,2.0598506927490234,2.0598506927490234,1.9736076593399048,2.5819005966186523,3.114138603210449,,2.2106120586395264,1.8184274435043333,,,,,,,,7,0,0.0,,,,,0.0,,,,,,,7.5,349,119,False,45.4,320,124,170,,,42,0,0,,0,,101184.jpg,0.5,0,0,Chambers,0.2,False,,a,1,3,Arsenal,12.0,320,104,1,9285,112,28019,341,0.3930743907227874,0.021305497005872,,0.8055627858191937,0.0,5.669006052471342,0.2,Chambers,0.1,0.3,0.1,,,,,0.0,,,,,,,0.1,0.2,0.1,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.6000000000000001,0.1,,,,,0.0,,,,,,,,2.9901271721360505,,,,,0.0894830874246624,,,,,,,23.80982542037964,0,2.521226406097412
