id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week2,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week2,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week2,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week2,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week2,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week2,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week2,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 2,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 24 prediction
1,6.337758031915674,2.112586010638558,0,0.0,,,,,,0.0,0.0,,,,,,,0,0.0,,,,,,0.0,0.0,,,,,,,48,,,2.3377580319156737,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-4,4,0.0,581,59,,,0,1,0.5,0.0,0,Bernd,0.0,,1.799901046595447,1.799901046595447,,3.0,14,,,,,,3.9121057987213135,3.653806447982788,3.653806447982788,4.017077922821045,4.221965789794922,,3.965480327606201,3.6365597248077393,3.965480327606201,4.059103012084961,,,,,,,,9,0,0.0,,,,,,0.0,0.0,,,,,,,7.9,355,24,False,79.0,286,24,270,,,46,0,0,,0,,80201.jpg,1.3,0,9,Leno,0.9,False,,a,1,3,Arsenal,0.0,566,54,4,60019,269,174325,1022,0.45925782839968654,,,0.984998306370839,0.0,8.489318723263949,0.9,Leno,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,,,0.0,0.0,,,,,,,,2.09012717213605,,,,,,2.220092880225629,1.0894830874246624,,,,,,,39.05086612701416,0,3.965480327606201
2,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,443,22,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,14,,,,,,3.230990171432495,2.96244215965271,2.96244215965271,3.4059572219848637,3.651815176010132,,3.2656946182250977,2.5846850872039795,3.3253347873687744,3.488952398300171,,,,,,,,0,0,,,,,,,,,,,,,,,0.0,460,42,False,0.0,455,42,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.7,False,,u,1,3,Arsenal,0.0,405,14,0,19017,0,65588,473,,,,,0.0,8.050912141799927,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.20364856719971,0,3.3253347873687744
3,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,630,259,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,14,,,,,,2.2231242656707764,2.138209104537964,2.138209104537964,2.4787685871124268,2.7299959659576416,,2.2769458293914795,1.8961389064788816,2.336585998535156,2.62677001953125,,,,,,,,0,0,,,,,,,,,,,,,,,0.0,631,259,False,0.0,631,259,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,630,259,0,914,0,20226,23,,,,,0.0,3.6795767905220154,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.181333780288696,0,2.336585998535156
4,48.211,3.7085384615384616,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,130,100.0,100.0,0.0,6,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,0,0,-2,2,132.1,118,19,,,0,4,1.5,1.0,2,Pierre-Emerick,1.0,3.6671,3.7823846153846152,3.7823846153846152,3.2,13.0,14,,,,,,3.809202194213867,3.6834583282470703,3.553162813186645,4.200079917907715,4.365907192230225,,3.621328830718994,2.9000632762908936,3.621328830718994,4.311275482177734,,,,,,,,15,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,91.0,22,8,False,217.6,99,10,1031,,2021-11-19T16:30:08.907928Z,98,0,2,1.0,0,,54694.jpg,3.3,0,0,Aubameyang,3.2,False,,a,1,3,Arsenal,560.0,4,2,43,705105,4068,690553,27412,0.3784222919937205,0.3741938775510204,0.32653061224489793,1.184649156738927,0.1,3.8456260914705234,4.4,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,5.5,6.3,0.4846153846153846,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,21.04,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.5999999999999996,0.5,0.0,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,4.0,,3.2,2.6000000000000014,2.8000000000000007,3.3999999999999986,4.0,1.0,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,37.68713569641113,3,3.621328830718994
5,3.6377580319156735,1.2125860106385578,0,,,,,,,0.0,0.0,0.0,,,,,,0,,,,,,,0.0,0.0,0.0,,,,,,21,,,2.3377580319156737,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-3,3,36.1,266,79,,,0,2,0.5,0.0,0,Cédric,0.0,,0.5365253225500971,0.5365253225500971,,3.0,14,,,,,,1.916118025779724,1.7653566598892212,1.7653566598892212,2.200026512145996,2.721972703933716,,2.1789376735687256,1.5011329650878906,2.1789376735687256,2.422613382339477,,,,,,,,7,0,,,,,,,0.0,0.0,0.0,,,,,,6.8,367,129,False,30.8,360,136,188,,,42,0,0,,0,,58822.jpg,0.3,0,0,Soares,0.2,False,,a,1,3,Arsenal,1.0,384,141,1,11556,99,22600,213,0.28871095491394233,,,0.5916813881192697,0.0,4.959378554707482,0.2,Cédric,0.1,0.3,,,,,,,0.1,0.0,0.0,,,,,,0.0,0.1,0.03333333333333333,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,1.5200928802256288,-0.9105169125753376,1.0,,,,,,20.829389929771423,1,2.1789376735687256
6,16.7,1.855555555555556,0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,52,100.0,100.0,0.0,2,,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,0,0,-2,2,97.2,155,28,5.0,,0,4,2.0,1.5,1,Alexandre,1.5,1.9625,1.855555555555556,1.855555555555556,1.82,9.0,14,,,,,,2.136833906173706,2.0893301963806152,2.0893301963806152,2.2172346115112305,2.491549491882324,,2.250295877456665,1.734747290611267,2.250295877456665,2.33194351196289,,,,,,,,4,1,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,1.0,0.0,28.1,230,38,False,66.0,311,38,355,,2021-08-13T14:30:14.582063Z,83,0,0,2.0,0,,59966.jpg,1.8,0,0,Lacazette,1.1,False,,a,1,3,Arsenal,119.0,133,39,16,61927,1029,179476,2571,0.2235609103078983,0.2364457831325301,0.21927710843373494,0.6440727358978007,0.2,2.6315490165388726,1.9,Lacazette,0.5,1.5,,0.0,0.0999999999999999,0.2,0.0,0.0,,0.0,,,,0.0,0.2,0.0,0.8,1.3,0.14444444444444446,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,3.2,,0.0,0.1999999999999999,0.0,0.1,0.0,,0.0,,,,0.0,0.5,0.0,1.0,,1.0,3.1,2.6,1.4000000000000004,1.0,,1.0,,,,1.0,3.6,2.0,21.841856837272644,0,2.250295877456665
7,5.579252677305225,1.3948131693263062,0,0.0,,,,,,0.0,0.0,,,0.0,,,,0,0.0,,,,,,0.0,0.0,,,0.0,,,,35,0.0,0.0,0.7792526773052245,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,53.2,232,136,4.0,,0,3,0.0,0.0,0,Granit,0.0,2.3328710836980795,1.3651065241971247,1.3651065241971247,,4.0,14,,,,,,1.836233139038086,1.7615666389465332,1.7615666389465332,2.0038182735443115,2.2550456523895264,,1.9496949911117556,1.582272171974182,1.9496949911117556,2.151819467544556,,,,,,,,10,0,0.0,,,,,,0.0,0.0,,,0.0,,,,10.4,338,154,False,42.2,341,147,295,Knee injury - Expected back 16 Jan,2021-09-26T22:30:11.256623Z,48,0,0,,0,,84450.jpg,1.0,1,0,Xhaka,0.3,False,,i,1,3,Arsenal,9.0,347,174,4,16729,22,77661,170,0.29058607694298044,0.4860148091037666,,0.6366421969544089,0.0,4.000293115774792,0.8,Xhaka,0.1,0.3,0.1,,,,,,0.0,0.0,,,0.0,,,,0.1,0.2,0.05,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.5,0.1,,,,,,0.0,0.0,,,0.0,,,,,3.0725317930340124,,,,,,2.055023220056407,-2.0,,,2.3328710836980795,,,,19.201406955718998,0,1.9496949911117556
8,4.6585053546104485,2.329252677305224,0,0.0,,,,,,0.0,,,,,,,,0,0.0,,,,,,0.0,,,,,,,,35,100.0,100.0,1.558505354610449,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,341,121,,,0,2,0.5,0.0,0,Pablo,0.0,,2.205110026180839,2.205110026180839,,2.0,14,,,,,,2.4645919799804688,2.370611429214477,2.370611429214477,2.943165779113769,3.522048234939575,,2.8025972843170166,2.229623794555664,2.8025972843170166,3.240938901901245,,,,,,,,4,0,0.0,,,,,,0.0,,,,,,,,7.9,354,123,False,55.4,320,121,180,,2021-10-26T22:00:11.791357Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,a,1,3,Arsenal,11.0,341,117,1,5143,29,13158,81,0.554583970786958,,,1.136558928848867,0.0,6.559377000445411,0.2,Marí,0.1,0.3,0.0,,,,,,0.1,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,,,0.0,,,,,,,,,3.89012717213605,,,,,,0.5200928802256288,,,,,,,,27.549383401870728,1,2.8025972843170166
9,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,586,212,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,14,,,,,,2.494509696960449,2.3334996700286865,2.3334996700286865,2.8664772510528564,3.388423442840576,,2.697688341140747,1.8431743383407595,2.757328510284424,3.089064121246338,,,,,,,,0,0,,,,,,,,,,,,,,,0.0,593,212,False,0.0,593,212,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,574,210,0,3737,0,69387,91,,,,,0.0,5.533540323376656,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.560993552207947,0,2.757328510284424
10,3.458505354610449,1.7292526773052246,0,0.0,,,,,,,0.0,,,,,,,0,0.0,,,,,,,0.0,,,,,,,27,,,1.558505354610449,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101184,,,0,0,-3,3,17.2,321,108,,,0,2,0.5,0.0,0,Calum,0.0,,1.5398051297803566,1.5398051297803566,,2.0,14,,,,,,2.2106120586395264,2.0598506927490234,2.0598506927490234,2.5819005966186523,3.103846788406372,,2.47343111038208,1.8184274435043333,2.47343111038208,2.804487466812134,,,,,,,,7,0,0.0,,,,,,,0.0,,,,,,,7.5,358,124,False,45.4,334,127,170,,,42,0,0,,0,,101184.jpg,0.5,0,0,Chambers,0.2,False,,a,1,3,Arsenal,12.0,338,114,1,9497,71,28690,204,0.41172682792981535,,,0.8437889069643074,0.0,5.72839739776793,0.2,Chambers,0.1,0.3,0.1,,,,,,,0.0,,,,,,,0.1,0.2,0.1,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.6000000000000001,0.1,,,,,,,0.0,,,,,,,,2.9901271721360505,,,,,,,0.0894830874246624,,,,,,,24.059269070625305,0,2.47343111038208
