id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week2,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week15,bonus_week16,bonus_week17,bonus_week2,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week2,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 24 prediction,gameweek 25 prediction,gameweek 26 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week2,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week2,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week2,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week2,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 2,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 27 prediction
1,6.773751587058081,2.257917195686027,0,0.0,,,,,,,,,0.0,0.0,,,,,,,0,0.0,,,,,,,,,0.0,0.0,,,,,,,48,75.0,75.0,2.7737515870580807,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-4,4,0.0,604,65,,,0,1,0.4,0.0,0,Bernd,0.0,,1.0894830874246624,1.799901046595447,,3.0,17,,,,,,,,,4.030808448791504,4.257808208465576,,4.013225555419922,3.5969157218933105,3.925836324691773,4.103394031524658,4.013225555419922,0.0,3.8724617958068848,,,,,,,,9,0,0.0,,,,,,,,,0.0,0.0,,,,,,,7.9,375,25,False,79.0,315,25,270,Groin Injury - 75% chance of playing,2021-12-06T23:00:13.342729Z,46,0,0,,0,,80201.jpg,1.3,0,9,Leno,0.9,False,,d,1,3,Arsenal,0.0,587,59,4,60733,131,180786,1256,0.4908515642795711,,,1.0527593207928527,0.0,7.688286511794381,0.9,Leno,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,2.09012717213605,,,,,,,,,2.220092880225629,1.0894830874246624,,,,,,,35.36611795425415,0,3.5524423122406006
2,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,457,23,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,17,,,,,,,,,3.5003018379211426,3.7273011207580566,,3.353083610534668,2.5846850872039795,3.3253347873687744,3.4194231033325195,3.4127237796783447,0.0,3.1713500022888184,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0.0,475,44,False,0.0,471,44,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.7,False,,u,1,3,Arsenal,0.0,418,14,0,19017,0,68798,888,,,,,0.0,7.258603811264038,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.034415245056152,0,2.5402119159698486
3,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,651,265,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,17,,,,,,,,,2.60952091217041,2.747286558151245,,2.3520283699035645,1.9134294986724851,2.35387659072876,2.418367624282837,2.411668539047241,0.0,2.180774688720703,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0.0,651,265,False,0.0,651,265,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,651,265,0,914,0,20320,20,,,,,0.0,3.310461725507464,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.85590887069702,0,1.8689560890197756
4,50.411,3.6007857142857143,1,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,131,0.0,0.0,0.0,6,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,0,0,-4,4,132.4,139,23,,,0,4,0.0,0.0,0,Pierre-Emerick,1.0,3.633875,3.874692307692308,3.669357142857143,3.2,14.0,17,,,,,,,,,4.108310222625732,4.350426197052002,,3.7711281776428223,2.9772872924804688,3.552037000656128,3.9260308742523193,3.7711281776428223,0.0,3.543332576751709,,,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,92.9,37,11,False,217.6,131,14,1036,Not being considered for selection on 18/12 - Expected back 26 Dec,2021-12-17T10:30:10.704068Z,96,0,2,1.0,0,,54694.jpg,3.1,0,0,Aubameyang,1.8,False,,n,1,3,Arsenal,582.0,8,4,44,733109,2976,839083,26544,0.37508184523809524,0.37852864583333334,0.33333333333333337,1.1621485920575125,0.1,3.44131201505661,4.6,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,5.8,6.6,0.4714285714285714,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,22.24,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.5999999999999996,0.5,0.2999999999999998,,,0.0,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,,,3.2,2.6000000000000014,2.8000000000000007,3.3999999999999986,4.0,2.2,,,1.0,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,33.03659534454346,3,3.036914825439453
5,4.073751587058081,1.357917195686027,0,,,,,,,,,,0.0,0.0,0.0,,,,,,0,,,,,,,,,,0.0,0.0,0.0,,,,,,21,,,2.7737515870580807,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-3,3,36.1,287,89,,,0,2,0.5,0.0,0,Cédric,0.0,,0.0447415437123311,0.5365253225500971,,3.0,17,,,,,,,,,2.551857709884644,2.814749240875244,,2.319509506225586,1.518423557281494,2.196228265762329,2.461225748062134,2.319509506225586,0.0,1.933408617973328,,,,,,,,7,0,,,,,,,,,,0.0,0.0,0.0,,,,,,6.8,383,138,False,30.8,376,142,188,,,42,0,0,,0,,58822.jpg,0.3,0,0,Soares,0.2,False,,a,1,3,Arsenal,1.0,393,147,1,12168,157,23665,226,0.3233136180204826,,,0.6625957451640306,0.0,4.664014833314078,0.2,Cédric,0.1,0.3,,,,,,,,,,0.1,0.0,0.0,,,,,,0.0,0.1,0.03333333333333333,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.5200928802256288,-0.9105169125753376,1.0,,,,,,19.58886229991913,1,1.4739501476287842
6,28.891,2.407583333333333,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,,,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,99,100.0,100.0,0.0,4,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,1,-1,-1,1,142.9,131,22,5.0,,0,4,3.2,2.7,3,Alexandre,2.7,2.7371,2.447583333333333,2.447583333333333,3.0142,12.0,17,,,,,,,,,3.032581090927124,3.2825350761413574,,2.802617073059082,2.2842719554901123,2.609734058380127,3.02364444732666,2.802617073059082,0.0,2.447075605392456,,,,,,,,5,2,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,1.0,0.0,49.8,135,29,False,148.8,216,29,608,,2021-08-13T14:30:14.582063Z,84,0,1,2.0,0,,59966.jpg,2.3,0,0,Lacazette,6.2,False,,a,1,3,Arsenal,207.0,85,33,28,413917,291676,195565,7061,0.28661706349206345,0.3258452380952381,0.35883333333333334,0.830695169789998,0.3,2.9307541109266735,3.3,Lacazette,0.8,2.4000000000000004,,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,0.0,0.3,,0.0,,,,0.0,0.2,0.0,2.3,3.0999999999999996,0.2583333333333333,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,8.719999999999999,,0.0,0.1999999999999999,0.0,0.1,0.0,0.0,0.3,1.1999999999999995,,0.0,,,,0.0,0.5,0.0,6.470999999999999,,1.0,3.1,2.6,1.4000000000000004,1.0,2.0,4.2,6.470999999999999,,1.0,,,,1.0,3.6,2.0,24.618334531784058,0,2.3332581520080566
7,12.918021759117217,1.845431679873888,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,63,100.0,100.0,1.6180217591172137,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,69.2,224,129,4.0,,0,3,1.7,1.2,3,Granit,1.2,2.695670374433703,1.6839764413998377,1.935348174298516,2.695670374433703,7.0,17,,,,,,,,,2.3199384212493896,2.4577040672302246,,2.269355297088623,1.775619626045227,2.2115631103515625,2.359523296356201,2.269355297088623,0.0,2.0981013774871826,,,,,,,,12,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,19.6,301,137,False,68.6,330,138,555,,2021-09-26T22:30:11.256623Z,48,0,0,,0,,84450.jpg,1.6,1,0,Xhaka,0.3,False,,a,1,3,Arsenal,59.0,251,130,11,20278,1573,79011,462,0.38446493330706,0.5615979946736881,0.5615979946736881,0.8423204661679841,0.3,4.06089723110199,2.3,Xhaka,0.1,0.3,0.1,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.4,0.5,0.07142857142857142,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,2.0,0.1,,,,,,0.0,0.0,0.3,0.0,0.0,,,0.0,,,,4.17032004603564,3.0725317930340124,,,,,,1.3678794411714423,2.5488116360940256,4.17032004603564,2.055023220056407,-2.0,,,2.3328710836980795,,,,19.49230670928955,1,1.731146216392517
8,4.9491677247053865,2.474583862352693,0,0.0,,,,,,,,,0.0,,,,,,,,0,0.0,,,,,,,,,0.0,,,,,,,,35,100.0,100.0,1.849167724705387,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,357,129,,,0,2,0.5,0.0,0,Pablo,0.0,,,2.205110026180839,,2.0,17,,,,,,,,,3.220351219177246,3.5578901767730717,,2.8862345218658447,2.189979791641236,2.670055627822876,3.1352362632751465,2.8862345218658447,0.0,2.42494797706604,,,,,,,,4,0,0.0,,,,,,,,,0.0,,,,,,,,7.9,374,133,False,55.4,339,131,180,,2021-10-26T22:00:11.791357Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,a,1,3,Arsenal,11.0,360,129,1,5357,47,13590,89,0.5891866338934982,,,1.207473285893628,0.0,5.980103924160912,0.2,Marí,0.1,0.3,0.0,,,,,,,,,0.1,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,,,,,,0.0,,,,,,,,,3.89012717213605,,,,,,,,,0.5200928802256288,,,,,,,,25.11643648147583,1,2.1455063819885254
9,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,609,218,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,17,,,,,,,,,3.218308210372925,3.4811999797821045,,2.8382604122161865,1.8604649305343628,2.774619102478028,2.9561476707458496,2.8979005813598637,0.0,2.452160120010376,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0.0,614,218,False,0.0,614,218,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,596,216,0,3737,0,69840,84,,,,,0.0,5.061469276746115,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.295052528381348,0,1.8159915208816528
10,3.749167724705387,1.8745838623526936,0,0.0,,,,,,,,,,0.0,,,,,,,0,0.0,,,,,,,,,,0.0,,,,,,,27,,,1.849167724705387,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101184,,,0,0,-3,3,17.2,336,115,,,0,2,0.5,0.0,0,Calum,0.0,,0.0894830874246624,1.5398051297803566,,2.0,17,,,,,,,,,2.9337317943573,3.1966233253479004,,2.6140029430389404,1.835718035697937,2.490721702575684,2.7557191848754883,2.6140029430389404,0.0,2.22790265083313,,,,,,,,7,0,0.0,,,,,,,,,,0.0,,,,,,,7.5,377,135,False,45.4,353,137,170,,,42,0,0,,0,,101184.jpg,0.5,0,0,Chambers,0.2,False,,a,1,3,Arsenal,12.0,357,126,1,9948,113,29801,261,0.4463294910363556,,,0.9147032640090684,0.0,5.347539810907273,0.2,Chambers,0.1,0.3,0.1,,,,,,,,,,0.0,,,,,,,0.1,0.2,0.1,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.6000000000000001,0.1,,,,,,,,,,0.0,,,,,,,,2.9901271721360505,,,,,,,,,,0.0894830874246624,,,,,,,22.459667205810547,0,1.791244626045227
