id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week2,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week15,bonus_week16,bonus_week17,bonus_week18,bonus_week2,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week2,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 24 prediction,gameweek 25 prediction,gameweek 26 prediction,gameweek 27 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week2,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week2,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week2,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week2,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 2,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 28 prediction
1,6.768318187059554,2.256106062353185,0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0,0.0,,,,,,,,,,0.0,0.0,,,,,,,48,100.0,75.0,2.7683181870595543,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,-1,1,-5,5,0.0,545,60,,,0,1,1.0,0.4,0,Bernd,0.0,,,1.799901046595447,,3.0,18,,,,,,,,,,4.257808208465576,,4.069594383239746,3.5969157218933105,3.6761064529418954,4.103394031524658,4.069594383239746,0.0,3.8724617958068848,0.0,,,,,,,,9,0,0.0,,,,,,,,,,0.0,0.0,,,,,,,7.9,375,25,False,79.0,317,25,270,,2021-12-06T23:00:13.342729Z,45,0,0,,0,,80201.jpg,1.3,0,9,Leno,0.9,False,,a,1,3,Arsenal,0.0,522,54,4,61220,468,181918,1004,0.5013569027451522,,,1.0635385971773446,0.0,7.088211271497938,0.9,Leno,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,2.09012717213605,,,,,,,,,,2.220092880225629,1.0894830874246624,,,,,,,31.896950721740723,0,4.251075744628906
2,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,459,23,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,18,,,,,,,,,,3.7273011207580566,,3.409452438354492,2.5846850872039795,3.084026336669922,3.4194231033325195,3.469092607498169,0.0,3.1713500022888184,0.0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0.0,476,44,False,0.0,472,44,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.7,False,,u,1,3,Arsenal,0.0,419,14,0,19017,0,70030,1082,,,,,0.0,6.68176007270813,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.72704029083252,0,3.8617095947265625
3,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,656,267,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,18,,,,,,,,,,2.747286558151245,,2.4083971977233887,1.9134294986724851,2.2415945529937744,2.418367624282837,2.468037366867065,0.0,2.180774688720703,0.0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0.0,656,267,False,0.0,656,267,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,656,267,0,914,0,20342,22,,,,,0.0,3.0736613652062794,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.36406660079956,0,2.986179113388061
4,50.411,3.6007857142857143,1,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,131,100.0,0.0,0.0,6,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,0,0,-4,4,132.4,143,23,,,0,4,1.7,0.0,0,Pierre-Emerick,0.7,3.1815714285714285,4.11425,3.669357142857143,3.1,14.0,18,,,,,,,,,,4.357095241546631,,3.765711784362793,3.0964157581329346,3.3613052368164062,3.978407859802246,3.765711784362793,0.0,3.563847541809082,0.0,,,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,92.9,40,11,False,217.6,135,14,1036,,2021-12-17T10:30:10.704068Z,96,0,2,1.0,0,,54694.jpg,3.1,0,0,Aubameyang,1.8,False,,a,1,3,Arsenal,582.0,9,5,44,738506,5369,852469,11852,0.37508184523809524,0.33141369047619046,0.3229166666666667,1.1621485920575125,0.1,3.191964502135913,4.6,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,5.8,6.6,0.4714285714285714,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,22.24,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.5999999999999996,0.5,0.2999999999999998,,,,0.0,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,,,3.2,2.6000000000000014,2.8000000000000007,3.3999999999999986,4.0,2.2,,,,1.0,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,30.64285922050476,3,4.754364013671875
5,5.991090916079405,1.4977727290198513,0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,25,,,3.6910909160794056,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-3,3,40.5,274,83,,,0,2,1.2,0.7,1,Cédric,0.2,1.0,1.0,0.6523939919125727,1.0,4.0,18,,,,,,,,,,2.765418529510498,,2.326547145843506,1.4690930843353271,1.7952605485916138,2.411895036697388,2.326547145843506,0.0,1.884077906608581,0.0,,,,,,,,8,0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,7.3,380,137,False,31.4,377,143,214,,,42,0,0,,0,,58822.jpg,0.5,0,0,Soares,0.2,False,,a,1,3,Arsenal,1.0,394,148,2,12677,491,24008,321,0.356612554528536,0.23809523809523808,0.23809523809523808,0.7308382577553982,0.0,4.218305633181617,0.5,Cédric,0.1,0.3,,,,,,,,,,0.0,0.1,0.0,0.0,,,,,,0.0,0.1,0.025,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,1.0,,,,,,,,,,1.0,1.5200928802256288,-0.9105169125753376,1.0,,,,,,17.716883659362793,1,2.738044261932373
6,35.162,2.7047692307692306,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,,,,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,119,100.0,100.0,0.0,4,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,1,-1,0,0,165.7,106,13,5.0,,0,4,4.2,3.7,5,Alexandre,3.2,3.0042,2.886833333333333,2.741692307692307,3.9884,13.0,18,,,,,,,,,,3.3905956745147705,,2.948796510696411,2.32642126083374,2.583118200302124,3.131705045700073,2.948796510696411,0.0,2.5232741832733154,0.0,,,,,,,,6,2,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,,0.0,1.0,0.0,61.3,92,24,False,179.2,184,23,698,,2021-08-13T14:30:14.582063Z,85,0,1,2.0,0,,59966.jpg,2.5,0,0,Lacazette,7.5,False,,a,1,3,Arsenal,269.0,65,27,33,630261,93598,229382,32393,0.31820814479638004,0.35343529411764707,0.4692235294117647,0.92772819242783,0.4,2.8049305747537048,3.9,Lacazette,0.9,2.7,,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,0.0,0.3,0.0999999999999999,,0.0,,,,0.0,0.2,0.0,3.1,4.0,0.3076923076923077,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,11.92,,0.0,0.1999999999999999,0.0,0.1,0.0,0.0,0.3,1.1999999999999995,0.8000000000000003,,0.0,,,,0.0,0.5,0.0,6.271000000000001,,1.0,3.1,2.6,1.4000000000000004,1.0,2.0,4.2,6.470999999999999,6.271000000000001,,1.0,,,,1.0,3.6,2.0,23.84190988540649,0,3.989202499389648
7,16.916545458039703,2.114568182254963,1,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,88,100.0,100.0,1.8455454580397028,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,99.3,180,107,4.0,,0,3,2.8,2.3,4,Granit,1.8,3.0202853208623845,2.8828024734295234,2.192695922529755,3.0202853208623845,8.0,18,,,,,,,,,,2.4526641368865967,,2.3851747512817383,1.898841500282288,2.150310754776001,2.354483366012573,2.3851747512817383,0.0,2.1985225677490234,0.0,,,,,,,,13,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,28.6,253,116,False,108.6,274,114,645,,2021-09-26T22:30:11.256623Z,48,0,0,,0,,84450.jpg,1.9,1,0,Xhaka,0.3,False,,a,1,3,Arsenal,79.0,220,119,15,22408,1822,79888,771,0.44053503796978394,0.6292261085129968,0.6292261085129968,0.9651639106697821,0.4,3.8013769934574766,3.1,Xhaka,0.6,1.7999999999999998,0.1,,,,,,0.0,0.0,0.0,0.5,0.0,0.0,,,0.0,,,,0.5,1.1,0.1375,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,2.5,0.1,,,,,,0.0,0.0,0.3,0.0999999999999999,0.0,0.0,,,0.0,,,,3.99413016014843,3.0725317930340124,,,,,,1.3678794411714423,2.5488116360940256,4.17032004603564,3.99413016014843,2.055023220056407,-2.0,,,2.3328710836980795,,,,18.246609568595886,2,2.421437740325928
8,4.945545458039702,2.472772729019851,0,0.0,,,,,,,,,,0.0,,,,,,,,0,0.0,,,,,,,,,,0.0,,,,,,,,35,25.0,100.0,1.8455454580397028,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,360,130,,,0,2,0.2,0.5,0,Pablo,0.0,,,2.205110026180839,,2.0,18,,,,,,,,,,3.5885119438171387,,2.954974889755249,2.220601320266724,2.361589193344116,3.165858030319214,2.954974889755249,0.0,2.4555697441101074,0.0,,,,,,,,4,0,0.0,,,,,,,,,,0.0,,,,,,,,7.9,374,133,False,55.4,340,131,180,Illness - 25% chance of playing,2021-12-18T22:30:09.516192Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,d,1,3,Arsenal,11.0,361,130,1,5376,12,13817,216,0.5887554116713931,,,1.206589543317808,0.0,5.621935356230963,0.2,Marí,0.1,0.3,0.0,,,,,,,,,,0.1,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,,,,,,,0.0,,,,,,,,,3.89012717213605,,,,,,,,,,0.5200928802256288,,,,,,,,23.612128496170044,1,3.910048484802246
9,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,614,220,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,18,,,,,,,,,,3.4811999797821045,,2.894629001617432,1.8604649305343628,2.472374439239502,2.9561476707458496,2.9542691707611084,0.0,2.452160120010376,0.0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0.0,619,220,False,0.0,619,220,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,602,218,0,3737,0,69922,78,,,,,0.0,4.722127442558607,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.66621172428131,0,3.594966411590576
10,3.745545458039703,1.872772729019852,0,0.0,,,,,,,,,,,0.0,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,27,0.0,,1.8455454580397028,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101184,,,0,0,-3,3,17.2,340,117,,,0,2,0.0,0.5,0,Calum,0.0,,,1.5398051297803566,,2.0,18,,,,,,,,,,3.1966233253479004,,2.6703712940216064,1.835718035697937,2.139085292816162,2.7557191848754883,2.6703712940216064,0.0,2.22790265083313,0.0,,,,,,,,7,0,0.0,,,,,,,,,,,0.0,,,,,,,7.5,377,135,False,45.4,353,137,170,Illness - Expected back 01 Jan,2021-12-22T10:00:16.802435Z,42,0,0,,0,,101184.jpg,0.5,0,0,Chambers,0.2,False,,i,1,3,Arsenal,12.0,357,126,1,10031,66,30295,470,0.44589826881425043,,,0.9138195214332485,0.0,4.920247651281811,0.2,Chambers,0.1,0.3,0.1,,,,,,,,,,,0.0,,,,,,,0.1,0.2,0.1,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.6000000000000001,0.1,,,,,,,,,,,0.0,,,,,,,,2.9901271721360505,,,,,,,,,,,0.0894830874246624,,,,,,,20.66504013538361,0,3.1692490577697754
