id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week19,assists_week2,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week15,bonus_week16,bonus_week17,bonus_week18,bonus_week19,bonus_week2,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week19,cleansheet_week2,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 24 prediction,gameweek 25 prediction,gameweek 26 prediction,gameweek 27 prediction,gameweek 28 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week19,goals_week2,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week19,xA_week2,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week19,xGA_week2,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week19,xG_week2,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 19,xPoints week 2,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 29 prediction
1,6.959163567299277,2.319721189099759,0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,48,100.0,100.0,2.959163567299277,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-5,5,0.0,548,60,,,0,1,0.0,1.0,0,Bernd,0.0,,,1.799901046595447,,3.0,19,,,,,,,,,,,,0.0,3.9404501914978023,3.916048526763916,4.386340141296387,4.410271167755127,0.0,4.1743483543396,0.0,4.574578762054443,,,,,,,,9,0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,7.9,379,25,False,79.0,324,25,270,,2021-12-06T23:00:13.342729Z,45,0,0,,0,,80201.jpg,1.3,0,9,Leno,0.9,False,,a,1,3,Arsenal,0.0,526,54,4,61488,177,182584,436,0.5154935975777242,,,1.0935270555163739,0.0,6.517667876349556,0.9,Leno,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,2.09012717213605,,,,,,,,,,,2.220092880225629,1.0894830874246624,,,,,,,29.329505443573,0,3.927468299865722
2,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,462,24,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,19,,,,,,,,,,,,0.0,2.6156928539276123,3.053090333938598,3.4194231033325195,3.459543466567993,0.0,3.2023580074310303,0.0,3.90226674079895,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.0,480,46,False,0.0,477,46,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.7,False,,u,1,3,Arsenal,0.0,423,15,0,19017,0,70830,398,,,,,0.0,5.693381249904633,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.77352499961853,0,3.121150493621826
3,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,660,269,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,19,,,,,,,,,,,,0.0,1.9444372653961184,2.246147632598877,2.418367624282837,2.4584879875183105,0.0,2.211782455444336,0.0,3.026736259460449,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.0,660,269,False,0.0,660,269,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,660,269,0,914,0,20350,6,,,,,0.0,2.6606898837619357,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.762346267700195,0,2.456387042999268
4,50.411,3.6007857142857143,1,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,131,100.0,100.0,0.0,6,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,0,0,-4,4,132.4,150,25,,,0,4,0.0,1.5,0,Pierre-Emerick,0.5,3.033333333333333,3.533727272727273,3.669357142857143,2.2,14.0,19,,,,,,,,,,,,0.0,3.1565513610839844,3.421441078186035,3.978407859802246,3.765711784362793,0.0,3.563847541809082,0.0,4.754364013671875,,,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,92.9,42,12,False,217.6,145,17,1036,,2021-12-17T10:30:10.704068Z,96,0,2,1.0,0,,54694.jpg,3.1,0,0,Aubameyang,1.7,False,,a,1,3,Arsenal,582.0,11,5,44,740976,486,859223,4703,0.37508184523809524,0.3159722222222222,0.22916666666666669,1.1621485920575125,0.1,2.7586878339449568,4.6,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,5.8,6.6,0.4714285714285714,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,22.24,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.5999999999999996,0.5,0.2999999999999998,,,,,0.0,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,,,3.2,2.6000000000000014,2.8000000000000007,3.3999999999999986,4.0,2.2,,,,,1.0,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,26.483403205871586,3,3.8430795669555664
5,6.245551423065703,1.5613878557664258,0,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,,,0,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,,,25,25.0,,3.945551423065703,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-3,3,40.5,278,86,,,0,2,0.0,1.2,0,Cédric,0.2,1.0,1.0,0.6523939919125727,1.0,4.0,19,,,,,,,,,,,,0.0,1.5239300727844238,1.7881535291671753,2.411895036697388,2.340827226638794,0.0,1.9389153718948364,0.0,2.7786014080047607,,,,,,,,8,0,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,,,7.3,382,137,False,31.4,380,143,214,Illness - 25% chance of playing,2021-12-26T18:00:26.076921Z,42,0,0,,0,,58822.jpg,0.5,0,0,Soares,0.2,False,,d,1,3,Arsenal,1.0,396,150,2,12874,21,24346,269,0.37175901327772043,0.23809523809523808,0.23809523809523808,0.7618792611717043,0.0,3.4994904767899286,0.5,Cédric,0.1,0.3,,,,,,,,,,0.0,,0.1,0.0,0.0,,,,,,0.0,0.1,0.025,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,,1.5200928802256288,-0.9105169125753376,1.0,,,,,,14.6978600025177,1,1.9155373573303225
6,43.453,3.103785714285714,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,,,0.0,0.0,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,0.0,,,,0.0,0.0,0.0,158,100.0,100.0,0.0,5,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,0,0,0,0,185.9,99,13,5.0,,1,4,0.0,5.8,11,Alexandre,4.8,3.6813,3.339461538461538,3.1723571428571424,5.542599999999999,14.0,19,,,,,,,,,,,,0.0,2.852258443832397,3.1454861164093018,4.036336898803711,3.9111597537994394,0.0,3.275756359100342,0.0,4.964842319488525,,,,,,,,6,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,,0.0,1.0,0.0,71.3,74,19,False,231.2,131,15,788,,2021-08-13T14:30:14.582063Z,85,0,1,2.0,0,,59966.jpg,3.1,0,0,Lacazette,6.6,False,,a,1,3,Arsenal,297.0,58,25,44,697160,17510,304696,62687,0.36515126050420166,0.4330941176470588,0.6520705882352941,1.0645897171710623,0.6,3.021330104154699,5.2,Lacazette,0.9,2.7,,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,0.0,0.3,0.0999999999999999,0.0,,0.0,,,,0.0,0.2,0.0,4.1,5.0,0.35714285714285715,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,15.439999999999998,,0.0,0.1999999999999999,0.0,0.1,0.0,0.0,0.3,1.1999999999999995,0.8000000000000003,0.9999999999999996,,0.0,,,,0.0,0.5,0.0,8.770999999999997,,1.0,3.1,2.6,1.4000000000000004,1.0,2.0,4.2,6.470999999999999,6.271000000000001,8.770999999999997,,1.0,,,,1.0,3.6,2.0,25.68130588531494,0,3.4954659938812256
7,18.59037267547445,2.0655969639416063,1,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,100,100.0,100.0,2.219372675474458,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,138.2,142,88,4.0,,0,3,0.0,3.2,2,Granit,2.2,2.839974407305504,2.755457186704266,2.1844775703684465,2.839974407305504,9.0,19,,,,,,,,,,,,0.0,1.768542766571045,1.9748886823654173,2.1437442302703857,2.195650339126587,0.0,2.04955530166626,0.0,2.458956480026245,,,,,,,,13,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,33.6,235,111,False,119.6,269,110,735,,2021-09-26T22:30:11.256623Z,48,0,0,,0,,84450.jpg,1.9,1,0,Xhaka,0.3,False,,a,1,3,Arsenal,79.0,224,122,17,23400,437,80601,540,0.430332700821168,0.5916613348553134,0.5916613348553134,0.9428117098875025,0.5,3.021516303221385,3.5,Xhaka,0.7,2.1,0.1,,,,,,0.0,0.0,0.0,0.5,0.0999999999999999,0.0,0.0,,,0.0,,,,0.5,1.2,0.13333333333333333,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,2.5,0.1,,,,,,0.0,0.0,0.3,0.0999999999999999,0.0,0.0,0.0,,,0.0,,,,2.11873075307798,3.0725317930340124,,,,,,1.3678794411714423,2.5488116360940256,4.17032004603564,3.99413016014843,2.11873075307798,2.055023220056407,-2.0,,,2.3328710836980795,,,,14.503278255462646,3,1.9119404554367063
8,5.072775711532851,2.5363878557664257,0,0.0,,,,,,,,,,,0.0,,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,35,100.0,25.0,1.972775711532852,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,365,131,,,0,2,0.0,0.2,0,Pablo,0.0,,,2.205110026180839,,2.0,19,,,,,,,,,,,,0.0,2.2754385471343994,2.416426181793213,3.226742744445801,3.030139684677124,0.0,2.510406732559204,0.0,4.011490345001221,,,,,,,,4,0,0.0,,,,,,,,,,,0.0,,,,,,,,7.9,378,134,False,55.4,346,132,180,,2021-12-18T22:30:09.516192Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,a,1,3,Arsenal,11.0,362,130,1,5406,29,13874,29,0.6039018704205775,,,1.2376305467341142,0.0,4.791982628050304,0.2,Marí,0.1,0.3,0.0,,,,,,,,,,,0.1,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,,,,,,,,0.0,,,,,,,,,3.89012717213605,,,,,,,,,,,0.5200928802256288,,,,,,,,20.12632703781128,1,2.6556828022003174
9,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,617,221,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,19,,,,,,,,,,,,0.0,1.891472697257996,2.4414384365081787,2.9561476707458496,2.9447200298309326,0.0,2.483168125152588,0.0,3.635523557662964,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.0,622,221,False,0.0,622,221,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,606,219,0,3737,0,69971,29,,,,,0.0,3.957123880585035,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.994194626808167,0,2.641724109649658
10,3.872775711532851,1.9363878557664256,0,0.0,,,,,,,,,,,,0.0,,,,,,,0,0.0,,,,,,,,,,,,0.0,,,,,,,27,25.0,0.0,1.972775711532852,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101184,,,0,0,-3,3,17.2,344,118,,,0,2,0.0,0.0,0,Calum,0.0,,,1.5398051297803566,,2.0,19,,,,,,,,,,,,0.0,1.8905550241470337,2.131978273391724,2.7557191848754883,2.6846513748168945,0.0,2.2827396392822266,0.0,3.209806203842163,,,,,,,,7,0,0.0,,,,,,,,,,,,0.0,,,,,,,7.5,381,136,False,45.4,356,137,170,Illness - 25% chance of playing,2021-12-22T10:00:16.802435Z,42,0,0,,0,,101184.jpg,0.5,0,0,Chambers,0.2,False,,d,1,3,Arsenal,12.0,358,126,1,10039,7,30550,145,0.4610447275634346,,,0.9448605248495542,0.0,4.119569488934108,0.2,Chambers,0.1,0.3,0.1,,,,,,,,,,,,0.0,,,,,,,0.1,0.2,0.1,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.6000000000000001,0.1,,,,,,,,,,,,0.0,,,,,,,,2.9901271721360505,,,,,,,,,,,,0.0894830874246624,,,,,,,17.302191853523254,0,2.3467421531677246
