id,adjusted points,adjusted points per game,assists,assists_week1,assists_week2,bonus,bonus_week1,bonus_week2,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week2,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 2 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week2,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week2,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week2,xG_points,xG_week1,xG_week2,xPoints,xPoints week 1,xPoints week 2,xPoints_next10,yellow_cards,gameweek 12 prediction
1,3.979651426023856,1.989825713011928,0,0.0,0.0,0,0.0,0.0,28,,,0.9796514260238552,0,0.0,0.0,80201,,,-1,1,-1,1,0.0,452,45,,,0,1,1.0,1.5,2,Bernd,1.5,,,,,2.0,2,3.438993215560913,3.2090561389923096,,2.60667085647583,3.625587463378906,3.615295648574829,2.9538261890411377,2.79007887840271,3.141415596008301,3.0335798263549805,4,0,0.0,0.0,3.6,205,13,False,36.0,101,12,180,,,49,0,0,,0,,80201.jpg,1.5,0,4,Leno,1.9,False,,a,1,3,Arsenal,0.0,427,44,3,4368,1741,38438,9995,0.40608688020651584,,,0.8989116285551766,0.3,6.315151915258291,0.6,Leno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.9000000000000004,0.0,0.0,0.0,2.220092880225629,2.09012717213605,2.220092880225629,30.944244384765625,0,2.529740571975708
2,,,0,,,0,,,0,0.0,0.0,,0,,,115918,,,0,0,0,0,0.0,309,12,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,2,3.662106990814209,3.3339664936065674,,2.644325494766236,4.023514270782471,4.013222217559815,3.197049379348755,2.959755182266236,3.2663261890411377,3.1584901809692383,0,0,,,0.0,329,30,False,0.0,319,30,0,Illness - Expected back 28 Aug,2021-08-20T09:30:14.051083Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,1.3,False,,i,1,3,Arsenal,0.0,258,10,0,6213,399,9463,4214,,,,,0.0,8.206537902355194,0.0,Rúnarsson,,,,,,,,,,,,,,,,32.826151609420776,0,2.5673952102661133
3,,,0,,,0,,,0,50.0,50.0,,0,,,47431,4.0,,0,0,-1,1,0.0,554,231,2.0,,0,3,-0.2,0.0,0,Willian,0.0,,,,,,2,2.680924892425537,2.3317437171936035,,1.980897307395935,3.0575830936431885,3.0472912788391118,2.3941307067871094,2.221458196640014,2.3852550983428955,2.3370554447174072,0,0,,,0.0,555,231,False,0.0,554,230,0,Illness - 50% chance of playing,2021-08-20T09:30:14.065783Z,64,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.2,False,,d,1,3,Arsenal,0.0,552,230,0,789,79,11213,3258,,,,,0.0,3.814817126840353,0.0,Willian,,,,,,,,,,,,,,,,24.41482961177826,0,1.978489875793457
4,1.0,1.0,0,,0.0,0,,0.0,5,100.0,50.0,0.0,0,,0.0,54694,,,0,0,-1,1,1.3,244,36,,,0,4,0.0,0.2,1,Pierre-Emerick,0.5,,,,,1.0,2,1.9961854219436648,1.7350666522979736,,1.3997581005096436,2.410202741622925,2.399910926818848,1.6260640621185305,1.5257463455200195,1.8482141494750977,1.740378737449646,0,0,,0.0,2.5,240,32,False,5.0,261,28,29,,2021-08-13T14:30:14.477664Z,99,0,0,1.0,0,,54694.jpg,1.0,0,0,Aubameyang,1.2,False,,a,1,3,Arsenal,19.0,114,27,1,2781,1634,119947,12578,0.10101010101010101,,,0.3178208630818641,0.1,1.8261492734003553,0.1,Aubameyang,0.0,0.0,,0.0,0.0,0.0,0.0,,2.9000000000000004,0.0,,0.0,1.0,,1.0,18.078877806663517,0,1.3973506689071655
5,1.7898257130119275,1.7898257130119275,0,,0.0,0,,0.0,15,,,0.4898257130119276,0,,0.0,58822,,,0,0,0,0,20.8,109,25,5.0,,0,2,0.0,0.5,1,Cédric,0.5,,,,,1.0,2,2.8296091556549072,2.293065309524536,,1.5338977575302124,3.243626594543457,3.23333477973938,2.081834554672241,1.832101583480835,2.3445324897766118,2.23669695854187,2,0,,0.0,3.8,197,68,False,17.0,182,75,90,,,45,0,0,,0,,58822.jpg,1.0,0,0,Soares,0.2,False,,a,1,3,Arsenal,0.0,313,120,1,1244,679,4802,1259,0.39773904733598386,,,0.8437319325418543,0.1,5.146708779864841,0.2,Cédric,0.1,0.3,,0.1,0.0,0.1,0.1,,2.9000000000000004,0.0,,0.0,1.5200928802256288,,1.5200928802256288,23.160189509391785,0,1.5314903259277344
6,,,0,,,0,,,0,0.0,0.0,,0,,,59966,,,0,0,-1,1,0.0,564,75,3.0,,0,4,0.0,0.0,0,Alexandre,0.0,,,,,,2,2.841606378555298,2.432788372039795,,1.980897307395935,3.218264579772949,3.207972764968872,2.520876884460449,2.3324997425079346,2.545936107635498,2.4381003379821777,0,0,,,0.0,564,75,False,0.0,564,75,0,Illness - Expected back 28 Aug,2021-08-13T14:30:14.582063Z,84,0,0,2.0,0,,59966.jpg,0.0,0,0,Lacazette,1.3,False,,i,1,3,Arsenal,0.0,564,75,0,784,185,95194,12590,,,,,0.0,3.0354086132276628,0.0,Lacazette,,,,,,,,,,,,,,,,25.49743235111237,0,1.978489875793457
7,5.044912856505964,2.522456428252982,0,0.0,0.0,0,0.0,0.0,25,,,0.2449128565059638,0,0.0,0.0,84450,,,0,0,0,0,50.7,31,19,4.0,,0,3,1.5,2.0,2,Granit,2.0,,,,,2.0,2,2.916975498199463,2.5343358516693115,,2.094099283218384,3.1188201904296875,3.1085283756256104,2.5255391597747803,2.233071565628052,2.526166677474976,2.4779672622680664,4,0,0.0,0.0,9.3,80,45,False,33.2,114,46,180,,,50,0,0,,0,,84450.jpg,2.0,0,0,Xhaka,0.9,False,,a,1,3,Arsenal,9.0,149,81,4,10870,3029,20665,6666,0.5044912856505964,,,1.1280768087709978,0.4,5.125439214706421,0.8,Xhaka,0.1,0.3,0.1,0.0,0.1,0.2,0.1,1.3,2.9000000000000004,0.5,0.1,0.0,2.055023220056407,3.0725317930340124,2.055023220056407,25.627196073532104,0,2.0916922092437744
8,4.079651426023855,2.039825713011928,0,0.0,0.0,0,0.0,0.0,35,,,0.9796514260238552,0,0.0,0.0,92371,,,0,0,0,0,12.3,155,42,,,0,2,0.0,0.5,0,Pablo,0.5,,,,,2.0,2,3.330960273742676,2.916738986968994,,2.3747718334198,4.101677894592285,4.204787731170654,2.855001211166382,2.557408332824707,2.854804515838623,2.8786206245422363,4,0,0.0,0.0,7.9,101,27,False,55.4,39,11,180,,,45,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.2,False,,a,1,3,Arsenal,11.0,139,28,1,1526,677,2986,1081,0.4532946028915396,,,0.9615830627396125,0.1,6.76603020562066,0.2,Marí,0.1,0.3,0.0,0.1,0.3,0.4,0.2,1.3,2.9000000000000004,1.7999999999999998,0.3,0.0,0.5200928802256288,3.89012717213605,0.5200928802256288,30.44713592529297,1,2.3723645210266118
9,,,0,,,0,,,0,75.0,,,0,,,98745,,,0,0,-1,1,0.0,456,176,,,0,2,-0.4,0.0,0,Héctor,0.0,,,,,,2,3.339352369308472,2.7424895763397217,,1.9279330968856807,3.716010570526123,3.705718755722046,2.6409695148468018,2.452238082885742,2.855637311935425,2.7478015422821045,0,0,,,0.0,466,175,False,0.0,461,176,0,Thigh injury - 75% chance of playing,2021-08-22T23:00:07.775313Z,49,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.8,False,,d,1,3,Arsenal,0.0,432,167,0,2736,706,29702,10026,,,,,0.0,5.725240123515226,0.0,Bellerín,,,,,,,,,,,,,,,,28.05367660522461,0,1.925525784492493
10,2.389825713011928,2.389825713011928,0,0.0,,0,0.0,,14,,,0.4898257130119276,0,0.0,0.0,101184,,,0,0,0,0,16.8,124,30,,,0,2,0.0,0.5,0,Calum,0.5,,,,,1.0,2,3.155531883239746,2.5252110958099365,,1.807891011238098,3.569549322128296,3.5592575073242188,2.407957077026367,2.064446449279785,2.576678276062012,2.4688425064086914,2,0,0.0,,4.2,183,61,False,13.2,204,86,80,,,45,0,0,,0,,101184.jpg,1.0,0,0,Chambers,0.4,False,,a,1,3,Arsenal,12.0,130,25,1,1936,434,6772,2568,0.5310723806693173,,,1.1265746450164733,0.1,5.764633046256171,0.2,Chambers,0.1,0.3,0.1,,0.1,0.2,0.2,1.3,2.9000000000000004,0.6000000000000001,0.1,,,2.9901271721360505,,25.94084870815277,0,1.80548357963562
