id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week19,assists_week2,assists_week20,assists_week21,assists_week22,assists_week23,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week15,bonus_week16,bonus_week17,bonus_week18,bonus_week19,bonus_week2,bonus_week20,bonus_week21,bonus_week22,bonus_week23,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week19,cleansheet_week2,cleansheet_week20,cleansheet_week21,cleansheet_week22,cleansheet_week23,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 24 prediction,gameweek 25 prediction,gameweek 26 prediction,gameweek 27 prediction,gameweek 28 prediction,gameweek 29 prediction,gameweek 3 prediction,gameweek 30 prediction,gameweek 31 prediction,gameweek 32 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week19,goals_week2,goals_week20,goals_week21,goals_week22,goals_week23,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week19,xA_week2,xA_week20,xA_week21,xA_week22,xA_week23,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week19,xGA_week2,xGA_week20,xGA_week21,xGA_week22,xGA_week23,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week19,xG_week2,xG_week20,xG_week21,xG_week22,xG_week23,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 19,xPoints week 2,xPoints week 20,xPoints week 21,xPoints week 22,xPoints week 23,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 33 prediction
1,7.044930505359631,2.34831016845321,0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,48,100.0,50.0,3.0449305053596305,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-5,5,0.0,577,65,,,0,1,0.5,0.5,0,Bernd,0.0,,,,,3.0,23,,,,,,,,,,,,,,,,4.291655540466309,0.0,8.439553260803223,0.0,4.252870082855225,3.886911153793335,,4.235286712646484,4.076059818267822,4.147897720336914,,,,,,,9,0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,7.9,406,29,False,79.0,342,28,270,,2022-01-21T01:30:13.991200Z,45,0,0,,0,,80201.jpg,1.3,0,9,Leno,0.8,False,,a,1,3,Arsenal,0.0,558,59,4,63304,297,186792,765,0.5218467041007133,,,1.1070040296283923,0.0,8.312509801652697,0.9,Leno,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,2.09012717213605,,,,,,,,,,,2.220092880225629,,,,,1.0894830874246624,,,,,,,37.406294107437134,0,4.076059818267822
2,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,490,29,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,23,,,,,,,,,,,,,,,,3.469092607498169,0.0,6.67514705657959,0.0,3.5003018379211426,3.122241973876953,,3.4127237796783447,3.230990171432495,3.2656946182250977,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,510,53,False,0.0,507,53,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.6,False,,u,1,3,Arsenal,0.0,454,19,0,19017,0,75659,527,,,,,0.0,7.476795554161072,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.907182216644287,0,3.230990171432495
3,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,696,286,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,23,,,,,,,,,,,,,,,,2.468037366867065,0.0,4.702633857727051,0.0,2.60952091217041,2.4574785232543945,,2.411668539047241,2.24041485786438,2.294236421585083,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,696,286,False,0.0,696,286,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,696,286,0,914,0,20425,16,,,,,0.0,3.400699259742858,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.424405336380005,0,2.24041485786438
4,50.411,3.6007857142857143,1,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,3.0,0.0,1.0,0.0,3.0,0.0,131,0.0,0.0,0.0,6,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,0,0,-4,4,132.4,181,29,,,0,4,0.0,0.0,0,Pierre-Emerick,0.0,3.1,3.1815714285714285,4.11425,,14.0,23,,,,,,,,,,,,,,,,2.966090440750122,0.0,5.717268466949463,0.0,3.249359607696533,2.743117570877075,,2.909376382827759,2.64612340927124,2.751178026199341,,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,92.9,62,16,False,217.6,197,25,1036,Left club by mutual consent,2022-02-02T08:21:28.428217Z,96,0,2,1.0,0,,54694.jpg,3.1,0,0,Aubameyang,1.4,False,,u,1,3,Arsenal,582.0,21,10,44,742898,442,885057,3178,0.37508184523809524,0.3229166666666667,,1.1621485920575125,0.0,2.673286894957225,4.6,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,5.8,6.6,0.4714285714285714,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,22.24,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.5999999999999996,0.5,0.2999999999999998,,,,,0.0,,,,,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,,,3.2,2.6000000000000014,2.8000000000000007,3.3999999999999986,4.0,2.2,,,,,1.0,,,,,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,25.663554191589355,3,2.6810402870178223
5,6.359907340479508,1.5899768351198769,0,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,,,,0,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,,,,25,75.0,50.0,4.059907340479508,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-3,3,40.5,307,103,,,0,2,0.4,0.5,0,Cédric,0.0,1.0,1.0,1.0,,4.0,23,,,,,,,,,,,,,,,,2.326547145843506,0.0,4.473444938659668,0.0,2.502526998519897,1.9166288375854488,,2.27017879486084,1.884077906608581,2.146897554397583,,,,,,,8,0,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,,,,7.3,411,150,False,31.4,414,156,214,Hip injury - 75% chance of playing,2022-01-13T23:00:13.573747Z,42,0,0,,0,,58822.jpg,0.5,0,0,Soares,0.1,False,,d,1,3,Arsenal,1.0,420,161,2,13124,19,25753,226,0.3785659131237802,0.23809523809523808,,0.7758292546899829,0.0,4.620090495972406,0.5,Cédric,0.1,0.3,,,,,,,,,,0.0,,0.1,,,,,0.0,0.0,,,,,,0.0,0.1,0.025,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.0,,1.5200928802256288,,,,,-0.9105169125753376,1.0,,,,,,19.404380083084103,1,1.884077906608581
6,49.553,3.0970625,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,172,100.0,100.0,0.0,6,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,0,0,-1,1,232.5,98,14,,,1,4,2.5,3.0,2,Alexandre,2.0,4.351625,3.4548461538461543,3.3008666666666664,4.957,16.0,23,,,,,,,,,,,,,,,,3.862275123596192,0.0,7.606945037841797,0.0,4.913817882537842,4.215909957885742,,3.808762788772583,3.480034828186035,3.720362663269043,,,,,,,7,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,,,,0.0,1.0,0.0,81.4,88,21,False,241.4,170,18,948,,2021-08-13T14:30:14.582063Z,84,0,1,2.0,0,,59966.jpg,3.0,0,0,Lacazette,4.3,False,,a,1,3,Arsenal,341.0,64,27,48,873526,12748,707847,31659,0.3686979166666666,0.5180505952380953,0.5901190476190475,1.068588083190365,0.2,4.180053586051577,5.7,Lacazette,1.2,3.6,,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,0.0,0.3,0.0999999999999999,0.0,,,0.0999999999999999,,0.1999999999999999,0.0,,,,0.0,0.2,0.0,4.4,5.6000000000000005,0.35000000000000003,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,16.64,,0.0,0.1999999999999999,0.0,0.1,0.0,0.0,0.3,1.1999999999999995,0.8000000000000003,0.9999999999999996,,,0.0,,0.3000000000000007,0.0,,,,0.0,0.5,0.0,3.8000000000000025,,1.0,3.1,2.6,1.4000000000000004,1.0,2.0,4.2,6.470999999999999,6.271000000000001,8.770999999999997,,,2.3,,3.8000000000000025,1.0,,,,1.0,3.6,2.0,35.11245012283325,0,3.5043418407440186
7,19.90844208779969,1.9908442087799687,1,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,,102,100.0,0.0,2.5374420877996924,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,140.6,173,106,4.0,,0,3,0.5,0.0,0,Granit,0.0,2.5637592600967087,2.5637592600967087,2.5307752348969044,1.6507071385653576,10.0,23,,,,,,,,,,,,,,,,2.235758066177368,0.0,4.380651473999023,0.0,2.3392176628112797,2.029845952987671,,2.179389715194702,2.072401523590088,2.144893169403076,,,,,,,15,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,,34.4,262,123,False,125.2,297,124,825,,2022-01-10T00:00:11.840953Z,48,0,0,,0,,84450.jpg,1.8,1,0,Xhaka,0.3,False,,a,1,3,Arsenal,79.0,247,131,18,25816,213,85532,392,0.4147592101624935,0.5341165125201477,0.3438973205344495,0.9086919013560945,0.0,4.053033143281937,3.8,Xhaka,0.7,2.1,0.1,,,,,,0.0,0.0,0.0,0.5,0.0999999999999999,0.0,,0.0,,,0.0,,,0.0,,,,0.5,1.2,0.12,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,2.5,0.1,,,,,,0.0,0.0,0.3,0.0999999999999999,0.0,0.0,,0.0,,,0.0,,,0.0,,,,,3.0725317930340124,,,,,,1.3678794411714423,2.5488116360940256,4.17032004603564,3.99413016014843,2.11873075307798,2.055023220056407,,1.1826835240527347,,,-2.0,,,2.3328710836980795,,,,19.454559087753296,4,2.072401523590088
8,5.129953670239753,2.5649768351198765,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,35,0.0,0.0,2.029953670239754,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,382,139,,,0,2,0.0,0.0,0,Pablo,0.0,,,,,2.0,23,,,,,,,,,,,,,,,,2.954974889755249,0.0,5.748549938201904,0.0,3.6745312213897705,2.945786476135254,,2.916856288909912,2.4555697441101074,2.7935750484466557,,,,,,,4,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,7.9,405,146,False,55.4,369,140,180,Joined Udinese on loan until the end of the season - Expected back 01 Jul,2022-01-20T22:30:17.110379Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,u,1,3,Arsenal,11.0,378,140,1,5760,14,14445,188,0.6107087702666373,,,1.2515805402523925,0.0,6.1774793692997525,0.2,Marí,0.1,0.3,0.0,,,,,,,,,,,0.1,,,,,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,,,,,,,,0.0,,,,,,,,,,,,,3.89012717213605,,,,,,,,,,,0.5200928802256288,,,,,,,,,,,,25.94541335105896,1,2.4555697441101074
9,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,650,235,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,23,,,,,,,,,,,,,,,,2.9542691707611084,0.0,5.609607696533203,0.0,3.218308210372925,2.642815589904785,,2.8979005813598637,2.5118002891540527,2.7149789333343506,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,655,235,False,0.0,655,235,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,641,232,0,3737,0,70319,55,,,,,0.0,5.221141825119655,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.06148076057434,0,2.5118002891540527
11,2.029953670239754,1.014976835119877,0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,6,0.0,0.0,2.029953670239754,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111457,,,0,0,-3,3,0.2,454,174,,,0,2,0.0,0.0,0,Sead,0.0,,1.0,1.0,,2.0,23,,,,,,,,,,,,,,,,2.230047702789306,0.0,4.2804460525512695,0.0,2.4060275554656982,1.8201292753219604,,2.1736793518066406,1.7875784635543823,2.050398111343384,,,,,,,5,0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.4,479,174,False,4.2,463,174,91,Contract ended by mutual consent,2022-01-13T23:00:13.612208Z,42,0,0,,0,,111457.jpg,0.0,0,0,Kolasinac,0.1,False,,u,1,3,Arsenal,0.0,505,207,0,3727,0,11341,63,0.2416611512190183,,,0.4952579837172796,0.0,4.413305946758815,0.0,Kolasinac,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,-0.9105169125753376,,,,,,,18.535884976387024,1,1.7875784635543823
