id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week19,assists_week2,assists_week20,assists_week21,assists_week22,assists_week23,assists_week24,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week15,bonus_week16,bonus_week17,bonus_week18,bonus_week19,bonus_week2,bonus_week20,bonus_week21,bonus_week22,bonus_week23,bonus_week24,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week19,cleansheet_week2,cleansheet_week20,cleansheet_week21,cleansheet_week22,cleansheet_week23,cleansheet_week24,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 24 prediction,gameweek 25 prediction,gameweek 26 prediction,gameweek 27 prediction,gameweek 28 prediction,gameweek 29 prediction,gameweek 3 prediction,gameweek 30 prediction,gameweek 31 prediction,gameweek 32 prediction,gameweek 33 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week19,goals_week2,goals_week20,goals_week21,goals_week22,goals_week23,goals_week24,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week19,xA_week2,xA_week20,xA_week21,xA_week22,xA_week23,xA_week24,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week19,xGA_week2,xGA_week20,xGA_week21,xGA_week22,xGA_week23,xGA_week24,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week19,xG_week2,xG_week20,xG_week21,xG_week22,xG_week23,xG_week24,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 19,xPoints week 2,xPoints week 20,xPoints week 21,xPoints week 22,xPoints week 23,xPoints week 24,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 34 prediction
1,7.110883127750698,2.3702943759169,0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,48,75.0,100.0,3.1108831277506988,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-5,5,0.0,586,66,,,0,1,0.0,0.5,0,Bernd,0.0,,,,,3.0,24,,,,,,,,,,,,,,,,,0.0,8.439553260803223,0.0,4.340258598327637,3.9707555770874015,,4.235286712646484,4.076059818267822,4.147897720336914,4.076059818267822,,,,,,,9,0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,7.9,412,30,False,79.0,350,29,270,Illness - 75% chance of playing,2022-02-11T08:00:15.144286Z,45,0,0,,0,,80201.jpg,1.3,0,9,Leno,0.8,False,,d,1,3,Arsenal,0.0,565,59,4,63560,145,187377,441,0.5267320835370889,,,1.1173674844127839,0.0,8.22608635160658,0.9,Leno,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,2.09012717213605,,,,,,,,,,,2.220092880225629,,,,,,1.0894830874246624,,,,,,,37.017388582229614,0,3.7315170764923096
2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,497,30,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,24,,,,,,,,,,,,,,,,,0.0,6.67514705657959,0.0,3.587690830230713,3.3472273349761963,,3.4127237796783447,3.230990171432495,3.2656946182250977,3.230990171432495,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,516,53,False,0.0,513,53,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.6,False,,u,1,3,Arsenal,0.0,459,19,0,19017,0,76182,328,,,,,0.0,7.396919250488281,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.587677001953125,0,2.8372130393981934
3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,700,288,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,24,,,,,,,,,,,,,,,,,0.0,4.702633857727051,0.0,2.6673130989074707,2.6824638843536377,,2.411668539047241,2.24041485786438,2.294236421585083,2.24041485786438,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,700,288,False,0.0,700,288,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,700,288,0,914,0,20433,5,,,,,0.0,3.3858598981584827,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.33091735839844,0,2.0917718410491943
4,50.411,3.6007857142857143,1,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,3.0,0.0,1.0,0.0,3.0,0.0,131,0.0,0.0,0.0,6,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,0,0,-4,4,132.4,181,29,,,0,4,0.0,0.0,0,Pierre-Emerick,0.0,2.2,3.033333333333333,3.533727272727273,,14.0,24,,,,,,,,,,,,,,,,,0.0,5.925949573516846,0.0,3.528766870498657,3.11587905883789,,3.01371693611145,2.750463962554932,2.855518579483032,2.65269136428833,,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,92.9,67,17,False,217.6,205,27,1036,Left club by mutual consent,2022-02-02T08:21:28.428217Z,96,0,2,1.0,0,,54694.jpg,3.1,0,0,Aubameyang,1.4,False,,u,1,3,Arsenal,582.0,22,10,44,742898,0,887126,1286,0.37508184523809524,0.22916666666666669,,1.1621485920575125,0.0,2.745972350239754,4.6,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,5.8,6.6,0.4714285714285714,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,22.24,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.5999999999999996,0.5,0.2999999999999998,,,,,0.0,,,,,,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,,,3.2,2.6000000000000014,2.8000000000000007,3.3999999999999986,4.0,2.2,,,,,1.0,,,,,,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,26.36133456230164,3,2.518348217010498
5,9.484805212917832,1.8969610425835663,0,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,,,,,,0,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,,,,,,48,100.0,75.0,5.184805212917832,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-3,3,50.6,280,83,,,0,2,0.0,2.6,6,Cédric,3.0,2.3131393194812,2.3131393194812,2.3131393194812,3.626278638962399,5.0,24,,,,,,,,,,,,,,,,,0.0,5.4541120529174805,0.0,3.0452842712402344,2.37458872795105,,2.7488644123077397,2.3860599994659424,2.648878812789917,2.3860599994659424,,,,,,,8,0,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,,,,,,10.0,389,143,False,46.4,388,149,304,,2022-01-13T23:00:13.573747Z,42,0,0,,0,,58822.jpg,1.6,0,0,Soares,0.1,False,,a,1,3,Arsenal,3.0,413,155,8,13654,512,25975,162,0.4516573910913253,0.5507474570193334,0.8633996759434284,0.925622209918914,0.7,5.513790391740344,1.9,Cédric,0.1,0.3,,,,,,,,,,0.0,,0.1,,,,,0.0,0.0,0.0,,,,,,0.0,0.1,0.02,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,,,,,,3.626278638962399,,,,,,,,,,1.0,,1.5200928802256288,,,,,3.626278638962399,-0.9105169125753376,1.0,,,,,,23.15791964530945,1,2.1140713691711426
6,55.524,3.266117647058824,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,,0.0,1.0,0.0,,,,0.0,0.0,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,186,100.0,100.0,0.0,7,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,-1,1,-2,2,255.5,87,13,,,1,4,0.0,4.0,5,Alexandre,3.5,4.973,3.760307692307692,3.46775,4.023666666666667,17.0,24,,,,,,,,,,,,,,,,,0.0,7.441129684448242,0.0,4.2159624099731445,3.7102668285369873,,3.724741935729981,3.352566719055176,3.592894554138184,3.202183723449707,,,,,,,7,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,0.0,,,,0.0,1.0,0.0,95.5,61,15,False,262.0,162,17,1028,,2021-08-13T14:30:14.582063Z,83,0,1,2.0,0,,59966.jpg,3.1,0,0,Lacazette,3.8,False,,a,1,3,Arsenal,438.0,48,21,53,889327,9401,768504,40138,0.393508150248051,0.5991566265060241,0.48477911646586347,1.1336859855297827,0.4,3.8916565711239732,6.4,Lacazette,1.2,3.6,,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,0.0,0.3,0.0999999999999999,0.0,,,0.0999999999999999,,0.1999999999999999,0.0,0.0,,,,0.0,0.2,0.0,5.2,6.4,0.3764705882352941,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,19.84,,0.0,0.1999999999999999,0.0,0.1,0.0,0.0,0.3,1.1999999999999995,0.8000000000000003,0.9999999999999996,,,0.0,,0.3000000000000007,0.7999999999999998,0.0,,,,0.0,0.5,0.0,5.970999999999999,,1.0,3.1,2.6,1.4000000000000004,1.0,2.0,4.2,6.470999999999999,6.271000000000001,8.770999999999997,,,2.3,,3.8000000000000025,5.970999999999999,1.0,,,,1.0,3.6,2.0,32.30074954032898,0,3.0610036849975586
7,21.22264286710481,1.9293311697368003,1,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,111,100.0,100.0,2.851642867104807,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,142.4,176,107,4.0,,0,3,0.0,1.5,2,Granit,1.0,2.398446460045836,2.398446460045836,2.3902495380023665,1.2946265918966673,11.0,24,,,,,,,,,,,,,,,,,0.0,4.146782875061035,0.0,2.15450382232666,2.093045949935913,,2.074103355407715,1.9028494358062744,2.0163111686706543,1.9028494358062744,,,,,,,15,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,36.3,259,120,False,140.4,283,120,915,,2022-01-10T00:00:11.840953Z,48,0,0,,0,,84450.jpg,1.8,1,0,Xhaka,0.3,False,,a,1,3,Arsenal,81.0,252,135,20,26168,261,85902,294,0.40194399369516676,0.4996763458428825,0.2697138733118057,0.8806151688022283,0.2,3.7614378333091745,4.2,Xhaka,0.7,2.1,0.1,,,,,,0.0,0.0,0.0,0.5,0.0999999999999999,0.0,,0.0,,,0.0,0.0,,,0.0,,,,0.5,1.2,0.10909090909090909,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,2.5,0.1,,,,,,0.0,0.0,0.3,0.0999999999999999,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,1.4065696597405997,3.0725317930340124,,,,,,1.3678794411714423,2.5488116360940256,4.17032004603564,3.99413016014843,2.11873075307798,2.055023220056407,,1.1826835240527347,,,1.4065696597405997,-2.0,,,2.3328710836980795,,,,18.054901599884037,5,1.7644555568695068
8,5.173922085167132,2.586961042583566,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,35,0.0,0.0,2.0739220851671325,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,388,141,,,0,2,0.0,0.0,0,Pablo,0.0,,,,,2.0,24,,,,,,,,,,,,,,,,,0.0,5.748549938201904,0.0,3.467151641845703,3.154071807861328,,2.916856288909912,2.4555697441101074,2.7935750484466557,2.4555697441101074,,,,,,,4,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,7.9,410,149,False,55.4,375,143,180,Joined Udinese on loan until the end of the season - Expected back 01 Jul,2022-01-20T22:30:17.110379Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,u,1,3,Arsenal,11.0,383,141,1,5760,0,14536,58,0.6159431053770396,,,1.2623077350861578,0.0,6.015878575188773,0.2,Marí,0.1,0.3,0.0,,,,,,,,,,,0.1,,,,,,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,,,,,,,,0.0,,,,,,,,,,,,,,3.89012717213605,,,,,,,,,,,0.5200928802256288,,,,,,,,,,,,,25.266690015792847,1,2.275345802307129
9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,660,236,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,24,,,,,,,,,,,,,,,,,0.0,5.609607696533203,0.0,3.3415896892547607,2.8678009510040283,,2.8979005813598637,2.5118002891540527,2.7149789333343506,2.5118002891540527,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,664,236,False,0.0,664,236,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,649,234,0,3737,0,70348,17,,,,,0.0,5.141883293787639,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.681039810180664,0,2.2255613803863525
11,2.0739220851671325,1.0369610425835665,0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,6,0.0,0.0,2.0739220851671325,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111457,,,0,0,-3,3,0.2,461,174,,,0,2,0.0,0.0,0,Sead,0.0,,1.0,1.0,,2.0,24,,,,,,,,,,,,,,,,,0.0,4.2804460525512695,0.0,2.529308795928955,2.0824737548828125,,2.1736793518066406,1.7875784635543823,2.050398111343384,1.7875784635543823,,,,,,,5,0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,0.4,485,174,False,4.2,468,174,91,Contract ended by mutual consent,2022-01-13T23:00:13.612208Z,42,0,0,,0,,111457.jpg,0.0,0,0,Kolasinac,0.1,False,,u,1,3,Arsenal,0.0,511,209,0,3727,0,11375,26,0.24689548632942057,,,0.5059851785510447,0.0,4.343342128254118,0.0,Kolasinac,0.0,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,-0.9105169125753376,,,,,,,18.242036938667297,1,1.5505739450454712
