id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week19,assists_week2,assists_week20,assists_week21,assists_week22,assists_week23,assists_week24,assists_week25,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week15,bonus_week16,bonus_week17,bonus_week18,bonus_week19,bonus_week2,bonus_week20,bonus_week21,bonus_week22,bonus_week23,bonus_week24,bonus_week25,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week19,cleansheet_week2,cleansheet_week20,cleansheet_week21,cleansheet_week22,cleansheet_week23,cleansheet_week24,cleansheet_week25,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 24 prediction,gameweek 25 prediction,gameweek 26 prediction,gameweek 27 prediction,gameweek 28 prediction,gameweek 29 prediction,gameweek 3 prediction,gameweek 30 prediction,gameweek 31 prediction,gameweek 32 prediction,gameweek 33 prediction,gameweek 34 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week19,goals_week2,goals_week20,goals_week21,goals_week22,goals_week23,goals_week24,goals_week25,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week19,xA_week2,xA_week20,xA_week21,xA_week22,xA_week23,xA_week24,xA_week25,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week19,xGA_week2,xGA_week20,xGA_week21,xGA_week22,xGA_week23,xGA_week24,xGA_week25,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week19,xG_week2,xG_week20,xG_week21,xG_week22,xG_week23,xG_week24,xG_week25,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 19,xPoints week 2,xPoints week 20,xPoints week 21,xPoints week 22,xPoints week 23,xPoints week 24,xPoints week 25,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 35 prediction
1,7.110883127750698,2.3702943759169,0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,48,75.0,75.0,3.1108831277506988,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-5,5,0.0,590,67,,,0,1,0.8,0.0,0,Bernd,0.0,,,,,3.0,25,,,,,,,,,,,,,,,,,,8.461860656738281,0.0,4.340258598327637,3.877046585083008,,4.235286712646484,4.188455104827881,4.188455104827881,4.116617202758789,3.772074222564697,,,,,,,9,0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,7.9,413,30,False,79.0,351,29,270,Illness - 75% chance of playing,2022-02-11T08:00:15.144286Z,45,0,0,,0,,80201.jpg,1.3,0,9,Leno,0.8,False,,d,1,3,Arsenal,0.0,569,59,4,63652,66,188258,610,0.5267320835370889,,,1.1173674844127839,0.0,9.119638125101723,0.9,Leno,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,2.09012717213605,,,,,,,,,,,2.220092880225629,,,,,,,1.0894830874246624,,,,,,,41.03837156295776,0,3.8583173751831055
2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,502,31,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,25,,,,,,,,,,,,,,,,,,6.697454452514648,0.0,3.587690830230713,3.112377405166626,,3.4127237796783447,3.365891933441162,3.3062517642974854,3.271547317504883,2.877770185470581,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,519,53,False,0.0,515,53,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.6,False,,u,1,3,Arsenal,0.0,462,19,0,19017,0,76875,475,,,,,0.0,8.173586785793304,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.69434714317322,0,3.0626394748687744
3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,702,290,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,25,,,,,,,,,,,,,,,,,,4.724940299987793,0.0,2.6673130989074707,2.4476139545440674,,2.411668539047241,2.3944334983825684,2.334793329238892,2.2809717655181885,2.132329225540161,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,702,290,False,0.0,702,290,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,702,290,0,914,0,20444,6,,,,,0.0,3.7539302356659423,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.649760484695435,0,2.2556967735290527
4,50.411,3.6007857142857143,1,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,0.0,3.0,0.0,1.0,0.0,3.0,0.0,131,0.0,0.0,0.0,6,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,0,0,-4,4,132.4,185,29,,,0,4,0.0,0.0,0,Pierre-Emerick,0.0,,3.0,3.5271,,14.0,25,,,,,,,,,,,,,,,,,,5.9665069580078125,0.0,3.528766870498657,3.0739552974700928,,2.947434663772583,2.89607572555542,2.89607572555542,2.8259379863739014,2.5589053630828857,,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,92.9,69,17,False,217.6,215,27,1036,Left club by mutual consent,2022-02-02T08:21:28.428217Z,96,0,2,,0,,54694.jpg,3.1,0,0,Aubameyang,1.4,False,,u,1,3,Arsenal,582.0,26,12,44,742898,0,889260,1558,0.37508184523809524,,,1.1621485920575125,0.0,3.0564867953459425,4.6,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,5.8,6.6,0.4714285714285714,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,22.24,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.5999999999999996,0.5,0.2999999999999998,,,,,0.0,,,,,,,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,,,3.2,2.6000000000000014,2.8000000000000007,3.3999999999999986,4.0,2.2,,,,,1.0,,,,,,,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,29.342273235321045,3,2.6486146450042725
5,9.484805212917832,1.8969610425835663,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,48,100.0,100.0,5.184805212917832,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-3,3,50.6,286,86,,,0,2,7.0,0.0,0,Cédric,3.0,2.3131393194812,2.3131393194812,2.3131393194812,3.626278638962399,5.0,25,,,,,,,,,,,,,,,,,,5.453123092651367,0.0,3.0452842712402344,2.2912564277648926,,2.7488644123077397,2.666140079498291,2.666140079498291,2.4033212661743164,2.131332874298096,,,,,,,8,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,10.0,393,144,False,46.4,391,151,304,,2022-01-13T23:00:13.573747Z,42,0,0,,0,,58822.jpg,1.6,0,0,Soares,0.2,False,,a,1,3,Arsenal,3.0,416,156,8,14948,869,26273,189,0.4516573910913253,0.5507474570193334,0.8633996759434284,0.925622209918914,0.7,6.100723516373407,1.9,Cédric,0.1,0.3,,,,,,,,,,0.0,,0.1,,,,,0.0,,0.0,0.0,,,,,,0.0,0.1,0.02,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,1.0,,1.5200928802256288,,,,,3.626278638962399,,-0.9105169125753376,1.0,,,,,,25.62303876876831,1,2.217576265335083
6,55.524,3.266117647058824,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,,0.0,1.0,,0.0,,,,0.0,0.0,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,186,100.0,100.0,0.0,7,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,0,0,-2,2,255.5,93,14,,,1,4,8.0,0.0,0,Alexandre,3.5,5.397714285714286,3.9903333333333335,3.46775,4.023666666666667,17.0,25,,,,,,,,,,,,,,,,,,7.458391189575195,0.0,4.2159624099731445,3.5694851875305176,,3.724741935729981,3.6101558208465576,3.6101558208465576,3.273716449737549,3.0782649517059326,,,,,,,7,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,,0.0,,,,0.0,1.0,0.0,95.5,65,15,False,262.0,173,18,1028,,2021-08-13T14:30:14.582063Z,83,0,1,2.0,0,,59966.jpg,3.1,0,0,Lacazette,5.1,False,,a,1,3,Arsenal,438.0,50,21,53,1000521,107237,814013,14104,0.393508150248051,0.6503270223752151,0.48477911646586347,1.1336859855297827,0.4,4.295476861746914,6.4,Lacazette,1.2,3.6,,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,0.0,0.3,0.0999999999999999,0.0,,,0.0999999999999999,,0.1999999999999999,0.0,,0.0,,,,0.0,0.2,0.0,5.2,6.4,0.3764705882352941,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,19.84,,0.0,0.1999999999999999,0.0,0.1,0.0,0.0,0.3,1.1999999999999995,0.8000000000000003,0.9999999999999996,,,0.0,,0.3000000000000007,0.7999999999999998,,0.0,,,,0.0,0.5,0.0,,,1.0,3.1,2.6,1.4000000000000004,1.0,2.0,4.2,6.470999999999999,6.271000000000001,8.770999999999997,,,2.3,,3.8000000000000025,5.970999999999999,,1.0,,,,1.0,3.6,2.0,35.65245795249939,0,3.111584186553955
7,21.22264286710481,1.9293311697368003,1,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,0.0,,0.0,,,0.0,,,,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,,0.0,,,,111,100.0,100.0,2.851642867104807,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,142.4,177,108,4.0,,0,3,3.0,0.0,0,Granit,1.0,2.570207629858235,2.398446460045836,2.3902495380023665,1.2946265918966673,11.0,25,,,,,,,,,,,,,,,,,,4.169089794158936,0.0,2.15450382232666,1.885413408279419,,2.074103355407715,2.056868076324463,2.056868076324463,1.9434059858322144,1.805012583732605,,,,,,,15,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,,0.0,,,,36.3,263,120,False,140.4,289,122,915,,2022-01-10T00:00:11.840953Z,48,0,0,,0,,84450.jpg,1.8,1,0,Xhaka,0.3,False,,a,1,3,Arsenal,81.0,259,136,20,26817,567,86303,274,0.40194399369516676,0.5354599228871323,0.2697138733118057,0.8806151688022283,0.2,4.169584388534227,4.2,Xhaka,0.7,2.1,0.1,,,,,,0.0,0.0,0.0,0.5,0.0999999999999999,0.0,,0.0,,,0.0,,0.0,,,0.0,,,,0.5,1.2,0.10909090909090909,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,2.5,0.1,,,,,,0.0,0.0,0.3,0.0999999999999999,0.0,0.0,,0.0,,,0.0,,0.0,,,0.0,,,,,3.0725317930340124,,,,,,1.3678794411714423,2.5488116360940256,4.17032004603564,3.99413016014843,2.11873075307798,2.055023220056407,,1.1826835240527347,,,1.4065696597405997,,-2.0,,,2.3328710836980795,,,,20.01400506496429,5,1.86873996257782
8,5.173922085167132,2.586961042583566,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,35,0.0,0.0,2.0739220851671325,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,395,144,,,0,2,0.0,0.0,0,Pablo,0.0,,,,,2.0,25,,,,,,,,,,,,,,,,,,5.789107322692871,0.0,3.467151641845703,2.7297019958496094,,2.916856288909912,2.834132194519043,2.834132194519043,2.496126651763916,2.3159029483795166,,,,,,,4,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,7.9,412,151,False,55.4,381,147,180,Joined Udinese on loan until the end of the season - Expected back 01 Jul,2022-01-20T22:30:17.110379Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,u,1,3,Arsenal,11.0,387,143,1,5760,0,14628,69,0.6159431053770396,,,1.2623077350861578,0.0,6.615537461780366,0.2,Marí,0.1,0.3,0.0,,,,,,,,,,,0.1,,,,,,,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3.89012717213605,,,,,,,,,,,0.5200928802256288,,,,,,,,,,,,,,27.78525733947754,1,2.402146100997925
9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,664,236,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,25,,,,,,,,,,,,,,,,,,5.631915092468262,0.0,3.3415896892547607,2.632951021194458,,2.8979005813598637,2.815176248550415,2.7555360794067383,2.5523574352264404,2.26611852645874,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,666,236,False,0.0,666,236,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,652,234,0,3737,0,70404,43,,,,,0.0,5.696777552366257,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.344532251358032,0,2.4509875774383545
11,2.0739220851671325,1.0369610425835665,0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,6,0.0,0.0,2.0739220851671325,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111457,,,0,0,-3,3,0.2,466,175,,,0,2,0.0,0.0,0,Sead,0.0,,,1.0,,2.0,25,,,,,,,,,,,,,,,,,,4.30275297164917,0.0,2.529308795928955,1.8102643489837649,,2.1736793518066406,2.0909552574157715,2.0909552574157715,1.82813560962677,1.5911309719085691,,,,,,,5,0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.4,486,174,False,4.2,471,174,91,Contract ended by mutual consent,2022-01-13T23:00:13.612208Z,42,0,0,,0,,111457.jpg,0.0,0,0,Kolasinac,0.1,False,,u,1,3,Arsenal,0.0,513,209,0,3727,0,11409,23,0.24689548632942057,,,0.5059851785510447,0.0,4.784418259348188,0.0,Kolasinac,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-0.9105169125753376,,,,,,,20.09455668926239,1,1.6773741245269775
