id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week19,assists_week2,assists_week20,assists_week21,assists_week22,assists_week23,assists_week24,assists_week25,assists_week26,assists_week27,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week15,bonus_week16,bonus_week17,bonus_week18,bonus_week19,bonus_week2,bonus_week20,bonus_week21,bonus_week22,bonus_week23,bonus_week24,bonus_week25,bonus_week26,bonus_week27,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week19,cleansheet_week2,cleansheet_week20,cleansheet_week21,cleansheet_week22,cleansheet_week23,cleansheet_week24,cleansheet_week25,cleansheet_week26,cleansheet_week27,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 24 prediction,gameweek 25 prediction,gameweek 26 prediction,gameweek 27 prediction,gameweek 28 prediction,gameweek 29 prediction,gameweek 3 prediction,gameweek 30 prediction,gameweek 31 prediction,gameweek 32 prediction,gameweek 33 prediction,gameweek 34 prediction,gameweek 35 prediction,gameweek 36 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week19,goals_week2,goals_week20,goals_week21,goals_week22,goals_week23,goals_week24,goals_week25,goals_week26,goals_week27,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week19,xA_week2,xA_week20,xA_week21,xA_week22,xA_week23,xA_week24,xA_week25,xA_week26,xA_week27,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week19,xGA_week2,xGA_week20,xGA_week21,xGA_week22,xGA_week23,xGA_week24,xGA_week25,xGA_week26,xGA_week27,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week19,xG_week2,xG_week20,xG_week21,xG_week22,xG_week23,xG_week24,xG_week25,xG_week26,xG_week27,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 19,xPoints week 2,xPoints week 20,xPoints week 21,xPoints week 22,xPoints week 23,xPoints week 24,xPoints week 25,xPoints week 26,xPoints week 27,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 37 prediction
1,7.25678327609714,2.4189277586990467,0,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,48,100.0,100.0,3.25678327609714,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-5,5,0.0,599,69,,,0,1,1.0,0.0,0,Bernd,0.0,,,,,3.0,27,,,,,,,,,,,,,,,,,,,,4.401143550872803,7.831694602966309,,4.353902339935303,4.307070255279541,4.353902339935303,3.916048526763916,3.877167224884033,3.916048526763916,4.4418559074401855,,,,,,,9,0,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,7.9,421,30,False,79.0,365,29,270,,2022-02-11T08:00:15.144286Z,45,0,0,,0,,80201.jpg,1.3,0,9,Leno,0.8,False,,a,1,3,Arsenal,0.0,579,60,4,64267,218,189404,370,0.5375395019331215,,,1.1402934809176484,0.0,10.181076261732313,0.9,Leno,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,2.09012717213605,,,,,,,,,,,2.220092880225629,,,,,,,,,1.0894830874246624,,,,,,,45.81484317779541,0,4.416009902954102
2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,507,32,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,27,,,,,,,,,,,,,,,,,,,,3.587690830230713,5.725663185119629,,3.403174638748169,3.3563427925109863,3.343534469604492,3.053090333938598,2.834481000900269,3.053090333938598,3.807922124862671,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,525,53,False,0.0,521,53,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.6,False,,u,1,3,Arsenal,0.0,469,19,0,19017,0,78084,368,,,,,0.0,8.941886723041534,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.76754689216614,0,3.602557182312012
3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,710,294,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,27,,,,,,,,,,,,,,,,,,,,2.678804636001587,4.406983375549316,,2.4136109352111816,2.396375894546509,2.353970766067505,2.276756048202514,2.087631225585937,2.276756048202514,2.943882942199707,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,710,294,False,0.0,710,294,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,710,294,0,914,0,20463,9,,,,,0.0,4.210863870287699,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5284423828125,0,2.6936705112457275
4,50.411,3.6007857142857143,1,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,0.0,3.0,0.0,1.0,0.0,3.0,0.0,131,0.0,0.0,0.0,6,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,0,0,-4,4,132.4,197,31,,,0,4,0.0,0.0,0,Pierre-Emerick,0.0,,3.2,3.633875,,14.0,27,,,,,,,,,,,,,,,,,,,,3.528766870498657,5.567423343658447,,3.0365312099456787,2.9538068771362305,3.0365312099456787,2.674980640411377,2.5953619480133057,2.706345796585083,3.524719953536988,,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,92.9,86,22,False,217.6,235,29,1036,Left club by mutual consent,2022-02-02T08:21:28.428217Z,96,0,2,,0,,54694.jpg,3.1,0,0,Aubameyang,1.3,False,,u,1,3,Arsenal,582.0,30,14,44,742898,0,893093,1108,0.37508184523809524,,,1.1621485920575125,0.0,3.4605847050746283,4.6,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,5.8,6.6,0.4714285714285714,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,22.24,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.5999999999999996,0.5,0.2999999999999998,,,,,0.0,,,,,,,,,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,,,3.2,2.6000000000000014,2.8000000000000007,3.3999999999999986,4.0,2.2,,,,,1.0,,,,,,,,,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,33.22161316871643,3,3.5971453189849854
5,17.09916097755999,2.44273728250857,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,80,100.0,100.0,7.599160977559993,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-3,3,95.5,235,64,,,0,2,4.3,0.0,0,Cédric,3.3,2.8732607370060674,2.8732607370060674,2.8732607370060674,3.497680982674757,7.0,27,,,,,,,,,,,,,,,,,,,,3.4404971599578857,5.024953842163086,,3.229783296585083,3.11519718170166,3.1979212760925293,2.650312662124634,2.511836767196656,2.61845064163208,3.130452871322632,,,,,,,10,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,19.8,362,128,False,78.8,366,141,469,,2022-01-13T23:00:13.573747Z,42,0,0,,0,,58822.jpg,1.7,0,0,Soares,0.2,False,,a,1,3,Arsenal,23.0,367,136,12,17887,1834,27627,524,0.5816041148829928,0.6841096992871589,0.8327811863511326,1.1919337460971076,0.8,7.675779263178507,2.9,Cédric,0.3,0.8999999999999999,,,,,,,,,,0.0,,0.1,,,,,0.0,,0.1999999999999999,0.0,0.0,0.0,,,,,,0.1,0.4,0.05714285714285715,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.6000000000000001,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.1,0.0,0.0,0.0,,,,,,1.4715177646857691,,,,,,,,,,1.0,,1.5200928802256288,,,,,3.626278638962399,,5.395246544376102,1.4715177646857691,-0.9105169125753376,1.0,,,,,,32.23827290534973,1,3.3188672065734863
6,65.666,3.4561052631578946,6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,,0.0,1.0,,1.0,1.0,0.0,,,,0.0,0.0,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,214,100.0,100.0,0.0,8,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,0,0,-2,2,314.0,80,12,,,1,4,6.0,0.0,0,Alexandre,5.0,4.607857142857143,3.9438333333333326,3.507411764705882,3.728250000000001,19.0,27,,,,,,,,,,,,,,,,,,,,4.408256530761719,6.979936599731445,,3.891702890396118,3.820564031600952,3.867395877838135,3.4479095935821533,3.3594067096710205,3.364367723464966,4.365325450897217,,,,,,,8,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,1.0,0.0,119.8,44,12,False,290.0,172,17,1201,,2021-08-13T14:30:14.582063Z,83,0,1,2.0,0,,59966.jpg,3.3,0,0,Lacazette,4.9,False,,a,1,3,Arsenal,595.0,29,13,63,1187956,50108,970231,33049,0.4163982244768547,0.5551635111876075,0.44918674698795186,1.199631649792577,0.6,5.053419521056026,7.6,Lacazette,1.4,4.199999999999999,,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,0.0,0.3,0.0999999999999999,0.0,,,0.0999999999999999,,0.1999999999999999,0.0,,0.0,0.1999999999999999,0.0,,,,0.0,0.2,0.0,6.2,7.6,0.39999999999999997,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,23.84,,0.0,0.1999999999999999,0.0,0.1,0.0,0.0,0.3,1.1999999999999995,0.8000000000000003,0.9999999999999996,,,0.0,,0.3000000000000007,0.7999999999999998,,0.2000000000000001,0.7999999999999998,0.0,,,,0.0,0.5,0.0,1.5709999999999993,,1.0,3.1,2.6,1.4000000000000004,1.0,2.0,4.2,6.470999999999999,6.271000000000001,8.770999999999997,,,2.3,,3.8000000000000025,5.970999999999999,,3.5710000000000006,1.5709999999999993,1.0,,,,1.0,3.6,2.0,41.943382024765015,0,4.438516616821289
7,26.799181882438567,2.0614755294183515,1,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,,136,100.0,100.0,3.528181882438568,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,212.0,139,87,4.0,,0,3,3.0,0.0,0,Granit,2.0,2.086467529047535,2.289535144176257,2.289535144176257,1.741086912335356,13.0,27,,,,,,,,,,,,,,,,,,,,2.380598783493042,4.186040878295898,,2.357929229736328,2.3406944274902344,2.357929229736328,2.224111557006836,2.114433526992798,2.224111557006836,2.3828556537628174,,,,,,,17,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,,50.7,232,111,False,174.4,266,109,1095,,2022-01-10T00:00:11.840953Z,48,0,0,,0,,84450.jpg,1.8,1,0,Xhaka,0.3,False,,a,1,3,Arsenal,121.0,220,118,24,27793,294,87293,296,0.42947406862882326,0.43468073521823647,0.3627264400698659,0.9409305410061132,0.4,5.20086869597435,5.0,Xhaka,1.0,3.0,0.1,,,,,,0.0,0.0,0.0,0.5,0.0999999999999999,0.0,,0.0,,,0.0,,0.1,0.1999999999999999,0.0,,,0.0,,,,0.5,1.5,0.11538461538461539,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,2.5,0.1,,,,,,0.0,0.0,0.3,0.0999999999999999,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,,0.9678794411714422,3.0725317930340124,,,,,,1.3678794411714423,2.5488116360940256,4.17032004603564,3.99413016014843,2.11873075307798,2.055023220056407,,1.1826835240527347,,,1.4065696597405997,,2.848811636094026,0.9678794411714422,-2.0,,,2.3328710836980795,,,,24.96416974067688,5,2.3954648971557617
8,5.271188850731426,2.635594425365713,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,35,0.0,0.0,2.1711888507314265,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,404,148,,,0,2,0.0,0.0,0,Pablo,0.0,,,,,2.0,27,,,,,,,,,,,,,,,,,,,,3.52803635597229,5.00273323059082,,2.992020845413208,2.909296751022339,2.992020845413208,2.416426181793213,2.276354551315308,2.416426181793213,3.540878772735596,,,,,,,4,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,7.9,420,153,False,55.4,390,150,180,Joined Udinese on loan until the end of the season - Expected back 01 Jul,2022-01-20T22:30:17.110379Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,u,1,3,Arsenal,11.0,394,148,1,5760,0,14793,65,0.6275224822299317,,,1.2860383959885733,0.0,7.495380923861548,0.2,Marí,0.1,0.3,0.0,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3.89012717213605,,,,,,,,,,,0.5200928802256288,,,,,,,,,,,,,,,,31.480599880218502,1,3.4064061641693115
9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,674,239,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,27,,,,,,,,,,,,,,,,,,,,3.353081226348877,4.539356231689453,,2.899842977523804,2.8171186447143555,2.840202808380127,2.4720468521118164,2.113459348678589,2.4720468521118164,3.3315916061401367,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,675,239,False,0.0,675,239,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,663,238,0,3737,0,70514,43,,,,,0.0,6.264624496301017,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.07019758224488,0,3.2314510345458984
11,2.1711888507314265,1.0855944253657133,0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,6,0.0,0.0,2.1711888507314265,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111457,,,0,0,-3,3,0.2,471,176,,,0,2,0.0,0.0,0,Sead,0.0,,,1.0,,2.0,27,,,,,,,,,,,,,,,,,,,,2.540800333023072,3.3112359046936035,,2.199450731277466,2.1167266368865967,2.199450731277466,1.7222625017166138,1.5099892616271973,1.7222625017166138,2.556669950485229,,,,,,,5,0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.4,491,176,False,4.2,474,176,91,Contract ended by mutual consent,2022-01-13T23:00:13.612208Z,42,0,0,,0,,111457.jpg,0.0,0,0,Kolasinac,0.1,False,,u,1,3,Arsenal,0.0,524,215,0,3727,0,11490,24,0.25847486318231266,,,0.5297158394534602,0.0,5.309052013215564,0.0,Kolasinac,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,-0.9105169125753376,,,,,,,22.29801845550537,1,2.4191699028015137
