id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week19,assists_week2,assists_week20,assists_week21,assists_week22,assists_week23,assists_week24,assists_week25,assists_week26,assists_week27,assists_week28,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week15,bonus_week16,bonus_week17,bonus_week18,bonus_week19,bonus_week2,bonus_week20,bonus_week21,bonus_week22,bonus_week23,bonus_week24,bonus_week25,bonus_week26,bonus_week27,bonus_week28,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week19,cleansheet_week2,cleansheet_week20,cleansheet_week21,cleansheet_week22,cleansheet_week23,cleansheet_week24,cleansheet_week25,cleansheet_week26,cleansheet_week27,cleansheet_week28,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 24 prediction,gameweek 25 prediction,gameweek 26 prediction,gameweek 27 prediction,gameweek 28 prediction,gameweek 29 prediction,gameweek 3 prediction,gameweek 30 prediction,gameweek 31 prediction,gameweek 32 prediction,gameweek 33 prediction,gameweek 34 prediction,gameweek 35 prediction,gameweek 36 prediction,gameweek 37 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week19,goals_week2,goals_week20,goals_week21,goals_week22,goals_week23,goals_week24,goals_week25,goals_week26,goals_week27,goals_week28,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week19,xA_week2,xA_week20,xA_week21,xA_week22,xA_week23,xA_week24,xA_week25,xA_week26,xA_week27,xA_week28,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week19,xGA_week2,xGA_week20,xGA_week21,xGA_week22,xGA_week23,xGA_week24,xGA_week25,xGA_week26,xGA_week27,xGA_week28,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week19,xG_week2,xG_week20,xG_week21,xG_week22,xG_week23,xG_week24,xG_week25,xG_week26,xG_week27,xG_week28,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 19,xPoints week 2,xPoints week 20,xPoints week 21,xPoints week 22,xPoints week 23,xPoints week 24,xPoints week 25,xPoints week 26,xPoints week 27,xPoints week 28,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 38 prediction
1,7.244322837970108,2.4147742793233693,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,48,100.0,100.0,3.244322837970108,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-5,5,0.0,600,69,,,0,1,0.0,1.0,0,Bernd,0.0,,,,,3.0,28,,,,,,,,,,,,,,,,,,,,,7.831694602966309,,4.307070255279541,4.307070255279541,4.353902339935303,3.9728291034698486,3.880227088928223,3.916048526763916,4.38697624206543,4.3778910636901855,,,,,,,9,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,7.9,428,30,False,79.0,368,29,270,,2022-02-11T08:00:15.144286Z,45,0,0,,0,,80201.jpg,1.3,0,9,Leno,0.8,False,,a,1,3,Arsenal,0.0,581,60,4,64568,224,189855,361,0.5366165065163043,,,1.138335511962942,0.0,10.147726323869493,0.9,Leno,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,2.09012717213605,,,,,,,,,,,2.220092880225629,,,,,,,,,,1.0894830874246624,,,,,,,45.66476845741272,0,4.331058979034424
2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,511,32,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,28,,,,,,,,,,,,,,,,,,,,,5.725663185119629,,3.3563427925109863,3.3563427925109863,3.343534469604492,3.1098709106445312,2.91864275932312,3.053090333938598,3.807561635971069,3.564438343048096,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,529,53,False,0.0,525,53,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.6,False,,u,1,3,Arsenal,0.0,473,19,0,19017,0,78593,297,,,,,0.0,8.938273429870605,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.75309371948242,0,3.517606496810913
3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,710,294,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,28,,,,,,,,,,,,,,,,,,,,,4.406983375549316,,2.396375894546509,2.396375894546509,2.353970766067505,2.2980473041534424,2.203810214996338,2.276756048202514,2.928272247314453,2.5748746395111084,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,710,294,False,0.0,710,294,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,710,294,0,914,0,20475,8,,,,,0.0,4.1893819021800205,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.39310598373413,0,2.5576395988464355
4,50.411,3.6007857142857143,1,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,0.0,3.0,0.0,1.0,0.0,3.0,0.0,131,0.0,0.0,0.0,6,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,0,0,-4,4,132.4,206,32,,,0,4,0.0,0.0,0,Pierre-Emerick,0.0,,3.1,3.1815714285714285,,14.0,28,,,,,,,,,,,,,,,,,,,,,5.567423343658447,,2.9538068771362305,2.9538068771362305,3.0365312099456787,2.674980640411377,2.5426173210144043,2.706345796585083,3.423468828201294,3.5590264797210693,,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,92.9,105,24,False,217.6,246,31,1036,Left club by mutual consent,2022-02-02T08:21:28.428217Z,96,0,2,,0,,54694.jpg,3.1,0,0,Aubameyang,1.3,False,,u,1,3,Arsenal,582.0,39,17,44,742898,0,894360,980,0.37508184523809524,,,1.1621485920575125,0.0,3.423177128036817,4.6,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,5.8,6.6,0.4714285714285714,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,22.24,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.5999999999999996,0.5,0.2999999999999998,,,,,0.0,,,,,,,,,,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,,,3.2,2.6000000000000014,2.8000000000000007,3.3999999999999986,4.0,2.2,,,,,1.0,,,,,,,,,,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,32.86250042915344,3,3.444493055343628
5,18.451527567920287,2.306440945990036,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,96,100.0,100.0,8.651527567920288,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-3,3,112.2,227,60,,,0,2,5.0,3.5,0,Cédric,2.5,2.944857700947673,2.555886160758139,2.555886160758139,2.944857700947673,8.0,28,,,,,,,,,,,,,,,,,,,,,4.943545341491699,,2.8991589546203613,2.8991589546203613,2.9818830490112305,2.7221968173980717,2.626760244369507,2.5985705852508545,3.233624219894409,3.061306953430176,,,,,,,12,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,25.2,342,117,False,105.6,349,135,559,,2022-01-13T23:00:13.573747Z,42,0,0,,0,,58822.jpg,1.5,0,0,Soares,0.2,False,,a,1,3,Arsenal,33.0,353,123,12,21296,2554,28532,643,0.5491526061881038,0.7011565954637317,0.7011565954637317,1.12542794372158,0.6,7.367806661696661,2.9,Cédric,0.4,1.2000000000000002,,,,,,,,,,0.0,,0.1,,,,,0.0,,0.1999999999999999,0.0,0.1,0.0,0.0,,,,,,0.1,0.5,0.0625,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.6000000000000001,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.1,0.0,0.0,0.0,0.0,,,,,,1.286387855766424,,,,,,,,,,1.0,,1.5200928802256288,,,,,3.626278638962399,,5.395246544376102,1.4715177646857691,1.286387855766424,-0.9105169125753376,1.0,,,,,,30.944787979125977,2,2.978582859039306
6,71.00800000000001,3.5504000000000007,8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,,0.0,1.0,,1.0,1.0,2.0,0.0,,,,0.0,0.0,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,238,100.0,100.0,0.0,8,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,0,0,-2,2,337.7,75,10,,,1,4,11.6,6.8,8,Alexandre,5.8,4.475142857142857,4.272333333333333,3.609882352941176,4.11375,20.0,28,,,,,,,,,,,,,,,,,,,,,7.478904724121094,,3.88662338256836,3.844738245010376,3.844738245010376,3.8013203144073486,3.662119865417481,3.6467173099517822,4.644355773925781,4.512573719024658,,,,,,,9,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,127.5,43,12,False,326.8,153,17,1280,,2021-08-13T14:30:14.582063Z,83,0,1,2.0,0,,59966.jpg,3.5,0,0,Lacazette,6.1,False,,a,1,3,Arsenal,611.0,33,14,71,1313921,104948,1003561,13007,0.42775903614457833,0.5391738382099828,0.4956325301204818,1.2323618307655066,0.7,5.27745252632233,8.6,Lacazette,1.6,4.800000000000001,,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,0.0,0.3,0.0999999999999999,0.0,,,0.0999999999999999,,0.1999999999999999,0.0,,0.0,0.1999999999999999,0.2000000000000001,0.0,,,,0.0,0.2,0.0,6.5,8.1,0.40499999999999997,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,25.04,,0.0,0.1999999999999999,0.0,0.1,0.0,0.0,0.3,1.1999999999999995,0.8000000000000003,0.9999999999999996,,,0.0,,0.3000000000000007,0.7999999999999998,,0.2000000000000001,0.7999999999999998,0.2999999999999998,0.0,,,,0.0,0.5,0.0,5.342,,1.0,3.1,2.6,1.4000000000000004,1.0,2.0,4.2,6.470999999999999,6.271000000000001,8.770999999999997,,,2.3,,3.8000000000000025,5.970999999999999,,3.5710000000000006,1.5709999999999993,5.342,1.0,,,,1.0,3.6,2.0,43.80285596847534,0,4.480764389038086
7,29.856043310965127,2.1325745222117947,1,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,148,100.0,100.0,3.785043310965126,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,224.9,139,87,4.0,,0,3,4.0,3.0,2,Granit,2.0,1.928545329679732,2.3652413261527925,2.3652413261527925,2.0674644252369188,14.0,28,,,,,,,,,,,,,,,,,,,,,4.666319847106934,,2.52345609664917,2.52345609664917,2.540690898895264,2.536456823348999,2.499025344848633,2.448319911956787,2.54089879989624,2.5685667991638184,,,,,,,19,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,53.8,235,110,False,182.0,271,112,1185,,2022-01-10T00:00:11.840953Z,48,0,0,,0,,84450.jpg,1.9,1,0,Xhaka,0.3,False,,a,1,3,Arsenal,131.0,217,115,26,28437,552,87714,317,0.4442863587941239,0.40178027701661084,0.4307217552576914,0.9733826428135016,0.4,5.708025495211284,5.4,Xhaka,1.1,3.3000000000000003,0.1,,,,,,0.0,0.0,0.0,0.5,0.0999999999999999,0.0,,0.0,,,0.0,,0.1,0.1999999999999999,0.1,0.0,,,0.0,,,,0.6,1.7000000000000002,0.12142857142857144,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,3.0,0.1,,,,,,0.0,0.0,0.3,0.0999999999999999,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0999999999999999,0.0,,,0.0,,,,3.046596963941606,3.0725317930340124,,,,,,1.3678794411714423,2.5488116360940256,4.17032004603564,3.99413016014843,2.11873075307798,2.055023220056407,,1.1826835240527347,,,1.4065696597405997,,2.848811636094026,0.9678794411714422,3.046596963941606,-2.0,,,2.3328710836980795,,,,27.39852237701416,5,2.551331758499145
8,5.262881891980071,2.631440945990036,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,35,0.0,0.0,2.162881891980072,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,409,151,,,0,2,0.0,0.0,0,Pablo,0.0,,,,,2.0,28,,,,,,,,,,,,,,,,,,,,,5.00273323059082,,2.909296751022339,2.909296751022339,2.992020845413208,2.416426181793213,2.2561638355255127,2.416426181793213,3.808637142181397,3.3371059894561768,,,,,,,4,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7.9,426,154,False,55.4,393,151,180,Joined Udinese on loan until the end of the season - Expected back 01 Jul,2022-01-20T22:30:17.110379Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,u,1,3,Arsenal,11.0,397,149,1,5760,0,14857,50,0.6265335585690562,,,1.2840117055757168,0.0,7.432168551853724,0.2,Marí,0.1,0.3,0.0,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3.89012717213605,,,,,,,,,,,0.5200928802256288,,,,,,,,,,,,,,,,,31.215107917785645,1,3.1670010089874268
9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,676,240,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,28,,,,,,,,,,,,,,,,,,,,,4.539356231689453,,2.8171186447143555,2.8171186447143555,2.840202808380127,2.528827428817749,2.337599277496338,2.4720468521118164,3.537059545516968,3.112654685974121,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,677,240,False,0.0,677,240,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,665,239,0,3737,0,70551,31,,,,,0.0,6.256648898124694,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.03191471099853,0,3.029930591583252
11,2.162881891980072,1.081440945990036,0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,6,0.0,0.0,2.162881891980072,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111457,,,0,0,-3,3,0.2,474,177,,,0,2,0.0,0.0,0,Sead,0.0,,,1.0,,2.0,28,,,,,,,,,,,,,,,,,,,,,3.3112359046936035,,2.1167266368865967,2.1167266368865967,2.199450731277466,1.779043197631836,1.6864413022994995,1.7222625017166138,2.76213812828064,2.349869966506958,,,,,,,5,0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.4,494,178,False,4.2,477,178,91,Contract ended by mutual consent,2022-01-13T23:00:13.612208Z,42,0,0,,0,,111457.jpg,0.0,0,0,Kolasinac,0.1,False,,u,1,3,Arsenal,0.0,529,218,0,3727,0,11518,25,0.25748593952143717,,,0.5276891490406035,0.0,5.312152590070451,0.0,Kolasinac,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,-0.9105169125753376,,,,,,,22.3110408782959,1,2.267145872116089
