id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week19,assists_week2,assists_week20,assists_week21,assists_week22,assists_week23,assists_week24,assists_week25,assists_week26,assists_week27,assists_week28,assists_week29,assists_week3,assists_week30,assists_week31,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week15,bonus_week16,bonus_week17,bonus_week18,bonus_week19,bonus_week2,bonus_week20,bonus_week21,bonus_week22,bonus_week23,bonus_week24,bonus_week25,bonus_week26,bonus_week27,bonus_week28,bonus_week29,bonus_week3,bonus_week30,bonus_week31,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week19,cleansheet_week2,cleansheet_week20,cleansheet_week21,cleansheet_week22,cleansheet_week23,cleansheet_week24,cleansheet_week25,cleansheet_week26,cleansheet_week27,cleansheet_week28,cleansheet_week29,cleansheet_week3,cleansheet_week30,cleansheet_week31,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 24 prediction,gameweek 25 prediction,gameweek 26 prediction,gameweek 27 prediction,gameweek 28 prediction,gameweek 29 prediction,gameweek 3 prediction,gameweek 30 prediction,gameweek 31 prediction,gameweek 32 prediction,gameweek 33 prediction,gameweek 34 prediction,gameweek 35 prediction,gameweek 36 prediction,gameweek 37 prediction,gameweek 38 prediction,gameweek 39 prediction,gameweek 4 prediction,gameweek 40 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week19,goals_week2,goals_week20,goals_week21,goals_week22,goals_week23,goals_week24,goals_week25,goals_week26,goals_week27,goals_week28,goals_week29,goals_week3,goals_week30,goals_week31,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week19,xA_week2,xA_week20,xA_week21,xA_week22,xA_week23,xA_week24,xA_week25,xA_week26,xA_week27,xA_week28,xA_week29,xA_week3,xA_week30,xA_week31,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week19,xGA_week2,xGA_week20,xGA_week21,xGA_week22,xGA_week23,xGA_week24,xGA_week25,xGA_week26,xGA_week27,xGA_week28,xGA_week29,xGA_week3,xGA_week30,xGA_week31,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week19,xG_week2,xG_week20,xG_week21,xG_week22,xG_week23,xG_week24,xG_week25,xG_week26,xG_week27,xG_week28,xG_week29,xG_week3,xG_week30,xG_week31,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 19,xPoints week 2,xPoints week 20,xPoints week 21,xPoints week 22,xPoints week 23,xPoints week 24,xPoints week 25,xPoints week 26,xPoints week 27,xPoints week 28,xPoints week 29,xPoints week 3,xPoints week 30,xPoints week 31,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 41 prediction
1,10.655763728847486,2.6639409322118714,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,69,100.0,100.0,4.655763728847485,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-5,5,0.0,603,69,,,1,1,2.0,2.0,0,Bernd,1.5,4.681280184142542,4.681280184142542,4.681280184142542,4.681280184142542,4.0,31,,,,,,,,,,,,,,,,,,,,,,,,,4.055685520172119,7.561532974243164,3.680222749710083,3.786287546157837,7.699088096618652,4.266116142272949,4.055685520172119,0.0,,0.0,,,,,,9,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,8.5,430,30,False,85.0,373,29,360,,2022-02-11T08:00:15.144286Z,45,0,0,,0,,80201.jpg,2.5,0,10,Leno,0.9,False,,a,1,3,Arsenal,0.0,585,60,10,79447,1342,195516,3696,0.5919868738248604,1.0402844853650093,1.0402844853650093,1.2557937985649514,0.3,7.801026344299316,2.2,Leno,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,2.09012717213605,,,,,,,,,,,2.220092880225629,,,,,,,,,,,1.0894830874246624,4.681280184142542,,,,,,,,35.104618549346924,0,0.0
2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,514,32,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,3.2967026233673096,5.9285569190979,2.958416223526001,3.1602723598480225,6.119011878967285,3.70404863357544,3.2967026233673096,0.0,,0.0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,534,54,False,0.0,530,54,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.5,False,,u,1,3,Arsenal,0.0,479,19,0,19017,0,79667,130,,,,,0.0,7.115927815437317,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.463711261749268,0,0.0
3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,716,298,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,2.336735725402832,4.4988861083984375,2.2435836791992188,2.3484487533569336,4.696223258972168,2.654848337173462,2.336735725402832,0.0,,0.0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,716,298,False,0.0,716,298,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,716,298,0,914,0,20497,4,,,,,0.0,3.3516605695088706,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.115461587905884,0,0.0
4,50.411,3.6007857142857143,1,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,3.0,0.0,1.0,0.0,3.0,0.0,131,0.0,0.0,0.0,6,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,0,0,-4,4,132.4,218,32,,,0,4,0.0,0.0,0,Pierre-Emerick,0.0,,,3.1,,14.0,31,,,,,,,,,,,,,,,,,,,,,,,,,2.9538068771362305,5.168448448181152,2.6166365146636963,2.706345796585083,5.581922054290772,3.586074113845825,2.9887237548828125,0.0,,0.0,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,1.0,0.0,1.0,0.0,1.0,1.0,92.9,128,26,False,217.6,263,33,1036,Left club by mutual consent,2022-02-02T08:21:28.428217Z,96,0,2,,0,,54694.jpg,3.1,0,0,Aubameyang,1.3,False,,u,1,3,Arsenal,582.0,45,18,44,742898,0,897062,387,0.37508184523809524,,,1.1621485920575125,0.0,2.666870579123497,4.6,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,5.8,6.6,0.4714285714285714,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,22.24,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.5999999999999996,0.5,0.2999999999999998,,,,,0.0,,,,,,,,,,,0.0,,,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,,,3.2,2.6000000000000014,2.8000000000000007,3.3999999999999986,4.0,2.2,,,,,1.0,,,,,,,,,,,1.0,,,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,25.60195755958557,3,0.0
5,29.667291186542453,2.472274265545205,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,173,100.0,100.0,13.967291186542454,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,2.0,,0,0,-3,3,147.6,202,52,,,0,2,3.7,3.7,1,Cédric,3.2,3.214254484957741,2.937472674338024,2.937472674338024,2.6956512422731373,12.0,31,,,,,,,,,,,,,,,,,,,,,,,,,3.115302324295044,5.361676216125488,2.8186230659484863,2.92468786239624,5.642043113708496,3.4277360439300537,3.1980481147766118,0.0,,0.0,,,,,,16,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,36.5,303,102,False,160.4,306,117,894,,2022-01-13T23:00:13.573747Z,42,0,0,,0,,58822.jpg,2.1,0,0,Soares,0.4,False,,a,1,3,Arsenal,56.0,324,108,25,39269,5951,31968,818,0.5886367298917154,0.7652986868947003,0.6418217243507469,1.2063463180471734,0.8,6.306694462185814,6.0,Cédric,0.5,1.5,,,,,,,,,,0.0,,0.1,,,,,0.0,,0.1999999999999999,0.0,0.1,0.0,0.0,0.0999999999999999,0.0,0.0,,,,,,0.2,0.7,0.05833333333333333,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.2000000000000002,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,,,,,1.8075860719786263,,,,,,,,,,1.0,,1.5200928802256288,,,,,3.626278638962399,,5.395246544376102,1.4715177646857691,1.286387855766424,4.931484334792326,-0.9105169125753376,3.9812801841425416,1.8075860719786263,1.0,,,,,,26.48811674118042,3,0.0
6,85.02799999999999,3.542833333333333,8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,,0.0,1.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,285,100.0,100.0,0.0,10,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,0,0,-1,1,372.0,74,9,5.0,,1,4,3.5,3.5,2,Alexandre,3.0,4.344375,4.880666666666666,4.103999999999999,4.2826,24.0,31,,,,,,,,,,,,,,,,,,,,,,,,,3.927769422531128,7.188118934631348,3.777721405029297,3.7315969467163086,7.922680854797363,4.730066299438477,4.200521945953369,0.0,,0.0,,,,,,14,4,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,146.0,41,10,False,372.0,137,15,1613,,2021-08-13T14:30:14.582063Z,84,0,1,2.0,0,,59966.jpg,3.5,0,0,Lacazette,8.5,False,,a,1,3,Arsenal,720.0,25,11,83,1679591,30980,1143258,34446,0.4217658730158729,0.5171875,0.5098333333333334,1.2223936329117018,0.4,4.223628072511582,9.9,Lacazette,1.9,5.699999999999999,,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,0.0,0.3,0.0999999999999999,0.0,,,0.0999999999999999,,0.1999999999999999,0.0,,0.0,0.1999999999999999,0.2000000000000001,0.2999999999999998,0.0,0.0,0.0,,,,0.0,0.2,0.0,7.9,9.8,0.4083333333333334,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,30.16,,0.0,0.1999999999999999,0.0,0.1,0.0,0.0,0.3,1.1999999999999995,0.8000000000000003,0.9999999999999996,,,0.0,,0.3000000000000007,0.7999999999999998,,0.2000000000000001,0.7999999999999998,0.2999999999999998,1.0999999999999996,0.0,0.0,0.3000000000000007,,,,0.0,0.5,0.0,3.200000000000003,,1.0,3.1,2.6,1.4000000000000004,1.0,2.0,4.2,6.470999999999999,6.271000000000001,8.770999999999997,,,2.3,,3.8000000000000025,5.970999999999999,,3.5710000000000006,1.5709999999999993,5.342,9.299999999999995,1.0,2.0,3.200000000000003,,,,1.0,3.6,2.0,35.47847580909729,0,0.0
7,39.808734194953416,2.2115963441640787,1,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,199,100.0,100.0,5.23773419495342,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,313.8,101,68,4.0,,0,3,2.5,2.5,1,Granit,2.0,2.56784933552515,2.676437257453712,2.565961608404331,2.743912810568285,18.0,31,,,,,,,,,,,,,,,,,,,,,,,,,2.627139091491699,5.12553596496582,2.719172954559326,2.7672324180603027,5.248974323272705,2.7628989219665527,2.7098846435546875,0.0,,0.0,,,,,,24,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,71.3,191,97,False,224.4,259,104,1545,,2022-01-10T00:00:11.840953Z,48,0,0,,0,,84450.jpg,1.9,1,0,Xhaka,0.3,False,,a,1,3,Arsenal,175.0,195,107,34,30443,345,88929,293,0.4607492383675164,0.5349686115677397,0.571648502201726,1.009451004828854,0.4,4.9918413162231445,7.1,Xhaka,1.6,4.800000000000001,0.1,,,,,,0.0,0.0,0.0,0.5,0.0999999999999999,0.0,,0.0,,,0.0,,0.1,0.1999999999999999,0.1,0.3999999999999999,0.0,0.1,0.0,,,0.0,,,,0.8,2.4000000000000004,0.13333333333333336,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,4.0,0.1,,,,,,0.0,0.0,0.3,0.0999999999999999,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,,,0.0,,,,1.2018965179946566,3.0725317930340124,,,,,,1.3678794411714423,2.5488116360940256,4.17032004603564,3.99413016014843,2.11873075307798,2.055023220056407,,1.1826835240527347,,,1.4065696597405997,,2.848811636094026,0.9678794411714422,3.046596963941606,6.5328710836980814,-2.0,1.970320046035636,1.2018965179946566,,,2.3328710836980795,,,,23.960838317871094,7,0.0
8,5.427881864423742,2.713940932211871,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,35,0.0,0.0,2.3278818644237425,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,417,155,,,0,2,0.0,0.0,0,Pablo,0.0,,,,,2.0,31,,,,,,,,,,,,,,,,,,,,,,,,,2.909296751022339,4.819145202636719,2.395026922225952,2.4812700748443604,5.708080768585205,3.4584662914276123,2.909296751022339,0.0,,0.0,,,,,,4,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,7.9,432,156,False,55.4,400,155,180,Joined Udinese on loan until the end of the season - Expected back 01 Jul,2022-01-20T22:30:17.110379Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,u,1,3,Arsenal,11.0,402,151,1,5760,0,14977,25,0.6461764124313978,,,1.3242675768617873,0.0,5.876329228991554,0.2,Marí,0.1,0.3,0.0,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,3.89012717213605,,,,,,,,,,,0.5200928802256288,,,,,,,,,,,,,,,,,,,,24.680582761764526,1,0.0
9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,683,241,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,2.7574784755706787,4.67670202255249,2.3773727416992188,2.57922887802124,5.0309672355651855,3.252264976501465,2.7574784755706787,0.0,,0.0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,684,241,False,0.0,684,241,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,672,240,0,3737,0,70644,17,,,,,0.0,4.881561001141867,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.43149280548096,0,0.0
11,2.3278818644237425,1.1639409322118712,0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,6,0.0,0.0,2.3278818644237425,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111457,,,0,0,-3,3,0.2,477,178,,,0,2,0.0,0.0,0,Sead,0.0,,,,,2.0,31,,,,,,,,,,,,,,,,,,,,,,,,,2.1167266368865967,3.461843967437744,1.7262146472930908,1.8294447660446167,3.7536120414733887,2.4894800186157227,2.1167266368865967,0.0,,0.0,,,,,,5,0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.4,500,180,False,4.2,484,180,91,Contract ended by mutual consent,2022-01-13T23:00:13.612208Z,42,0,0,,0,,111457.jpg,0.0,0,0,Kolasinac,0.1,False,,u,1,3,Arsenal,0.0,535,221,0,3727,0,11582,12,0.2771287933837788,,,0.5679450203266744,0.0,4.16524969396137,0.0,Kolasinac,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,-0.9105169125753376,,,,,,,,,17.494048714637756,1,0.0
