id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week19,assists_week2,assists_week20,assists_week21,assists_week22,assists_week23,assists_week24,assists_week25,assists_week26,assists_week27,assists_week28,assists_week29,assists_week3,assists_week30,assists_week31,assists_week32,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week15,bonus_week16,bonus_week17,bonus_week18,bonus_week19,bonus_week2,bonus_week20,bonus_week21,bonus_week22,bonus_week23,bonus_week24,bonus_week25,bonus_week26,bonus_week27,bonus_week28,bonus_week29,bonus_week3,bonus_week30,bonus_week31,bonus_week32,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week19,cleansheet_week2,cleansheet_week20,cleansheet_week21,cleansheet_week22,cleansheet_week23,cleansheet_week24,cleansheet_week25,cleansheet_week26,cleansheet_week27,cleansheet_week28,cleansheet_week29,cleansheet_week3,cleansheet_week30,cleansheet_week31,cleansheet_week32,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 24 prediction,gameweek 25 prediction,gameweek 26 prediction,gameweek 27 prediction,gameweek 28 prediction,gameweek 29 prediction,gameweek 3 prediction,gameweek 30 prediction,gameweek 31 prediction,gameweek 32 prediction,gameweek 33 prediction,gameweek 34 prediction,gameweek 35 prediction,gameweek 36 prediction,gameweek 37 prediction,gameweek 38 prediction,gameweek 39 prediction,gameweek 4 prediction,gameweek 40 prediction,gameweek 41 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week19,goals_week2,goals_week20,goals_week21,goals_week22,goals_week23,goals_week24,goals_week25,goals_week26,goals_week27,goals_week28,goals_week29,goals_week3,goals_week30,goals_week31,goals_week32,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week19,xA_week2,xA_week20,xA_week21,xA_week22,xA_week23,xA_week24,xA_week25,xA_week26,xA_week27,xA_week28,xA_week29,xA_week3,xA_week30,xA_week31,xA_week32,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week19,xGA_week2,xGA_week20,xGA_week21,xGA_week22,xGA_week23,xGA_week24,xGA_week25,xGA_week26,xGA_week27,xGA_week28,xGA_week29,xGA_week3,xGA_week30,xGA_week31,xGA_week32,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week19,xG_week2,xG_week20,xG_week21,xG_week22,xG_week23,xG_week24,xG_week25,xG_week26,xG_week27,xG_week28,xG_week29,xG_week3,xG_week30,xG_week31,xG_week32,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 19,xPoints week 2,xPoints week 20,xPoints week 21,xPoints week 22,xPoints week 23,xPoints week 24,xPoints week 25,xPoints week 26,xPoints week 27,xPoints week 28,xPoints week 29,xPoints week 3,xPoints week 30,xPoints week 31,xPoints week 32,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 42 prediction
1,10.755279092973051,2.688819773243263,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,69,100.0,100.0,4.755279092973052,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-5,5,0.0,606,69,,,1,1,3.5,2.0,0,Bernd,1.5,4.681280184142542,4.681280184142542,4.681280184142542,4.681280184142542,4.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,7.602583885192871,3.680222749710083,3.786287546157837,7.699088096618652,4.192325115203857,4.102517127990723,0.0,,0.0,0.0,,,,,,9,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,8.5,433,30,False,85.0,377,29,360,,2022-02-11T08:00:15.144286Z,45,0,0,,0,,80201.jpg,2.5,0,10,Leno,0.9,False,,a,1,3,Arsenal,0.0,588,60,10,79746,226,199265,2544,0.5975155051651695,1.0402844853650093,1.0402844853650093,1.2675217966991907,0.3,6.902894337972005,2.2,Leno,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6000000000000014,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,2.09012717213605,,,,,,,,,,,2.220092880225629,,,,,,,,,,,1.0894830874246624,4.681280184142542,,,,,,,,,31.063024520874023,0,0.0
2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,518,33,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,6.009506702423096,2.958416223526001,3.1602723598480225,6.119011878967285,3.5678656101226807,3.343534469604492,0.0,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,537,54,False,0.0,533,54,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.5,False,,u,1,3,Arsenal,0.0,483,19,0,19017,0,79879,179,,,,,0.0,6.289651811122894,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.158607244491577,0,0.0
3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,718,299,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,4.513158798217773,2.2435836791992188,2.3484487533569336,4.762900352478027,2.578301429748535,2.353970766067505,0.0,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,718,299,False,0.0,718,299,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,718,299,0,914,0,20505,8,,,,,0.0,2.98418472683619,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.800363779067997,0,0.0
4,50.411,3.6007857142857143,1,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,3.0,0.0,1.0,0.0,3.0,0.0,131,0.0,0.0,0.0,6,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,0,0,-4,4,132.4,221,33,,,0,4,0.0,0.0,0,Pierre-Emerick,0.0,,,3.2,,14.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,5.293625831604004,2.6166365146636963,2.706345796585083,5.70970630645752,3.277185201644897,3.0714480876922607,0.0,,0.0,0.0,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,1.0,0.0,1.0,0.0,1.0,1.0,92.9,133,26,False,217.6,264,33,1036,Left club by mutual consent,2022-02-02T08:21:28.428217Z,96,0,2,,0,,54694.jpg,3.1,0,0,Aubameyang,1.3,False,,u,1,3,Arsenal,582.0,46,19,44,742898,0,897547,439,0.37508184523809524,,,1.1621485920575125,0.0,2.3619737227757773,4.6,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,5.8,6.6,0.4714285714285714,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6000000000000014,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,22.24,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.5999999999999996,0.5,0.2999999999999998,,,,,0.0,,,,,,,,,,,0.0,,,,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,,,3.2,2.6000000000000014,2.8000000000000007,3.3999999999999986,4.0,2.2,,,,,1.0,,,,,,,,,,,1.0,,,,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,22.67494773864746,3,0.0
5,34.25465705216242,2.634973619397109,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,193,100.0,100.0,15.45465705216242,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,2.0,,0,0,-3,3,199.3,163,39,,,0,2,4.5,2.5,1,Cédric,2.0,3.474378492385036,3.199447548786699,3.199447548786699,3.460396998211204,13.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,5.392035007476807,2.8665902614593506,2.9726550579071045,5.586478233337402,3.303385972976685,3.246015310287476,0.0,,0.0,0.0,,,,,,18,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,44.7,279,93,False,182.2,289,108,984,,2022-01-13T23:00:13.573747Z,42,0,0,,0,,58822.jpg,2.0,0,0,Soares,0.5,False,,a,1,3,Arsenal,64.0,318,106,26,50482,7561,33841,1539,0.627374671285026,0.8272329743773895,0.8239040471931438,1.2857354736935496,0.5,5.563609486534482,6.2,Cédric,1.0,3.0,,,,,,,,,,0.0,,0.1,,,,,0.0,,0.1999999999999999,0.0,0.1,0.0,0.0,0.0999999999999999,0.0,0.5,0.0,,,,,,0.3,1.3,0.1,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6000000000000014,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0999999999999999,0.0,,,,,,5.295246544376102,,,,,,,,,,1.0,,1.5200928802256288,,,,,3.626278638962399,,5.395246544376102,1.4715177646857691,1.286387855766424,4.931484334792326,-0.9105169125753376,3.9812801841425416,1.8075860719786263,5.295246544376102,1.0,,,,,,23.367159843444824,3,0.0
6,86.628,3.46512,8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,,0.0,1.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,290,100.0,100.0,0.0,10,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,0,0,-1,1,384.1,74,9,5.0,,1,4,4.5,2.5,2,Alexandre,2.0,4.039444444444445,4.47475,4.045176470588235,4.288399999999999,25.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,7.046408653259277,3.6309077739715576,3.680730581283569,7.526378631591797,4.254779815673828,4.067927837371826,0.0,,0.0,0.0,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,148.1,42,11,False,376.4,150,16,1703,,2021-08-13T14:30:14.582063Z,84,0,1,2.0,0,,59966.jpg,3.4,0,0,Lacazette,8.2,False,,a,1,3,Arsenal,724.0,31,12,85,1713109,19586,1204738,45358,0.4125142857142857,0.4808862433862435,0.5105238095238094,1.1955799854941893,0.2,3.5960872968037916,10.1,Lacazette,1.9,5.699999999999999,,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,0.0,0.3,0.0999999999999999,0.0,,,0.0999999999999999,,0.1999999999999999,0.0,,0.0,0.1999999999999999,0.2000000000000001,0.2999999999999998,0.0,0.0,0.0,0.0,,,,0.0,0.2,0.0,7.8,9.7,0.38799999999999996,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6000000000000014,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,29.76,,0.0,0.1999999999999999,0.0,0.1,0.0,0.0,0.3,1.1999999999999995,0.8000000000000003,0.9999999999999996,,,0.0,,0.3000000000000007,0.7999999999999998,,0.2000000000000001,0.7999999999999998,0.2999999999999998,1.0999999999999996,0.0,0.0,0.3000000000000007,-0.1000000000000005,,,,0.0,0.5,0.0,1.599999999999998,,1.0,3.1,2.6,1.4000000000000004,1.0,2.0,4.2,6.470999999999999,6.271000000000001,8.770999999999997,,,2.3,,3.8000000000000025,5.970999999999999,,3.5710000000000006,1.5709999999999993,5.342,9.299999999999995,1.0,2.0,3.200000000000003,1.599999999999998,,,,1.0,3.6,2.0,30.207133293151852,0,0.0
7,45.4888939229055,2.3941523117318684,2,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,2,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,,,,222,100.0,100.0,5.646893922905499,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,330.6,98,66,4.0,,0,3,6.5,3.5,7,Granit,3.0,2.97434462309626,2.826391038368111,2.798379467525024,3.714299249552801,19.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,5.273065090179443,2.804901361465454,2.8529608249664307,5.362127780914307,3.0606369972229004,3.0032663345336914,0.0,,0.0,0.0,,,,,,26,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,76.2,186,99,False,248.2,239,95,1635,,2022-01-10T00:00:11.840953Z,48,0,0,,0,,84450.jpg,2.2,1,0,Xhaka,0.3,False,,a,1,3,Arsenal,183.0,194,106,41,32379,1821,89323,301,0.4987817316108059,0.6196551298117208,0.7738123436568336,1.0927760226989038,0.6,4.657699664433798,8.5,Xhaka,1.6,4.800000000000001,0.1,,,,,,0.0,0.0,0.0,0.5,0.0999999999999999,0.0,,0.0,,,0.0,,0.1,0.1999999999999999,0.1,0.3999999999999999,0.0,0.1,0.0,0.0,,,0.0,,,,0.9,2.5,0.13157894736842105,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6000000000000014,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,4.5,0.1,,,,,,0.0,0.0,0.3,0.0999999999999999,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,0.0999999999999999,,,0.0,,,,5.819811636094026,3.0725317930340124,,,,,,1.3678794411714423,2.5488116360940256,4.17032004603564,3.99413016014843,2.11873075307798,2.055023220056407,,1.1826835240527347,,,1.4065696597405997,,2.848811636094026,0.9678794411714422,3.046596963941606,6.5328710836980814,-2.0,1.970320046035636,1.2018965179946566,5.819811636094026,,,2.3328710836980795,,,,22.356958389282227,7,0.0
8,5.477639546486526,2.738819773243263,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,35,0.0,0.0,2.377639546486526,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,418,155,,,0,2,0.0,0.0,0,Pablo,0.0,,,,,2.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,5.064091682434082,2.395026922225952,2.4812700748443604,5.377419948577881,3.297295093536377,2.992020845413208,0.0,,0.0,0.0,,,,,,4,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,7.9,435,156,False,55.4,402,156,180,Joined Udinese on loan until the end of the season - Expected back 01 Jul,2022-01-20T22:30:17.110379Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,u,1,3,Arsenal,11.0,405,153,1,5760,0,14998,15,0.6520999460103007,,,1.3364072082504928,0.0,5.144553468340919,0.2,Marí,0.1,0.3,0.0,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6000000000000014,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,3.89012717213605,,,,,,,,,,,0.5200928802256288,,,,,,,,,,,,,,,,,,,,,21.60712456703186,1,0.0
9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,685,242,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,4.742522239685059,2.3773727416992188,2.57922887802124,5.097644805908203,3.116081714630127,2.840202808380127,0.0,,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,686,242,False,0.0,686,242,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,673,241,0,3737,0,70673,24,,,,,0.0,4.323552747567494,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75305318832397,0,0.0
11,2.377639546486526,1.188819773243263,0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,6,0.0,0.0,2.377639546486526,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111457,,,0,0,-3,3,0.2,481,178,,,0,2,0.0,0.0,0,Sead,0.0,,,,,2.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,3.5276641845703125,1.7262146472930908,1.8294447660446167,3.8202896118164062,2.415689468383789,2.199450731277466,0.0,,0.0,0.0,,,,,,5,0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.4,503,180,False,4.2,486,180,91,Contract ended by mutual consent,2022-01-13T23:00:13.612208Z,42,0,0,,0,,111457.jpg,0.0,0,0,Kolasinac,0.1,False,,u,1,3,Arsenal,0.0,540,222,0,3727,0,11603,19,0.2830523269626817,,,0.5800846517153796,0.0,3.694941287948971,0.0,Kolasinac,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6000000000000014,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,-0.9105169125753376,,,,,,,,,,15.51875340938568,1,0.0
