id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week19,assists_week2,assists_week20,assists_week21,assists_week22,assists_week23,assists_week24,assists_week25,assists_week26,assists_week27,assists_week28,assists_week29,assists_week3,assists_week30,assists_week31,assists_week32,assists_week33,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week15,bonus_week16,bonus_week17,bonus_week18,bonus_week19,bonus_week2,bonus_week20,bonus_week21,bonus_week22,bonus_week23,bonus_week24,bonus_week25,bonus_week26,bonus_week27,bonus_week28,bonus_week29,bonus_week3,bonus_week30,bonus_week31,bonus_week32,bonus_week33,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week19,cleansheet_week2,cleansheet_week20,cleansheet_week21,cleansheet_week22,cleansheet_week23,cleansheet_week24,cleansheet_week25,cleansheet_week26,cleansheet_week27,cleansheet_week28,cleansheet_week29,cleansheet_week3,cleansheet_week30,cleansheet_week31,cleansheet_week32,cleansheet_week33,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 24 prediction,gameweek 25 prediction,gameweek 26 prediction,gameweek 27 prediction,gameweek 28 prediction,gameweek 29 prediction,gameweek 3 prediction,gameweek 30 prediction,gameweek 31 prediction,gameweek 32 prediction,gameweek 33 prediction,gameweek 34 prediction,gameweek 35 prediction,gameweek 36 prediction,gameweek 37 prediction,gameweek 38 prediction,gameweek 39 prediction,gameweek 4 prediction,gameweek 40 prediction,gameweek 41 prediction,gameweek 42 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week19,goals_week2,goals_week20,goals_week21,goals_week22,goals_week23,goals_week24,goals_week25,goals_week26,goals_week27,goals_week28,goals_week29,goals_week3,goals_week30,goals_week31,goals_week32,goals_week33,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week19,xA_week2,xA_week20,xA_week21,xA_week22,xA_week23,xA_week24,xA_week25,xA_week26,xA_week27,xA_week28,xA_week29,xA_week3,xA_week30,xA_week31,xA_week32,xA_week33,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week19,xGA_week2,xGA_week20,xGA_week21,xGA_week22,xGA_week23,xGA_week24,xGA_week25,xGA_week26,xGA_week27,xGA_week28,xGA_week29,xGA_week3,xGA_week30,xGA_week31,xGA_week32,xGA_week33,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week19,xG_week2,xG_week20,xG_week21,xG_week22,xG_week23,xG_week24,xG_week25,xG_week26,xG_week27,xG_week28,xG_week29,xG_week3,xG_week30,xG_week31,xG_week32,xG_week33,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 19,xPoints week 2,xPoints week 20,xPoints week 21,xPoints week 22,xPoints week 23,xPoints week 24,xPoints week 25,xPoints week 26,xPoints week 27,xPoints week 28,xPoints week 29,xPoints week 3,xPoints week 30,xPoints week 31,xPoints week 32,xPoints week 33,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 43 prediction
1,10.9103180822304,2.7275795205576,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,69,100.0,100.0,4.9103180822304,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-5,5,0.0,608,69,,,1,1,0.0,0.5,0,Bernd,0.0,4.681280184142542,4.681280184142542,4.681280184142542,4.681280184142542,4.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,3.724317789077759,3.8303825855255127,7.8439788818359375,4.202981472015381,4.146612644195557,0.0,,0.0,0.0,0.0,,,,,,9,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,8.5,434,30,False,85.0,383,29,360,,2022-02-11T08:00:15.144286Z,45,0,0,,0,,80201.jpg,2.5,0,10,Leno,0.9,False,,a,1,3,Arsenal,0.0,590,60,10,80016,148,201303,944,0.6061287823461333,1.0402844853650093,1.0402844853650093,1.2857933168078874,0.0,5.277394082811143,2.2,Leno,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6000000000000014,1.3999999999999986,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2.09012717213605,,,,,,,,,,,2.220092880225629,,,,,,,,,,,1.0894830874246624,4.681280184142542,,,,,,,,,,23.748273372650143,0,0.0
2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,519,33,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9988245964050293,3.200680732727051,6.256529808044434,3.499951839447021,3.3839428424835205,0.0,,0.0,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,537,54,False,0.0,533,54,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.5,False,,u,1,3,Arsenal,0.0,483,19,0,19017,0,80123,112,,,,,0.0,4.834982454776764,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.339929819107056,0,0.0
3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,722,301,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,2.283992052078247,2.388857126235962,4.900418281555176,2.510387897491455,2.358486652374268,0.0,,0.0,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,722,301,False,0.0,722,301,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,722,301,0,914,0,20512,7,,,,,0.0,2.2924034936087474,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.442142009735107,0,0.0
4,50.411,3.6007857142857143,1,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,3.0,0.0,1.0,0.0,3.0,0.0,131,0.0,0.0,0.0,6,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,0,0,-4,4,132.4,228,35,,,0,4,0.0,0.0,0,Pierre-Emerick,0.0,,,3.1,,14.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8586745262146,2.9483838081359863,6.193782329559326,3.4051170349121094,3.2775936126708984,0.0,,0.0,0.0,0.0,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,1.0,0.0,1.0,0.0,1.0,1.0,92.9,136,27,False,217.6,270,33,1036,Left club by mutual consent,2022-02-02T08:21:28.428217Z,96,0,2,,0,,54694.jpg,3.1,0,0,Aubameyang,1.3,False,,u,1,3,Arsenal,582.0,49,20,44,742898,0,898087,420,0.37508184523809524,,,1.1621485920575125,0.0,1.9462032616138458,4.6,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,5.8,6.6,0.4714285714285714,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6000000000000014,1.3999999999999986,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,22.24,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.5999999999999996,0.5,0.2999999999999998,,,,,0.0,,,,,,,,,,,0.0,,,,,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,,,3.2,2.6000000000000014,2.8000000000000007,3.3999999999999986,4.0,2.2,,,,,1.0,,,,,,,,,,,1.0,,,,,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,18.68355131149292,3,0.0
5,40.113692808364,2.674246187224267,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,212,100.0,100.0,18.413692808364,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,2.0,,0,0,-3,3,249.0,146,33,,,0,2,1.0,2.5,2,Cédric,1.0,3.520157310538524,3.520157310538524,3.268141579484672,3.980396998211205,15.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,2.963984727859497,3.070049524307251,5.837967872619629,3.3616597652435303,3.343409776687622,0.0,,0.0,0.0,0.0,,,,,,19,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,52.9,264,88,False,211.4,274,106,1058,,2022-01-13T23:00:13.573747Z,42,0,0,,0,,58822.jpg,1.9,0,0,Soares,0.5,False,,a,1,3,Arsenal,67.0,315,103,28,57764,1225,38165,3095,0.6367252826724444,0.8381326929853629,0.9477135710026678,1.3048985245972493,0.2,4.423112301599412,6.7,Cédric,1.3,3.9,,,,,,,,,,0.0,,0.1,,,,,0.0,,0.1999999999999999,0.0,0.1,0.0,0.0,0.0999999999999999,0.0,0.5,0.3,0.0,,,,,,0.3,1.6,0.10666666666666667,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6000000000000014,1.3999999999999986,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0999999999999999,0.0,0.0,,,,,,3.886387855766428,,,,,,,,,,1.0,,1.5200928802256288,,,,,3.626278638962399,,5.395246544376102,1.4715177646857691,1.286387855766424,4.931484334792326,-0.9105169125753376,3.9812801841425416,1.8075860719786263,5.295246544376102,3.886387855766428,1.0,,,,,,18.57707166671753,3,0.0
6,87.628,3.3703076923076924,8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,,0.0,1.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,291,100.0,75.0,0.0,10,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,-1,1,-2,2,384.1,77,10,5.0,,1,4,1.2,2.2,1,Alexandre,1.2,3.7283333333333335,4.0355,4.021647058823529,3.4199999999999995,26.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,3.584577798843384,3.64975905418396,7.553536415100098,4.178371429443359,4.124858856201172,0.0,,0.0,0.0,0.0,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,148.1,48,13,False,376.4,154,16,1704,,2022-04-15T13:30:18.009482Z,83,0,1,1.0,0,,59966.jpg,3.3,0,0,Lacazette,5.8,False,,a,1,3,Arsenal,724.0,33,13,86,1717099,1071,1423220,99236,0.40606116774791473,0.44919678714859435,0.41204819277108423,1.1698508781927042,0.1,2.782060669129153,10.4,Lacazette,1.9,5.699999999999999,,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,0.0,0.3,0.0999999999999999,0.0,,,0.0999999999999999,,0.1999999999999999,0.0,,0.0,0.1999999999999999,0.2000000000000001,0.2999999999999998,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.2,0.0,7.8,9.7,0.37307692307692303,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6000000000000014,1.3999999999999986,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,29.76,,0.0,0.1999999999999999,0.0,0.1,0.0,0.0,0.3,1.1999999999999995,0.8000000000000003,0.9999999999999996,,,0.0,,0.3000000000000007,0.7999999999999998,,0.2000000000000001,0.7999999999999998,0.2999999999999998,1.0999999999999996,0.0,0.0,0.3000000000000007,-0.1000000000000005,0.0,,,,0.0,0.5,0.0,1.0,,1.0,3.1,2.6,1.4000000000000004,1.0,2.0,4.2,6.470999999999999,6.271000000000001,8.770999999999997,,,2.3,,3.8000000000000025,5.970999999999999,,3.5710000000000006,1.5709999999999993,5.342,9.299999999999995,1.0,2.0,3.200000000000003,1.599999999999998,1.0,,,,1.0,3.6,2.0,23.091103553771973,0,0.0
7,51.5867924829274,2.456513927758448,2,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,2,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,,,,249,100.0,100.0,6.444792482927401,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,362.1,87,60,4.0,,0,3,3.0,6.5,4,Granit,3.0,3.2601504387457427,2.9675243841674903,2.9815939672861287,4.214299249552801,21.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9531819820404053,3.001241445541382,5.663521766662598,3.169796943664551,3.1515469551086426,0.0,,0.0,0.0,0.0,,,,,,29,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,86.5,158,86,False,278.4,228,91,1815,,2022-01-10T00:00:11.840953Z,48,0,0,,0,,84450.jpg,2.1,1,0,Xhaka,0.4,False,,a,1,3,Arsenal,224.0,172,96,45,34082,502,90064,543,0.5117737349496767,0.6791980080720298,0.8779790103235002,1.1212400758824317,0.6,3.737351894378662,9.4,Xhaka,1.7,5.1,0.1,,,,,,0.0,0.0,0.0,0.5,0.0999999999999999,0.0,,0.0,,,0.0,,0.1,0.1999999999999999,0.1,0.3999999999999999,0.0,0.1,0.0,0.0,0.0999999999999998,,,0.0,,,,1.1,2.8,0.13333333333333333,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6000000000000014,1.3999999999999986,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,5.5,0.1,,,,,,0.0,0.0,0.3,0.0999999999999999,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,0.0999999999999999,0.2,,,0.0,,,,5.546596963941607,3.0725317930340124,,,,,,1.3678794411714423,2.5488116360940256,4.17032004603564,3.99413016014843,2.11873075307798,2.055023220056407,,1.1826835240527347,,,1.4065696597405997,,2.848811636094026,0.9678794411714422,3.046596963941606,6.5328710836980814,-2.0,1.970320046035636,1.2018965179946566,5.819811636094026,5.546596963941607,,,2.3328710836980795,,,,17.939289093017578,7,0.0
8,5.5551590411152,2.7775795205576,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,35,0.0,0.0,2.4551590411152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,419,155,,,0,2,0.0,0.0,0,Pablo,0.0,,,,,2.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,2.472794532775879,2.559037685394287,5.589655876159668,3.107907295227051,3.033896207809448,0.0,,0.0,0.0,0.0,,,,,,4,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,7.9,436,157,False,55.4,406,157,180,Joined Udinese on loan until the end of the season - Expected back 01 Jul,2022-01-20T22:30:17.110379Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,u,1,3,Arsenal,11.0,407,153,1,5760,0,15026,21,0.661328457275619,,,1.3553200283662568,0.0,3.991259904134841,0.2,Marí,0.1,0.3,0.0,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6000000000000014,1.3999999999999986,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,3.89012717213605,,,,,,,,,,,0.5200928802256288,,,,,,,,,,,,,,,,,,,,,,16.763291597366333,1,0.0
9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,689,243,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,2.417781114578247,2.619637250900269,5.235162734985352,2.996619939804077,2.8447186946868896,0.0,,0.0,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,690,243,False,0.0,690,243,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,677,242,0,3737,0,70702,25,,,,,0.0,3.357066611448924,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.113919734954834,0,0.0
11,2.4551590411152,1.2275795205576,0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6,0.0,0.0,2.4551590411152,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111457,,,0,0,-3,3,0.2,482,178,,,0,2,0.0,0.0,0,Sead,0.0,,,,,2.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8039823770523071,1.9072123765945437,4.032526016235352,2.3335869312286377,2.241326093673706,0.0,,0.0,0.0,0.0,,,,,,5,0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.4,503,180,False,4.2,486,180,91,Contract ended by mutual consent,2022-01-13T23:00:13.612208Z,42,0,0,,0,,111457.jpg,0.0,0,0,Kolasinac,0.1,False,,u,1,3,Arsenal,0.0,541,223,0,3727,0,11619,12,0.29228083822799994,,,0.5989974718311435,0.0,2.9330080463772727,0.0,Kolasinac,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,1.0,1.400000000000002,1.0999999999999943,3.8,0.4000000000000057,1.5999999999999943,0.6000000000000014,1.3999999999999986,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,-0.9105169125753376,,,,,,,,,,,12.318633794784546,1,0.0
