id,adjusted points,adjusted points per game,assists,assists_week1,assists_week2,assists_week3,assists_week4,bonus,bonus_week1,bonus_week2,bonus_week3,bonus_week4,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week2,cleansheet_week3,cleansheet_week4,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 2 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week2,goals_week3,goals_week4,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week2,xA_week3,xA_week4,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week2,xGA_week3,xGA_week4,xG_points,xG_week1,xG_week2,xG_week3,xG_week4,xPoints,xPoints week 1,xPoints week 2,xPoints week 3,xPoints week 4,xPoints_next10,yellow_cards,gameweek 14 prediction
1,5.363297844049165,1.7877659480163883,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,48,,,1.3632978440491652,0,0.0,0.0,0.0,0.0,80201,,,0,0,-1,1,0.0,515,52,,,0,1,2.0,2.0,0,Bernd,1.0,,,,,3.0,4,4.527444839477539,4.2461700439453125,3.7210521697998047,4.387834548950195,,,,4.21263313293457,4.340850353240967,4.302380561828613,4.362705707550049,4.1627702713012695,9,0,0.0,0.0,0.0,,7.9,207,15,False,79.0,77,14,270,,,49,0,0,,0,,80201.jpg,1.3,0,9,Leno,1.7,False,,a,1,3,Arsenal,0.0,488,50,4,46713,3562,96960,19998,0.3648501934727323,,,0.8076303312888528,0.2,8.595356649282026,0.8,Leno,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.3,2.9000000000000004,3.8,0.6999999999999993,0.0,0.0,0.0,0.0,,,2.09012717213605,2.220092880225629,1.0894830874246624,,42.117247581481934,0,3.853405952453613
2,,,0,,,,,0,,,,,0,0.0,0.0,,0,,,,,115918,,,0,0,0,0,0.0,373,17,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,4,4.013222217559815,3.427499771118164,2.5673952102661133,3.873612642288208,,,,3.5003018379211426,3.651815176010132,3.283217668533325,3.3005077838897705,3.0839672088623047,0,0,,,,,0.0,390,35,False,0.0,382,35,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,1.1,False,,u,1,3,Arsenal,0.0,315,14,0,19017,0,38729,6366,,,,,0.0,8.369821310043335,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,33.47928524017334,0,2.777745723724365
3,,,0,,,,,0,,,,,0,0.0,0.0,,0,,,,,47431,,,0,0,-2,2,0.0,591,241,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,4,3.047291278839112,2.365640640258789,1.978489875793457,2.967317819595337,,,,2.532867431640625,2.67063307762146,2.4766695499420166,2.4194366931915283,2.3370554447174072,0,0,,,,,0.0,592,241,False,0.0,592,241,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,589,241,0,914,0,18312,892,,,,,0.0,3.957435062953404,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,24.931840896606445,0,2.136439085006714
4,12.5,4.166666666666667,0,,0.0,0.0,0.0,3,,0.0,0.0,3.0,35,100.0,100.0,0.0,1,,0.0,0.0,1.0,54694,,,0,0,-1,1,25.2,165,24,,,0,4,4.7,4.7,9,Pierre-Emerick,3.7,,,,,3.0,4,4.890377521514893,3.780818462371826,3.326529026031494,4.86498498916626,,,,4.488105297088623,4.568814754486084,3.712506771087648,3.454762935638428,3.6204042434692383,4,1,,0.0,0.0,1.0,18.7,78,18,False,40.8,191,21,177,,2021-08-13T14:30:14.477664Z,99,0,0,1.0,0,,54694.jpg,3.7,0,0,Aubameyang,2.2,False,,a,1,3,Arsenal,122.0,30,11,11,137911,31625,185659,18272,0.4208754208754209,,,1.324253596174434,0.4,4.0677712180397725,1.1,Aubameyang,0.1,0.3,,0.0,0.0,0.1,1.3,1.4,0.4666666666666667,,2.9000000000000004,3.8,0.6999999999999993,5.2,,0.0,0.0,1.3,10.5,,1.0,1.0,10.5,40.27093505859375,0,3.563631057739258
5,2.663297844049165,0.8877659480163883,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,21,,,1.3632978440491652,0,,0.0,0.0,0.0,58822,,,0,0,-1,1,36.1,121,24,5.0,,0,2,1.3,1.3,1,Cédric,0.3,,,,,3.0,4,2.8981270790100098,2.3172717094421387,1.523843765258789,2.758516788482666,,,,2.4752042293548584,2.662609815597534,2.368660449981689,2.371067762374878,2.229050636291504,7,0,,0.0,0.0,0.0,6.8,225,72,False,30.8,218,87,188,,,44,0,0,,0,,58822.jpg,0.3,0,0,Soares,0.2,False,,a,1,3,Arsenal,1.0,293,98,1,8299,744,13640,1784,0.2017649881855427,,,0.4232258097198867,0.1,5.292223502289165,0.2,Cédric,0.1,0.3,,0.1,0.0,0.0,0.0,0.1,0.0333333333333333,,2.9000000000000004,3.8,0.6999999999999993,0.0,,0.0,0.0,0.0,1.0,,1.5200928802256288,-0.9105169125753376,1.0,23.285783410072327,1,1.6814311742782593
6,1.0,1.0,0,,,0.0,,0,,,0.0,,-1,100.0,100.0,0.0,0,,,0.0,0.0,59966,,,0,0,-1,1,0.3,345,50,3.0,,0,4,1.3,1.3,0,Alexandre,0.3,,,,,1.0,4,2.399910926818848,1.8285996913909912,1.3973506689071655,2.260300636291504,,,,1.798487901687622,1.985893607139588,1.879988431930542,1.8823957443237305,1.740378737449646,1,0,,,0.0,,0.1,372,51,False,1.0,358,46,31,,2021-08-13T14:30:14.582063Z,84,0,0,2.0,0,,59966.jpg,1.0,0,0,Lacazette,1.1,False,,a,1,3,Arsenal,0.0,598,83,1,16883,2066,128381,8097,0.119047619047619,,,0.3450327796711771,0.0,2.21514554250808,0.1,Lacazette,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,3.8,0.6999999999999993,0.0,,,0.0,,,,,1.0,,18.60722255706787,0,1.4339162111282349
7,3.140824461012292,1.0469414870040972,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,20,0.0,0.0,0.3408244610122913,0,0.0,0.0,0.0,0.0,84450,,,0,0,-1,1,51.0,87,52,4.0,,0,3,0.0,0.0,0,Granit,0.0,,,,,3.0,4,2.4291417598724365,2.0700039863586426,1.6249085664749146,2.349168062210083,,,,2.1128270626068115,2.227297067642212,2.1213927268981934,2.123800039291382,2.0414187908172607,9,0,0.0,0.0,0.0,,9.3,176,84,False,33.2,214,84,214,Suspended until 26 Sep,2021-08-28T14:30:16.120624Z,49,0,0,,0,,84450.jpg,0.7,1,0,Xhaka,0.5,False,,s,1,3,Arsenal,9.0,221,118,2,14440,272,60981,5417,0.2136615279600198,,,0.4729599536937885,0.0,4.248987922863085,0.4,Xhaka,0.1,0.3,0.1,0.0,0.0,,0.1,0.2,0.0666666666666666,1.3,2.9000000000000004,3.8,0.6999999999999993,0.5,0.1,0.0,0.0,,,3.0725317930340124,2.055023220056407,-2.0,,20.82004082202912,0,1.7200827598571775
8,4.00886522936611,2.004432614683055,0,0.0,0.0,,,0,0.0,0.0,,,35,,,0.90886522936611,0,0.0,0.0,0.0,0.0,92371,,,0,0,-1,1,12.3,222,70,,,0,2,1.0,1.0,0,Pablo,0.0,,,,,2.0,4,4.414771556854248,2.8968706130981445,2.372364521026612,4.293411731719971,,,,3.4981937408447266,3.644053459167481,2.9999804496765137,3.002387762069702,2.8786206245422363,4,0,0.0,0.0,,,7.9,206,65,False,55.4,140,57,180,,,44,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,a,1,3,Arsenal,11.0,208,52,1,4252,217,8353,1223,0.4555528669734215,,,0.9555757553820092,0.0,7.379958954724398,0.2,Marí,0.1,0.3,0.0,0.1,,,0.3,0.4,0.2,1.3,2.9000000000000004,3.8,0.6999999999999993,1.7999999999999998,0.3,0.0,,,,3.89012717213605,0.5200928802256288,,,32.47181940078735,1,2.47116494178772
9,,,0,,,,,0,,,,,0,0.0,0.0,,0,,,,,98745,,,0,0,-2,2,0.0,512,191,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,4,3.705718755722046,2.8360228538513184,1.925525784492493,3.566108465194702,,,,3.14165472984314,3.3290605545043945,2.947051763534546,2.8898189067840576,2.7478015422821045,0,0,,,,,0.0,520,191,False,0.0,516,192,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.4,False,,u,1,3,Arsenal,0.0,482,182,0,3737,0,58984,5022,,,,,0.0,6.116456662615141,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,29.35899198055268,0,2.270228624343872
10,2.80886522936611,1.404432614683055,0,0.0,,0.0,,0,0.0,,0.0,,27,,,0.90886522936611,0,0.0,0.0,0.0,0.0,101184,,,0,0,-1,1,17.2,188,54,,,0,2,1.0,1.0,0,Calum,0.0,,,,,2.0,4,3.527271032333374,2.765257835388184,1.9334454536437988,3.3876607418060303,,,,3.1276440620422363,3.2917537689208984,2.7549660205841064,2.757373332977295,2.615356206893921,7,0,0.0,,0.0,,7.5,212,66,False,45.4,171,71,170,,,44,0,0,,0,,101184.jpg,0.5,0,0,Chambers,0.3,False,,a,1,3,Arsenal,12.0,201,48,1,6728,408,18336,2773,0.3191892306097852,,,0.6695369786083314,0.0,6.420854871923272,0.2,Chambers,0.1,0.3,0.1,,0.0,,0.1,0.2,0.1,1.3,2.9000000000000004,3.8,0.6999999999999993,0.6000000000000001,0.1,,0.0,,,2.9901271721360505,,0.0894830874246624,,28.2517614364624,0,2.0910329818725586
