id,adjusted points,adjusted points per game,assists,assists_week1,assists_week2,assists_week3,assists_week4,assists_week5,bonus,bonus_week1,bonus_week2,bonus_week3,bonus_week4,bonus_week5,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week2,cleansheet_week3,cleansheet_week4,cleansheet_week5,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 2 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week2,goals_week3,goals_week4,goals_week5,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week2,xA_week3,xA_week4,xA_week5,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week2,xGA_week3,xGA_week4,xGA_week5,xG_points,xG_week1,xG_week2,xG_week3,xG_week4,xG_week5,xPoints,xPoints week 1,xPoints week 2,xPoints week 3,xPoints week 4,xPoints week 5,xPoints_next10,yellow_cards,gameweek 15 prediction
1,5.656830847730713,1.8856102825769048,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,48,,,1.656830847730714,0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-1,1,0.0,533,54,,,0,1,0.8,1.8,0,Bernd,0.8,1.799901046595447,1.799901046595447,1.799901046595447,1.799901046595447,3.0,5,4.301833629608154,4.235877990722656,3.7955751419067374,4.399227619171143,3.7123806476593018,,,,,4.340850353240967,4.0962677001953125,4.235877990722656,4.24868631362915,9,0,0.0,0.0,0.0,,,7.9,242,18,False,79.0,115,16,270,,,49,0,0,,0,,80201.jpg,1.3,0,9,Leno,1.5,False,,a,1,3,Arsenal,0.0,512,52,4,49210,1237,114869,9238,0.3848184250156948,0.3673267442031524,0.3673267442031524,0.8518318960538187,0.2,8.384626787535998,0.8,Leno,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.3,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,0.0,0.0,0.0,0.0,,,,2.09012717213605,2.220092880225629,1.0894830874246624,,,41.08467125892639,0,3.718093872070313
2,,,0,,,,,,0,,,,,,0,0.0,0.0,,0,,,,,,115918,,,0,0,0,0,0.0,388,17,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,5,3.787611961364746,3.417207956314087,2.641918182373047,3.8617095947265625,2.6367204189300537,,,,,3.651815176010132,3.33723783493042,3.417207956314087,3.1465871334075928,0,0,,,,,,0.0,410,37,False,0.0,401,37,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,1.0,False,,u,1,3,Arsenal,0.0,337,14,0,19017,0,43384,2356,,,,,0.0,8.19028240442276,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.76112961769104,0,2.8631134033203125
3,,,0,,,,,,0,,,,,,0,0.0,0.0,,0,,,,,,47431,,,0,0,-2,2,0.0,599,245,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,5,2.866066694259644,2.355348825454712,1.978489875793457,2.9095256328582764,2.136439085006714,,,,,2.67063307762146,2.396695613861084,2.41702938079834,2.279263496398926,0,0,,,,,,0.0,600,245,False,0.0,600,245,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,597,245,0,914,0,18829,301,,,,,0.0,3.817768286144923,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.051940202713013,0,2.0424485206604004
4,16.1,4.025,0,,0.0,0.0,0.0,0.0,3,,0.0,0.0,3.0,0.0,41,100.0,100.0,0.0,2,,0.0,0.0,1.0,1.0,54694,,,0,0,-1,1,62.6,89,14,,,0,4,3.2,4.2,2,Pierre-Emerick,3.2,4.025,4.025,4.025,4.025,4.0,5,4.299880504608154,3.808844327926636,3.3425111770629883,4.401132106781006,3.5416648387908936,,,,,4.292719841003418,3.638972282409668,3.731074810028076,3.638972282409668,4,1,,0.0,0.0,1.0,0.0,25.0,64,18,False,48.0,200,20,267,,2021-08-13T14:30:14.477664Z,99,0,0,1.0,0,,54694.jpg,3.2,0,0,Aubameyang,2.2,False,,a,1,3,Arsenal,140.0,38,16,13,159241,3774,211519,16518,0.4065656565656566,0.4065656565656566,0.4065656565656566,1.279228973904503,0.3,3.842250843240757,1.3,Aubameyang,0.5,1.5,,0.0,0.0,0.1,0.4,1.4,1.9,0.475,,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,5.6,,0.0,0.0,1.3,0.0999999999999998,3.6,,1.0,1.0,10.5,3.6,38.038283348083496,0,3.3425111770629883
5,2.956830847730714,0.9856102825769048,0,,0.0,0.0,0.0,,0,,0.0,0.0,0.0,,21,,,1.656830847730714,0,,0.0,0.0,0.0,0.0,58822,,,0,0,-1,1,36.1,151,32,5.0,,0,2,0.2,1.2,0,Cédric,0.2,0.5365253225500971,0.5365253225500971,0.5365253225500971,0.5365253225500971,3.0,5,2.6572656631469727,2.306979894638061,1.523843765258789,2.710721492767334,1.6814311742782593,,,,,2.662609815597534,2.229050636291504,2.368660449981689,2.181255340576172,7,0,,0.0,0.0,0.0,,6.8,258,88,False,30.8,255,100,188,,,44,0,0,,0,,58822.jpg,0.3,0,0,Soares,0.2,False,,a,1,3,Arsenal,1.0,314,105,1,8761,225,15305,917,0.22400233694929653,0.12193757330684024,0.12193757330684024,0.46987126600642776,0.0,4.967996234243565,0.2,Cédric,0.1,0.3,,0.1,0.0,0.0,,0.0,0.1,0.03333333333333333,,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,0.0,,0.0,0.0,0.0,,,,1.5200928802256288,-0.9105169125753376,1.0,,21.85918343067169,1,1.537365198135376
6,1.0,1.0,0,,,0.0,,,0,,,0.0,,,-1,100.0,100.0,0.0,0,,,0.0,0.0,0.0,59966,,,0,0,-1,1,0.3,359,51,3.0,,0,4,0.2,1.2,0,Alexandre,0.2,1.0,1.0,1.0,1.0,1.0,5,2.1590495109558105,1.818307876586914,1.3973506689071655,2.212505340576172,1.4339162111282349,,,,,1.9858936071395876,1.740378737449646,1.879988431930542,1.692583441734314,1,0,,,0.0,,,0.1,394,52,False,1.0,380,48,31,,2021-08-13T14:30:14.582063Z,84,0,0,2.0,0,,59966.jpg,1.0,0,0,Lacazette,1.0,False,,a,1,3,Arsenal,0.0,605,84,1,18371,641,134863,3118,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.3450327796711771,0.0,2.1038377710751126,0.1,Lacazette,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,3.8,0.6999999999999993,1.200000000000001,0.0,,,0.0,,,,,,1.0,,,17.672237277030945,0,1.3522634506225586
7,3.214207711932678,1.071402570644226,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,20,100.0,0.0,0.4142077119326784,0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-1,1,51.0,113,69,4.0,,0,3,0.0,0.0,0,Granit,0.0,1.0425183376968066,1.0425183376968066,1.0425183376968066,1.0425183376968066,3.0,5,2.2479169368743896,2.059712171554565,1.6249085664749146,2.314671754837036,1.7200827598571775,,,,,2.227297067642212,2.0414187908172607,2.1213927268981934,2.006922721862793,9,0,0.0,0.0,0.0,,,9.3,217,106,False,33.2,249,100,214,,2021-08-28T14:30:16.120624Z,49,0,0,,0,,84450.jpg,0.7,1,0,Xhaka,0.4,False,,a,1,3,Arsenal,9.0,249,135,2,15130,629,64150,1251,0.21865358584576042,0.2127588444279197,0.2127588444279197,0.48401034488503,0.0,4.082194591055111,0.4,Xhaka,0.1,0.3,0.1,0.0,0.0,,,0.1,0.2,0.06666666666666667,1.3,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,0.5,0.1,0.0,0.0,,,,3.0725317930340124,2.055023220056407,-2.0,,,20.002753496170044,0,1.6384299993515017
8,4.204553898487142,2.102276949243571,0,0.0,0.0,,,,0,0.0,0.0,,,,35,,,1.1045538984871426,0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-1,1,12.3,253,81,,,0,2,0.0,1.0,0,Pablo,0.0,2.205110026180839,2.205110026180839,2.205110026180839,2.205110026180839,2.0,5,4.192160129547119,2.9999804496765137,2.3723645210266118,4.268911838531494,2.47116494178772,,,,,3.644053459167481,2.8786206245422363,2.9999804496765137,2.854121208190918,4,0,0.0,0.0,,,,7.9,240,77,False,55.4,177,71,180,,,44,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,a,1,3,Arsenal,11.0,231,60,1,4390,78,9292,485,0.47779021573717523,0.5011613695865543,0.5011613695865543,1.00222121166855,0.0,7.060737176374955,0.2,Marí,0.1,0.3,0.0,0.1,,,,0.3,0.4,0.2,1.3,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.7999999999999998,0.3,0.0,,,,,3.89012717213605,0.5200928802256288,,,,31.067243576049805,1,2.3858859539031982
9,,,0,,,,,,0,,,,,,0,0.0,0.0,,0,,,,,,98745,,,0,0,-2,2,0.0,530,196,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,5,3.464857339859009,2.825731039047241,1.925525784492493,3.518312931060791,2.270228624343872,,,,,3.3290605545043945,2.807441711425781,2.887411594390869,2.7000060081481934,0,0,,,,,,0.0,540,196,False,0.0,535,196,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.3,False,,u,1,3,Arsenal,0.0,506,189,0,3737,0,62047,1615,,,,,0.0,5.782539223631224,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.75618827342987,0,2.0276126861572266
10,3.004553898487143,1.5022769492435717,0,0.0,,0.0,,,0,0.0,,0.0,,,27,,,1.1045538984871426,0,0.0,0.0,0.0,0.0,0.0,101184,,,-1,1,-2,2,17.2,217,66,,,0,2,0.0,1.0,0,Calum,0.0,1.5398051297803566,1.5398051297803566,1.5398051297803566,1.5398051297803566,2.0,5,3.286409616470337,2.7549660205841064,1.9334454536437988,3.363161325454712,2.0910329818725586,,,,,3.2917537689208984,2.615356206893921,2.7549660205841064,2.5908567905426025,7,0,0.0,,0.0,,,7.5,247,82,False,45.4,210,85,170,,,43,0,0,,0,,101184.jpg,0.5,0,0,Chambers,0.3,False,,a,1,3,Arsenal,12.0,228,57,1,6974,147,20486,1040,0.349366732382226,0.3580942162279899,0.3580942162279899,0.724462275684777,0.0,6.192770946857541,0.2,Chambers,0.1,0.3,0.1,,0.0,,,0.1,0.2,0.1,1.3,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,0.6000000000000001,0.1,,0.0,,,,2.9901271721360505,,0.0894830874246624,,,26.628915071487427,0,1.9469668865203855
