id,adjusted points,adjusted points per game,assists,assists_week1,assists_week2,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,bonus,bonus_week1,bonus_week2,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week2,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 2 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week2,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week2,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week2,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xG_points,xG_week1,xG_week2,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xPoints,xPoints week 1,xPoints week 2,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints_next10,yellow_cards,gameweek 17 prediction
1,6.04107795652799,2.0136926521759966,0,0.0,0.0,0.0,,,,,0,0.0,0.0,0.0,,,,,48,,,2.0410779565279897,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-2,2,0.0,546,55,,,0,1,0.5,0.5,0,Bernd,0.0,1.799901046595447,1.799901046595447,1.799901046595447,1.0894830874246624,3.0,7,3.75877857208252,4.198713302612305,3.5121753215789795,4.151343822479248,3.56756329536438,3.639778852462769,4.017077922821045,,,,,,,3.977383375167847,3.965480327606201,9,0,0.0,0.0,0.0,,,,,7.9,287,20,False,79.0,172,20,270,,,48,0,0,,0,,80201.jpg,1.3,0,9,Leno,1.2,False,,a,1,3,Arsenal,0.0,531,52,4,53508,1027,144304,5651,0.419519302536666,0.3749793847073848,0.22697564321347133,0.9191207412326649,0.0,7.991994023323061,0.8,Leno,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.3,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.0,0.0,0.0,0.0,,,,,,2.09012717213605,2.220092880225629,1.0894830874246624,,,,,38.36157131195069,0,3.57327651977539
2,,,0,,,,,,,,0,,,,,,,,0,0.0,0.0,,0,,,,,,,,115918,,,0,0,0,0,0.0,405,18,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,7,3.197049379348755,3.628562688827514,2.763468742370605,3.681364297866821,2.89685320854187,2.669482469558716,3.4059572219848637,,,,,,,3.277597665786743,3.2656946182250977,0,0,,,,,,,,0.0,425,37,False,0.0,419,37,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.9,False,,u,1,3,Arsenal,0.0,363,14,0,19017,0,52713,2149,,,,,0.0,7.897375881671906,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.589503526687626,0,2.803473234176636
3,,,0,,,,,,,,0,,,,,,,,0,0.0,0.0,,0,,,,,,,,47431,,,0,0,-2,2,0.0,606,248,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,7,2.3941307067871094,2.6473805904388428,1.980932593345642,2.694812774658203,2.136439085006714,2.0424485206604004,2.419405698776245,,,,,,,2.3370554447174072,2.217582941055298,0,0,,,,,,,,0.0,607,248,False,0.0,607,248,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,605,248,0,914,0,19670,193,,,,,0.0,3.627459756911747,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.852996468544006,0,1.9828081130981443
4,22.3,3.716666666666667,0,,0.0,0.0,0.0,0.0,0.0,0.0,4,,0.0,0.0,3.0,0.0,1.0,0.0,74,100.0,100.0,0.0,3,,0.0,0.0,1.0,1.0,0.0,1.0,54694,,,0,0,-1,1,68.7,116,19,,,0,4,4.2,4.2,2,Pierre-Emerick,3.7,3.716666666666667,3.716666666666667,3.716666666666667,4.26,6.0,7,4.0059661865234375,4.177682876586914,3.2809624671936035,4.398807525634766,3.5431878566741943,3.2809624671936035,4.131710052490234,,,,,,,3.666690587997437,3.685680866241455,5,2,,0.0,0.0,1.0,0.0,1.0,0.0,40.7,40,11,False,86.8,148,15,428,,2021-08-13T14:30:14.477664Z,99,0,0,1.0,0,,54694.jpg,3.7,0,0,Aubameyang,2.3,False,,a,1,3,Arsenal,253.0,12,6,22,224268,18733,269119,12743,0.37542087542087543,0.37542087542087543,0.43030303030303024,1.181234207787595,0.4,3.783092257952449,2.2,Aubameyang,0.5,1.5,,0.0,0.0,0.1,0.4,0.0,0.0,1.7,2.2,0.3666666666666667,,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,6.8,,0.0,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,2.3999999999999995,,1.0,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,37.45261335372925,0,3.2809624671936035
5,3.3410779565279896,1.1136926521759964,0,,0.0,0.0,0.0,,,,0,,0.0,0.0,0.0,,,,21,,,2.0410779565279897,0,,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-2,2,36.1,181,46,,,0,2,0.5,0.5,0,Cédric,0.0,0.5365253225500971,0.5365253225500971,0.5365253225500971,0.0447415437123311,3.0,7,1.9251275062561035,2.5028605461120605,1.5262863636016846,2.2749297618865967,1.6814311742782593,1.537365198135376,2.1406636238098145,,,,,,,2.229050636291504,2.119574785232544,7,0,,0.0,0.0,0.0,,,,6.8,304,105,False,30.8,292,113,188,,,43,0,0,,0,,58822.jpg,0.3,0,0,Soares,0.2,False,,a,1,3,Arsenal,1.0,339,118,1,9675,205,18458,690,0.2589982912037201,0.12477333082560399,0.010405010165658396,0.5370702876158037,0.0,4.528989486916121,0.2,Cédric,0.1,0.3,,0.1,0.0,0.0,,,,0.0,0.1,0.03333333333333333,,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.0,,0.0,0.0,0.0,,,,,,1.5200928802256288,-0.9105169125753376,1.0,,,,19.47465479373932,1,1.537365198135376
6,2.0,1.0,0,,,0.0,,,,0.0,0,,,0.0,,,,0.0,2,100.0,100.0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,59966,,,0,0,-2,2,2.7,328,46,5.0,,0,4,0.8,0.8,1,Alexandre,0.3,1.0,1.0,1.0,1.0,2.0,7,1.6260640621185305,1.9626411199569704,1.3997933864593506,1.997792601585388,1.4339162111282349,1.3522634506225586,1.6850261688232422,,,,,,,1.740378737449646,1.630902886390686,1,0,,,0.0,,,,0.0,0.4,395,52,False,1.8,391,51,49,,2021-08-13T14:30:14.582063Z,83,0,0,2.0,0,,59966.jpg,1.0,0,0,Lacazette,1.0,False,,a,1,3,Arsenal,0.0,612,85,2,21696,725,146139,2049,0.12048192771084336,0.12048192771084336,0.12048192771084336,0.34710506725031165,0.0,1.9495231415852006,0.2,Lacazette,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.0,,,0.0,,,,0.0,1.0,,,1.0,,,,1.0,16.181042075157166,0,1.3522634506225586
7,5.480359318842663,1.3700898297106658,0,0.0,0.0,0.0,,,0.0,,0,0.0,0.0,0.0,,,0.0,,35,0.0,0.0,0.6803593188426632,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-1,1,53.2,142,85,4.0,,0,3,0.0,0.0,0,Granit,0.7,1.3651065241971247,1.3651065241971247,1.3651065241971247,0.1664355418490397,4.0,7,1.8697890043258667,2.1724302768707275,1.607425570487976,2.078721523284912,1.7001569271087646,1.6185041666030884,1.9444555044174197,,,,,,,2.0098047256469727,1.8903321027755735,10,0,0.0,0.0,0.0,,,0.0,,10.4,253,117,False,42.2,271,106,295,Knee injury - Expected back 01 Jan,2021-09-26T22:30:11.256623Z,49,0,0,,0,,84450.jpg,1.0,1,0,Xhaka,0.4,False,,i,1,3,Arsenal,9.0,285,153,4,16388,61,71718,2007,0.2796101693287073,0.27859316820349483,0.033966437112048914,0.6189434944168483,0.1,3.7775763200253856,0.8,Xhaka,0.1,0.3,0.1,0.0,0.0,,,0.0,,0.1,0.2,0.05,1.3,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.5,0.1,0.0,0.0,,,0.0,,,3.0725317930340124,2.055023220056407,-2.0,,,2.3328710836980795,,18.51012396812439,0,1.6185041666030884
8,4.460718637685326,2.230359318842663,0,0.0,0.0,,,,,,0,0.0,0.0,,,,,,35,,,1.3607186376853264,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-2,2,12.3,288,92,,,0,2,0.5,0.5,0,Pablo,0.0,2.205110026180839,2.205110026180839,2.205110026180839,,2.0,7,2.606120347976685,3.048736095428467,2.009721279144287,3.2298028469085693,2.106078863143921,2.0207998752593994,2.764875888824463,,,,,,,2.536829710006714,2.489034414291382,4,0,0.0,0.0,,,,,,7.9,284,97,False,55.4,232,94,180,,,43,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,a,1,3,Arsenal,11.0,269,80,1,4688,75,11033,382,0.5186882136843403,0.5128162851583347,,1.0755747723727638,0.0,5.775069580521696,0.2,Marí,0.1,0.3,0.0,0.1,,,,,,0.3,0.4,0.2,1.3,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,1.7999999999999998,0.3,0.0,,,,,,,3.89012717213605,0.5200928802256288,,,,,,24.83279919624329,1,2.0207998752593994
9,,,0,,,,,,,,0,,,,,,,,0,0.0,0.0,,0,,,,,,,,98745,,,0,0,-2,2,0.0,548,200,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,7,2.6409695148468018,3.1693115234375,1.927968382835388,3.082521438598633,2.270228624343872,2.0276126861572266,2.807114362716675,,,,,,,2.7478015422821045,2.638325452804565,0,0,,,,,,,,0.0,557,200,False,0.0,554,200,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.3,False,,u,1,3,Arsenal,0.0,533,197,0,3737,0,66497,812,,,,,0.0,5.2666305005550385,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.279826402664185,0,1.9679728746414185
10,3.2607186376853265,1.6303593188426633,0,0.0,,0.0,,,,,0,0.0,,0.0,,,,,27,,,1.3607186376853264,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101184,,,0,0,-2,2,17.2,258,78,,,0,2,0.5,0.5,0,Calum,0.0,1.5398051297803566,1.5398051297803566,1.5398051297803566,0.0894830874246624,2.0,7,2.3663644790649414,2.9440975189208984,1.8184627294540403,2.7161667346954346,1.9736076593399048,1.8295414447784424,2.5819005966186523,,,,,,,2.521226406097412,2.47343111038208,7,0,0.0,,0.0,,,,,7.5,292,101,False,45.4,262,105,170,,,43,0,0,,0,,101184.jpg,0.5,0,0,Chambers,0.2,False,,a,1,3,Arsenal,12.0,266,78,1,7648,164,24258,788,0.37915332996341006,0.3580942162279899,0.02081002033131684,0.7862290790705168,0.0,5.361474447472151,0.2,Chambers,0.1,0.3,0.1,,0.0,,,,,0.1,0.2,0.1,1.3,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.6000000000000001,0.1,,0.0,,,,,,2.9901271721360505,,0.0894830874246624,,,,,23.05434012413025,0,1.8295414447784424
