id,adjusted points,adjusted points per game,assists,assists_week1,assists_week2,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,bonus,bonus_week1,bonus_week2,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week2,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 2 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week2,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week2,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week2,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xG_points,xG_week1,xG_week2,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xPoints,xPoints week 1,xPoints week 2,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints_next10,yellow_cards,gameweek 18 prediction
1,6.304598903449049,2.10153296781635,0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,,,,,,48,,,2.3045989034490497,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-3,3,0.0,554,57,,,0,1,0.5,0.5,0,Bernd,0.0,1.799901046595447,1.799901046595447,1.799901046595447,,3.0,8,3.678248643875122,4.232257843017578,3.576234817504883,4.204718589782715,3.56756329536438,3.56756329536438,3.7227680683135986,3.5732765197753906,,,,,,,,3.965480327606201,9,0,0.0,0.0,0.0,,,,,,7.9,305,22,False,79.0,200,22,270,,,47,0,0,,0,,80201.jpg,1.3,0,9,Leno,1.2,False,,a,1,3,Arsenal,0.0,537,54,4,55065,641,150953,2697,0.4471346740034786,0.382957669488393,,0.9693648737560726,0.0,8.107487090090487,0.9,Leno,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,1.3,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,0.0,0.0,0.0,0.0,,,,,,,2.09012717213605,2.220092880225629,1.0894830874246624,,,,,,38.10518932342529,0,4.017077922821045
2,,,0,,,,,,,,,0,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,115918,,,0,0,0,0,0.0,413,18,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,8,3.0380802154541016,3.662106990814209,2.5673952102661133,3.7757089138031006,2.89685320854187,2.6367204189300537,3.039006233215332,2.543339967727661,,,,,,,,3.2656946182250977,0,0,,,,,,,,,0.0,435,39,False,0.0,432,39,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.9,False,,u,1,3,Arsenal,0.0,371,14,0,19017,0,55736,1070,,,,,0.0,7.7077157497406,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.830862998962402,0,3.4059572219848633
3,,,0,,,,,,,,,0,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,47431,,,0,0,-2,2,0.0,612,250,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,8,2.3876960277557373,2.7402877807617188,1.9533717632293701,2.8676373958587646,2.1341214179992676,2.1341214179992676,2.214772939682007,1.9804904460906982,,,,,,,,2.2769458293914795,0,0,,,,,,,,,0.0,612,250,False,0.0,612,250,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,612,250,0,914,0,19799,79,,,,,0.0,3.677494223155673,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.168213605880737,0,2.4787685871124268
4,29.1,4.1571428571428575,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,,0.0,0.0,3.0,0.0,1.0,0.0,3.0,107,100.0,100.0,0.0,3,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,54694,,,0,0,-1,1,84.5,102,15,,,0,4,6.5,6.5,9,Pierre-Emerick,6.0,4.1571428571428575,4.1571428571428575,4.1571428571428575,5.42,7.0,8,3.949883460998535,4.34878396987915,3.3879811763763428,4.406375408172607,3.716371774673462,3.6481595039367676,3.752601385116577,3.3879811763763428,,,,,,,,3.8136796951293945,7,3,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,49.8,33,9,False,126.8,101,12,518,,2021-08-13T14:30:14.477664Z,99,0,0,1.0,0,,54694.jpg,4.4,0,0,Aubameyang,2.5,False,,a,1,3,Arsenal,288.0,9,5,31,256676,14039,283330,6699,0.4199134199134199,0.4199134199134199,0.5474747474747474,1.3212267308117494,0.6,3.9073726384326655,3.1,Aubameyang,0.7,2.1,,0.0,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,2.0,2.7,0.3857142857142857,,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,8.0,,0.0,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,6.8,,1.0,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,38.6829891204834,0,4.271171569824219
5,3.60459890344905,1.20153296781635,0,,0.0,0.0,0.0,,,,,0,,0.0,0.0,0.0,,,,,21,,,2.3045989034490497,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-2,2,36.1,199,52,,,0,2,0.5,0.5,0,Cédric,0.0,0.5365253225500971,0.5365253225500971,0.5365253225500971,1.0,3.0,8,1.835903286933899,2.732264518737793,1.4987256526947021,2.6688332557678223,1.679113507270813,1.679113507270813,1.9172979593276978,1.5350475311279297,,,,,,,,2.1789376735687256,7,0,,0.0,0.0,0.0,,,,,6.8,321,113,False,30.8,308,118,188,,,43,0,0,,0,,58822.jpg,0.3,0,0,Soares,0.2,False,,a,1,3,Arsenal,1.0,349,123,1,9924,150,19107,342,0.2794262715851976,0.1247733308256039,0.2325581395348837,0.5794306493305476,0.0,4.633782187173533,0.2,Cédric,0.1,0.3,,0.1,0.0,0.0,,,,,0.0,0.1,0.0333333333333333,,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,0.0,,0.0,0.0,0.0,,,,,,,1.5200928802256288,-0.9105169125753376,1.0,,,,,19.92526340484619,1,2.200026512145996
6,5.6,1.8666666666666665,0,,,0.0,,,,0.0,0.0,0,,,0.0,,,,0.0,0.0,30,100.0,100.0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,59966,,,0,0,-2,2,29.5,227,36,5.0,,0,4,2.5,2.5,5,Alexandre,2.0,1.8666666666666665,1.8666666666666665,1.8666666666666665,2.3,3.0,8,2.7331173419952393,3.084221363067627,2.2357137203216553,3.597537040710449,2.3060600757598877,2.3060600757598877,2.6193809509277344,2.249235153198242,,,,,,,,2.5078744888305664,2,1,,,0.0,,,,0.0,1.0,13.5,246,37,False,43.8,283,36,72,,2021-08-13T14:30:14.582063Z,83,0,0,2.0,0,,59966.jpg,2.3,0,0,Lacazette,1.0,False,,a,1,3,Arsenal,62.0,147,43,7,23914,1380,148010,1013,0.2248995983935742,0.2248995983935742,0.2771084337349397,0.6479294588672483,0.2,3.258047994360866,0.8,Lacazette,0.2,0.6000000000000001,,,0.0,,,,0.0,0.2,0.5,0.7,0.2333333333333333,,,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,2.0,,,0.0,,,,0.0,0.5,3.6,,,1.0,,,,1.0,3.6,27.04179835319519,0,3.4025981426239014
7,5.568199634483016,1.392049908620754,0,0.0,0.0,0.0,,,0.0,,,0,0.0,0.0,0.0,,,0.0,,,35,0.0,0.0,0.7681996344830165,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-1,1,53.2,157,94,4.0,,0,3,0.0,0.0,0,Granit,0.7,1.3651065241971247,1.3651065241971247,1.3651065241971247,2.3328710836980795,4.0,8,1.875692367553711,2.2653374671936035,1.5798646211624146,2.2515461444854736,1.6978392601013184,1.6978392601013184,1.8619599342346191,1.616186499595642,,,,,,,,1.9496949911117554,10,0,0.0,0.0,0.0,,,0.0,,,10.4,272,124,False,42.2,286,115,295,Knee injury - Expected back 01 Jan,2021-09-26T22:30:11.256623Z,49,0,0,,0,,84450.jpg,1.0,1,0,Xhaka,0.3,False,,i,1,3,Arsenal,9.0,296,155,4,16442,38,73351,747,0.2840918180858681,0.2785931682034948,0.4760961395302203,0.628864046838692,0.1,3.836689554915136,0.8,Xhaka,0.1,0.3,0.1,0.0,0.0,,,0.0,,,0.1,0.2,0.05,1.3,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,0.5,0.1,0.0,0.0,,,0.0,,,,3.0725317930340124,2.055023220056407,-2.0,,,2.3328710836980795,,,18.799778819084167,0,2.0038182735443115
8,4.6363992689660325,2.318199634483016,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,35,,,1.536399268966033,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-2,2,12.3,300,98,,,0,2,0.5,0.5,0,Pablo,0.0,2.205110026180839,2.205110026180839,2.205110026180839,,2.0,8,2.603684663772583,3.427999496459961,2.1228764057159424,3.7134790420532227,2.180027961730957,2.180027961730957,2.5254971981048584,2.1363978385925293,,,,,,,,2.698256731033325,4,0,0.0,0.0,,,,,,,7.9,304,103,False,55.4,251,99,180,,,43,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,a,1,3,Arsenal,11.0,282,86,1,4770,47,11395,190,0.5391161940658177,0.5128162851583347,,1.1179351340875074,0.0,6.222728684891102,0.2,Marí,0.1,0.3,0.0,0.1,,,,,,,0.3,0.4,0.2,1.3,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.7999999999999998,0.3,0.0,,,,,,,,3.89012717213605,0.5200928802256288,,,,,,,26.75773334503174,1,3.1694860458374023
9,,,0,,,,,,,,,0,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,98745,,,0,0,-2,2,0.0,557,203,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,8,2.4650719165802,3.3987152576446533,1.9004076719284058,3.4764246940612793,2.267910957336426,2.267910957336426,2.46161150932312,1.9656552076339722,,,,,,,,2.697688341140747,0,0,,,,,,,,,0.0,565,203,False,0.0,564,203,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.3,False,,u,1,3,Arsenal,0.0,542,198,0,3737,0,67201,330,,,,,0.0,5.368307034174602,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.767873764038086,0,2.8664772510528564
10,3.436399268966033,1.7181996344830166,0,0.0,,0.0,,,,,,0,0.0,,0.0,,,,,,27,,,1.536399268966033,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101184,,,0,0,-2,2,17.2,272,84,,,0,2,0.5,0.5,0,Calum,0.0,1.5398051297803566,1.5398051297803566,1.5398051297803566,,2.0,8,2.2177774906158447,3.114138603210449,1.8160200119018555,3.0507073402404785,1.9736076593399048,1.9736076593399048,2.2117919921875,1.8295414447784424,,,,,,,,2.47343111038208,7,0,0.0,,0.0,,,,,,7.5,310,107,False,45.4,276,110,170,,,43,0,0,,0,,101184.jpg,0.5,0,0,Chambers,0.2,False,,a,1,3,Arsenal,12.0,278,83,1,7891,90,25071,360,0.3995813103448876,0.3580942162279899,,0.8285894407852605,0.0,5.405238118282584,0.2,Chambers,0.1,0.3,0.1,,0.0,,,,,,0.1,0.2,0.1,1.3,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,0.6000000000000001,0.1,,0.0,,,,,,,2.9901271721360505,,0.0894830874246624,,,,,,23.242523908615112,0,2.5819005966186523
