id,adjusted points,adjusted points per game,assists,assists_week1,assists_week2,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week2,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week2,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 2 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week2,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week2,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week2,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week2,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 2,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 19 prediction
1,6.343330754028228,2.114443584676076,0,0.0,0.0,0.0,,,,,,,0,0.0,0.0,0.0,,,,,,,48,,,2.3433307540282287,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-3,3,0.0,555,57,,,0,1,0.5,0.5,0,Bernd,0.0,1.799901046595447,1.799901046595447,1.799901046595447,,3.0,9,3.654996156692505,4.082355499267578,3.509732484817505,4.082355499267578,3.6725354194641113,3.57327651977539,3.653806447982788,3.639778852462769,3.820722579956055,,,,,,,,,9,0,0.0,0.0,0.0,,,,,,,7.9,322,23,False,79.0,224,23,270,,,47,0,0,,0,,80201.jpg,1.3,0,9,Leno,1.1,False,,a,1,3,Arsenal,0.0,539,54,4,56392,873,157711,3926,0.4498816137608672,0.382957669488393,,0.9753200972400733,0.0,8.1153371486258,0.9,Leno,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.3,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,0.0,0.0,,,,,,,,2.09012717213605,2.220092880225629,1.0894830874246624,,,,,,,38.14208459854126,0,4.4525251388549805
2,,,0,,,,,,,,,,0,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,115918,,,0,0,0,0,0.0,413,18,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,9,3.0148277282714844,3.512204885482788,2.500892877578736,3.512204885482788,3.0718202590942383,2.8631134033203125,2.96244215965271,2.609842300415039,3.25899338722229,,,,,,,,,0,0,,,,,,,,,,0.0,435,39,False,0.0,432,39,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.8,False,,u,1,3,Arsenal,0.0,373,14,0,19017,0,58246,1435,,,,,0.0,7.832464039325714,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.329856157302856,0,4.023514270782471
3,,,0,,,,,,,,,,0,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,47431,,,0,0,-2,2,0.0,613,250,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,9,2.36444354057312,2.650022506713867,1.95337176322937,2.650022506713867,2.389766216278076,2.06836462020874,2.138209104537964,1.9804904460906985,2.4799482822418213,,,,,,,,,0,0,,,,,,,,,,0.0,613,250,False,0.0,613,250,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,613,250,0,914,0,19947,108,,,,,0.0,3.776442058502681,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.79158496856689,0,3.11694598197937
4,32.691,4.086375,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,134,100.0,100.0,0.0,3,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,1,-1,0,0,109.1,91,13,,,0,4,6.2,6.2,6,Pierre-Emerick,5.7,4.146375,4.146375,4.146375,4.1342,8.0,9,4.463738918304443,5.12560510635376,3.779333114624024,5.12560510635376,4.621850967407227,3.798323392868042,4.323544979095459,3.779333114624024,4.775588035583496,,,,,,,,,8,4,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,64.7,20,7,False,182.8,59,6,608,,2021-08-13T14:30:14.477664Z,100,0,1,1.0,0,,54694.jpg,4.6,0,0,Aubameyang,4.8,False,,a,1,3,Arsenal,356.0,5,3,37,462842,96583,310869,19233,0.40863750000000004,0.4146375,0.41342,1.2922252373570562,0.6,4.513809323310852,3.7,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,3.0,3.8,0.475,,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,11.52,,0.0,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,4.071,,1.0,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,45.13809323310852,1,5.345170497894287
5,3.643330754028229,1.2144435846760764,0,,0.0,0.0,0.0,,,,,,0,,0.0,0.0,0.0,,,,,,21,,,2.3433307540282287,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,-1,1,-3,3,36.1,217,58,,,0,2,0.5,0.5,0,Cédric,0.0,0.5365253225500971,0.5365253225500971,0.5365253225500971,,3.0,9,1.812650680541992,2.582362413406372,1.498725652694702,2.582362413406372,1.8982467651367188,1.553083419799805,1.7653566598892212,1.5350475311279297,2.0464344024658203,,,,,,,,,7,0,,0.0,0.0,0.0,,,,,,6.8,333,116,False,30.8,318,123,188,,,42,0,0,,0,,58822.jpg,0.3,0,0,Soares,0.2,False,,a,1,3,Arsenal,1.0,351,123,1,10275,264,20042,605,0.28915323444668484,0.12774412441668978,,0.5925877914386305,0.0,4.8195361239569525,0.2,Cédric,0.1,0.3,,0.1,0.0,0.0,,,,,,0.0,0.1,0.03333333333333333,,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,0.0,0.0,0.0,,,,,,,,1.5200928802256288,-0.9105169125753376,1.0,,,,,,20.2420517206192,1,2.967781782150269
6,7.6,1.9,0,,,0.0,,,,0.0,0.0,0.0,0,,,0.0,,,,0.0,0.0,0.0,36,100.0,100.0,0.0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,0,0,-2,2,57.9,163,30,5.0,,0,4,3.2,3.2,2,Alexandre,2.7,1.9,1.9,1.9,2.2,4.0,9,2.2013909816741943,2.3929107189178467,1.885814189910889,2.3929107189178467,2.1533515453338623,1.9275696277618408,1.9740577936172483,1.899335622787476,2.218195676803589,,,,,,,,,2,1,,,0.0,,,,0.0,1.0,0.0,17.8,231,39,False,48.6,284,36,139,,2021-08-13T14:30:14.582063Z,83,0,0,2.0,0,,59966.jpg,2.2,0,0,Lacazette,1.0,False,,a,1,3,Arsenal,72.0,142,41,9,33939,4582,152472,3240,0.22891566265060237,0.22891566265060237,0.26506024096385544,0.659499627775592,0.3,2.632248272378761,1.1,Lacazette,0.2,0.6000000000000001,,,0.0,,,,0.0,0.2,0.0,0.5,0.7,0.175,,,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,2.0,,,0.0,,,,0.0,0.5,0.0,2.0,,,1.0,,,,1.0,3.6,2.0,21.847660660743717,0,2.802123785018921
7,5.581110251342743,1.3952775628356855,0,0.0,0.0,0.0,,,0.0,,,,0,0.0,0.0,0.0,,,0.0,,,,35,0.0,0.0,0.7811102513427429,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-1,1,53.2,169,100,4.0,,0,3,0.0,0.0,0,Granit,0.0,1.3651065241971247,1.3651065241971247,1.3651065241971247,2.3328710836980795,4.0,9,1.852439761161804,2.175071954727173,1.5798646211624146,2.175071954727173,1.8654245138168333,1.644420504570007,1.7615666389465332,1.616186499595642,1.9556065797805784,,,,,,,,,10,0,0.0,0.0,0.0,,,0.0,,,,10.4,296,134,False,42.2,300,122,295,Knee injury - Expected back 01 Jan,2021-09-26T22:30:11.256623Z,49,0,0,,0,,84450.jpg,1.0,1,0,Xhaka,0.3,False,,i,1,3,Arsenal,9.0,313,160,4,16511,40,74922,936,0.2847505230276909,0.27859316820349483,0.4760961395302203,0.6303221523842101,0.0,3.903368930427395,0.8,Xhaka,0.1,0.3,0.1,0.0,0.0,,,0.0,,,,0.1,0.2,0.05,1.3,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.5,0.1,0.0,0.0,,,0.0,,,,,3.0725317930340124,2.055023220056407,-2.0,,,2.3328710836980795,,,,19.12650775909424,0,2.500854730606079
8,4.662220502685486,2.331110251342743,0,0.0,0.0,,,,,,,,0,0.0,0.0,,,,,,,,35,75.0,,1.5622205026854858,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-2,2,12.3,310,105,,,0,2,0.4,0.5,0,Pablo,0.0,2.205110026180839,2.205110026180839,2.205110026180839,,2.0,9,2.580432176589966,3.627008199691773,2.1228764057159424,3.627008199691773,2.593826532363892,2.126199722290039,2.266270875930786,2.1363978385925293,2.6800696849823,,,,,,,,,4,0,0.0,0.0,,,,,,,,7.9,321,111,False,55.4,268,106,180,Illness - 75% chance of playing,2021-10-26T22:00:11.791357Z,43,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,d,1,3,Arsenal,11.0,300,95,1,4860,51,11914,356,0.5421186631029635,0.5128162851583347,,1.124161186397903,0.0,6.428108270778213,0.2,Marí,0.1,0.3,0.0,0.1,,,,,,,,0.3,0.4,0.2,1.3,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,0.0,,,,,,,,,3.89012717213605,0.5200928802256288,,,,,,,,27.640865564346317,1,3.8807759284973145
9,,,0,,,,,,,,,,0,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,98745,,,0,0,-2,2,0.0,558,204,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,9,2.441819429397583,3.2488131523132324,1.9004076719284055,3.2488131523132324,2.575103282928467,2.0941925048828125,2.3334996700286865,1.965655207633972,2.7622764110565186,,,,,,,,,0,0,,,,,,,,,,0.0,566,204,False,0.0,565,204,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,544,199,0,3737,0,67961,475,,,,,0.0,5.4887404044469195,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.34595394134521,0,3.7753734588623047
10,3.462220502685485,1.7311102513427428,0,0.0,,0.0,,,,,,,0,0.0,,0.0,,,,,,,27,,,1.5622205026854858,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101184,,,-1,1,-3,3,17.2,285,93,,,0,2,0.5,0.5,0,Calum,0.0,1.5398051297803566,1.5398051297803566,1.5398051297803566,,2.0,9,2.1945250034332275,2.9642364978790283,1.8160200119018557,2.9642364978790283,2.280121326446533,1.8475773334503172,2.0598506927490234,1.8295414447784424,2.428308486938477,,,,,,,,,7,0,0.0,,0.0,,,,,,,7.5,324,112,False,45.4,295,117,170,,,42,0,0,,0,,101184.jpg,0.5,0,0,Chambers,0.2,False,,a,1,3,Arsenal,12.0,295,91,1,8355,373,26023,546,0.4121691074625578,0.36662026899532296,,0.8446953102836682,0.0,5.650969800494966,0.2,Chambers,0.1,0.3,0.1,,0.0,,,,,,,0.1,0.2,0.1,1.3,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.6000000000000001,0.1,,0.0,,,,,,,,2.9901271721360505,,0.0894830874246624,,,,,,,23.734073162078857,0,3.349655866622925
